"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-16.18507,-5.8406477,-12.78732,-62.211773,-13.424017,5.724674,21.403156,3.2983153,-12.642837,-3.4780338,-7.00644,-162.55766,-27.957863,46.77307,-8.957606,35.0964,6.123966,-2.0988443,5.5323296,1.2496566,-2.266071,-41.668926,-6.513568,21.359375,9.548946,5.051408,4.327948,-2.957573,-10.497892,2.9386003,-0.41338143,1.7229441,0.3206352,-12.120471,-38.758915,1.9752209,4.2035127,-58.237926,6.7764125,50.39647,-4.5759935,11.930099,-28.06126,78.330345,77.1493,4.1944704,267.2405
-14.346494,-8.235782,-7.502677,-65.17832,-21.46779,2.8658445,11.97539,-5.867443,14.219198,-21.643305,-4.3438325,-151.36633,-83.46599,-69.71193,-7.6166596,26.906202,-1.8644668,5.3093,8.532326,-3.11713,6.0958333,-49.702568,3.2064872,-68.64264,-11.923992,5.431637,0.41929343,-0.7158515,-17.773588,2.9841022,-3.2369938,4.022444,-1.4456385,0.44650838,-58.302742,-6.6830845,4.662048,-35.14541,6.098982,33.71206,-3.9242551,-5.55291,-70.98559,90.189186,74.60017,-1.482495,232.0156
-28.978903,-8.112005,-12.371767,-90.14471,-22.691929,-62.59246,-7.874016,-5.8796144,-10.438145,-7.6821756,-6.431204,-157.06859,-86.29185,-73.72999,-4.720848,-7.06875,-10.334131,1.3254879,-2.72392,-1.0918012,0.79017025,-25.299685,12.12304,6.5989394,-1.7082943,2.00995,6.5547338,-0.973846,-12.393852,4.148335,-2.2253494,-1.6341381,4.8510294,-7.814418,-97.852554,-0.2312822,-3.937028,-43.377937,0.6667739,35.37828,-8.998663,2.4552646,-30.589054,17.464348,63.173775,2.1742702,191.05623
-24.105381,-13.097126,-2.9387696,-57.62737,-27.080702,-51.509518,28.464483,-9.006072,-14.060782,-22.408184,-7.6458473,-148.02623,-99.697174,-71.928925,-9.449674,26.070585,6.2672515,5.132808,-0.22917858,0.11540916,5.3076673,-28.340694,1.8217405,11.75729,-4.0151453,2.962751,4.203496,-1.8245081,-10.105173,4.3553677,-1.0421349,2.1479566,-0.97993356,-0.54937416,-50.25532,-1.7151895,7.020704,-60.993145,3.4489474,44.52912,3.5679178,0.20828302,-69.9082,31.804996,85.18947,1.0422955,246.03632
-23.297152,-8.828846,-5.340643,-56.03765,-28.342934,-51.324673,11.897341,-4.589483,-9.981257,-24.009653,-5.1198564,-139.35881,-94.8614,-70.184044,-9.461332,28.104809,5.3683033,5.0255384,-3.3517494,0.35215482,5.7691674,-32.839577,2.7329233,12.100243,-7.7726564,2.7455673,4.3434896,-1.0727538,-8.178531,4.2944627,-0.8507309,1.091993,0.877474,1.2709774,-49.70121,-3.2930613,5.4356556,-62.769615,4.016141,39.78203,4.5200043,0.6351717,-64.02549,35.494186,81.72723,-0.47936997,242.3165
17.312853,-11.61213,-8.960398,19.82464,20.887789,-29.47026,-1.396155,39.636673,-0.28253478,2.02292,-4.689654,-149.20978,-50.633854,-54.902954,-6.865233,24.498177,14.353843,3.3407834,-1.8524995,0.47106022,2.559226,-27.422379,8.614404,10.7195835,2.2928493,4.8679,5.093782,-0.76719856,-8.937411,5.7399464,-1.2857568,4.181218,1.6755601,-9.767828,-14.197734,-9.729535,2.5829144,-54.77156,4.7555203,43.620388,-0.51399803,-0.25094745,-49.553383,50.193245,82.74139,-0.1634859,261.28525
-12.437358,0.30162653,-5.3730536,-8.657443,-13.867404,-41.110374,11.390092,25.620731,22.776243,-5.7139673,-5.524364,14.864984,10.490558,44.3159,1.7305684,35.684364,1.6311985,7.021488,-24.307137,1.3884925,6.3415527,-36.36077,9.110412,25.499392,1.0241678,1.6200862,-7.6434674,-1.3497965,-18.025812,5.0367837,-1.547842,4.327433,-1.0092064,-1.8300742,48.770752,-16.945736,5.4927454,16.987839,7.927019,70.277664,-0.5213847,0.7844011,-10.554158,75.78436,109.46372,3.3072739,289.4865
-2.0179944,-3.6104414,-12.760989,3.4896693,3.9325206,-32.409138,26.483713,23.896698,34.318523,-9.470897,-4.476609,14.387126,0.45931834,35.18547,-13.595854,29.012749,-13.290754,1.8341559,-16.955797,2.0371869,21.250546,-33.177696,7.4736342,26.291622,-6.5641785,3.2249446,-2.0322058,-1.3574934,-12.984923,3.294841,-2.9904141,6.4147563,2.0142715,1.5091325,16.307615,-17.270617,8.290982,9.934904,6.2793374,57.837418,14.770723,4.629161,-20.76823,82.766045,108.33576,-1.0247468,297.14612
-10.451197,16.285698,-5.338334,11.295392,-7.9984627,-35.85893,24.151365,33.20701,21.049185,-16.55726,-1.5443414,18.434647,0.60894513,0.45753288,-12.024947,30.389036,-14.766349,5.5026135,-6.501592,1.8691036,24.324507,-39.7809,14.908521,29.45372,0.7456753,4.7911716,4.1652646,-0.29480323,-12.046287,8.182446,-0.14611796,6.2607207,4.773974,1.8995942,3.5447474,-12.2174,8.505259,26.71356,22.082018,41.17758,11.829921,1.250035,-33.40856,80.26823,112.91181,-0.98572105,284.27106
-8.857582,14.201663,-17.753506,63.02783,-1.4589016,-45.82726,-5.8605165,38.477173,40.714954,-9.637314,-3.7023408,14.32575,11.769713,34.50567,-2.2143943,30.275139,-26.23207,-0.269265,3.7059088,5.084863,-38.510063,-17.234283,-8.954206,40.669796,4.0845766,10.74704,1.39544,0.048216492,-8.571282,8.005278,-1.4490201,3.2451515,3.4023807,-1.3029076,79.72859,-12.503912,22.74721,8.689469,3.49857,56.664368,28.588655,-29.908333,-57.04456,54.94805,72.79359,-0.40806687,288.20352
