"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.002688328,0.0003499629,-0.018452493,0.0015911342,0.00014003731,-0.0071539944,-0.014984775,-0.0054602935,-0.02137638,-0.00070798234,0.0025438352,-0.023561655,-0.0078118974,-0.028572328,0.0038280159,-0.05577014,0.0028782038,-0.008521032,-0.029895615,-0.007963616,-0.005692843,0.010752827,0.0014606385,-0.03112257,0.005534403,0.0003958232,0.0013468456,-0.0009716561,-0.0014761621,-0.0026660755,-0.00030310356,-0.0014055162,-0.0034024082,-0.012725216,-0.04296168,-0.0026603336,0.0015053567,-0.004071011,0.0028056747,0.00042323326,-0.0006823415,-0.0033440972,-0.021283505,-0.0040885317,0.00439032,-0.0048928163,-0.02486304
0.0032527172,0.0006133839,-0.006967385,0.0007160292,0.0007285116,-0.01029313,-0.017448999,-0.001002522,-0.023806863,-0.005804193,0.0029269499,-0.029236678,-0.019012768,-0.037420038,0.0016241246,-0.069849215,0.004209307,-0.008565829,-0.028917613,-0.0065210545,0.00012493748,0.010492792,-0.00022604938,-0.028436327,0.00957271,0.0006959579,0.00047373655,-0.0004167506,-0.0031738507,-0.0040283795,-0.00018170818,-0.0035079308,0.002590645,-0.014254144,-0.030551123,9.262601e-05,0.0002052899,-0.004066527,0.0026905243,0.00094754674,-0.0016979786,0.0037755307,-0.024591591,-0.0044748783,-0.0012495492,-0.0024989168,-0.017659796
0.0040316065,-0.00011704644,-0.013773584,0.0019604624,-0.0018475343,-0.024955861,-0.017438974,-0.0045902217,-0.020219382,-0.0025726897,0.00330374,-0.01953215,-0.007689542,-0.027832728,0.0016412615,-0.049406826,0.0037906726,-0.010746577,0.0052880794,-0.010190541,-0.004784552,0.0077744937,0.00012386279,-0.046129484,0.00093452795,0.0006511434,0.00087722496,-0.00015489112,-0.0017951349,-0.0026330226,-1.3474285e-05,-0.004692465,-0.0008387773,-0.00965739,-0.04248229,-0.0026744492,0.001795952,-0.0059924996,0.0028616225,-2.5079296e-05,-0.0009217062,-0.0040525016,-0.015679805,-0.004937131,-0.009545878,-0.003328656,-0.023300664
0.0035043552,0.00068301806,-0.01097022,0.0010010389,-0.00067691307,-0.017606799,-0.010986961,-0.004902677,-0.022218984,-0.0021775493,0.0029891527,-0.017875787,-0.010126311,-0.033314694,0.0033384925,-0.068779014,0.005234756,-0.012636324,-0.025876569,-0.007390765,-0.006270096,0.007214954,-0.00031650372,-0.029324634,0.010118992,0.00084690226,0.0005882596,-0.0006971997,-0.0010111785,-0.00032092907,-2.5641419e-05,-0.005712198,-0.0045453366,-0.0063122883,-0.037696425,-0.002450301,0.0012780427,-0.004956012,0.002086303,-0.0001653754,-0.0019427582,-0.0027010723,-0.019470844,-0.0048090345,-0.00024408143,-0.0023461012,-0.021815827
0.003467105,0.0007107581,-0.013046329,0.0017297834,-0.00210307,-0.020614738,-0.021064045,-0.005357169,-0.023175977,0.0003275975,0.0035813595,-0.017964525,-0.013328688,-0.039229516,0.0037673218,-0.06184432,0.005812318,-0.011933513,-0.026531555,-0.006645736,-0.0056226747,0.0075405203,0.00055147224,-0.031177476,0.011160365,0.00063092535,0.00082674454,-0.0010809784,-0.00088676624,-0.00040162928,-9.307662e-05,-0.0044125426,-0.0053293724,-0.006364117,-0.02639096,0.002769343,0.0022954554,-0.0052458923,0.0025370312,-5.4094846e-05,-0.0016992219,-0.0028484783,-0.018247234,-0.0046665655,-0.0013916017,-0.0023196565,-0.023808325
-0.0001379552,0.001748623,-0.013823719,0.000867607,-0.00017569479,-0.017048318,-0.015199834,0.008227436,-0.018065734,0.015356508,0.002635408,-0.015958434,-0.008622782,-0.027134096,0.0017643601,-0.0569169,0.002078752,-0.01245183,-0.023177274,-0.008612735,-0.0054084063,0.008163548,-0.0005785733,-0.031851083,0.00802599,0.0011764409,0.001214391,-0.000106439846,-0.0022031276,-0.00033227107,0.00041319098,-0.0018608058,-0.0030835853,-0.007046457,-0.043938797,-0.007963397,0.0024566797,-0.005329644,0.0031304932,1.2280087e-05,-0.00090092095,-0.0016222601,-0.02099609,-0.004778081,-0.002159449,-0.0024118035,-0.017954206
0.0023951156,-0.0010097987,-0.011067676,0.0007771799,-0.0046988777,-0.022418423,-0.052839246,0.0073054326,-0.022257378,0.0015084425,0.0021134706,-0.0055285026,-0.0035606092,-0.02099245,0.003167134,-0.053992413,0.003404176,-0.0031988323,-0.026016397,-0.0037609867,-0.009576583,-0.006127989,0.0017870035,-0.027923267,0.008029997,0.0006231811,0.0022945341,-0.0005206432,-0.0025946724,-0.0024419974,-0.0015130158,0.007716623,0.0024649051,0.0028191973,0.053214725,0.0027011167,-0.0013737977,-0.0038601805,0.0032481048,0.00074692216,-0.0018737493,-0.004092865,-0.011449791,-0.0035678581,0.0021800972,-0.0018735278,-0.013603486
-0.004398715,0.00031402454,-0.018183237,-0.00025988137,-0.0006490655,-0.020421837,-0.020405613,0.008385972,-0.028435158,0.020162923,-0.000188739,-0.002787958,-0.01010899,-0.026454076,0.0033132965,-0.05774935,0.004643992,-0.009017799,-0.027907498,-0.008144916,-0.0071611283,0.002218903,0.00019938759,-0.023968901,0.00979832,0.0005712834,-0.00037465722,-0.0009897198,-0.0018387382,-0.002301765,-0.0007750126,-0.0018478496,-0.0030795997,-0.0053868797,-0.024451222,0.0014602537,0.00064220047,-0.0015702801,0.0043044444,-0.00034769473,-0.0016546734,-0.004566154,-0.024045564,-0.0062239203,-0.0011175806,-0.0025116515,-0.019879695
0.0034938299,-0.0015627139,-0.027702283,-0.0009673603,-0.00079409714,-0.022509845,-0.020722654,0.0022407891,-0.019235868,-0.00050822593,-0.00012389956,-0.0015758473,-0.026924727,-0.024959909,0.0012099155,-0.048190843,0.004814726,-0.007754533,-0.025419662,-0.007011623,-0.013549399,0.004501505,0.0018463102,-0.02344141,0.0071087494,0.00031258407,0.000828348,-0.00066564867,-0.0017213352,-0.0020762864,-0.000550405,-0.0042474056,-0.0067056883,-0.008712355,0.04179622,0.0022723612,-0.0014494323,-0.0017660848,0.0030318338,0.00020453549,-0.0014449287,-0.0018192232,-0.030788781,-0.0045573497,-0.0016657528,-0.001732341,-0.0151855275
-0.014432201,-0.0075916946,-0.018441586,-0.0028607636,0.0007112494,-0.020843739,-0.013447183,0.01279832,-0.019444633,0.015136332,-0.0042093415,-0.0043075806,-0.009882205,-0.021585286,0.0031678388,-0.05683417,0.003860895,0.0021627855,-0.02425254,-0.012553526,-0.0047999537,0.017109556,0.0007233643,-0.030114813,0.0061396356,0.0010346115,0.0012192649,-0.00076296687,-0.0017869779,-0.0011555775,0.00043056422,0.0013877392,7.9747e-05,-0.004509345,-0.043925058,0.00068922853,0.00016388233,-0.0037195683,0.0042770496,0.00033663877,-0.0005262629,-0.0024578152,-0.02255837,-0.004803223,-0.006042031,-0.0031531686,-0.02377037
