"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.10695981,0.41888362,-5.177021,-0.62458265,-0.435882,0.18740013,-0.25325814,0.11689064,3.7197337,0.4085581,0.00044217642,-4.740173,-0.50156075,-3.462821,-2.4202936,-2.0288432,-0.7418118,-0.47687817,0.21585885,-1.4119325,0.5513925,-8.314782,2.19722,0.013771258,-1.3597862,-1.5113003,-0.23933885,-0.31723127,-0.9634731,-0.21820275,-0.14239681,-4.7118964,-4.8846774,-2.035608,-16.893888,0.24526314,-0.43470642,-1.0263133,-0.14060003,1.4408956,0.16700329,-0.40511262,-6.53514,3.0564294,4.656722,0.2658288,-1.1532296
-0.18265252,0.11873415,0.5654389,-0.22000478,-1.9660404,-2.3487701,0.07788236,0.027353078,1.8157126,-1.2998966,0.2132208,-7.175898,-7.6298385,-5.150236,-2.7587984,-2.285496,-0.55331177,-0.6646056,0.14293644,-1.0408369,-0.31544647,-8.753445,0.15577751,-0.4400561,-1.1928346,-1.3910248,-0.19742496,-0.2469032,-0.8204049,-0.19768794,-0.18972465,-4.4607716,-7.228495,0.6506704,-9.407886,-0.03503243,-0.67027617,-0.82590145,0.016041206,1.4143057,-0.4322953,0.34723628,-6.8470125,4.5437617,2.936685,0.14526838,8.3912735
0.13612679,0.23323369,-2.7853355,-0.23601314,-0.49442628,-2.0985107,0.064403884,0.1557258,4.3391733,-0.010800624,0.2200818,-3.3101559,-1.4363537,-1.2591754,-0.22969612,0.4626072,-0.4813746,-0.12213547,0.29267207,-0.7231192,-0.39789882,-6.737716,-0.49762568,-0.46877092,-0.24020489,-0.42270452,-0.32148352,-0.38554993,-0.31376442,-0.049141105,-0.10743327,-2.821066,-2.5922482,-1.3269502,-18.857462,0.02999799,0.279067,-0.7754186,-0.17077881,1.4658092,0.36373898,-0.4180663,-10.724934,-1.9333566,-0.2391383,0.09160126,-0.5392427
0.07816166,0.16915104,-1.4963808,-0.6639499,-1.941989,-2.5543222,0.5090483,-0.08592549,2.9127388,-0.18690686,-0.21611652,-4.0500216,-3.503865,-3.9932654,-0.25268316,0.43084693,-0.50653344,-0.45094198,0.20014085,-1.5305462,0.59137434,-6.972383,1.6066264,0.4012404,-0.74284333,-0.38399702,-0.66798085,-0.3223845,-0.9621235,-0.16124402,-0.025020497,-5.425128,-3.9971995,-0.39531475,-10.98688,0.3754931,0.25968325,-0.9404617,-0.1385262,1.5240852,-0.11769177,0.13658608,-9.474084,-1.8498967,-1.01466,0.09173643,1.3226038
0.1560666,0.15222518,-1.7956667,-0.7573872,-2.2861571,-2.2574284,0.6574178,0.13499475,2.2404602,-0.04604442,0.65816516,-3.1825368,-3.7831259,-4.133498,-0.078104936,0.54190785,-0.2489856,-0.43957698,0.10505508,-2.1989408,-0.30225813,-7.316757,2.4294503,0.37992918,-0.8716444,-0.36165208,-0.47679698,-0.37631342,-0.9518454,-0.15523385,-0.11131874,-5.1931562,-5.2492123,-0.043759894,-10.184571,-0.30138853,-0.10315739,-0.85710704,-0.11371148,0.44726053,-0.0988242,0.24034877,-7.9246135,-1.4466451,-0.9614506,0.114760645,1.468506
-0.27853054,0.12733106,-1.7638849,-0.35665184,0.18405475,-2.7597063,0.40886796,-0.74422026,2.310482,2.7345974,-0.093185924,-3.6635394,-1.3354071,-1.9000015,-0.1342967,0.6171317,-1.0386906,-0.28649217,0.13628542,-0.12954354,0.968077,-5.4901366,2.3229384,0.33403495,-0.73223054,-0.51733756,0.45642114,-0.4321406,-0.4201959,-0.094150074,-0.15241192,-5.9119186,-3.7142375,-0.9927376,-19.248005,0.28940916,0.07899755,-0.7930496,-0.3272118,-0.8937341,0.11541842,-0.49248064,-8.581966,-1.1389815,0.09183287,-0.0014504846,0.44027323
-0.8047067,-0.38451788,-2.251048,-1.3832103,-0.919703,-6.3523555,-14.995884,-0.95548177,3.5367086,-0.2825707,-0.18961911,-0.36511388,-1.5825758,-9.209901,-3.0921805,-6.3096094,-0.9710147,-0.49433324,-0.34314337,-1.7227829,0.54089576,-16.96266,1.7452704,-0.57407635,-1.0982763,0.13840948,-0.8678,-0.7285575,-2.9196064,-0.48954475,-0.45100585,-1.2851655,-9.774906,0.65274763,16.25382,-0.4729659,-1.2823019,1.1795402,-0.26625684,1.2157588,-0.18502985,-0.118678994,-10.128371,2.3610945,3.452341,0.018793035,7.1843696
-0.5293336,-0.29184267,-2.841668,-0.25842413,-0.94708985,-3.043612,-1.8667476,-0.81353503,-1.4770119,0.57251024,-0.26213068,-0.5389446,-2.5178916,-2.4859412,-0.13344768,0.7751484,-0.4183212,-0.30679116,-0.41335583,-1.5421968,-1.5263815,-11.410138,1.3122097,0.69925815,-0.32097557,-0.5809346,-0.4113745,-0.09239008,-1.1540906,-0.035655495,-0.16136017,-3.1304963,-3.3466322,-0.21832757,-13.8605995,-0.33655798,-1.8643826,-0.3919101,-0.11292285,1.6953995,-0.5146785,-1.0069777,-9.634771,-1.1750818,-2.0391443,0.09762366,6.881942
-0.2781127,-0.28869176,-3.733835,-0.90517914,-2.8537674,-3.3730702,0.32895482,-0.64991766,1.606021,-1.6345834,-0.22977586,-0.28175196,-3.5543005,-4.686925,-0.31391048,0.7060935,-0.5053711,-0.29103816,-0.48063692,-1.3924392,-1.3069459,-13.308618,-1.1952468,1.625528,-0.16498667,0.40063706,-0.48056266,-0.23023564,-1.0981884,-0.09346111,-0.35406557,-3.8355794,-4.3089676,-0.16215926,-12.701841,-0.27436966,-1.4167662,-0.09553492,0.017119149,2.0695808,-0.5636234,-0.11024238,-8.952448,2.4164639,-1.0162585,-0.07310159,6.0898237
-0.26055717,-0.37971237,-2.791338,1.6627021,1.0978328,-2.5289416,-0.7070216,-0.94516844,0.111195065,-0.33882496,-0.63193816,-1.6522557,-0.8866214,-1.439006,0.20346335,2.1537051,-0.15607412,0.14161271,0.49715176,1.9746053,-2.6255655,-4.59292,-1.8571591,1.6272924,0.7586994,-0.6543405,0.7948774,-0.27153417,-0.31470498,0.010595786,-0.18955547,-1.5698102,-3.1585479,-2.7126043,-17.024014,-0.23582982,0.18826786,-0.28934142,-0.19597279,-0.8004932,1.0417868,-1.8606222,-10.708375,3.8048253,-1.1864115,0.048256025,2.3064823
