"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
41.712032,14.650863,34.6388,174.7321,281.89087,24.998123,96.230095,56.198364,-54.84922,0.5244053,-26.363443,509.35318,435.8271,270.2589,115.04393,-367.23407,47.125927,-8.652798,-17.775341,-84.83739,-106.1608,29.71473,-40.34936,19.115847,-59.688274,25.06477,2.4630053,-4.4871235,43.73111,-11.000251,2.1761792,204.35487,90.85754,101.295,-106.10623,9.62276,23.952032,174.96114,191.66368,-11.296008,36.768356,-4.425134,-18.462177,-29.967863,-6.762102,-10.70737,27.348272
79.84873,0.30430415,51.64005,115.14188,231.18166,93.43443,20.06451,62.86342,2.4031672,-38.492065,7.5410824,543.1496,1023.91815,671.6923,91.74227,-113.356995,53.709106,-60.26568,7.235291,-178.07889,-58.710537,20.511055,-34.427284,98.54703,102.29644,9.513702,4.1662955,33.69065,77.35432,-5.8617787,11.335115,53.08597,-37.293514,173.77022,82.25682,70.987495,98.563446,41.07868,241.05632,-0.9081562,-42.19394,-237.05048,59.02393,-21.78473,2.4892633,-22.302683,-6.772468
50.78366,24.014864,64.79178,191.07109,323.30234,-24.227798,563.5322,27.916826,-46.336826,-48.42011,8.94086,372.86057,967.2097,518.12933,113.29933,52.54922,-56.195705,-13.1857395,-24.33686,-18.755022,-81.85674,-74.41717,-66.45084,61.519238,-73.831055,-15.325295,-14.109775,37.573933,28.728428,-8.080872,7.950576,233.6241,74.20683,147.24875,-203.83273,17.042599,21.037333,244.89694,203.54735,-35.569504,12.876498,-17.27761,24.114067,-21.423208,-147.96481,9.146907,-32.124504
37.336967,15.175359,66.81209,154.96811,301.36002,28.708887,-15.682963,78.27264,-42.43057,-29.155096,34.244015,474.5875,874.7029,510.66968,94.186806,-125.046936,99.85588,-53.157578,2.1858776,-56.255013,-99.416504,-3.6518748,-38.4787,54.60769,3.8474364,0.5314462,-19.004305,22.084768,70.65629,0.28460655,8.800131,209.01935,81.57676,123.99,-24.63166,7.306823,32.65274,178.39235,222.56142,2.1510053,28.151812,-15.929501,55.606518,26.396633,-13.09355,-12.871001,23.520075
35.22157,9.635799,65.0806,150.9406,292.2624,16.957724,114.028725,19.514597,-10.739301,-26.979671,53.254257,431.85315,964.9396,507.1886,96.84193,-98.93851,65.71114,-43.185535,2.6437087,-77.79897,-94.74187,11.450865,-49.9194,42.37976,4.526863,-1.1291,-15.739322,60.976276,68.58237,-10.141568,7.266602,205.62785,44.842,146.54822,-42.66121,-38.76051,47.017506,154.65425,222.74043,-0.2143882,-19.708963,-23.37181,21.883673,20.110792,3.9607158,-20.770164,53.19879
28.243956,37.693386,67.44611,-41.918,56.82052,-44.67308,348.9935,-10.996928,-69.75204,54.59422,-75.645775,430.48776,918.2384,488.0119,120.50742,-91.36845,71.84386,-20.478523,-29.588127,-23.752071,-108.45793,20.88632,-42.746765,46.442177,2.9328454,-1.5805323,-16.894403,32.770065,56.704033,-11.647082,6.599721,139.35657,133.52159,176.13615,-239.61993,55.545895,55.004658,174.35461,198.36496,14.06308,4.7592735,6.69196,10.866256,18.342768,30.341356,-21.50506,9.68308
42.482903,3.8857431,45.027718,24.782799,219.68063,-28.786476,30.952873,-2.5243866,-64.28167,-20.75713,6.5761824,-32.128223,392.97955,308.93228,81.38175,-122.53121,33.00986,2.9144592,-12.043757,-100.799644,-134.19307,-73.994644,-47.3021,-43.179256,-50.32456,2.7593994,-8.27313,16.865664,82.52347,-6.0252905,-11.72239,-54.77643,-62.034496,66.308365,-164.09608,14.199431,78.17348,-33.50319,205.02013,-5.3433065,-55.13564,-43.093967,-46.672672,-24.582909,5.212788,-29.399565,-5.209515
-52.19812,-1.8026433,25.55817,-24.51234,140.00343,-76.35362,-7.449622,7.7229433,-53.642586,18.730434,-17.466927,-36.232407,449.02924,221.10828,80.85671,-53.849953,28.544655,-5.3436556,-48.894196,-58.57776,-52.34306,-16.532385,-64.928665,-11.881758,-61.222122,-6.758342,-2.8738291,6.329689,57.62577,0.6038114,-5.213035,-12.704102,-23.666502,37.308903,-195.46309,31.103302,75.13348,-93.16327,153.38942,0.39107737,-10.700142,113.28124,-22.91074,-31.278683,-5.161799,-28.76993,-12.7348385
36.556847,-3.8696284,19.392015,8.978989,191.39865,-51.018333,-7.7816076,4.2931724,-65.83756,-101.12205,-34.36135,-42.053387,416.7156,367.99356,74.51032,-84.91277,20.460638,-5.188076,-36.34524,-55.621914,-73.41708,-36.478096,-61.882786,-18.883991,-65.76424,-5.020909,0.12283047,6.999,35.345795,-9.979005,-11.208163,-23.200117,-27.34246,22.460321,-84.08587,7.8247523,63.71318,-81.90671,203.36108,-10.176494,-11.158245,4.414917,-16.158022,-39.862244,-0.7921491,-17.368116,-13.716734
-90.94722,-30.818838,51.701256,-67.005615,58.578117,493.62567,314.15836,-65.06441,-50.44933,44.17635,-23.524672,-49.37369,382.35562,291.1556,129.66487,-68.645,-17.14264,-3.133881,-67.42228,18.247,183.0651,119.13418,-53.475925,-23.949406,-27.044035,-8.084455,-71.08031,-12.420898,24.355867,-9.653963,8.168356,135.71965,80.78737,4.687376,-409.84387,73.38297,14.459724,-120.62576,173.62527,7.920612,-19.635735,44.178474,-30.89883,-12.743875,-74.09828,-126.919655,-83.115715
