"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
10.57909,0.34334272,-22.667492,40.506485,11.5041275,-8.503082,-46.059387,-65.190926,38.37639,18.709852,2.145044,-21.64654,16.871544,-1.9405282,14.275334,-101.49565,80.493576,-2.6046097,-0.058663767,-2.3232913,54.628056,39.67185,5.3082147,-33.361065,-2.4284322,-1.9941093,45.394077,3.1258204,18.648413,-3.5834618,-1.399494,2.3418667,14.067695,-0.13210271,31.89126,-3.2175882,-24.861012,19.023766,8.926593,11.765204,-0.70122385,-0.3153783,-16.962996,-5.008548,7.196833,-24.699757,-16.81131
11.282954,0.87394994,-9.177432,36.84716,-0.17353024,-18.466175,-35.744804,-51.78271,57.748398,8.977939,3.2504265,-19.161158,24.471657,-4.322959,12.026676,-39.005085,59.08492,10.240886,0.7220262,-56.08077,48.852985,38.63006,1.8892218,-15.861686,33.233585,-1.823321,65.768486,5.502182,9.080633,-2.1410718,-1.2976161,2.9344351,-1.8031185,9.0876875,38.534477,4.486704,25.730398,-0.11630557,58.806694,22.949581,-13.804744,-3.0554783,4.824432,-4.3609624,-0.21088217,-19.445139,-18.432178
23.898937,6.5644164,-11.484078,5.736876,-1.1015044,-12.143995,28.514582,-54.98277,34.21884,-10.817536,-5.5343413,-29.720497,40.136147,2.954506,13.827276,21.81374,36.198296,-8.428314,0.04027139,-21.314127,31.560234,55.419586,10.613933,-56.82373,-40.951347,-7.3100142,-19.995583,3.472979,2.4373236,-4.051709,-0.26004934,10.013489,11.726277,-1.725145,22.782898,-11.208069,-36.98836,1.8831753,10.3265295,16.070585,-13.405259,-23.33671,-14.938168,-4.6704674,-36.99126,-24.147976,-19.49364
8.362987,2.147582,-8.264404,33.85639,-1.6136209,-14.105266,-34.02768,-63.385372,67.25616,11.504518,3.3748436,-18.854073,38.49122,-2.25383,13.119847,14.894186,44.429806,1.6450328,-0.3521317,-9.70156,51.70843,36.500946,4.7298083,-13.420057,37.063835,-0.58083,65.21073,5.547545,3.3848326,-5.3214417,-1.0713664,2.41366,13.767156,0.98468214,24.041216,-7.686092,-22.275433,19.150835,17.150686,23.745617,-11.126945,-3.9968822,-1.1012561,-5.6142883,-2.2251728,-19.973398,-16.892027
8.619955,2.8817282,-6.029056,25.215652,-1.4875784,-14.555545,-35.720142,-36.33375,63.904964,7.978039,5.7225575,-11.546393,30.699587,-2.4332767,14.876725,16.597101,45.5702,-4.225358,0.7207877,-18.932894,50.54839,37.72618,9.57867,-16.644156,42.24021,-2.4318995,64.20522,5.573633,3.4213512,-3.4826136,-0.66773576,9.347724,16.088951,2.7606747,20.973959,-3.9432044,-14.633702,17.71367,14.047171,19.504623,-12.852106,-4.618003,-2.8937306,-5.2763414,-3.3557587,-19.751436,-18.191223
5.1125827,9.976279,-12.574694,-8.900707,-0.14884607,-16.898153,4.266203,35.455837,54.02248,19.959349,-0.15266632,-34.222343,25.581804,0.6285149,14.95681,12.812159,43.542835,-0.34054253,-2.7329583,-39.19246,-15.500251,55.04878,6.937026,-2.4947042,47.733723,-2.3845105,56.636894,-0.95016503,3.94176,-7.363267,-1.2711341,13.217387,12.642565,-0.669336,20.45463,-6.977876,-14.050064,15.031435,22.00237,14.431435,-18.83034,-8.380311,-6.9178505,-4.3518662,-6.6975446,-21.621239,-16.33984
8.5203285,-2.3537056,-5.3658895,1.8190514,-1.3023117,-24.57704,-38.490353,60.82119,43.88055,14.855473,4.189828,-24.857147,32.846615,-6.277363,14.863043,15.8368845,50.58688,-5.0232954,-14.2507925,-57.20725,-11.154981,41.336655,8.856582,6.6869187,40.613117,-1.3858869,65.05085,8.841702,1.2513999,1.5077279,-0.22981323,-4.41971,1.0249453,2.4006228,-4.400236,-2.7099216,21.652388,-16.85016,55.883987,10.170774,-16.724262,-8.011354,-19.619087,-2.7919278,-0.7771506,-17.831692,-18.6236
9.751151,-4.1223245,-8.428252,9.821877,-7.81917,-16.11624,-20.740095,36.097416,36.509502,11.011159,0.88403755,-27.327387,23.74194,-6.619662,19.056555,9.584477,33.91586,-2.4497845,-2.1352699,-26.996002,-25.950106,41.896996,-6.753128,6.5380282,33.834137,-3.30616,45.94495,3.9758356,3.9161603,0.7477969,-1.7176303,-1.5410587,-1.1584849,6.740319,20.327164,-3.7815711,9.147799,-12.770733,44.232235,17.241568,-11.592855,8.573946,-0.025565803,4.146802,-3.1752162,-18.484167,-15.342986
15.992432,-3.0395346,-7.3784957,1.3181283,-2.2794473,-8.072075,-25.076298,19.42924,46.859764,6.599198,-0.7148186,-5.0712457,35.027718,-8.690959,18.735453,3.835799,30.695904,-1.8490962,-2.241048,-24.006386,-15.7005625,46.378162,10.543213,7.5964217,38.47412,-2.5539804,54.830635,4.9040823,2.4492393,1.0839039,-0.28122172,-0.8322889,-1.3738358,8.563059,-1.0765198,-4.308051,14.231598,-14.126499,49.125523,16.215902,-9.340388,-3.9685786,-0.6145982,5.069794,-2.8642886,-15.793785,-16.649097
-21.34201,0.9378385,8.702595,-11.160772,4.8554993,-11.5715065,45.602654,74.788956,43.413895,25.31123,7.2259545,-20.198532,39.193905,0.19921507,25.464243,30.03073,15.178695,-3.7726314,-10.24067,-1.9351549,-6.060051,42.561424,9.256118,4.6719346,8.347926,3.4810433,17.091219,-2.8772519,-0.25065494,0.91064507,-0.5306667,12.187428,12.984298,-0.4704136,1.0085242,-6.313875,-0.8714844,-19.779806,48.26035,16.068136,-59.72301,24.776115,-18.61636,-1.8312994,-2.2140014,-33.362507,-80.04182
