"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.5600344,-0.10656382,-1.3343192,0.30435455,-0.16606273,-0.042794425,-1.5748606,5.077731,3.732959,0.2246437,-0.8899469,-0.39153194,0.2529092,2.1668794,-0.9058367,-0.119722664,-0.5143189,0.043331675,0.16883375,0.21137397,0.44166192,-6.790791,-0.24951425,-0.018147867,0.07673538,-0.09473115,-0.8806105,-0.04002693,-0.6878943,0.0027083575,-0.08164772,-1.4553291,-1.8189709,0.1821303,-10.011604,0.51293737,0.72651654,0.7971197,0.8259393,3.0536985,0.078600846,-0.098630115,-7.3515763,6.4282446,10.575448,-0.9940389,21.415241
-0.56204426,-0.20060872,-0.9311612,0.30434367,-0.5318484,-1.231259,-1.9551271,3.3698962,3.6531107,-0.35336003,1.9051,-1.927965,-0.012491252,2.2934608,-0.025317755,-0.12671532,-0.33153996,-0.09843456,-0.47166365,-0.13459471,1.5817158,-5.2353373,-0.26693204,2.6222444,-0.37903443,-0.24314983,-0.46956035,-0.36100376,-0.9257891,-0.055551812,-1.5294391,-2.6063035,-2.3004723,0.023969537,-8.444649,-0.30750865,0.23816073,0.19990896,0.35589907,2.8648167,-0.0756206,-0.10053731,-8.152465,8.462107,12.374701,0.67447895,20.751139
-0.54077417,-0.29560697,-1.3680286,0.2806316,-0.36695436,-6.1076984,-1.825014,5.389961,2.4293773,-0.86293465,0.5171493,-0.555807,1.1001556,3.787078,0.48977783,0.35249436,-0.57614017,0.035146248,-0.02321338,0.40126574,-0.89878595,-3.9743857,-0.065721855,3.0979993,0.25100613,-0.16063385,-0.9920895,-0.026481286,-0.3094738,0.026336139,-0.16142854,-0.8787479,-0.1893645,0.7012785,-11.933656,0.3934716,0.7154306,1.0852717,0.10900745,3.4169912,0.09450904,-0.38114557,-4.0218883,4.05837,8.265709,-1.0328398,19.475943
-0.5865429,-0.2747411,-0.9623106,0.2999948,-0.19332974,-6.3652816,0.24573004,4.5573134,2.7648795,-0.28620285,0.46339938,-1.5377839,0.41220373,4.195651,0.2376836,0.63270056,-0.3339315,0.3711818,-0.23094329,0.23476897,0.6311004,-4.771957,-0.3089821,2.077566,0.45129204,-0.26694578,-0.35976672,-0.31521112,-0.5325902,-0.1557444,-0.5923017,-2.4253426,-1.7298787,-0.021400576,-3.4882376,0.36349404,0.1780881,0.6976448,0.08477044,3.0344985,-0.13303488,-0.012842377,-11.276641,6.1013265,9.058286,0.88791287,21.515053
-0.59927285,-0.15006162,-0.94094515,0.43052644,-0.40540817,-4.2108006,-1.9459163,4.4976416,3.15643,-0.3420764,1.3686008,-0.6452073,0.19535801,2.1954768,0.53362364,-0.32799652,-0.36548525,0.3130945,-0.41623157,0.2167403,0.47715795,-4.800373,-0.21360125,2.8806329,0.43425867,-0.25519574,-0.2768134,-0.31922904,-0.519179,-0.029201359,-0.5735599,-1.969358,-1.865168,0.06923005,-6.887972,-1.1089864,0.21431768,0.8664654,0.105015,3.1023402,-0.12493798,0.19053711,-7.500212,6.6876736,8.140349,0.95397943,20.951262
-0.73172957,-0.31614143,-0.74196947,-0.19248979,-0.06446386,-5.273606,-1.8720027,1.6962322,3.0111148,0.39065117,-0.039623428,0.0009066038,0.39624313,3.5360806,0.07914633,0.47637498,-0.2226981,0.10523155,0.12308008,0.18379328,0.90075475,-4.8947964,-0.27346876,2.4278018,0.16488475,-0.23714675,-0.9620547,0.0054448196,-0.38218164,-0.018732382,-0.25069946,-1.9714973,-0.27378842,0.5334831,-8.278999,0.3364953,0.66106015,1.0002753,0.025621789,3.3337252,-0.08100052,-0.25369683,-9.803276,4.8867197,8.799504,0.6010139,22.230457
-0.8991079,-0.23007935,-0.52271444,-0.37354973,-0.1266972,-9.321318,-6.9194903,1.05322,2.6869953,-0.23437998,-1.0985013,-0.34082383,0.10972775,1.9725212,-1.2476286,0.4190942,-0.6198344,-0.1493988,-2.7893777,0.17872012,0.10652259,-14.610093,-0.23881748,2.4501917,-3.8686612,-0.18283314,-1.2556884,-0.553216,-1.4763485,-0.18406422,-0.01989841,1.3719329,-0.6159272,-0.54936576,7.1527233,-1.442718,0.114737906,0.13205737,0.116225705,3.5692205,-0.1431065,-1.0373286,-2.2139497,7.840965,14.4051485,0.5643622,21.5361
-0.9861612,-0.084366664,-1.0179837,-0.55300397,-0.058360852,-7.831653,-1.8400964,0.8550573,4.873138,0.095812105,-0.38316685,0.17356452,-0.35718837,1.8705124,0.1761152,1.608146,-0.27934295,-0.013786645,-1.914781,0.123916544,-8.85064,-2.5423474,-0.12847565,2.5977442,-1.799695,-0.1335209,-0.3737652,-0.5455207,-0.9784557,-0.027427832,-0.064006396,-1.4585314,-1.532393,0.37774825,-1.0741854,-0.8914897,1.079779,0.26088488,0.39639163,2.4363923,-0.13352127,-0.55366194,-6.952934,6.098032,9.209987,1.1156676,21.56797
-0.7447297,-0.22009857,-1.6436412,0.06725555,-0.3325949,-8.492399,-1.0313616,3.1819234,5.062374,-0.22523683,-0.49194342,0.29913163,-0.12218846,2.093315,0.042617135,1.230746,-0.28175145,-0.019629164,-1.7970176,0.13478087,-11.368712,-1.6725584,-0.11834535,2.4993432,-1.4929469,-0.20296799,-0.40784833,-0.21652173,-1.0115527,-0.046355695,-0.06934791,-1.4817684,-1.319917,0.3301053,0.3335703,-0.7054177,0.7982103,0.23235644,0.30313742,2.0421684,-0.15265912,-0.6776102,-7.242464,6.3991814,8.661842,0.7933013,21.270527
-0.9131606,-0.6799732,-1.218152,-2.5253968,-0.6364816,-5.0180154,-1.3758751,-2.9191442,7.29145,-0.00968907,-1.1523832,0.14609182,0.021244425,3.0160828,0.86201346,0.661628,-0.105468586,-0.17369936,-0.7492794,-0.25138247,-6.1672177,-2.3077996,-0.19469035,4.252796,0.39098445,0.085656814,-1.0724216,0.010455355,-1.0157859,-0.012311011,-0.11331582,-0.41689926,-0.80089384,0.14408198,-3.9001272,-0.19867511,1.3035808,0.40013275,-0.112047054,3.5166376,0.16079623,-0.10956389,-11.014676,5.797642,8.59457,-1.3720505,21.664818
