"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-4.3449335,-2.4232361,3.1548314,1.8242397,24.361702,-25.400732,36.83514,34.685062,-2.6995323,6.427815,-3.7133815,55.045696,63.8423,29.850643,17.369469,1.5075309,4.297634,0.3619689,-4.947273,-3.1941237,-10.837835,11.125937,-11.036242,73.52132,-4.477677,-0.7355195,-9.904506,1.3243752,17.488457,0.8590135,0.6251565,40.43428,41.947453,23.106522,17.458647,-0.029259259,1.6384615,18.063196,16.465818,-5.026624,2.3386917,-0.15721498,3.305836,4.227823,-2.9912431,1.43934,24.363066
-2.0502207,-2.5673108,-2.9660652,1.2906243,26.352396,-26.179075,41.645466,43.717476,-2.0109842,6.537439,1.5151126,49.06447,77.06062,70.50697,14.061598,-1.2743526,6.2212796,-2.2511175,0.44946557,-5.1951013,-7.638604,-2.2798254,-8.551021,88.201866,-8.322612,-0.5476585,-0.8263043,0.52442867,26.54348,1.3369764,1.3029994,9.855589,-1.7376341,9.823449,40.61567,-3.0615046,19.308199,13.304105,31.811607,2.0574627,2.6997948,-10.16497,21.303589,4.426625,0.19412056,0.0054544625,25.15978
-4.9118733,0.42003942,-0.50867796,3.9000926,23.037193,33.099163,45.719524,50.611477,-2.9087908,2.879377,-0.31586066,41.205555,71.529686,62.87215,18.075062,-1.5950855,2.163232,0.11534982,-2.344326,0.11434081,-7.2080436,3.9251168,-9.70481,77.563995,-2.0149884,-1.0304376,3.7804601,1.5540838,18.631159,1.035379,1.3387591,35.251072,45.223133,16.841312,21.183523,-0.17565383,2.0256157,14.325327,17.205393,-3.1074505,1.7054113,-4.0750065,12.379476,2.165881,-3.7248042,1.0012038,26.722775
-5.613283,0.113174915,-2.4225686,4.722308,22.804058,32.18261,32.746754,62.47344,-3.1152267,6.9370694,5.230264,46.28667,71.670525,64.11024,15.02047,-1.397124,1.7460958,-2.7148283,-0.5411386,-0.5924313,-7.7326617,2.1347418,-17.131159,77.92036,0.13261671,-0.46047774,-4.6904,1.2037387,19.114393,0.9016746,1.0998325,36.599796,40.593094,12.858095,22.779978,-0.6164236,8.340725,20.603495,24.17559,-2.5561001,2.6080253,-5.266439,6.766359,3.2235878,-0.92480487,-0.7753103,24.855013
-6.371841,1.1853855,-1.7117678,5.537131,26.157833,30.203012,44.28883,55.3341,-4.592237,6.7987413,-1.2952089,42.184845,78.36446,69.099915,14.7281,-2.1972268,3.4733052,-3.126301,-0.1958824,-0.8387739,-6.3009863,3.2400386,-7.4417486,80.10773,-3.459661,-0.998069,-4.3711214,1.5762231,16.264416,0.9855868,1.9828211,28.758545,39.302635,7.5025115,24.10915,-3.697765,8.1837015,18.108217,23.432983,-0.13303263,3.0671968,-5.204022,7.2687583,2.6591382,-0.70865476,-0.87949246,24.735384
-3.8306124,0.5350965,-3.0413134,-5.4919143,15.265447,11.670987,43.301674,-7.429101,-2.3903868,7.163152,4.7148223,44.752277,64.80926,67.317635,14.697399,1.6130458,3.0566792,1.7571328,2.2294173,-2.2304375,-3.4100091,6.5337725,-6.938594,76.17764,-1.534346,-0.71731985,-5.968623,1.3333663,12.15377,1.3412979,2.7350757,27.491764,39.972157,21.671848,24.052683,0.2740817,7.129287,20.888573,22.779707,0.4335328,2.9409435,-1.6759646,10.7112465,2.9300885,1.1848089,0.32156,27.760006
-4.3319983,-3.8456876,-1.4814774,2.0937185,20.742579,38.380653,43.40497,-21.667015,-1.9520787,4.203881,2.1351457,3.0389051,39.657055,35.11015,7.0429707,-1.3467422,2.261023,-0.3300715,2.0514724,-2.3551722,-3.4453454,17.363924,-7.701972,58.274742,-10.646186,-0.11357787,-10.579461,1.8044609,10.682329,1.0252179,2.5654268,-13.18764,-21.600697,0.20814078,-34.208275,-4.535414,5.8959684,-5.678189,24.189676,-2.40058,3.022007,-0.7181169,11.461242,2.5483131,2.892365,-0.046353895,18.147888
-5.932578,-6.253583,-2.4016397,-1.5079598,22.364794,19.246557,42.896458,-20.554565,0.29165345,5.08193,-3.5080194,-2.159352,29.30124,34.638435,7.355786,-2.103174,0.4380275,0.19433892,1.7043799,-3.9545226,-2.4533007,3.901198,-9.178157,60.06883,-10.280553,-1.7141238,-20.147478,-0.35761848,8.648455,-2.0711846,0.17941223,-0.6299947,-17.321095,5.496456,27.450338,-5.2875566,12.9106045,-8.3010845,22.69318,-6.1203475,0.48317036,2.1753507,14.679498,1.793055,-1.5222256,0.21724024,18.813782
-7.365165,-3.4631436,-1.8449961,-1.5048966,23.831635,37.23722,28.567238,18.207966,3.857333,5.0062056,-3.4075143,-3.7923396,27.838346,59.356884,7.8734818,-1.280401,0.7883772,0.459384,1.4787923,-1.1040188,-0.7449728,3.9979222,-13.247061,60.88503,-12.790245,-0.8457675,-15.808569,0.12651853,10.80626,-1.3463593,6.9371943,-9.648184,-8.191133,10.667074,23.03216,-5.2684917,9.937623,-9.9652405,23.146912,-6.1688423,0.849089,-2.5993881,17.055048,2.4450095,0.3305511,0.2746027,20.7613
-6.3501835,-3.605596,-4.7749963,3.1340141,14.64177,46.445663,49.260483,-56.15326,-18.19617,7.4656296,-1.3996359,-6.214533,32.24472,30.345116,7.889853,0.7233664,-1.8734585,-0.040158,-0.91300696,-7.5390058,3.2811728,-1.0552816,-3.9268656,59.44944,-1.6786011,-0.60893935,-23.283136,-0.5123469,-2.3836074,1.0307508,0.747673,20.138453,33.30102,15.728144,9.917,-6.1879225,0.7904902,-9.651468,17.656765,-3.1605089,0.6095033,0.58297026,4.690827,3.9551907,-7.052715,-0.6553904,11.617271
