"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
9.939241,7.022605,-28.466604,2.0910926,1.0134201,27.507927,-8.607605,-9.024739,-9.394128,5.3538713,4.9570746,-21.16719,-30.802727,-7.5352197,-1.6254196,-8.977318,2.4309826,-2.59548,-1.8298324,-9.100777,7.0370965,-3.8409746,-0.33014634,-2.7259824,-18.459812,-3.7424855,3.3977444,-0.03900907,9.506399,-1.6036311,0.6420096,-1.1937013,-0.06477384,-27.954224,-35.45671,2.0644526,-7.0889015,-3.8953748,0.26478466,-1.2126228,-4.41629,-1.4389454,5.022753,-0.7119106,-0.9133296,3.4109077,-15.318374
14.374555,5.1039352,-3.4501522,0.14753291,-10.901807,18.4182,-12.575577,-8.244018,-1.9031336,4.45421,4.482765,-28.03382,-19.920355,-7.346547,-2.1533437,-7.3192244,-9.324912,-11.020351,-5.640758,-7.2895837,-3.2299209,7.3753695,-1.0485328,-6.6017447,-15.086338,-3.2252533,0.10190921,-0.07846959,3.097394,-2.1559894,-3.6536582,-8.456311,-4.307051,10.151725,-39.865406,-0.3857602,-9.957824,-4.2402964,-0.73056626,-0.6583833,-3.630457,-3.6015847,-24.258343,-1.4623373,-0.9594048,0.24833944,-9.498805
9.645037,7.598137,-18.333414,7.0848293,-2.4204638,-21.472092,-9.350183,-12.336723,1.8416383,3.1684384,5.578319,-15.268286,-21.561708,-2.4222143,-1.9713994,-0.9064443,3.985987,-3.666702,-2.019967,-5.3062086,3.8808699,-7.2979403,-0.56227493,-9.952612,-19.98408,-1.2854708,-0.43338376,-1.1496251,2.9120035,-1.2252234,-0.8599553,-1.3181963,-0.23755118,-19.030962,-30.922222,2.1247883,-7.052915,-3.265537,0.9868991,-1.3778515,-4.0700107,0.118904576,-13.047445,-3.0402837,-0.789032,1.6423703,-21.733934
13.747306,6.2620826,-17.847563,1.940748,-1.4511038,-19.885803,-9.606062,-11.762078,-7.016549,4.0673137,3.7016182,-16.277193,-24.626736,-3.421235,-2.5926034,-3.4383678,1.2285903,-4.3830976,-4.9024267,-11.350868,3.4991136,-1.7468833,0.09296809,-21.417469,-17.641306,-1.5671128,3.4906988,-0.09200718,3.4251275,-0.4263548,0.33304805,-4.6442485,1.9301089,-9.61164,-30.649542,2.40126,-6.5290675,-2.050733,-0.32479602,0.2209029,-1.4500476,0.14059782,-12.058226,-1.9741604,-0.28305754,2.4026136,-13.358726
13.72974,5.556367,-16.62988,2.4297624,-1.2038139,-18.466244,1.1946379,-7.296106,0.9987323,7.3547354,3.69413,-16.85109,-25.460379,-3.2209802,-2.1090345,-4.5229216,1.899169,-4.670398,-5.2614307,-9.182988,1.2739531,-3.265803,-1.1420099,-22.006344,-22.21086,-1.5729381,3.5740166,0.19396697,3.9776943,-0.8430013,-0.20282395,-4.065621,1.4399391,-10.443076,-30.24495,3.332317,-7.1964192,-2.5778673,0.16439933,-0.07274833,-2.4853227,0.074021496,-10.916959,-0.7053288,-0.39588752,2.411198,-13.786899
-1.9952918,7.398525,-11.292323,-3.8908308,-0.24210668,-18.359627,-0.17444603,3.932854,-8.880729,6.8041196,6.974023,-21.571367,-20.245419,-2.0788302,-2.5785995,-6.7539215,4.057492,-4.021368,-8.151487,-8.603641,2.9798987,3.8512743,-0.59167737,-21.451628,-23.503069,-2.03171,2.9722037,-0.5187646,2.9216583,0.916917,-1.2492237,-2.5592847,2.9463105,-15.513307,-30.877964,2.155203,-3.8299358,-1.8824996,0.38895753,1.4780205,-2.1141126,-1.8963617,-14.653247,-2.9989002,-1.0725299,2.2074492,-18.112314
9.978727,2.9933503,-17.318487,1.0848335,-4.475789,-28.20924,-22.526924,-10.155078,-6.5271463,8.438296,5.9208083,-7.503612,-21.737474,-8.966054,-2.1563702,-8.549074,0.73952544,-2.196651,-7.90408,-7.3075485,3.3640294,-22.679424,-0.7055642,-14.536364,-26.464912,-1.2361268,-2.3751614,-4.2150354,9.090541,-4.768321,-4.045144,-2.9933996,-2.7860157,5.3172035,-19.188408,-2.9022741,-10.175379,7.5618124,0.3711268,-0.26830745,-3.9826734,-1.5222609,4.184437,-3.5976062,-0.8520117,1.5274748,-12.32859
-4.367693,-7.28738,-13.986761,-1.6038731,-3.1803706,-23.079205,-6.9361706,0.7764573,-12.673878,7.8821387,8.125736,-9.234121,-14.747349,-5.8421025,-0.6937015,-7.7795467,5.6698213,-0.8421947,-10.167437,-12.379803,3.6433682,-6.660167,0.623766,-23.667067,-28.536982,-4.34346,0.46402025,-0.7069662,9.168554,-1.727575,-8.3534155,-7.8964605,0.21569283,-10.221852,-27.637928,2.713524,-6.4016137,-0.76934004,2.0030165,-0.6187981,1.0543664,4.218552,-8.88417,-1.1848838,-0.2025276,2.1885495,-13.286511
9.978523,5.0269003,-28.468018,-0.20228364,-2.9861255,-26.481173,-9.279415,2.1482701,-4.524788,3.4289336,7.501245,-1.3339694,-20.688133,-7.8909855,-0.9683016,-6.3467693,4.251261,-2.1414828,-10.002797,-9.291016,1.8001387,-15.644641,-2.7454474,-13.741113,-24.262115,-1.3681563,0.3224904,-1.0765642,8.5849085,-1.8701353,-3.6190982,-6.9058037,-5.5910487,8.40066,-32.11657,-0.8061196,-9.435114,-1.453621,0.22140092,-1.6625687,-2.2957757,-0.5854428,-13.616876,-3.4372077,-0.79075986,1.8922783,-16.37749
-10.486431,-12.310001,-16.364513,-6.102021,-2.2379827,-37.903385,-2.2314692,3.0414119,-8.379807,10.160925,5.1982236,-4.8052087,-6.762008,-6.4386644,1.1141367,-7.0768585,7.3151217,1.6511142,-6.6240177,11.341378,11.315927,8.246779,-1.9228495,-9.603224,-25.746391,-0.844462,4.9319243,-10.626885,6.1938176,-1.8464812,-3.516935,-2.0001009,3.1583025,-19.807764,-34.519386,3.7725625,-4.919579,-1.1945132,1.030314,-1.425507,-3.0263312,3.5629663,-11.099259,-3.3577068,-1.658499,1.009529,-23.102318
