"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-9.065715,3.087162,-64.54447,-24.8284,-7.9424877,23.129833,103.27589,52.363434,185.45961,12.668112,-10.091356,30.610512,25.518347,-5.1044984,14.532054,48.135235,-21.186264,3.4157598,23.701735,13.408969,82.205635,-52.762833,26.719584,165.08356,32.324127,7.187846,2.9264524,6.9069247,-1.0322357,0.5043689,-7.044553,18.112253,-12.829597,12.150084,88.963745,12.483504,6.535675,23.079012,9.571685,116.81833,8.542631,-43.706123,-52.04595,43.002613,56.70005,8.983486,241.74588
-9.820364,10.999417,-9.15541,4.2271204,1.19542,44.90747,69.16215,48.178436,167.51653,-24.553858,5.234703,16.281343,-6.0858335,-5.076415,18.022749,41.874912,-27.832092,21.544516,10.83457,1.7050549,54.742268,-75.55729,-17.801638,111.89655,24.142296,12.703388,2.0747602,1.5131296,0.91402406,-4.8951106,-5.1471276,-12.845164,22.987007,0.63140476,169.43936,-7.0511575,-32.080784,14.919419,-3.2907038,105.45835,-19.582045,41.096222,-47.166134,36.960247,63.830135,17.938213,372.0959
-15.38044,3.7309093,-18.201317,-6.886727,-8.790684,55.892193,141.09827,33.410248,208.20921,-24.502647,-23.330395,10.07592,6.1927505,4.738383,19.711468,39.607445,-22.778101,2.7755182,19.622553,17.508059,78.22971,-58.609158,-4.231485,121.85064,38.757233,20.133192,-0.16616614,3.3549747,-2.5859866,-5.058063,-2.1578567,-34.125256,15.463968,16.664808,92.7661,2.6971152,9.06303,19.036165,8.266569,113.06016,4.135629,8.026445,-62.69445,48.39689,68.89986,14.092055,251.66705
-10.196512,15.472431,-12.650609,-3.0844793,9.7592,46.156044,58.35481,41.865646,160.92366,-10.991382,-11.105541,20.954475,35.124313,3.0320652,17.801363,42.571487,-22.53911,16.115149,15.856965,17.662432,64.594925,-69.9216,-22.59722,114.43235,23.336191,1.4472892,4.7220855,1.9456811,-2.5767696,-3.3675363,-2.4041529,-1.9858755,-5.212724,13.494562,123.458466,0.40039283,-0.80420697,15.658946,-3.6291769,108.49003,-7.611134,4.9137173,-47.18736,40.12316,63.317123,13.782702,347.37903
-9.020382,14.418257,-10.183301,-11.763478,-5.420771,38.24481,123.19523,41.15076,142.70915,-3.0074377,42.991066,25.544405,-2.0110364,1.7747291,17.082876,42.317966,-27.411657,18.97329,15.197346,21.178995,54.044823,-56.10555,-12.691807,124.46952,23.293293,19.68866,2.8405464,8.420455,-2.5988479,-3.5574806,-0.5232835,-1.3040969,3.6656916,24.138744,119.70317,-105.27138,-2.131986,16.639763,5.886462,117.04445,-6.480826,26.986265,-76.60069,39.67663,65.90319,6.863474,335.09872
-15.686577,10.992538,-18.243912,-69.35022,-13.150817,45.101757,121.39043,-57.491978,149.2189,4.5527277,-12.394283,35.036842,25.695166,-7.879393,19.15812,38.986404,-42.98981,26.366135,19.411306,19.249685,68.48156,-70.85087,-5.434939,103.61214,3.4942064,21.275452,3.2546449,2.6554403,0.32042804,-3.9043453,4.119652,-5.977306,8.925683,12.798149,83.359245,36.230923,5.294947,29.191853,6.804254,103.30277,5.407964,16.273773,-53.789623,44.130955,85.180504,9.055833,274.73492
-13.187944,-45.34671,-15.378445,-78.0407,-7.048088,24.748703,84.36267,-86.012764,62.33719,-0.2780748,-19.937906,5.9839797,-32.44718,0.7642028,8.428362,35.2311,-30.627806,6.4164705,-44.671124,8.26698,40.76183,-157.87697,6.0184727,59.48497,-64.58996,10.024767,-27.422009,2.5180852,-8.2964735,-5.2775517,-3.2010822,-3.5595734,30.850836,-12.771839,15.414682,-155.29329,-9.716804,-15.174974,-3.4679642,96.61469,-20.13855,18.645473,-86.62993,21.711018,84.391815,0.7922594,328.21402
-15.0697155,-42.219414,-13.998751,-68.551056,-46.51698,21.569176,138.73395,-97.21019,-137.81004,-1.7885057,4.739466,6.067695,-25.152073,-7.6763086,11.868308,43.08113,-17.686686,-0.63442206,5.167769,4.8032155,32.495007,-89.17274,-21.15984,53.45334,-22.551142,13.053813,-29.03228,9.973094,3.7157102,1.9370737,7.231367,1.3574556,-5.252211,15.841751,67.152374,-103.573135,-3.2898018,22.216576,-54.47209,93.8704,-16.962185,-60.486042,-81.37869,43.65708,72.98458,14.9257765,276.11777
-11.8724575,-35.838654,-30.357506,-72.38022,2.2730057,3.739583,55.792828,-33.493675,82.658424,-22.188555,0.4513141,-16.97929,-32.85991,2.4660058,-0.44768098,36.860825,-59.6195,-8.804401,11.884149,9.215848,35.38609,-123.55796,-32.928047,60.544765,-36.221107,8.818426,-37.67393,-1.7692196,-12.745479,-28.167583,-14.806804,0.07686514,-19.062988,10.647822,66.15113,-138.47589,-7.6672106,1.3545727,-9.115025,93.85316,-17.420519,5.5313263,-98.261856,20.308874,80.03979,9.990398,311.90436
-6.599563,-46.26994,-50.889145,-61.062683,-20.91693,59.433575,110.6415,-79.92535,25.914867,12.025532,1.0007242,4.7195473,-22.038702,-5.3910213,9.289925,53.91936,-4.07277,-5.020367,-23.01534,18.492496,-24.720314,-71.06368,-2.83281,52.18528,-19.67885,-1.7749978,-11.600504,-0.7671237,-8.624469,-6.9611263,3.5003252,19.174637,-39.449596,-35.01054,19.509686,-66.31647,4.6256123,32.77771,-9.851191,91.12396,4.9596624,-75.17974,-68.400635,41.64381,46.685745,11.962836,150.6428
