"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.1171781,0.025536409,-0.013938936,-0.047843367,-0.09889894,0.22407486,0.2678666,-0.123872735,0.08796537,0.12804513,-0.004618532,0.120108634,-0.42667446,-0.45269263,-0.030460725,-0.009719157,0.07012473,-0.016943676,-0.02656374,0.1100014,0.147668,0.08447225,0.093013436,0.029083224,-0.035475,-0.036658663,-0.03811089,0.027283452,0.09282304,-0.0015758727,-0.025365673,0.046050258,0.009300823,-0.04133419,0.026894273,0.001957986,0.000493311,0.00972694,-0.032912526,-0.029655019,0.012156029,0.0064274287,0.27417788,-0.07459598,-0.07020975,0.04215333,-0.26893735
0.051559504,0.039123595,-0.059972838,-0.07381123,-0.11678076,0.27458537,0.10221755,-0.10916664,0.10894296,0.14509954,-0.011661187,0.16589274,-0.31382808,-0.50130373,0.020778237,0.021187548,0.08319004,-0.027124783,-0.020922659,0.19343147,-0.18575731,0.09735871,0.076149754,0.06734568,0.05875913,-0.009496422,-0.022196906,0.058282647,0.030254347,-0.007073009,-0.015607388,0.04155234,0.04766842,-0.0022820842,0.08270183,0.0762936,-0.007709194,-0.0077528367,-0.044586696,-0.015014666,-0.03507967,-0.024327638,0.23016517,-0.10819175,-0.039227635,0.040515605,-0.20999138
0.10562602,0.02599348,-0.04778544,-0.016392274,-0.10727486,0.11743195,0.13786145,-0.1346647,0.07089054,0.19202651,-0.012684962,0.09770599,-0.32058522,-0.42312542,-0.017461892,0.004712559,0.06406701,-0.022344705,-0.013201587,0.100717165,0.10729007,0.16585952,0.03870132,0.023560178,-0.042983875,-0.025946764,-0.03819169,0.025792988,0.07562946,-0.01131103,-0.011987851,0.03778492,0.009284792,-0.05583031,0.035064034,-0.028004825,0.015151618,0.0030339456,-0.025083007,-0.02495984,0.011562878,-0.029000469,0.25033188,-0.013244365,0.010314896,0.03629089,-0.19315542
0.09415839,0.031002343,-0.047713332,-0.06472642,-0.14034788,0.14751436,0.0076631107,-0.09888412,0.048142046,0.19418001,-0.018250143,0.10077755,-0.3077864,-0.48878574,0.036830038,-0.005136822,0.06668581,-0.033304904,-0.035706867,0.13674283,0.10125437,0.16005039,0.06390587,0.04035486,0.06782092,-0.016258113,-0.027752247,0.03322577,0.05764566,0.000620844,-0.0060684606,0.08101793,0.010695636,-0.010190379,0.032335598,-0.02798134,-0.004921873,0.012544127,-0.04052771,-0.021493262,0.0014593519,-0.020041429,0.28547803,-0.044221003,0.014945059,0.04303313,-0.25956348
0.073782906,0.016924184,-0.046383157,-0.046284553,-0.12789163,0.13366807,0.20213993,-0.11827655,0.05461883,0.1486522,-0.0220787,0.067083545,-0.3034398,-0.5873772,-0.021782704,-0.00049536076,0.06568287,-0.03731695,-0.038773045,0.13594565,0.0612238,0.11251781,0.0630543,0.02807446,0.053255275,-0.032630436,-0.017693494,0.020283012,0.0653025,-0.011796498,-0.011118108,0.07603689,0.013831598,0.008090613,0.030666528,0.048625257,0.005175277,0.0054727793,-0.02739422,-0.011664217,0.002428266,-0.021522827,0.29614824,-0.05703688,0.01394811,0.048601493,-0.19311816
-0.007771654,0.01860258,-0.042785022,-0.06613762,-0.19018577,0.11383538,0.28245708,-0.030726433,0.024425568,-0.002348512,-0.008594526,0.08831271,-0.36882943,-0.36567727,-0.0216529,0.012945218,0.08419394,-0.02396229,-0.0034055596,-0.0013704426,0.06995934,0.12069325,0.09461176,0.028661909,-0.03861494,-0.038587563,-0.03161934,0.01761219,0.056701835,-0.0053163725,0.00034567938,0.082923,0.016890049,-0.02474137,0.023036277,-0.015124207,0.021652585,0.008002167,-0.02461131,-0.017015802,0.0026525592,-0.00041986947,0.2883273,-0.07600367,0.015859032,0.031802237,-0.21036905
0.048414428,0.011507634,-0.04304529,-0.038813073,-0.20803563,0.15825768,0.27553648,-0.13499193,0.026022222,0.11778056,-0.0038007002,-0.03737993,-0.37987417,-0.5365692,-0.010370916,-0.012757247,0.06739218,-0.01559061,-0.11103553,0.12661012,0.18994783,0.224216,0.07507814,-0.0021194136,0.09592508,-0.03448345,-0.0047399164,0.010343847,0.059895296,-0.012048475,-0.04913059,0.012284758,0.021796934,0.004195581,0.028135115,0.062303077,-0.0068884003,0.0012446659,-0.023466144,-0.027113363,-0.0054233116,-0.022406688,0.20707697,-0.098293774,-0.08626466,-0.0037468811,-0.21416979
-0.038941607,-0.02341228,-0.06759896,-0.045188546,-0.19620232,0.11587113,0.1515964,-0.103621505,0.017674843,0.10995363,-0.0059704217,-0.030834842,-0.37153202,-0.6128339,-0.035266105,0.026287427,0.07441898,-0.0313901,-0.09168748,0.10687946,0.23496744,0.21310282,0.07452471,-0.00789463,0.12970273,-0.032660004,-0.04229236,0.0033540623,0.05795415,-0.0139231905,-0.055235483,0.0886165,0.023035107,-0.0016055498,0.03762507,0.048452694,0.003802858,-0.0025587,-0.03254623,-0.017018361,0.0006610326,-0.021333802,0.2635037,-0.07786532,0.01658556,0.055658747,-0.19132778
0.044877864,-0.006060513,-0.056390077,-0.035034884,-0.16904719,0.192091,-0.05183539,-0.14859296,0.04448909,0.19396986,-0.011750779,-0.022882696,-0.36875257,-0.5553918,0.016038837,0.025296425,0.07246261,0.0060008112,-0.07371996,0.1018597,0.20398355,0.23831788,0.059239734,0.012676158,0.14636151,-0.019120147,-0.023039956,0.011927557,0.07787381,-0.018037735,-0.02391361,0.05440097,0.0151292905,0.0030952014,0.028151847,0.050832167,-0.008800767,-0.0039745625,-0.031795077,-0.02414444,-0.000691379,-0.003490271,0.27383006,-0.0826727,0.014299085,0.058817707,-0.2409222
-0.09493345,-0.0031693599,-0.016697293,0.052051313,-0.20661484,-0.009211629,0.17050104,-0.050555546,-0.017902547,0.104864135,-0.0371599,-0.0147103155,-0.40214488,-0.3021157,-0.029592406,-0.011682133,0.0462483,-0.005273119,-0.042432275,-0.034229033,0.32389325,0.027507653,0.0510198,0.01912215,-0.029352102,-0.0466033,-0.021785751,0.015055678,0.07910834,0.0013147794,-0.0012938258,0.0666308,0.021188615,-0.055276223,0.040425315,0.14506085,0.0051082103,-0.009639189,-0.0059765675,-0.030306568,0.00509271,0.012094813,0.22368158,-0.058848474,0.024778286,0.022249661,-0.22441468
