"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-45.26057,-47.56905,-11.955037,-80.65331,-38.020954,30.019789,-17.930933,-32.483234,63.3834,-35.781757,-17.884264,-101.43754,-140.33797,65.33919,35.62046,141.43396,-13.701409,-0.33892816,-41.605682,13.784078,26.750404,41.71039,134.52626,-36.33318,-254.80278,6.0583286,-27.898636,-1.6017343,-62.514896,3.4426289,0.661753,15.526496,88.937225,39.891487,1.9259845,22.790592,-88.179214,-85.31971,9.50716,79.095924,-56.35052,-22.026154,70.12437,21.260014,195.50737,-66.48153,282.13983
-99.230286,-30.365866,4.605159,-42.678875,-18.214025,19.598366,4.9327517,-80.87692,13.365851,-4.980005,-100.5248,-133.27592,-150.95963,-74.7951,26.081987,38.058407,-17.656116,-5.3380747,6.3411527,1.6111283,14.911008,3.2052743,32.696983,3.4762418,-246.20131,2.6944273,2.2693741,-3.6908555,-88.36543,-1.3498528,-1.3238412,-13.013228,-25.151367,3.9210386,41.666195,-44.69367,-31.826807,-75.86105,8.746448,65.75247,-31.41337,-11.38885,63.579018,13.851958,158.35466,98.977066,340.1521
-50.123657,-38.329975,20.973633,-94.80133,-40.93063,26.961641,-10.865952,-23.153906,61.511806,16.521868,-63.307423,-115.84463,-198.06438,-55.988834,24.560266,1.9801625,-17.31357,3.6589456,-37.993748,27.17126,-8.539272,104.98463,-17.177591,-33.02906,-234.66206,5.3000913,7.8459167,-2.8945525,-62.024464,-2.6355727,-0.8996689,14.859377,36.97503,43.73252,13.352638,19.28511,-38.021458,-54.54234,-2.5484233,65.00158,-35.72514,-8.05799,27.25929,-49.91495,66.17521,-52.260197,224.78954
-50.685238,-51.59227,5.645412,-66.83241,-37.10431,28.707441,-0.08976413,-39.928074,57.859127,-37.126003,-81.31614,-111.95472,-140.61072,-45.70606,28.097466,5.4791365,-11.114501,-6.794443,-22.493704,11.169003,9.090976,26.45387,80.4717,-9.250509,-267.12527,3.2686737,-3.6893747,-2.487147,-71.89835,-3.0229347,0.21965568,-5.69224,-13.790075,13.132362,-13.397451,16.03769,-75.56806,-108.72781,9.227929,64.687805,-28.04001,-14.592226,29.747597,-3.6762226,140.27003,-59.283672,300.19064
-48.747684,-51.576447,5.6406827,-96.5814,-23.663607,29.291183,5.0417075,-21.435854,58.335545,-5.728278,-97.559395,-126.543,-153.17972,-46.518814,31.083641,14.254623,-9.797695,0.92720735,-36.86643,12.983868,11.842321,10.793606,88.01903,-20.766724,-278.45334,3.8693626,11.916279,-2.401913,-74.97231,-3.3682458,-0.85276145,-5.4865236,-16.098013,17.871832,32.39335,-58.146008,-74.746956,-105.70175,12.255331,67.07745,-13.765685,-15.180458,46.5708,-4.226689,125.924126,-48.032726,293.77817
-21.848976,-43.733284,15.655743,197.28448,4.625876,17.226578,-10.784296,20.624662,60.616306,-10.655791,-34.020992,-127.74985,-144.78113,-55.549606,37.10104,20.772615,-12.293127,-3.9284306,-50.417114,10.136836,19.241385,13.63878,39.018696,-3.8730333,-242.1011,5.1186104,-7.8696437,-5.74571,-71.19916,-0.7269554,-0.6381153,7.8731427,13.746203,45.743217,37.331867,44.344654,-19.853533,-104.835785,-1.3659948,89.62273,-4.52093,-11.399218,37.39447,-11.9285345,116.1944,-76.98329,295.1101
-63.119587,0.28543293,23.397755,34.426258,-25.156021,5.3091183,-27.769854,-15.315496,103.042786,-29.063702,14.555659,-13.436743,-15.530649,-45.34637,34.027855,64.773,-7.097499,4.077569,163.71732,0.65724957,25.612906,198.94833,149.74867,30.546276,-249.24763,4.123485,14.569338,-3.2258823,-85.29973,-6.6510754,6.7059536,5.2199335,13.258561,-7.7646017,14.1072235,-52.750027,-78.749565,-12.732185,10.780985,66.000465,-5.589072,-6.1560197,98.211716,2.973515,155.36115,50.913166,400.60962
26.340265,45.788727,1.4758544,58.97768,-19.023048,2.1854198,-3.7205405,-6.693902,95.98495,-31.798035,28.05283,-0.5645333,-53.349293,77.73629,47.66734,-15.039188,-15.816167,11.756187,171.69608,27.950523,-20.75802,142.27962,12.977261,33.256165,-265.04657,4.726979,12.22882,-1.3560876,-66.24047,-2.2978168,10.356715,11.13808,8.182798,16.343035,60.40386,-80.61239,-60.139767,-7.9542603,21.666542,96.0698,-11.954412,-16.45691,103.42143,16.959122,135.10785,-54.266563,397.58548
-15.376592,36.89103,15.603952,59.68197,-13.104743,16.71905,-7.45151,-11.972028,5.720278,7.0891266,44.841187,3.9302835,-42.639618,-21.982256,41.192047,13.20399,-7.898494,13.610238,192.64642,24.820267,-17.092424,152.02962,-23.239876,45.98666,-253.58298,-2.56349,8.766074,5.290215,-52.315277,-2.7831256,15.242718,27.883574,30.458492,20.82943,60.829742,-64.131355,-17.535007,0.62520075,17.298492,96.49512,-6.78188,1.401204,69.26216,21.288574,114.65447,-37.833454,377.47012
33.125797,48.67938,-32.84804,208.08505,-16.598717,-25.895023,44.74545,38.615456,174.73552,-19.891672,49.761127,7.6491585,29.028385,83.54485,33.124264,-2.7967145,-10.448204,-10.84568,-7.0572042,43.93802,-80.11902,13.392782,-8.613309,43.14632,-176.33803,7.7402544,5.0422697,-6.098591,-57.249977,1.4928068,-1.8614326,15.383648,73.61301,81.49198,108.75672,-73.24427,-76.605774,-24.397682,7.824412,56.61218,-18.020456,-14.135249,3.7613282,10.3995905,86.915764,-32.834778,333.93256
