"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
3.7802825,-0.6139904,-9.787008,-1.8694812,47.389168,-5.7765985,7.5952682,-7.162023,23.565363,-2.749395,-7.7432976,10.44027,25.770996,120.83872,13.4923115,-46.31367,1.3708359,-2.7496138,1.2223932,-4.251178,-1.8046339,-6.5490193,-5.0636363,26.404724,-4.944861,-1.2332441,-1.3368129,-0.045093168,-0.30680835,1.7987084,-0.6153272,3.4821448,2.1199198,9.788261,1.3161037,4.6036263,-2.1623762,6.068069,12.1668005,14.762016,0.63412416,25.554838,-6.161197,13.379134,0.09298778,-2.1930192,36.47405
7.952078,-2.4191897,-3.6374671,5.8262987,58.047554,-5.0535007,4.480902,-0.18566452,45.519966,-28.07453,6.3391027,9.1041355,26.57186,125.78545,12.181989,-8.664281,7.1512537,-0.01007755,0.7183912,-19.840088,-0.55558574,-4.8338823,-6.288328,33.03053,2.5689814,-1.4797924,3.45683,-1.2342194,2.6636615,0.030246805,-0.67574894,-5.2249966,0.026619375,7.408538,2.1132932,6.7423296,22.364616,0.59363693,20.215168,18.728243,-2.2349117,-21.013414,-10.327781,13.237523,3.3923852,0.5535333,42.14733
6.475067,-0.7228009,-4.940904,3.5870392,51.81472,-4.512128,12.845595,-8.073668,25.620478,-41.400356,-1.5270315,9.850955,32.320652,127.00545,12.798923,4.7187257,1.7102746,-1.7879047,1.8023002,0.99068826,-3.5353212,-39.28698,-11.963119,33.820087,-9.524016,-4.881731,-7.7553935,-0.07259297,2.2242177,0.23972276,-1.7559825,2.297487,3.7193515,9.884316,-4.116531,7.273008,-1.3150206,7.486197,12.692898,10.417746,0.019924423,-7.259798,-7.172642,6.8886585,3.906561,-1.8587902,27.623774
4.594486,-0.06557218,-4.6748323,1.4164628,58.838444,-5.460403,3.8218136,-7.677755,37.187702,-19.790552,-1.2895336,13.059147,26.11589,129.33278,14.568374,1.8593488,2.3503237,-3.7806323,5.035026,-7.5452113,-3.1085167,-9.620192,-9.478852,31.350626,11.123335,-2.2106674,1.2067518,-0.1448149,4.702995,0.90990376,0.5992082,-3.8968792,1.2668445,6.8268433,-1.1323653,3.8712823,8.606239,7.8153896,13.435782,14.599828,-1.8707296,-1.9707646,-6.5548277,11.088714,5.6388493,0.033482064,35.20314
3.883025,-1.183104,-4.8862314,0.72736555,61.52701,-5.4938245,6.055482,-4.6848598,43.77357,-17.916803,-1.5051907,6.606242,27.269764,127.84082,14.194886,-0.2838853,2.5395346,-4.9319043,3.8091407,-9.4988165,-2.8778226,-8.241327,1.2600241,31.692394,7.597674,-1.5915177,0.3230454,-1.1190428,3.3127155,-0.057507563,-0.7513577,-3.302843,4.5158267,5.288549,-0.5558936,2.8223124,9.860956,6.005239,12.312784,14.021118,-3.621864,-3.7674494,-8.033316,14.825645,5.87425,0.28363666,34.741177
-3.6773176,-1.532854,-3.6794155,-5.983487,52.119194,-4.341915,15.978882,37.978676,20.195871,36.908054,-3.015541,12.305553,30.882498,136.7104,14.591844,3.4894297,2.2628663,-5.562972,2.7060263,7.7486954,-2.7848048,-4.8452826,-4.343138,25.275703,15.463464,-4.878518,1.1375463,-2.7063522,4.1309357,-1.0672443,0.07719696,-2.3082387,8.970403,12.386791,0.42538565,2.910983,4.154504,5.1742034,16.992321,12.890917,-7.52763,-1.7095659,-3.1091526,13.457219,4.0883956,-1.3049465,30.429193
0.6361302,-2.8888133,-2.7566032,-1.2020589,56.91861,-2.367074,6.156633,20.700659,21.958265,-2.567938,-2.0777102,2.459147,28.321745,141.73393,9.390078,-4.203294,1.7670034,-0.92064244,-13.130819,-12.940838,0.88952994,-19.669464,0.89607656,33.78131,-1.741747,0.39855763,-3.4298503,-1.4001397,-1.0240272,-0.6187635,1.0432177,-6.20538,-9.502531,-1.9787911,-4.1145473,1.5833455,21.003788,1.3063768,21.051579,14.130162,-3.3990545,-6.458004,-3.9248435,13.463915,2.7699027,1.7715853,37.33844
-21.04695,-2.1120932,-8.984875,-1.6932114,57.94858,-3.159325,5.7122564,19.581875,32.250946,6.4226356,-4.575923,1.8208078,32.5122,139.78043,13.595792,3.2128975,-2.4803827,-1.143829,-12.489943,2.8691835,4.883383,-22.88597,-11.191198,32.050068,-3.7552922,-2.724091,-3.3107033,0.8235592,1.1424825,2.3626344,-2.299822,-13.43441,-7.671552,6.324471,0.72673225,4.9582896,1.3572795,-13.92442,24.11136,11.60263,-3.059513,14.531702,-0.7748968,14.608465,5.4258385,1.1165828,33.743645
1.7237918,-2.6456022,-11.875838,-1.4939975,57.6314,-2.7137315,4.733685,17.043993,42.338203,-25.876226,-8.58502,0.2005358,36.617634,139.05586,12.914271,4.167,0.29186028,0.57767195,1.9960766,1.6078387,2.792313,-23.001083,-14.691919,31.456629,-4.9513574,-0.0093552135,-1.9435182,1.4430298,3.0428476,1.017722,-1.4153466,-10.163864,-6.484085,4.317546,-0.14085446,4.9169707,6.360476,-11.142159,24.292181,11.61766,-1.185579,-2.280815,-2.907779,14.670674,6.302183,0.23471329,33.027214
-35.060852,4.65014,-9.996918,10.325113,53.174183,5.60196,8.250824,12.026689,24.81079,5.329978,7.565072,-0.019024761,9.218942,98.36733,16.705875,6.788584,1.0150077,1.210556,1.1328753,12.958787,17.97722,-1.6345667,-18.279224,30.783253,-2.0612185,-1.7091348,1.5146993,4.151913,-2.226213,1.600199,-0.083160825,-0.8832145,1.384066,12.929588,-0.26956683,7.390527,-4.218254,-5.904047,12.371817,9.910279,-0.1724828,21.065294,-7.7064304,-1.0550772,3.2673025,-1.6251285,22.085373
