"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-16.416374,-11.641581,-9.545854,-4.8577595,-6.477437,2.6382205,0.8629564,-1.7393342,-67.54663,5.5426273,3.5055692,-75.24166,-14.216174,-8.364803,13.556152,15.855658,-4.0385036,-1.3851064,-2.0899928,-0.10719832,-5.040593,-18.800205,0.99391675,-12.40461,-2.0912857,0.64215434,-8.911263,0.21982563,-37.666763,-0.5971215,-2.2085154,-25.31155,-16.077772,-8.27361,-44.97455,-19.693748,-16.66698,-20.698803,-16.318523,-11.732309,-16.694744,-5.639712,15.948225,-0.48779982,-7.2484555,-0.30128682,-5.235867
-22.279322,-16.431627,-9.608475,-1.8445324,-6.5719123,-6.1658015,2.317452,5.3005667,-71.90338,6.7601304,-8.977126,-76.47331,-98.54742,-22.184795,7.3849654,1.9897016,-3.6113644,-5.5296583,-1.3768464,-0.8421984,-8.087183,-12.476759,-0.4925425,-64.909904,-7.0800133,0.55291367,-11.895189,-2.6958246,-33.47479,-1.1148407,-0.8785087,-23.0223,17.082838,2.3315265,-59.968117,-18.931063,-5.727696,-15.871449,-33.62079,-2.0378978,-8.822326,-9.873441,-8.133954,-6.0706496,-2.486242,-0.70816135,-10.903415
-20.230501,-12.553145,-4.821412,2.703597,-7.51592,-12.903361,-15.220866,-1.658279,-67.67979,10.433702,1.3533683,-67.84657,-95.90212,-11.17057,8.484297,-4.7535486,-0.20109242,-1.3266344,-2.6938725,1.5488898,1.6890342,-16.999554,-2.773454,-54.372032,-2.689463,2.2043014,-12.822327,1.16965,-28.445202,1.4894205,0.20613281,-36.400417,-16.327808,-5.559551,-60.60837,-28.263548,-11.129332,-23.766819,-26.563559,-8.051618,-20.542751,-5.731773,-7.7575235,-0.8309663,12.298532,1.6924334,-9.560234
-17.557089,-12.996471,-6.565793,-2.8419783,-5.1791115,-8.068075,6.7982507,5.9291124,-72.11327,2.3723426,-10.298008,-59.719,-109.29649,-17.574158,8.137458,5.9873734,-2.7791872,-2.6688967,3.4150798,0.21024196,-4.669374,-15.515452,-3.6579447,-53.86145,-3.206714,1.1995281,-13.258692,0.6815873,-38.258106,-0.23396479,0.24452178,-33.62078,-11.98012,0.6758191,-53.52993,-19.403364,-9.447555,-25.056444,-33.734753,-7.1075644,-12.772281,-8.833712,-10.912915,-0.4838118,-2.6508548,0.9250887,-6.8512764
-18.57066,-12.444968,-6.120896,-2.4490104,-6.323899,-9.02421,1.0481803,-3.201362,-66.94722,6.9147077,-8.6733265,-66.81047,-92.85941,-21.536888,7.628111,5.777413,-3.1774359,-1.7981645,4.928871,-1.0849932,-5.074434,-15.827289,-3.8994012,-54.137985,-5.658605,0.7592975,-12.749323,-1.1981317,-36.718536,-0.15708,0.44891173,-30.008633,-12.605715,3.2655258,-52.592678,-22.888962,-9.316714,-23.490065,-35.20386,-7.0398993,-10.310947,-10.270084,-9.880268,-0.55860245,-3.5574,1.0245796,-6.1221533
-0.9507819,-11.003442,-6.093152,13.925649,3.355928,-9.379645,-4.374589,-5.1556845,-43.61328,-6.559438,-4.5928044,-48.825333,-109.839516,-17.479427,10.3135805,12.807797,-3.2198908,-2.2824733,5.038236,2.1903546,-3.0682168,-22.460001,-3.6531343,-13.280049,-3.3972428,0.0074152765,-19.532848,0.4525727,-23.569357,-1.1981121,-0.95942163,-21.934498,-23.328705,-5.7072463,-47.7299,-21.081276,-9.22104,-26.267792,-28.495241,-10.08728,-13.559209,-6.524223,-8.201414,-1.9914964,5.2314825,0.2841112,-15.200168
-4.037835,-8.031366,-9.273029,4.359584,-2.6936152,-15.360472,0.020805698,-4.1949296,-3.2666411,2.4888797,-3.3963056,0.12520371,1.4058076,-34.764412,12.617148,7.3944187,-3.2119312,-1.2131838,8.134587,-0.32533005,3.3341625,-28.150953,2.629296,1.4482372,-11.0401945,2.7471676,17.180323,-0.50308794,-20.57459,-0.5246989,-0.6068435,28.226608,11.938875,4.0582113,48.47656,-9.789764,-5.358037,4.102731,-22.826773,-3.5933237,-9.692987,-2.9465375,8.543571,0.07888233,-6.389472,0.35538772,-10.073654
-2.0877411,2.5981874,-11.022454,1.8354019,1.5828409,-16.81651,4.7967663,1.120162,-2.7674713,1.726541,2.4487524,-2.0961337,2.669776,4.266416,14.182425,3.2900097,-2.11613,-0.42456415,10.518598,-0.46340862,9.307697,-16.783045,-2.2187164,7.9819083,2.4275703,0.70518696,19.496302,-2.0814679,-29.184252,-1.3891776,-1.8942744,-12.303802,13.457153,6.987304,-26.275442,-11.196846,-2.0321777,9.69942,-16.0214,-2.5366852,-5.456804,-5.189178,3.9194133,2.0966432,-3.7182314,1.2145581,-4.693577
-3.0037954,-2.3578954,-7.4671555,16.602087,-3.6284032,-15.757631,7.9893904,-3.1766627,-32.474472,4.849321,4.559029,-1.551734,7.2110834,4.826174,15.300713,6.2863536,-1.931871,0.6941328,11.305537,-0.09149485,21.330252,-16.82418,-1.9775245,8.79678,2.5425713,3.5771418,9.04765,-0.37784967,-25.645506,-2.6891558,-0.93377364,-17.612095,14.301336,7.7038,-18.624645,-15.930739,-0.6217527,27.518131,-27.59612,-16.815413,-4.927274,-3.6569912,-4.909589,1.5857806,-0.123998076,1.9153733,-1.9449171
2.4545503,12.771864,-10.39758,-3.1793535,1.422333,3.4304698,-2.6629927,-6.350787,4.0291457,2.545192,2.2420204,0.7133822,5.969323,2.9504821,19.79758,1.9241958,1.3753895,3.3132038,2.3963501,8.5686035,3.0081432,-4.1483903,-4.8009543,5.8659673,4.1405272,3.7492638,-9.458606,2.6635256,-19.683025,-0.90252525,0.31231534,-6.4089584,-8.052915,-4.6833982,-24.524216,-15.179609,-17.39335,5.33998,-32.873356,4.067562,-2.7654426,-8.660321,1.3762604,5.7558074,14.396842,2.808973,-6.6662545
-2.9739091,-20.260473,-11.068999,21.282085,1.9340298,-5.76728,5.406613,-5.1821012,-30.274519,4.537715,4.434678,-0.6753833,11.980703,6.649661,18.19744,13.233224,-1.4927725,-0.040496524,10.846434,-0.2143555,10.804608,-14.663928,-1.5625317,8.541174,-0.8485107,3.632078,11.710412,-0.3184847,-25.442822,-1.2299823,1.2933086,-17.227741,19.6379,6.0239224,-37.70576,-10.875955,-0.18443091,18.749954,-27.04115,-1.3477218,-6.741849,-4.5700355,-3.5888467,2.3557703,-4.005715,1.5325794,-2.2848158
-0.8106055,-1.0523747,-5.7057962,3.6351676,0.7441533,1.7618959,7.8938446,-4.455739,2.2685454,0.9153796,-1.1721978,5.197176,5.0257864,1.8015842,15.144055,-0.628742,-1.4617201,-0.20084195,-3.5381596,-1.205442,-9.403035,2.8345485,-5.740759,1.0083308,-2.5229197,0.5838732,-0.80213124,0.6915024,-8.035018,-0.6129899,-0.28088072,24.198011,19.011335,1.5072036,63.139843,-10.090092,-14.265142,10.771897,-6.437407,-0.8422036,-9.978616,-5.188371,11.25297,-2.5622911,-2.685742,0.5204993,-1.2459618
1.252804,1.0383768,-8.1085615,-0.11472068,-3.585685,3.2885497,6.073462,-6.0137753,19.022003,-4.0686603,4.399239,9.392635,14.246036,14.488532,17.579166,0.67072195,-3.004687,7.3345447,-6.2265253,3.065977,-1.9090708,9.161445,-5.174402,0.6477006,25.861887,0.77684766,-25.11206,0.107955985,14.512399,-1.7204547,-1.8975545,-24.162104,-18.321188,5.932965,2.5346308,-6.011789,-13.505125,15.062877,11.666781,0.16147722,-12.678911,-3.7340424,29.093922,-0.36399218,-1.6565057,4.1688557,4.070622
-0.82488847,-1.0721086,-5.729002,3.6679497,0.7446082,1.7612532,7.894929,-4.472808,2.2879498,0.9137705,-1.1880889,5.112582,5.0291657,1.8309164,15.14845,-0.71001804,-1.4623796,-0.20084195,-3.5349796,-1.243474,-9.403162,2.856304,-5.7258763,0.98690486,-2.6130455,0.35657498,-0.78021705,0.69135195,-8.0362015,-0.59263676,-0.27843463,24.197853,19.152317,1.557572,64.45658,-10.132005,-13.760267,10.767715,-6.095236,-0.88235563,-9.975889,-5.3296657,11.362462,-2.566969,-2.6648245,0.5269064,-1.3247746
-2.8206847,-4.817507,-6.201843,2.622971,0.546986,1.6274571,7.5592766,-4.376393,-2.4416947,1.0253909,-0.67699575,5.0037813,5.6814766,1.9149164,15.495737,-1.0208102,-1.3930085,-0.24532594,-3.601919,-1.102939,-8.954979,3.1488512,-5.441825,1.1140679,-2.0018816,0.71848005,-1.8440276,0.41666722,-10.336979,-0.8804979,-0.6715319,25.31359,19.328094,1.590206,73.41351,-8.926384,-14.254414,9.848656,-4.9618187,-0.8188784,-10.347121,-4.5268793,12.213564,-2.5244498,-2.573183,0.6426828,-0.87895584
