"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-3.5146098,-3.0001423,-1.2525909,-0.25086004,-0.36964792,-1.2718412,-3.2602458,1.8076376,-4.250492,-0.51632726,-0.17312796,-14.217104,-0.2552327,3.2377317,-0.3293052,0.005823937,-0.9620971,-0.033367746,-2.6028287,-0.56734663,-3.7349288,-2.1395488,0.47500739,4.5602922,-0.79543227,-0.2142968,2.7916045,-0.9026771,-0.6455793,1.3570333,1.0310788,-2.8964164,-0.14107272,2.3343577,-8.3445635,0.907429,2.3309443,-1.8112621,0.30543083,5.212801,0.9512914,0.36573932,-11.298872,15.30308,10.422053,0.35000277,21.50577
-3.4803934,-2.4758291,0.2391192,-1.344889,-1.702902,-1.0266919,-3.8507876,0.42046618,-2.9211364,-1.8169172,0.07727534,-14.152948,-4.982879,2.058838,0.019153357,-0.8410665,-0.40433094,0.08719986,-2.950816,-0.49630448,3.112808,-1.244267,1.2240344,4.8449445,-2.013495,-0.19933948,3.5225544,-1.0997263,-0.38447797,0.6629729,-0.14292276,-0.6285656,0.4488419,0.59189117,-7.890398,-0.050153125,2.1659982,-0.32171354,0.296769,3.8095977,-0.50407565,-1.364861,-7.419215,14.995791,10.7512245,2.1048746,18.883812
-5.1779532,-2.597005,1.2134734,-0.4669899,-0.9131013,-5.6710386,-1.469947,5.851394,-2.4967904,-0.2169903,-0.96940506,-8.970177,-2.512836,4.693495,0.4942989,-1.2764971,-0.5303139,0.058339134,-2.318652,0.10792339,-5.1225724,-2.2762702,3.8282332,6.5932364,0.3715167,0.031159882,3.839135,0.25300664,-0.9876443,1.1477473,0.1581617,-2.6963813,-0.24145691,3.0410926,-4.455208,0.964176,5.440202,0.4956314,0.48492622,6.7781096,0.25280657,-1.2762822,-11.418606,13.945948,-12.306277,1.3048518,19.609594
-2.937469,-1.8468388,1.0926884,-1.055407,-1.4068025,-4.86332,0.37696272,0.8858061,-2.729251,-0.3209319,-0.27742827,-11.074051,-2.8172283,2.2552845,0.45652884,0.22085746,-0.41216558,0.059810005,-3.049176,-0.57394576,-3.8529124,-1.4237986,2.0191622,6.587003,-2.8478258,-0.20236765,2.8677197,-0.76310724,-1.5054723,0.14253688,-0.017847909,-1.6522176,0.82959193,2.107426,-7.661055,0.28930965,1.9523536,-0.12352972,-0.0015909219,3.8750942,0.45681795,-0.21742073,-10.244206,13.213329,5.963452,2.751713,20.053596
-2.9435232,-2.004904,1.0797521,0.18628885,-1.4183054,-4.4290295,-1.5178403,2.122648,-2.4776473,-0.68615943,0.2018793,-11.614279,-2.6019387,2.0768125,-0.40696096,1.1855994,-0.55592644,0.11244214,-2.9033918,-0.5279154,-2.231304,-2.0500422,1.532581,6.771106,-2.9672315,0.22244243,2.810484,-0.6300131,-1.3717194,0.43231437,0.1947043,-2.8410501,-0.013348383,1.5789471,-8.8284025,-0.3985154,1.7460053,-0.09403161,0.25235823,3.7821338,0.45458147,-0.19129574,-9.727158,12.578098,8.381131,2.6047394,19.720367
0.08702149,-1.6905445,0.7051095,2.1102424,2.2714953,-4.315123,2.463668,1.660814,-1.3405404,0.20266286,-0.44241396,-10.332302,-0.33347952,3.6232903,0.31740978,0.90445995,-0.4882061,0.03990377,-2.7599392,-0.024406835,-3.478673,-1.259211,4.8373356,6.8163505,-2.450646,-0.110152416,3.4981399,-0.3296962,-1.1031199,0.292516,-0.08270692,-1.5399227,0.7307586,3.3743625,-8.752258,0.60200536,2.1904328,-0.022815323,-0.24017842,5.2915015,0.33153075,0.45079026,-9.6605,12.479782,8.327597,3.028683,21.627953
-2.0605478,0.2932585,2.5515876,2.3015184,0.74713594,-7.7870207,-1.5770563,5.3304377,-0.12362347,0.17891163,0.06471387,-0.41392523,1.3650286,4.680288,0.36154577,-0.39199346,-0.46201792,0.14212361,-0.79109854,-0.57222277,-0.13844515,-3.4916608,2.5843644,9.093244,-2.2890117,0.5745703,6.0115104,-0.20436941,0.36892477,1.8567042,0.22846907,1.328625,1.4774613,0.53873324,14.409171,0.13596012,4.023848,2.4647684,1.7210692,12.096379,-0.65088,0.49593538,-3.04512,16.468233,14.319513,2.1442628,21.742147
-0.4022542,1.6776888,1.5506936,2.3981538,3.1070893,-6.7655754,2.411546,5.1283207,1.6605409,0.18797432,-0.576743,1.4712555,2.1114774,4.451242,0.708069,-0.49264672,-0.3335309,0.12608723,-1.485079,-0.39734063,-1.6023911,-1.526786,4.988404,9.079227,-0.9102358,1.2663136,6.6502233,-0.32353556,-0.41574374,1.8284296,-0.16528958,2.2312899,1.6463513,2.4774475,-3.2035723,-0.09323301,6.288187,1.4899752,2.3410847,10.658303,0.28137967,0.37433514,-6.530537,16.815447,12.530151,2.6731746,22.736795
-1.1223127,0.3188308,2.4310408,3.0611067,-0.7501684,-7.1647267,3.473879,0.8934329,0.1353216,-0.92620426,-0.3800829,1.9811159,2.216922,4.5484557,1.0217749,-0.016207404,-0.2999525,-0.3277165,-2.4119997,-0.31469232,-4.136133,-1.6080317,4.1663246,8.717426,-1.1056818,1.1566023,4.9633417,-0.11502801,-0.88219637,1.8251108,0.24820593,2.8332126,2.6730218,1.8714544,10.044679,0.3401674,5.7854233,1.9811217,2.6096833,11.178067,0.74128234,-0.023228554,-3.173511,16.505901,9.087228,4.220984,21.793623
1.4055424,4.3381577,-5.676623,2.048307,2.9108317,-7.827936,2.2805724,9.090002,2.126151,0.032141227,-3.4250731,1.1181873,2.6800961,6.274433,0.550164,1.0891273,0.09241672,0.062083617,-1.0835323,1.1766993,-6.3737836,2.1707997,4.586225,8.031518,-0.82714397,0.47265744,6.266814,1.9563141,0.29128465,1.9290342,0.07413569,-1.3766071,1.4881302,4.2762628,5.1478834,-0.030233392,10.6230545,2.4863925,1.020851,8.276298,2.6317823,1.551442,-11.1086645,14.241405,6.5133843,2.535895,21.978418
