"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.6434258,-0.115196526,-3.1789808,0.2846779,-0.23896603,-1.7304825,-4.0140033,-2.3481603,-0.2781152,2.1895196,-0.32705012,-0.54419017,-2.0060244,0.451183,0.8223594,-0.87465465,-2.3081326,0.027148467,-1.3612992,-0.6134897,6.995167,1.4138553,2.805371,0.703589,-3.7450511,-0.7681919,3.6994174,-0.13026004,-0.16428393,-0.23586385,0.101929404,-1.7322719,-0.6691317,1.0548614,1.6525875,-0.15767339,0.24491443,0.81319004,-0.30604807,0.5279693,-2.0578818,-0.113402806,-0.6633187,0.18322471,0.13444635,-2.084913,-0.4564919
-1.5798018,-0.5855749,0.62063754,0.6052383,-0.49017617,-1.7394605,-7.9490104,-3.883585,0.77173215,1.861032,-0.47481218,-1.3451194,-1.4142216,0.06102101,1.4856462,-0.47246394,-0.47835574,-0.04698107,-0.78247684,-0.43340573,10.41011,1.987951,2.198328,1.3220339,-1.696192,-0.67702675,6.0396347,0.22796048,-0.040877156,-0.16884378,-0.10335542,-1.7282844,-2.2464797,0.731902,1.2076699,-0.036917426,-0.39739785,-0.030312065,0.12301318,0.1793953,-0.23552689,-1.3273643,-1.2995499,-0.03444431,0.14855233,0.8257565,-1.194782
0.8107656,0.21888474,-0.096873626,0.5281026,-0.5446783,-3.7667634,-7.422802,-1.0662372,-0.19543657,2.3234715,-0.2344852,-1.1840405,-2.530749,1.0913577,1.0719572,0.6440132,-0.9302468,-0.1536953,-1.1555662,-0.09350919,5.0453973,-2.139891,0.92930573,1.1628573,-1.9668587,-0.7951855,2.4266567,-0.03949627,0.11236811,-0.038482454,0.09656385,-1.2333076,-0.82897496,2.3705182,1.7147368,0.3004198,0.17507258,1.3926867,-0.30495173,0.92350924,-2.7984116,-0.46851534,-1.6013701,0.26544684,2.1062508,-1.3299948,-0.10398389
-0.36925983,-0.56848264,-0.6704016,0.4094419,0.18603636,-3.5543528,-2.4649184,-2.4808989,1.4695238,0.8183929,-0.17422362,-1.0943995,-0.27370155,0.55047816,0.9941157,0.104061514,-1.4463545,-0.07374758,-1.1471078,-0.2840639,7.915568,-0.7622754,1.4509442,1.0317214,-1.1619117,-0.6999043,4.744801,-0.122591004,0.04507127,-0.039656166,-0.0026153163,-1.2441489,-1.8570056,1.2431026,1.2282842,-0.48409453,-0.4190349,0.8918957,0.05046416,0.5669586,-2.3653986,-1.0829345,-0.47754186,0.018622037,-0.15933801,0.3975741,-0.5276406
-0.33699867,-0.18916991,-0.0935016,0.31976104,-0.32280353,-3.6893795,-7.09527,-1.1058096,0.82273436,1.0478525,-0.39988008,-1.2929187,-0.63834107,0.73964834,1.1939689,0.026318789,-1.655538,-0.024850292,-1.0222472,-0.46111062,7.6145153,0.15010208,2.906357,1.0926309,-1.305825,-0.7535835,4.1942735,-0.031067863,0.07059533,0.10585193,-0.03141246,-0.93801963,-1.7364504,0.7405577,1.391285,0.59373635,-0.64920664,0.69700605,0.10631663,0.60745734,-1.9730806,-1.4270504,0.47477186,0.21588781,0.13608819,0.35840988,-0.5442707
0.7953414,-0.0483909,0.29059753,-0.8104937,1.562776,-4.1054273,-3.169855,1.6193025,-0.035301983,0.4299915,-0.3753625,-1.3520383,-2.4316285,1.0053176,0.83698624,-0.21075709,-1.0380871,-0.03975094,-1.4633712,0.04889079,5.0104594,2.2131152,1.6208009,1.7545544,-1.7618146,-0.67608905,2.6368823,-0.13078447,0.02912074,0.07881893,0.023886936,-1.4144804,-2.0215282,1.4978764,2.1294518,-0.019355452,-0.053688634,1.5400674,-0.18314762,0.6814683,-2.0240254,-0.41408703,-2.034518,0.039325833,0.12568443,-1.4919674,-0.5637661
0.058970522,-0.10230327,-0.85906583,-0.34604937,-0.35788384,-4.033769,-6.8630705,1.1971085,0.35136923,1.7030122,-0.36021253,-0.927136,-0.08497542,-1.2048978,1.589766,-0.6720305,-1.1406041,-0.2888741,-1.6438301,-1.1123583,3.1046143,-4.220724,2.1535058,2.0735414,-1.8663127,-0.6424231,4.225937,-0.21515366,-0.19068484,-0.045574244,-0.27457416,-0.8038955,-1.61376,0.4166484,-0.2035465,0.35988075,-0.62065756,-2.084353,0.06427127,0.42180884,-0.5931128,-0.58796,0.44437146,0.20798281,0.33112195,1.3246183,-0.6424251
0.70685107,-0.470188,-0.716048,-0.29737562,0.5840393,-4.0695925,-4.843638,1.4857275,1.071979,2.166176,-0.2655167,-0.94070584,-0.15300876,1.2062672,1.0005518,-0.006971417,-1.9516976,-0.3630845,-0.89434475,-0.82155144,-8.549089,-1.7985348,2.1688218,2.615149,-1.5855668,-0.866019,4.3456564,-0.08714166,-0.03234664,0.15723239,-0.20407805,-1.2446237,-1.2489927,1.230732,0.56685203,0.54138726,-0.3730985,-1.2027014,-0.08051608,0.089664355,-2.1246002,0.1644356,0.060314726,0.0637143,0.2418413,0.97058,-0.8832866
1.090024,0.2280783,-0.8621807,-0.1871828,0.44695723,-3.370476,-5.0420933,0.38156676,-0.11825881,2.5939155,-0.28967294,-0.80055195,0.0055186492,0.5386058,0.98555493,0.10755141,-1.916785,-0.29331756,-0.5853512,-0.9966587,-7.5381875,-2.0220308,1.8657176,2.4384153,-1.8563504,-0.91456497,4.5995555,-0.06038692,-0.1312367,0.09831472,-0.2374218,-1.4611942,-1.311893,0.9796685,0.2526833,0.9376155,-0.2938927,-1.6165079,0.019065607,0.06364386,-1.4064304,-0.42630133,1.218734,0.095205195,0.1606321,0.8555196,-0.8456787
0.4784874,-0.27770454,-3.8456848,-1.7653838,0.55875677,-1.8867478,-4.9519,1.6694503,0.6903987,3.5982044,1.1490711,-1.2476976,-0.15790576,0.79868674,1.1411986,0.4761919,2.948013,-0.08509943,-1.7933906,-0.8438175,-11.152605,3.7246835,2.3236945,1.7927644,-2.147515,-0.33411324,2.7109165,-0.21150136,-0.19052225,0.20191433,-0.12445254,-1.0070133,-2.4697566,2.639527,0.69640124,0.21292594,0.18554938,-2.607756,-0.5324482,0.9794181,-1.6122396,-0.54230374,-2.0993452,-0.42383936,1.2294806,-1.0244615,-1.4335505
