"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-6.3948026,-5.582978,-4.943141,-4.191721,-3.4980693,-5.06558,14.276629,1.2759786,-10.70045,-3.489896,-2.7411776,-9.367028,-16.896229,4.615428,4.1682043,35.54353,-2.2607124,-0.64032495,-5.508012,-1.1535518,0.71999884,16.415369,3.3502111,5.267612,-9.529224,1.4991676,-1.6373911,0.20768218,-0.95809156,0.3195555,0.41181618,4.2986965,0.4519419,14.646262,3.6887305,-1.0807068,-6.259996,-2.3332202,0.024263527,-1.5954264,-9.401814,5.8717303,12.588885,1.4792203,-0.49049345,-0.8419842,16.737654
-3.3644753,-5.8694158,-4.684539,-4.160241,-3.662441,-5.4526243,12.766267,8.642801,-7.528942,3.7513018,-7.1850896,-2.8932428,-21.072538,1.7642689,4.4972105,40.7042,-0.80949533,0.2158422,-2.901403,-1.3695492,-1.6616081,7.3228517,2.2651658,2.7520115,-8.660251,1.0285461,-2.5854173,-2.022776,0.83023196,0.36393076,0.7950134,2.3240423,2.4455085,12.558328,0.3175434,-0.14769489,-7.9559274,-0.19485979,1.5937105,-0.26652846,-6.19815,-5.8756757,10.285234,1.776781,-0.372303,-3.2637067,10.565591
-7.515581,-7.920249,-4.010761,-3.7241015,-4.6744146,5.861569,5.396469,0.72298205,-6.698781,7.416659,-4.8205676,-5.608015,-17.472387,1.0279212,4.952794,17.758238,-2.0414722,-0.6663911,-1.87527,-0.54394025,0.5645062,10.653945,0.55333537,0.09399628,-5.2139683,1.4914687,0.7690508,0.41763255,-0.12880382,0.12717265,-0.024345769,4.2099085,-0.3945112,13.709088,9.481438,-1.4622347,-6.3116827,1.7941985,-0.22776532,-0.36271852,-7.151145,-4.4980383,10.344689,0.7185343,6.5723157,-1.8727632,10.080956
-6.8050146,-8.407895,-4.249674,-3.525238,-1.9374876,5.773437,15.391811,4.8300376,-0.944851,-2.382266,-7.73781,-4.2332807,-15.125454,0.27127752,3.7015111,35.527115,-3.84092,-2.7938027,3.0973015,-1.4432311,-0.42199808,11.907022,1.398163,3.079351,-8.57154,1.0346702,-2.0471616,-1.8432752,0.03628035,0.25423273,0.21327092,1.3409122,0.25287017,9.132524,0.9904184,-0.665013,-8.204961,-1.7249385,0.913852,-1.3147151,-8.455528,-2.7597604,13.71388,0.20674163,0.6902665,-1.9562075,7.428696
-5.765131,-3.9824047,-3.9747672,-1.21245,-2.6030822,7.9731565,13.393435,0.9084408,-10.015556,-0.81364447,-8.45904,-3.2090526,-15.581811,0.008832522,4.4971952,27.313808,-4.089024,-2.313996,2.6028183,-1.1184546,-0.34299934,12.61325,1.507777,4.9797883,-9.450282,1.6689621,-1.983386,-1.9171686,0.11589938,0.3773242,0.073258005,1.4628664,0.61159736,8.645719,-0.09100787,-1.4949349,-8.486471,-0.8778319,3.0389676,-0.7212795,-7.8717036,-4.660813,10.415336,2.1283007,2.7038243,-2.014774,7.910698
-5.369181,-8.495875,-4.49378,3.1758094,0.36787906,6.406829,11.17397,1.0823538,-7.5533624,-4.648175,-3.885432,-2.0226312,-19.909576,1.5287069,3.3013318,26.74333,-2.8447504,0.3148133,-2.734674,2.5733552,2.4912803,10.441797,1.837818,1.7126043,-4.3537,1.2450027,-2.4070892,0.70434934,-0.22197618,0.3843808,0.21776095,3.4993045,-0.8646568,13.049117,8.405897,-2.756673,-6.469594,0.11813627,1.0620053,-1.4998865,-4.4935303,3.4847183,12.781936,0.6025678,1.7384229,-1.5320357,13.048641
-3.181572,0.6138457,-3.4250176,0.6859863,-1.10155,8.213082,21.227016,1.2666149,5.7361054,-3.8923864,0.43446302,6.6203647,2.068716,13.624907,3.7632434,56.508198,-0.574622,0.7801135,25.883657,-1.1767789,3.345908,29.137539,0.15685834,11.75716,-5.583598,3.1646388,3.7701786,-1.5310179,3.5208752,1.2161776,1.0694519,3.6096606,9.10399,0.6745639,-2.058231,-1.0176294,-4.225775,7.4852076,4.4314537,-0.97025555,-5.9871044,-4.500164,8.542897,2.7744722,0.5445627,3.7360551,11.084541
-0.64625907,5.904851,-5.7328124,3.434841,2.4229543,9.307447,17.07129,2.3559222,6.197671,-2.7798233,2.8565617,5.970504,0.18311982,9.523237,2.750923,43.0705,-2.8583255,1.5926232,22.25174,0.46916875,7.813499,12.188393,2.1507988,12.294157,-7.2542725,5.051411,1.6946093,-1.2929891,2.1101558,0.4664357,1.2537476,0.42649612,2.7192612,20.058542,-1.2476382,-1.2596279,-6.6509976,8.354729,3.2802708,-0.50413525,-6.6109743,5.079152,14.991682,1.865842,1.1354666,0.039166015,16.012672
-1.3806803,0.45941046,-5.0964336,3.244163,-1.4047407,9.815403,18.650871,2.8034823,3.1093907,-0.8473583,2.8894708,6.398227,0.93447953,2.0232308,4.6522994,44.967266,-2.9469566,2.4082,24.592346,0.23158954,10.233934,11.923033,-0.14468852,9.867296,-6.4603724,5.0851,-0.649605,-1.1936147,2.714687,2.4916255,1.4451025,1.4305598,3.890733,21.609377,4.0453024,-1.6313996,-6.3136506,10.089689,5.162423,-0.8598855,-5.2412634,3.1342921,13.416425,2.1641393,3.5090418,-1.5861232,13.640634
4.4286575,7.4782095,-4.4961123,3.1166198,0.79058164,12.231855,21.149334,-2.1250987,12.8631315,-3.052265,1.058853,3.3105223,1.3008573,6.305857,3.8208838,22.815905,-1.6153939,0.53694004,-0.78408366,3.1490138,5.4271703,1.1638474,1.3398772,15.77951,-3.4351795,2.8261807,3.805634,0.6239171,1.7411405,0.9451369,0.473953,3.6311355,-0.97932726,29.878225,16.711794,0.035538103,-5.3470545,3.614785,3.1324697,-0.5721718,-4.396448,6.3692594,16.345053,3.8259444,3.4479117,-0.87302697,19.543741
