"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-4.2480593,-1.0105625,1.5272087,-1.8086047,1.7034788,-4.97921,5.7017775,6.166174,-0.61708796,0.6260472,0.20203227,-0.89723533,5.620016,11.975646,3.1019192,0.17115872,0.90178585,0.009546054,-0.12546085,0.56051147,-2.2978752,0.9114316,0.03884804,4.0737295,-0.07854931,0.26990047,-1.0285127,0.2853891,-0.25061,0.8332487,-0.011697738,-0.22541443,0.8593079,2.686422,0.29356608,-0.2720857,0.27691647,-1.0912869,0.6280812,0.06570139,0.8516125,0.09818412,-1.1816423,0.50137407,0.62077403,0.55506104,1.7075278
-2.6540577,-1.0565556,-1.445323,-1.3756329,1.5709339,0.093673006,4.409631,5.336468,-1.0702295,-0.20625296,0.36613798,1.1672724,5.4791574,11.242569,2.9362772,-0.35741892,0.21871312,-0.09602221,-0.14004382,0.54466814,-1.0400817,0.36290857,-0.12621874,4.6912103,-1.2500575,0.05770123,-1.4531718,0.57762927,-0.25290966,0.47231853,0.032220818,0.28345022,1.5156978,2.0186863,-0.43569595,0.22799075,1.5514693,0.16007143,0.20633222,0.4060678,-0.4705846,-1.7421619,-1.4365128,0.7608205,0.6118271,0.07138143,3.0232985
-5.2774005,-1.0288547,0.89323336,-1.5940149,1.6458393,8.165361,7.445182,4.2836823,-0.5583018,0.008717624,0.37685272,-0.6600666,3.5259535,10.470789,3.5395703,0.10921949,-0.033009347,0.064759165,-0.46087113,-0.5260822,-3.154334,1.2378653,-0.3095346,5.845355,-0.94477314,0.46558565,0.26264742,0.04998211,-0.4775567,0.44495755,0.007338435,0.062441237,0.26068613,0.9602101,-2.0827112,-0.06090104,0.65614724,-1.5515541,0.63358694,0.16524743,0.5980941,0.03430638,0.5150125,-0.3897987,-1.6298155,0.47896403,1.321718
-6.559169,-0.7647317,0.06940945,-1.4225715,1.561167,7.038844,5.9432464,5.212061,-0.33894813,-0.10576515,0.20116548,0.42012396,5.105382,9.373719,3.1495752,0.5388686,0.41093305,0.23131414,-0.36047143,0.31777933,-2.024084,1.0324675,-0.9098347,6.8969746,-0.65502435,0.37860575,-0.88110137,0.026667817,-0.28250587,0.07018827,0.0014620356,-0.27095914,0.33767158,1.3018643,-2.1053727,0.048955668,1.1834582,-1.5073363,0.23284532,-0.30319744,0.1704272,-1.7639103,-0.29438472,0.5821234,0.73797864,0.18254824,1.5787206
-6.0291576,-0.48927575,-0.18617173,-1.25357,1.5322527,7.0948286,5.8606734,3.341263,-0.41637614,-0.06588994,0.37210977,-0.41694728,5.275667,9.873841,3.0826814,0.5818968,0.41932666,0.22612827,-0.2138247,0.40645486,-2.0514145,0.8908089,-0.30943924,6.7461133,-0.69341063,0.3292716,-1.4784867,0.9886312,-0.4437407,0.17451309,0.07167327,-0.19468315,0.51428914,1.0831983,-2.3266234,0.04357095,1.4329991,-0.7118287,0.3827783,-0.21886484,0.19604859,-2.5452156,-0.116172574,0.87284935,0.5290331,0.11905631,1.5048649
-2.1945975,-1.0249127,-0.16879185,-0.007955436,3.4351113,7.0603447,7.821371,-0.29994133,-0.28170004,0.27293375,0.21343035,1.140729,6.0514107,9.78992,3.6774049,0.93770933,0.8272414,0.26901293,-1.282359,0.16907902,-1.4257475,0.497125,0.19207281,6.16773,-0.8399707,1.1277509,-1.5331366,-0.3846778,-0.43214247,0.10500611,0.07437576,0.03635806,0.803201,1.3139256,-0.35839388,-0.20781355,0.90135574,-1.6897416,0.19447438,-0.022221971,0.45607546,0.07584959,0.027748555,0.80454224,0.8940448,-0.015388282,1.2826898
-2.18045,0.59490585,2.0356863,0.93199116,2.5958428,13.28109,7.444718,2.2802594,0.4515181,0.2767323,0.15069117,2.460662,12.352307,15.803465,3.626161,0.9032129,1.7256079,0.21119028,2.5107634,0.6331994,-0.7207067,2.3481846,0.39335257,10.402515,-2.6670265,1.4085944,-0.21972266,0.4465443,0.4992135,0.5551356,0.057076883,0.5010024,1.5187647,2.6332796,-0.07641907,2.3922079,1.981859,1.0322855,0.36680445,3.1253467,0.13426155,0.4725976,-0.33548796,1.9602928,0.6345066,-0.04812299,4.2788615
0.26516005,0.62093693,3.3835127,0.46973854,3.6895459,12.3611,7.9206424,0.6587603,-0.1484078,0.53973013,0.1227462,4.3723693,11.511657,15.638349,4.4593287,1.4996734,1.0003476,0.1712469,2.3981895,0.6597471,-0.16214804,1.1303247,0.3794724,10.8196945,-0.5003885,1.424225,-0.21187605,-0.14337064,-0.057310913,0.48906568,0.011526008,0.3558232,1.2845242,2.3788729,-0.047295142,2.2479818,1.8269944,0.8199897,0.0890111,1.9319054,0.4917731,-0.0782511,-0.06652877,1.6939409,0.6054711,-0.20318158,3.0604434
-2.7812574,0.42269778,2.618029,0.9655279,1.4446912,11.158912,5.742231,1.6270415,0.1854937,-0.13400859,0.12197308,-1.0288489,11.437456,13.953405,3.3863416,0.55818766,0.12754644,0.421687,1.6696672,0.63384986,0.64935744,2.1553123,0.8485795,9.474712,-1.5366002,1.4562911,-0.36616,-0.04967332,0.32083008,0.43289992,0.014601582,0.32619,1.4300293,3.3700616,-1.493815,2.8400474,1.9465297,0.888147,0.3463264,1.8398523,-0.10169599,0.14338386,-0.98055685,1.8895742,1.1686579,-0.06939011,2.9243186
3.8711567,2.1027088,6.321424,1.4379017,3.2187707,13.448677,10.754838,-0.7025613,0.8476597,0.625698,0.80713373,2.0833704,8.311917,14.483571,4.766703,0.29648167,0.8319474,0.70818603,-0.92426556,-0.8334477,0.760831,0.7083653,-0.08141863,10.341151,-1.3579156,0.5587948,0.5946493,0.4946283,0.19115725,1.0622298,0.03835333,0.18590796,1.3515432,2.690781,-0.9572856,0.273438,1.9844512,1.8133998,0.3024836,0.9130482,1.5207417,0.28373113,1.2118975,1.8365085,-1.0036016,0.6130014,2.3765159
