"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
22.039408,41.771576,-37.17823,179.4603,23.035442,-56.69266,-32.93815,-80.808754,-125.44499,18.815998,-87.12505,366.7191,205.87819,-212.01453,-55.690533,37.74345,2.545943,0.31732678,-14.189112,37.163483,62.159378,110.9328,-50.07865,-259.70877,57.918762,15.994033,40.883602,4.3743744,66.466034,-61.946575,-2.4713364,233.01521,105.56126,-5.8549023,-51.404793,-19.584715,-326.62766,90.289444,-32.20581,-166.15782,-70.899635,15.122574,294.8263,-399.0702,-525.4401,4.0483804,-1075.4739
55.582558,64.06186,-89.73209,193.29279,48.18633,35.22156,43.73218,-8.382567,-160.19,56.27658,-94.80649,433.243,290.82355,-140.28961,-33.234543,-7.045988,-22.299189,-9.639204,3.508478,28.046272,-12.969848,112.85575,-42.20126,-187.28723,121.44812,22.498283,33.655994,6.04294,67.73413,-56.650387,19.047115,-27.888899,56.762314,1.0014102,-36.05164,-21.103931,-315.99786,-8.4388,-32.343964,-166.5169,8.569729,5.733206,305.30606,-409.06628,-379.33945,18.071156,-1289.611
19.429966,35.828945,-104.81919,128.50629,45.791874,36.17259,-149.26225,-40.731052,-164.98178,19.410345,-87.996376,422.90662,160.39851,-222.08662,-27.46735,-10.269307,-15.618495,16.676027,-24.920176,8.256816,90.510506,-0.8813352,57.020447,-276.2331,100.58165,18.521591,25.065748,13.29577,46.07611,-59.31915,11.443722,194.14929,44.026115,-21.099558,-102.45287,-24.634434,-324.3987,100.61303,2.0706053,-205.7209,-99.70334,-1.1683482,309.95828,-289.3106,-443.9579,-20.133081,-1081.5895
43.21878,64.3081,-94.82048,188.34834,76.829666,37.23866,-15.447829,-67.90787,-137.23825,37.72295,-87.37034,280.27487,203.60925,-198.22711,-33.410892,-36.807262,0.69710827,-4.1821227,22.775501,38.577934,54.586,70.694824,-23.133686,-266.24533,117.09784,25.112738,20.209164,10.258098,57.028896,-12.728661,1.3667907,197.54042,53.114483,-18.818193,-381.12878,-17.836681,-246.01653,58.49986,-25.085089,-141.84216,21.515764,-1.3459418,304.15335,-185.22885,-410.59674,22.674955,-1122.7632
29.396019,57.879025,-104.39382,152.94405,89.98578,23.011545,-44.984367,-53.269176,-150.34314,18.899536,-102.70209,261.95398,209.61787,-189.07208,-30.784597,-28.376692,-4.253549,-5.7528205,21.993275,32.92369,92.397705,79.14323,-25.421131,-243.32455,115.92472,20.257278,23.94573,12.723435,53.375782,-13.941336,5.316665,169.17242,29.689001,-5.4448676,-154.06706,-37.376484,-255.95605,60.42064,-25.374159,-143.47736,13.116313,-0.44447976,270.86493,-214.42065,-400.92484,19.173437,-1152.6417
-18.10787,74.80849,-108.24427,74.62471,-86.44779,78.83833,-75.155106,-0.9030446,-168.15051,-230.26833,-75.14087,309.47882,191.11665,-177.93079,-41.63859,-20.080492,-6.22172,-5.4937363,33.03886,9.513638,125.58443,39.990887,-49.430588,-267.20483,54.68389,12.143636,47.03832,12.108689,81.96481,-14.579945,7.0497336,82.80037,46.519028,-30.816685,-205.73488,-33.0176,-301.1495,90.08717,-4.6688457,-207.55544,-70.49972,4.2305584,259.0115,-387.12112,-702.7469,0.8132783,-1184.4377
10.310638,40.99118,-87.37824,73.85336,-10.713447,61.372597,-54.498596,-162.39983,-162.40648,23.406317,-143.17122,-36.596054,8.795147,-282.30966,-50.762512,3.2630887,-21.427263,-11.022034,44.18749,15.430309,63.049057,39.359116,-18.34794,-337.40445,173.78831,0.30199775,35.650494,4.09098,9.4958105,-63.65139,21.942623,-65.48275,-78.4279,-6.9907103,-827.33575,-12.21288,-382.3974,-55.351837,-19.56548,-296.3731,-28.370111,-7.6240234,74.92563,-537.7689,-874.7646,1.6326537,-1458.6794
10.67744,-24.487143,-118.3865,49.439133,-22.537035,53.52284,-64.45356,-113.72614,-156.69867,-34.316563,-105.49168,-41.201973,-2.986358,-252.71724,-17.973852,-43.98427,-17.624529,-4.517425,14.123257,-9.050291,73.18953,-19.732092,-9.911318,-376.04355,67.50914,14.780769,26.084322,7.4771266,68.31851,-58.357277,27.876007,-91.40033,-72.49156,-23.469578,-580.8493,-27.072094,-395.80872,-34.353542,-19.606228,-357.3102,-26.814528,-23.274128,177.97389,-591.46155,-674.5213,9.147401,-1576.0404
11.699767,15.754694,-120.27964,51.235302,35.54726,32.666077,-26.124084,-175.55179,-161.4293,15.142284,-105.48636,-54.813866,-36.02501,-290.27914,-34.89013,-105.95946,-15.992563,-5.708128,27.157454,-5.0381494,59.114807,-29.682993,53.088665,-373.38986,117.56583,2.7142038,33.765305,3.3605518,32.548527,-68.724754,22.616177,-104.47899,-86.00425,-22.624844,-535.7253,-27.933733,-398.65564,-64.507034,-28.69935,-320.2918,-38.91763,4.140558,176.60454,-583.9944,-681.92487,-60.569603,-1517.877
-9.566172,-13.344015,17.89805,-251.6339,-36.293663,-87.6294,-52.88526,-228.31026,-291.96368,-47.55778,55.58455,-44.583332,-36.301277,-206.94664,-56.60945,-108.492065,-1.7720289,-17.574461,-70.21443,-64.675064,76.032555,-7.8602448,-4.58584,-355.88672,50.684647,24.77324,84.50814,-6.916955,35.713554,-62.924244,2.011259,-19.885891,62.525494,-25.977173,-463.11108,-26.744274,-365.40866,-44.059338,-20.383429,-457.6274,-192.92776,6.085491,218.65427,-599.7396,-326.47247,-40.145157,-1374.2681
0.54760325,51.21557,-102.677345,11.1795,-15.828223,-17.450617,-7.486497,-227.49991,-143.55548,23.783419,-121.91825,-36.484093,-14.195294,-251.99448,-31.220812,31.936756,-9.421654,-4.2654815,50.908863,-2.4144478,61.141838,55.261173,-39.793232,-339.6403,69.68954,14.367274,34.50497,-1.5429596,-129.01273,-70.39111,-10.838247,-111.53663,-104.49864,-7.2473245,-651.8013,-25.288433,-393.17517,-28.666595,-15.33793,-330.18292,-15.365534,-10.503655,211.85127,-528.27527,-571.6961,-66.011406,-1567.1815
7.718705,36.19212,-112.48367,66.332664,-10.469594,-57.13102,-18.640335,-88.74375,30.235296,-37.77745,-147.37292,-30.58244,24.813042,-118.59144,-42.532833,-99.41336,-7.6770787,-5.773466,-16.671375,13.574996,-87.207596,-145.94643,-31.260983,-300.1896,3.424983,12.891503,22.545017,-1.4715363,16.024822,-12.120566,1.6655719,-76.41965,-22.670712,-1.452819,-1017.2146,-22.893456,-361.81128,-25.505178,-7.6473475,-194.88208,-11.917411,6.3836336,-318.48148,-548.9555,-526.1378,6.9660807,-1522.649
-2.1061683,30.39582,-126.43403,54.87754,-56.165684,-29.390137,-42.077938,-105.16552,73.57194,-322.85608,-77.7996,-98.29713,-0.2958752,-67.00542,-106.388695,-128.19696,10.473456,-10.84062,-67.756134,-35.54706,17.779345,-162.0761,3.400217,-305.98035,-56.45522,28.662395,16.253292,-2.6764133,-45.42304,-13.589437,11.760509,-0.3393362,6.9200244,-30.31473,-714.0991,-25.368044,-414.50543,-66.760925,-11.975382,-234.71683,-71.16361,12.622235,-52.514694,-472.17886,-693.85046,12.328557,-1412.0062
7.3545423,36.17787,-112.514046,66.487976,-10.470126,-57.129913,-18.903883,-88.6574,29.988691,-37.82823,-147.33298,-30.543526,26.695314,-117.969734,-42.54976,-99.273254,-7.6834426,-5.77334,-16.399628,13.663762,-87.332146,-141.96828,-31.277102,-300.23254,3.3334076,12.956549,22.282133,-1.6413703,15.828246,-12.100212,1.6337736,-75.65279,-22.764214,-1.7618978,-1016.6469,-22.58549,-366.70847,-25.495928,-7.603891,-194.98425,-11.907315,6.3611736,-318.40747,-550.40454,-526.2299,6.9642863,-1522.6445
