"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-1.287774,-0.80802494,0.42937997,-2.2537608,-0.7819208,-0.3406779,0.95674604,0.48126844,-3.7561162,0.06571518,-0.001350955,-2.2740726,-0.39745837,4.35985,1.9995061,2.504825,0.90886277,0.03840727,-0.37287384,0.30802715,-0.2341321,1.5954394,0.6793682,0.83568794,0.7416718,0.05882453,-0.4501133,0.13692087,-0.10059126,1.2458998,0.026234144,-0.19189541,0.64103717,1.684063,-0.3935194,-0.40742695,0.22593972,-1.949489,-0.051584266,0.67729855,0.045440316,-0.21979468,0.015189499,1.5410142,0.73730165,1.0789412,-0.10963439
-1.302258,-1.2240416,-2.2751303,-3.621342,-1.4490972,-0.51144767,0.26801273,0.23159742,-3.6499567,-0.15508898,-0.8817945,-1.855446,-0.6296155,2.9483166,1.7791764,2.062643,0.21791624,-0.2866654,-0.53441304,-0.09488414,-0.116856106,1.3275324,0.8648527,-0.53753126,-0.68808734,-0.18738274,-1.0593159,0.37153545,-0.02228938,0.79578733,0.058865383,0.34960338,1.1396201,-0.74582064,-0.07072886,0.4910854,0.32618096,-0.1819833,-0.0081791235,0.84655684,-0.47508875,-0.50471216,-0.54059505,0.45714763,0.27325684,-0.017111814,2.2548096
-1.5801007,-0.7565537,0.29896113,-3.0870328,-1.6497667,0.5946178,0.4037523,0.3335563,0.107961945,0.14103693,0.024571829,-3.4665966,-1.9028325,3.2235465,1.9613928,-0.2727175,0.50391144,0.03467643,-0.34363228,-0.2288233,-0.93556607,2.0721257,0.13077362,0.3282634,-0.04701093,-0.041521754,1.0624349,0.10636532,-0.10016513,0.23026152,0.017739082,-0.61608166,0.8268391,0.40002957,-0.0056508756,-0.5384111,0.49220058,-2.764373,-0.05301085,0.9345295,0.12973475,0.11662235,0.29929227,-0.25309312,-1.8307745,0.56150645,-0.45691073
-1.533698,-0.9991877,0.40645787,-3.820407,-0.94965917,0.57653254,-0.36135164,0.50214934,-3.603404,-0.05299255,0.04489687,-1.7945381,-2.076176,2.642915,1.7988139,-0.41896316,0.6464969,0.07951347,-0.26701504,-0.045045685,-0.30144298,1.3352107,0.1757993,0.84318,-0.7050198,-0.12267975,-0.9106711,0.1352915,-0.19717373,0.2940615,0.0229074,-0.5027109,0.009231457,0.27884752,0.4935788,-0.30396104,0.35198185,-1.4666206,0.2440497,0.60160726,0.25128865,-0.060462605,-0.0044130585,0.38886636,0.48751503,0.045323104,1.1940832
-2.4439728,-0.72799325,0.5070769,-3.2164907,-1.5909274,-0.055059496,-0.08967756,-0.15360624,-5.422438,0.07482682,-0.016128862,-1.7586232,-2.1414871,3.4450262,2.1088068,-0.5677792,0.5485855,0.047050472,-0.27044734,-0.11004224,-0.39002723,1.2083036,0.1829725,0.6606316,-0.8609371,-0.122479,-1.0118731,0.3710726,-0.13050784,0.40013164,-0.03546979,-0.06232279,0.72544116,0.42365965,0.52742565,0.61733174,0.47131264,-1.3486257,0.18308589,0.732848,-0.104885295,-0.16484427,-0.110329196,0.42466947,0.6854179,0.09299232,1.8978206
-0.5938474,-1.3836976,1.3799441,4.129754,1.9144558,1.1119564,2.422933,1.651776,0.6016326,0.024766186,0.12591548,-3.6328802,-1.8813385,3.2735963,2.9271502,0.102471225,2.8814642,0.10041176,0.12400605,-0.22665168,0.06108273,2.751953,0.33088762,1.0230536,0.09212391,-0.054575905,-0.23958372,0.09190475,-0.103707574,1.0196717,0.01968244,0.56746095,0.32131186,1.2292668,0.035012905,-0.5375179,1.2457812,-3.171332,0.17460798,0.7057006,0.7339305,0.16519317,0.27871528,0.79894346,1.8600231,0.0640092,-0.5196319
0.89104307,1.3469552,3.8424587,6.948973,0.20972182,2.9753067,2.6045122,9.731791,3.7412982,0.38393617,-0.05796455,0.7491344,3.1570804,8.647147,4.7993875,1.18318,3.7042353,0.06062225,1.2040246,0.6556382,0.012667267,6.583914,0.5681358,1.164347,3.0017748,-0.08496709,-0.05337051,0.2532904,0.19666266,2.463343,0.3584984,2.7467134,3.6647148,4.0730886,2.5376782,2.600807,4.742723,2.354692,3.7254775,5.5389223,0.361696,0.6053112,0.28578803,3.5476794,1.3035936,-0.18056267,10.912549
1.295571,0.12058897,3.741877,6.9934874,1.6687007,3.2780478,2.6264815,9.266831,4.92388,0.40094027,0.0050258306,0.56354237,3.2634232,9.291447,5.1821837,0.6161259,3.1092057,0.07561476,0.7001762,0.7438287,-0.639037,6.027191,0.35642514,1.1896802,2.9687076,-0.08550018,0.092935465,-0.24054755,-0.033378046,1.5287993,0.016546475,3.0503743,3.5017207,6.340785,2.5492578,3.3348026,5.2186513,1.7525294,2.233025,4.5829735,1.1148988,0.66602933,0.4590008,3.1012936,1.1688449,0.41759732,11.613278
1.3048779,1.446054,4.693035,7.1785293,0.42350203,2.8019166,2.5246496,2.9049532,2.9058795,0.8747035,0.02246395,1.0858617,3.2219987,8.276556,4.7034273,0.66157585,3.8562655,0.10584004,0.90296835,0.8524538,-0.12848432,4.8648124,0.51732695,1.2263978,3.3721814,0.40481603,0.009117697,0.71336794,0.1091286,1.7726514,0.39744788,3.0066335,2.7804697,5.888725,3.4105377,4.269557,5.409718,2.576661,3.5945585,5.5013275,1.3504697,0.5940707,0.6416339,3.1494958,1.5853534,0.46667928,11.669051
2.4615104,5.376494,3.0042064,9.278058,1.7356355,3.604318,2.299904,9.910385,7.0709615,1.3788049,-0.17363551,0.9539566,2.2937531,9.068989,5.208833,-0.027154924,-0.3213896,-0.031214988,0.35252643,-0.26317468,-0.7113579,5.830337,0.6332275,2.0172105,0.8128224,1.2535088,0.1373398,1.1995388,0.6612811,4.141285,0.1095137,1.7507225,5.5167894,7.4055347,2.180278,1.7917091,3.101009,1.858072,2.0041385,4.846762,2.2741258,0.66630024,0.5894452,3.937966,0.7256354,0.47445282,1.5926538
1.7262869,0.324804,5.3896575,6.350138,1.705226,-0.0055337204,2.130814,1.2185497,-1.1844629,0.8305429,-0.0070631825,0.82987595,3.014796,7.512509,6.154117,1.3360081,2.5537345,0.11090672,1.7920043,0.86956775,0.72561735,5.3370113,0.5421954,1.3259901,4.3197722,0.9594667,0.3899942,2.0684206,4.0400763,3.5041525,0.09743415,2.2236164,3.6899052,5.9419765,3.4494317,3.2095196,4.940002,1.95656,3.3921425,5.157652,1.6649762,0.30490187,2.0297654,3.1664057,1.0014997,0.97625345,10.994423
-0.49059153,-0.005430489,-0.3863652,1.9804875,0.32657358,-0.6338719,0.58244723,1.4185648,1.2452654,0.2766445,0.05560961,0.36085525,1.7509314,5.410385,2.6770322,0.1720568,0.14686257,0.05504639,0.12653394,0.3891762,0.4114523,0.7030902,0.24412893,0.6030316,0.8850418,0.42826486,-0.6110617,0.050023243,-0.00045705817,1.0943255,0.06201723,1.1992819,1.782919,1.1560743,-0.08487833,-0.31044126,2.1916776,0.59976417,-0.22240089,1.4756205,-0.11369657,-0.20074742,0.040638603,2.5841575,0.97155625,0.09870524,1.4349765
0.35575023,0.042575296,1.3114475,3.6537259,0.092825696,-0.53971976,0.8023761,1.4631554,0.74620706,0.035061784,-0.27763292,0.8227339,1.4603466,4.4151196,1.9010757,-0.42347232,-0.58033836,0.07253497,-0.3084726,0.34331214,0.4057189,-0.86286336,0.029707849,0.5548122,1.4412527,0.53363556,0.17854506,-0.043125685,0.3389902,1.4562064,0.054008946,1.3631393,2.4628804,3.3016548,1.0591996,-0.40533242,1.4132085,0.8552504,-0.14413428,1.6553406,0.57009125,0.08368721,0.19581683,1.1824331,0.97055864,0.11703287,-0.1528939
-0.4954655,-0.0071476437,-0.46352687,1.918761,0.31780225,-0.6366717,0.5514471,1.4019336,1.3043619,0.2774108,0.055615965,0.35748714,1.7354572,5.3759727,2.6871192,0.17128211,0.3443724,0.054994166,0.12650052,0.53174555,0.40806174,0.70626545,0.28156102,0.6041675,0.94511443,0.42796183,-0.6110068,0.050462525,0.0013452002,1.0837337,0.061972048,1.032996,1.6940552,1.1686373,-0.31446886,-0.30984834,2.433854,0.5840712,-0.21455745,1.470746,-0.11905343,-0.20348135,0.005092077,2.5861812,0.95745057,0.08949976,1.4683734
-0.80661887,-0.498562,-0.72564447,1.808101,0.31298846,-0.60377216,0.7162873,1.4960723,1.8646606,0.21098363,0.06956085,0.34737355,1.7792318,5.2409167,2.4886842,0.1695819,0.2832519,0.07094118,0.042495213,0.5028624,0.47345898,0.9690681,0.3393125,0.87540436,1.0724217,0.6149893,-0.5953047,-0.010960043,-0.026708063,1.056377,0.060102716,1.0353707,1.6855948,1.1665543,-0.5148389,-0.29269725,2.4434838,0.52650416,0.04329572,1.5777661,-0.12591861,-0.17189814,0.30737123,2.1022162,0.83868,0.06701455,1.6296713
-0.49057952,-0.0071244794,-0.46367076,1.9524914,0.32800308,-0.6366717,0.5841244,1.418249,1.2522547,0.2769754,0.055615965,0.3579147,1.7517116,5.4046216,2.6903727,0.17467421,0.15564182,0.054994166,0.12650052,0.49785486,0.4034903,0.70579386,0.2443446,0.6033877,0.969839,0.42796183,-0.6110068,0.050462525,0.0001804959,1.083498,0.061972048,0.9992717,1.6929077,1.1591723,-0.15238056,-0.31047857,2.4393306,0.59054863,-0.21434481,1.4707143,-0.10953619,-0.20103893,0.040642574,2.5862067,0.973923,0.090220526,1.465639
-0.3726229,1.0535868,1.0749648,2.2401743,0.20577209,-0.6600948,0.47165328,1.7064444,1.9931805,0.326552,0.26933745,0.5838471,1.5267508,5.031141,2.2291982,0.24986953,-0.18608196,-0.0030396502,-0.11792595,0.11977277,0.502602,-0.38486716,0.22980595,1.1764361,1.6165062,0.5133322,-0.160862,-0.030556668,0.05939902,1.2395191,0.09669308,0.44149515,0.7155124,1.1253415,0.8389932,-0.17958605,-1.1441286,1.5087146,-0.33717132,1.4459023,0.2324832,0.15692557,0.21326815,1.9845127,0.3909361,0.12375255,1.6314371
0.2111811,0.055543177,-1.5273906,-1.0855378,-0.10771571,-1.0446776,-0.15849003,0.9074378,3.5670002,0.16035001,0.10869965,0.10538862,1.5641682,6.1077003,2.5484536,0.4988869,0.60097104,0.05534591,-0.48751804,0.41709062,1.5013579,1.2283329,-0.5486891,0.86418515,2.0394428,-0.18550369,-1.203808,0.2404927,0.32527822,0.5771972,0.06927753,0.4022208,0.55365795,2.3106408,0.9119123,-0.6048939,-0.9075771,0.6813417,0.23313846,1.003,-1.920792,-0.011356992,0.11287144,1.6947701,0.44126898,-0.7282229,1.9443232
