"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-3.9400039,-2.0052242,-2.7900858,1.048623,8.057367,-1.4703524,7.8774796,20.092405,23.302496,-2.4312122,0.22076157,0.082062975,14.047874,40.524082,4.041296,1.4859172,0.41027603,3.4672368,-0.3413778,-0.82414764,3.4626386,1.403969,1.7007325,69.52127,-1.3249553,-0.7065127,0.96113807,-0.346127,-3.0880754,1.5141683,0.736615,3.0778356,1.8627716,9.179198,22.113913,0.1908702,5.0122,4.847517,3.6999443,8.753754,0.10541275,-0.9382569,5.8114095,7.857804,17.936302,0.92192197,49.301052
-4.50841,-1.9856488,-0.54661036,-4.9934855,9.693958,0.19802287,9.05576,20.476713,32.310963,-2.964117,1.3798512,3.394322,18.804745,46.067184,3.7920852,-0.35896045,-0.5876216,3.5920682,-0.64751804,-6.8537803,4.926204,0.25522178,1.5592884,71.37802,-4.7816563,0.14012247,0.76122093,-0.10623548,-2.6978688,0.5591981,0.02682782,1.3616445,1.2527506,0.2586618,14.353101,-1.3430475,6.1577344,7.2928677,4.4272547,9.87454,-0.8127476,-2.9874687,4.6908236,7.3476987,17.302565,-0.62471706,47.055336
-3.7870252,-2.2757964,-1.3095316,-0.14854561,9.22963,9.267975,7.6291165,20.529808,22.058382,-0.73902696,1.3296014,2.0684762,13.035693,40.755253,3.2020538,-0.26445788,0.55369693,2.2109997,0.0051229955,-0.34189516,3.7960608,-1.283036,0.20417675,71.85336,-3.3726149,-0.1895648,1.3134544,-0.1688087,-0.56786793,1.0249841,0.18331188,1.9163092,0.032855414,10.420694,32.081074,-0.22051351,4.4107847,18.052345,3.1779544,7.946866,1.8054401,-3.2443326,-6.6128545,7.284194,5.9423003,0.69501454,43.62793
-4.0144577,-1.7652106,-0.8023517,-4.5287404,9.238631,8.657695,6.5013795,19.724981,34.125793,-2.1242409,0.9321961,2.9183474,16.176224,41.621025,3.694417,-2.2461283,0.3260657,3.1769216,-0.5928989,-1.8620585,4.641439,0.6838871,2.208723,70.82567,-5.764552,0.7833501,0.82597286,-0.3166923,-0.73064834,0.94255203,0.24571787,1.2969776,1.2127568,1.3663747,12.957857,-0.1498633,7.2334967,5.597091,4.558379,6.128005,0.20600903,-2.1523914,4.176385,6.9189568,16.926203,-0.7468654,43.73888
-3.9698737,-2.0234153,-0.7199447,0.24846151,8.814072,8.002,9.724291,19.462887,28.132994,-1.8061242,2.1177397,3.365772,17.156164,41.93636,3.5041606,-0.7403884,0.4796889,2.4182775,-0.6562503,-1.9081788,4.32214,-0.7688643,1.3890926,71.69474,-5.4167233,0.27917707,0.6950415,1.2808955,-1.3942848,0.6904399,0.28847104,1.3340076,1.1958396,1.0495881,11.559393,-1.1637472,6.369735,6.3777437,4.2740173,6.5254188,-0.37771964,-1.94068,4.1065087,6.9059014,16.227795,-0.7370701,44.44881
-1.1572874,-4.2883077,-0.9331946,-1.5244403,0.67245597,10.671052,5.459189,11.582525,22.979773,-0.3984521,-0.21194771,1.6510946,9.461062,41.66556,4.197818,-0.27920717,-0.15741602,2.7516208,-1.317391,-1.1405067,3.0142238,0.80346453,2.1505685,69.16269,-4.296815,0.054614156,1.368057,-0.295706,-0.7197162,1.2295678,0.72064734,1.2870198,0.10809475,13.643338,18.404793,-0.34749463,4.060863,1.4297516,3.3077102,5.7731957,-0.48149222,-0.09074209,4.307216,9.460787,16.827753,-0.54815024,43.792
-2.3692687,0.042122383,-0.9821758,1.2203555,4.3481455,12.641683,11.52499,16.429426,24.263237,-1.5349705,0.91780907,1.38441,11.549549,37.953697,3.5070515,0.36481792,1.256695,1.2821594,-1.8940676,-1.2241416,5.0762186,-1.467673,0.17003262,70.19538,-1.8716879,1.7369673,0.5465571,-0.007339302,-3.296353,1.3450278,-0.055551685,-0.20412861,-1.4018834,0.64441514,-1.7152097,-1.5420616,6.2727237,-2.8220773,7.568987,7.112236,0.27633756,-0.4493819,0.25421134,9.0478,18.045647,0.21848266,42.410774
-0.08189311,1.8537077,-1.5808679,0.4334759,2.3829117,11.85533,8.648283,16.462141,26.670856,-0.053731967,-0.7717372,0.8825777,7.849416,41.47738,4.6867046,-1.6920412,1.6223087,-0.08992044,-1.0438907,-0.010471051,1.8327051,-0.25175357,-0.11427367,53.667362,-2.9600983,-0.3749492,-0.74593586,-0.41989133,-2.7553682,0.7154568,0.20675159,0.5986631,1.0814846,1.209508,11.868779,-0.7815265,6.726029,0.16116558,5.1939325,7.732324,0.21028644,5.0972977,3.0062983,8.917962,16.350876,-0.11135312,41.410507
-3.3315876,0.023533942,-2.063523,0.5617187,7.3190384,13.590121,11.121327,17.049778,28.96612,-1.6800779,-0.58474785,0.58463055,9.998099,41.73034,4.654885,-1.2853049,1.2142321,-0.12975113,-0.9336983,-0.23581928,1.3190482,-0.9043549,-0.37046185,52.103687,-2.8410695,-0.16008453,-0.4831488,0.014589424,-3.278042,0.87933004,0.24917373,0.35429838,1.2544407,-0.060363404,10.236981,-1.4821563,6.5952644,-1.1410352,6.4447308,8.091611,0.5767943,2.3426507,3.2314615,8.359987,16.96515,-0.22280444,42.239285
3.3271306,9.180911,-1.3769845,2.1997871,14.751592,8.758041,11.653604,-20.054554,11.445071,0.77844715,-6.7974033,3.2907238,7.907499,34.401844,6.671037,3.531073,0.050404206,-0.6116042,1.2196237,2.5634203,-6.3280406,2.394109,-0.78834873,44.94272,1.1124214,-1.7073493,0.5524775,-0.03485979,-1.0569448,2.7657475,1.956854,4.631018,1.3015558,15.5297165,18.369081,-1.7294272,5.903613,3.5691617,3.1689913,10.08787,1.4737462,7.467407,-8.002547,11.935002,29.005013,0.25656146,37.12762
