"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
3.9152875,-0.07999387,1.8167033,-0.12275597,5.290708,-6.642744,10.163714,7.7910986,-0.064280026,1.7464129,-1.6789683,13.174022,3.2118316,14.44588,4.704673,-8.507622,5.4801927,-0.21199775,0.77840585,-2.4082558,-0.6709353,-0.36794338,-2.4706397,14.307237,-0.9642384,-0.39501405,1.642005,0.40585405,1.7406591,-1.5686285,-0.41354162,0.7233512,1.2449768,2.3232143,-2.7782707,0.9625821,5.3348904,6.8386064,2.5740001,0.16133627,-0.93512374,5.4850526,-1.702768,0.44163573,-0.46697697,0.15110342,2.0303686
5.6661525,-0.18171582,-0.18834923,0.5665878,0.85302997,-4.613467,15.187982,15.951194,0.5884389,-4.530216,2.1198666,17.440445,6.1481323,21.182768,4.428067,-0.94813675,8.420324,-0.08912077,1.4333977,-3.6600735,0.8532181,1.3676559,-2.5115063,18.089622,0.8331017,-0.71532714,-1.3201878,0.7129936,0.72175306,-0.49738976,0.06256867,-0.7592552,1.5144048,2.988253,-0.04719364,3.5902522,5.904862,-1.5033989,5.0253263,0.16361907,0.70453,0.550025,-0.916338,0.50773084,0.546198,0.44129923,0.91123646
4.1313367,0.30709785,-0.82579947,-3.5164797,4.892964,9.762798,20.5908,7.4796023,-2.3796284,-6.75936,-1.0207962,16.429014,6.929079,20.602713,7.472434,1.3203405,1.5326142,0.5451463,1.35648,-1.0898097,-0.5935531,-2.3307106,-4.6100664,18.94289,2.0876133,-0.18585892,-4.0218477,0.008965002,1.6184596,-0.6497666,0.023882076,1.0324293,1.364408,-0.23273031,-4.6867247,2.5165286,4.5753307,4.7793803,2.8101232,0.30918333,0.271464,0.45328254,-0.45007575,0.77047414,-0.7836083,0.7367083,4.2093353
5.58353,0.48752958,-0.77426326,0.7430957,0.14033186,10.089502,7.8062596,16.613092,-1.1731215,1.503405,-1.948943,17.611895,6.046206,23.483015,5.668863,-1.1655008,-0.9337527,0.15036908,0.5772976,-2.0587134,0.06923876,-0.7261431,-2.668297,17.728165,0.18604675,-0.15031432,0.22021793,0.5418817,1.4033937,0.018847752,0.60427076,-0.2093221,0.7479445,2.8309388,-3.3474724,0.5932674,4.713906,3.0991127,3.1337447,0.20968391,1.0692439,-0.17557546,-1.0784867,0.9015758,0.62773806,0.61669004,3.3712144
6.223771,0.100971006,2.439744,-0.13744605,4.994941,7.101078,10.875772,5.749,0.54122007,-0.4394722,-0.16961168,13.019265,7.927963,21.814522,6.6498556,-1.7679108,3.677714,0.0010161937,0.3549709,-2.9713628,1.0643991,-0.9619955,-3.677056,18.767616,0.55343497,-0.50636613,-2.236148,0.31841114,3.068979,-0.020767154,0.16078123,-0.21174075,0.5459101,3.35791,-0.5573574,2.0075645,4.4747224,2.8265357,2.515424,0.075792745,1.5237863,0.16446508,-1.4236403,0.5552468,0.19508615,0.6938189,3.7632296
-8.343325,0.27244028,2.5478475,1.8843567,6.1313396,6.0482144,14.949832,0.9995229,-2.1142194,6.903684,-2.36917,21.10522,7.9765296,21.442663,7.35534,-3.7289946,0.636338,-0.111175425,0.38867727,-0.9183575,-0.74475205,1.0697494,-3.3722136,15.718068,0.48839808,-0.450603,-2.1363773,0.27073377,2.5107396,-0.03397511,-0.006448415,0.9197039,1.7350357,0.14664637,-2.6031396,0.4450176,5.0997124,2.8848526,3.2211506,0.21745923,-0.05456569,-0.012477438,-1.0930613,1.111125,0.20665108,0.37088904,3.500572
3.5321314,-0.48725817,-0.92120856,-1.0245334,5.105968,-4.636874,-1.3971959,-8.935937,0.10822883,-0.6723246,-3.5606716,-2.3153217,-1.1019006,11.925263,2.58579,-6.4304376,0.54655206,0.451078,-6.0233755,-4.107846,-0.7074651,-5.336415,-3.2418659,11.584599,-4.631719,-0.81769836,-1.8718432,0.0046020485,0.6612276,-1.2343812,0.064790376,-0.5590381,-0.144925,-2.7421935,-10.569287,0.1258115,3.552228,-6.7571535,1.29208,-0.5730749,-1.9684632,-1.5227463,-1.2308398,0.74332553,-0.13700725,-0.35767314,-6.6546016
-11.572982,-1.0979606,-3.9069588,0.78070384,4.8757434,-3.8008485,1.5933472,-4.835448,-1.6605945,2.3793683,-6.1413703,-2.2578144,0.8857049,9.156506,4.466464,-5.3248854,0.92067754,-0.34706578,-4.729143,-2.3211124,-2.2778738,-6.698595,-4.4717903,10.176238,-2.2578938,-0.6977229,-5.8318934,0.31539804,1.160308,-0.12363378,0.5295644,-0.5971448,1.0559893,0.99617594,-11.128913,0.6939211,3.1278427,-3.6443455,1.0717815,0.05095438,-2.3773117,2.0482605,-2.191709,0.4163029,-0.17362927,-1.129856,-5.772101
4.7037554,-0.4827668,-3.892373,-0.48047101,3.776315,-6.303688,6.595094,1.8744475,-3.526719,-9.88234,-7.0441895,-2.2731295,-1.8585974,15.394581,3.6694584,-5.2200856,1.0027717,0.32757172,-5.444058,-1.8221064,-5.314004,-4.066761,-3.6179626,11.233216,-6.0886784,-1.2508968,-2.2868702,0.04500711,0.6628276,-0.28587016,-0.07235871,-1.4141358,-0.06868371,0.24341002,-13.501526,-1.1860063,2.2890599,-7.5983825,1.3312438,0.21663381,-0.7896362,-0.32337362,-1.5316874,0.27978927,-0.004355812,0.158009,-6.2256265
-9.913806,-3.7663825,-3.5432558,-6.152652,3.4859846,4.830839,2.042581,-14.573141,-3.8708117,-0.838789,-2.1628304,-4.7632937,1.6234932,11.4322605,5.302493,-1.7381978,1.433428,-0.018698812,0.31706676,0.9379568,2.2192786,-0.26177484,-5.7381377,8.952742,-1.4531746,-1.2162459,-7.8953238,-0.9936593,-1.1464106,-2.1627836,0.017774554,0.22714671,1.6447761,-2.2282531,-5.4198127,2.0787091,2.160674,-2.6509025,-1.3181367,-1.0638672,-2.6556015,2.0965414,-2.7316287,0.6091599,-0.17822304,-3.7598307,-7.4058824
