"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.1168126,0.064418636,-0.08746003,0.894466,0.73120713,-0.31627864,-0.96295244,-0.3810694,-0.91657114,-0.0073286705,-0.18645605,-0.24884768,0.71778506,0.46844766,-0.09272018,-1.2581831,-0.4404854,0.013669953,0.030940956,-0.39046296,-0.5995365,-0.2260642,-0.012529177,0.5645416,0.090587236,0.091277294,0.49050367,-0.13265927,0.5161043,-0.056134988,-0.028896557,0.12436454,-0.081320494,0.041881904,0.78247917,0.060126364,0.19428329,0.40493172,-0.193414,-0.2619159,-0.02659504,-0.094581805,0.056247972,-0.33097008,-0.61594754,-0.14765655,-2.5093534
0.02243982,0.106749535,-0.28452617,1.1318544,0.93961114,-0.41335136,-1.1698189,-0.67686796,-1.2440042,-0.071176395,-0.12924719,-0.2826112,0.60913664,0.4991305,-0.063447,-0.4606329,-0.36816368,0.16087653,0.012334326,-0.12827785,-0.36654913,-0.21846032,0.07897558,0.6079796,0.57645,0.17121829,0.7816233,0.01757823,-0.021397356,-0.06762131,-0.017333182,-0.047613967,-0.37935555,0.21315153,1.1417705,0.19859889,0.23778085,0.25013998,-0.086894065,-0.3587245,0.20712188,0.21261065,0.09663356,-0.49703616,-0.70378846,0.22295904,-2.7485592
-0.0032576593,0.15543783,0.06649372,1.2078848,0.44685614,-0.71068233,0.06279291,-0.1273576,-1.1057581,-0.027264362,-0.14927348,-0.1427754,0.75935477,0.5871401,-0.1466176,0.26929128,-0.24743187,-0.03554522,0.010064584,-0.33410048,-0.4482677,-0.19885066,1.8220736,0.5419636,-0.062721536,0.05178211,0.2706745,-0.17799725,0.18390137,-0.09660419,-0.016576257,-0.03079961,0.25411934,-0.024234278,0.79387563,-0.06467084,0.17092028,0.31133613,-0.15126622,-0.14576028,0.103679545,-0.18502961,0.18837067,-0.6090615,0.753572,-0.20599692,-3.10457
0.013119855,0.100650325,-0.07972173,0.9924763,0.7393044,-0.60153395,-0.8329118,-0.3814789,-0.89327407,-0.15896007,-0.15026748,-0.24807455,0.70801693,0.6263197,-0.100815296,0.060200684,-0.18071558,0.12619017,0.023628639,-0.13199389,-0.4431892,-0.24600947,0.037085935,0.5743416,0.102739595,0.059868887,0.66139007,-0.043186598,-0.010882861,-0.049177106,-0.019360432,0.1918358,-0.23837279,0.05888138,1.0450765,-0.028828476,0.23705743,0.4183744,-0.111513145,-0.31309083,0.1647634,-0.058240928,0.3425577,-0.2999794,-0.7357267,-0.1037722,-3.1349971
-0.052619204,0.13864928,-0.08862208,1.0097358,0.75677335,-0.543904,-0.93097895,-0.0470157,-0.87560964,-0.30095255,-0.1429943,-0.16355728,0.7192628,0.56032836,-0.14993386,0.06474688,-0.20322333,0.14960685,-0.026754288,-0.15703703,-0.47628173,-0.23825262,0.06433769,0.5693566,-0.03793037,0.019912407,0.4939593,-0.031058896,0.028485246,-0.05031125,-0.012733429,0.12911315,-0.27997628,0.07448922,0.9769082,0.04670886,0.18404931,0.3970766,-0.12789732,-0.319142,0.16692187,-0.07985524,0.17365503,-0.31600264,-0.7620058,0.023254443,-2.6287715
0.08166607,0.1558652,-0.11804816,0.74709785,0.41873053,-0.79769635,-0.5090015,0.20337033,-0.87166274,-0.3659102,-0.18656701,-0.13279296,0.70262665,0.5660801,-0.15798701,0.13111188,-0.35131356,0.18252972,0.02301103,-0.33682552,-0.45369384,-0.2707789,-0.056802705,0.60076076,-0.052791875,0.10601563,0.5440191,-0.15169075,0.026988732,-0.025393514,-0.026164925,0.15920079,-0.0618209,-0.31712738,0.79080796,-0.10100535,0.27803463,0.5131313,-0.071168564,-0.20934509,0.10192627,-0.13284393,0.15060966,-0.32460168,-0.71505356,-0.22169018,-2.8473577
0.048137046,0.24926259,0.23044437,0.7666887,0.77048886,-0.1336422,-1.183211,0.36002818,-0.9818286,-0.13113596,-0.093531996,-0.02289859,0.52233016,0.48926696,-0.0009145971,-0.39133364,-0.3586606,0.009235371,0.39878026,-0.20549537,-0.49995527,-0.34741652,-0.027920267,0.66782707,1.1579517,0.20461388,1.0943543,0.11772134,0.18569794,0.0729464,0.15618381,-0.06552059,-0.33858,0.23806962,0.79481256,0.33378723,0.25584316,-0.48000723,0.09135176,-0.41080558,0.08046407,-0.0352451,-0.5440506,-0.27872708,-0.6528416,0.0931111,-2.4077034
0.26414493,0.005794072,0.42667437,0.87489957,0.29820934,-0.81535673,-1.0936929,0.27866182,-0.9118945,0.018745575,-0.10857637,-0.22347991,0.5174381,0.5603865,-0.11078349,0.1266993,-0.24197721,0.008996556,-0.031517405,-0.3792132,-0.163408,-0.24675775,0.19713289,0.5941695,0.5204058,0.20986067,1.0182841,0.07355163,0.004021119,0.04949021,0.15485054,0.19923279,-0.26406223,0.072012894,1.2601796,0.13459273,0.22819276,0.08436036,-0.24538077,-0.27984658,0.09848813,-0.26721036,-0.040256277,-0.5691367,-0.7578381,-0.03786864,-1.6895522
0.15923452,0.19990018,0.29766676,0.8100488,0.6651719,-0.54211015,-1.1291125,0.038109504,-0.86590815,-0.2984352,-0.08148552,-0.13402931,0.57589144,0.5488623,-0.10042097,0.2467712,-0.042583182,0.024605868,0.19841166,-0.37628245,-0.186335,-0.19200309,0.2739662,0.72501296,0.8118915,0.21562105,0.6741601,0.1527331,0.05864533,0.059286933,0.14623007,0.073172964,-0.26612538,0.105729,1.3062027,0.10845456,0.36980596,-0.49656975,-0.002856081,-0.3514763,0.11494853,0.07769652,-0.1265626,-0.4828604,-0.8543148,-0.07095683,-2.6366334
0.24847959,0.097188585,-0.19484161,-1.1196876,0.18937275,1.2290734,-0.6722887,0.29275885,-0.5717661,0.051815785,0.04432411,-0.02984037,0.6064358,0.41559392,-0.07492053,0.17722802,-0.12927945,-0.06975876,0.07503061,-0.46243176,0.1847661,-0.15345725,0.23908776,0.8289364,-0.08106051,0.29362962,0.80788094,-0.067145474,0.11184844,-0.09969246,0.025738148,0.22597848,0.36268923,0.09003508,0.8233886,0.198606,0.19396965,0.050423723,-0.025608564,-0.27639738,0.17947185,-0.053800527,0.019077705,-0.98258805,-0.83257365,-0.084457725,-2.2796881
0.30810413,0.19211331,0.0399184,0.8443928,0.25797018,-0.4050293,-0.7298824,0.1379,-0.86429834,-0.17724866,-0.11562232,-0.009504001,0.47498116,0.6261352,-0.033824533,-0.6175044,-0.08034985,0.12510341,0.2596639,-0.35977367,-0.31694263,-0.19593623,0.19329008,0.7476211,0.4410168,0.20554087,1.3320638,0.12035913,-0.046131775,0.109241724,-0.033563636,0.20351684,-0.32564297,0.23960006,1.0660977,0.028336557,0.32776394,0.16454092,-0.020661684,-0.34124652,0.124418885,0.08077679,0.18976128,-0.5074427,-0.8750275,-0.08877842,-2.893823
0.04900841,0.051641922,-0.2459697,0.66326636,0.13974445,-0.19199248,-0.7814871,-0.035731178,0.5580827,-0.08765387,-0.10186358,-0.36628106,0.5479573,0.33741468,0.036782544,0.0692669,-0.12669381,-0.07083885,0.24630979,-0.42882198,-0.43893614,-0.15762043,0.055083398,0.735381,0.047733624,0.12219361,0.48502257,-0.006229313,-0.016364966,-0.016949203,-0.016133834,0.03219206,-0.20878035,0.14221147,-0.6689063,0.11219237,0.15712628,-0.06374743,-0.20086654,-0.2533244,0.14908853,-0.018233802,-0.21866275,-0.4640326,-0.7025158,0.05941906,-2.3817022
