"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-3.6640003,1.1179338,8.181412,12.87594,-4.1535215,-2.3778841,-6.2389216,3.3480504,1.5963794,-14.627796,0.7404658,-13.635443,2.270579,-10.116303,-3.4064043,17.373203,-4.781878,-0.6126165,1.2678767,-2.4215462,2.721772,-16.232307,-0.36378565,8.949772,8.923168,1.0674129,2.243949,0.43907985,0.85049504,0.362197,0.44370872,-0.33626577,-1.0476313,-1.8449177,-7.157418,-5.2477546,-10.254218,1.3253262,-4.230516,-0.070827864,-2.5596812,-2.8289387,-3.7704396,-8.981217,-0.64747334,-0.067662865,5.0373955
-3.9369543,0.35161778,-14.185622,3.7184827,-3.184931,-2.235983,-6.321783,2.771458,2.0573134,-16.650772,0.9520448,-18.439293,16.66218,-8.506306,-2.6721785,13.099655,-9.583761,-0.8506431,1.9953429,-1.0135537,3.763734,-20.41776,0.042870518,8.225611,8.420846,1.3969376,2.0717177,0.5898922,0.40930313,0.43459058,0.43251172,-1.2494498,-2.409667,-1.1844982,-8.057276,-3.1189313,-13.492558,0.267409,-3.0793324,-0.86169535,-3.8534844,-1.747568,-3.3382587,-8.163838,-1.9427351,-0.1698351,5.267349
-3.8217926,-0.87361676,-13.852409,0.6547681,-4.519852,-1.293241,-2.5821095,3.203232,1.7645699,-16.894882,0.9536568,-10.585843,22.373829,-10.054096,-2.4598095,12.617532,-9.960297,-0.47136453,0.46571964,-2.613217,3.5024662,-33.31299,-0.063730985,8.038848,8.290513,1.7928501,2.3271706,0.6394517,0.38581845,0.4446481,0.48619473,-0.33618486,-0.61524594,-1.4693137,-4.541028,-4.6502275,-10.973994,-0.06668638,-4.16731,0.37156504,-3.536226,-2.5994222,-2.3536513,-9.491182,-1.7545742,-0.061902247,4.8856683
-3.8482192,0.22200608,-12.607727,3.990792,-4.1438694,-1.6464059,-5.5066667,2.7520196,1.1717281,-16.67342,0.7120637,-17.312872,1.4830002,-9.797695,-2.6195738,18.445833,-4.8693714,-0.7733305,3.0148685,-1.785517,3.7900808,-15.525214,-0.20317823,8.188478,7.795973,1.4785131,1.998811,0.5967571,0.73219645,0.49657816,0.2293306,-1.2903346,-0.822967,-1.9654317,-5.8679347,-3.130837,-13.66936,-0.066274226,-3.7356548,0.05033233,-3.829401,-2.1822093,-4.3468523,-9.074721,-2.4007876,-0.10866746,5.1196017
-3.8218703,-0.91072017,-14.512589,1.5357641,-4.181622,-1.8922806,-4.2764726,2.745329,2.2006333,-17.880825,1.1559424,-18.86972,5.5518456,-9.666655,-0.9310973,18.54061,-8.929753,-0.8015373,3.1233082,-1.7729714,3.3227246,-16.439795,-0.25010964,7.856538,7.9260526,1.482773,2.0424674,0.5225283,0.25459006,0.4512285,0.29725993,-1.1411953,-0.54651916,-2.0869622,-4.1164722,-1.461779,-13.620168,0.009017639,-2.985581,0.02404432,-3.9586093,-2.3002057,-4.2580853,-9.041235,-1.438546,-0.1314931,5.2675095
-2.464523,-0.87369204,-14.272136,-3.2314408,-3.0973349,-0.88374287,-1.3172601,1.4514463,1.318075,-16.117352,0.7875556,-10.056204,1.4501262,-10.224882,-2.38305,16.828768,-5.880399,-0.63532096,1.7751486,-1.9868108,3.064734,-19.647358,-0.1632809,7.9650774,8.485817,1.4652301,2.9688642,0.45388514,0.64604604,0.69602627,0.047743402,-0.64074165,-0.8084522,-1.947093,-3.655061,-4.0357766,-14.538548,0.36115003,-5.3842,0.1936683,-4.1927185,-2.5171955,-4.161442,-9.454872,-0.9326292,-0.011356206,4.8961153
-2.4753387,-0.8732165,-14.3256855,0.011330948,-4.6848607,0.26858836,-5.5750318,2.2564201,2.7097108,-20.64747,0.38480344,-13.938593,0.6526706,-8.589698,-2.2478101,19.186907,-5.6008606,-0.7172027,2.973668,-1.5918968,3.5107267,-21.573519,-0.12586474,8.1695,15.036665,1.1048856,1.5632607,0.716765,0.24505304,0.6797896,0.49072048,2.004797,-1.015762,-0.7770165,-5.2927637,-1.0912893,-14.278596,0.9919117,-3.6667795,-0.602118,-3.7389996,-1.7749872,-1.6728637,-8.046065,-0.81635964,-0.10211068,5.0022573
-2.1575515,-0.106701344,-15.257605,-0.73150235,-3.9105227,-0.68783367,-4.0353837,1.7282232,1.0220306,-20.601837,1.0625743,-11.886569,0.4939769,-8.609762,-1.0319405,17.340218,-5.4511414,-0.50154203,4.011462,-1.8002157,4.545148,-19.79041,0.074756384,8.67328,7.9781857,1.0927193,2.069604,0.67310685,0.5007625,0.5332514,0.4307802,0.08423015,-1.7718077,-1.5622047,-4.445,-1.5103799,-14.930332,0.760814,-3.3913946,-0.6177132,-3.626191,-2.1876483,-3.7025843,-8.50187,-1.6246042,-0.08568031,5.0200815
-4.80096,-0.8081526,-15.463199,-0.6855703,-1.5233651,-0.30892667,-2.8455005,1.3874751,2.3723574,-22.1442,0.9282379,-15.169965,0.6445696,-8.852419,-0.71177256,16.814922,-5.3408933,-0.61982006,3.7634456,-1.8413976,4.4570966,-18.110924,0.21315704,8.487482,12.020461,1.5878242,2.0325835,0.68526226,0.34962082,0.7086096,0.43229243,0.07002428,-1.9936953,-1.848017,-4.414824,-1.4835703,-13.902547,1.0432035,-5.730075,-0.70184356,-3.69933,-2.105741,-3.7366824,-8.37461,-1.7238387,-0.037016347,4.989603
1.2382836,0.81694514,-6.985105,-9.077168,-4.1111584,1.2484449,-1.686061,1.4062624,0.40310907,-16.059582,0.048681032,-7.823303,-0.98591393,-11.936505,-1.923129,12.726668,-5.665064,-0.46340936,1.3077056,-2.008781,4.3755817,-19.272064,-0.1495274,10.1596365,8.366062,1.0590609,4.9847994,0.6904806,1.0937644,1.1537937,-0.7424919,-0.4225582,-0.7489771,-1.3675034,-3.293345,-4.8037443,-15.642693,0.6355113,-7.3112693,0.3720367,-4.1774225,-3.216372,-3.2331653,-9.834038,-1.3663042,-0.17654556,5.470138
