"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
62.28819,4.8695564,-31.9309,108.05005,58.442547,-51.18278,79.54841,-8.353163,451.9006,-14.151674,-13.798034,55.18773,126.32426,73.85357,34.35171,-106.36612,29.560017,-14.421045,-18.769432,-153.19519,22.671993,45.819447,-10.06975,64.479,-113.17811,28.654278,11.316384,-26.214062,-10.989847,-48.230564,-2.4496303,-4.9475946,-12.951197,-11.043279,-46.577118,25.547684,8.742143,21.261835,73.40064,13.27449,-19.00706,51.648964,-140.12929,23.499641,-17.151077,-19.952454,-64.244514
82.26885,7.877801,35.12062,174.6298,49.0489,25.73899,-15.882512,9.343585,447.9047,-46.03551,120.35958,23.993395,92.42709,88.727,21.133482,-63.835026,43.705086,-18.257736,-4.1351123,-127.70456,-3.2300875,22.868444,-13.767303,62.879364,106.2193,11.437187,19.254124,-22.230059,1.1572152,-13.5917635,-4.216297,-19.332148,-13.331401,-4.0234237,-54.186935,7.7574854,82.12363,-26.303015,46.55557,12.197398,-24.451582,2.1023355,-116.47878,14.620469,12.671753,-12.178256,3.4543197
82.699715,14.142965,-5.2955356,172.99701,79.42148,38.45748,112.47517,-12.2393055,382.9783,-50.021122,114.87735,29.268553,109.44368,83.71963,41.547848,7.9451027,18.181684,-26.024937,-14.124191,-81.92352,20.745323,54.124577,-8.791937,49.496647,-22.763227,14.708158,-11.267074,-20.38303,0.28264892,-22.592394,-2.602535,-5.666084,11.247391,-7.9333067,-100.73803,21.632088,16.789827,6.975962,84.028725,17.903673,-9.30156,-4.376381,-132.73994,26.272402,2.4013283,-27.649931,-24.893665
63.26456,21.574915,8.999929,173.39468,55.95662,24.17151,1.7094978,1.4744796,392.67023,-24.341091,103.28491,39.822174,127.26341,80.00824,22.152128,-44.99542,33.28887,-5.111156,-12.651819,-119.93452,3.9331975,-10.797037,-14.311608,55.916313,111.47268,29.573696,12.689493,-18.278723,-4.004697,-17.403162,-0.1443237,-5.736575,-2.2587516,-13.415956,-47.435074,17.01347,67.7356,3.9477768,59.07244,18.382984,-19.85645,3.2636442,-128.26808,15.595979,16.687376,-20.2849,-31.909279
72.09119,13.111537,14.741059,183.60774,55.680576,37.695732,29.868425,3.077046,424.8837,-27.700705,119.04767,17.012411,129.27599,75.64883,19.430067,-47.439133,37.812263,-4.859646,-29.661472,-121.94975,12.370458,7.9820414,-13.633505,56.963314,96.71196,33.477062,13.386339,-18.324717,-7.0363274,-11.985796,-3.357498,-5.7941422,-5.887811,-6.303573,-40.15484,30.975624,74.82733,23.431257,67.15096,18.963955,-20.862015,1.9044873,-119.84464,15.334549,23.52159,-24.214912,-27.349815
-0.566241,7.420687,17.654224,-74.98129,-6.8107767,0.6211918,119.82982,-19.113539,365.02026,63.555344,-22.873457,46.31684,114.81261,95.33768,34.247444,-38.46333,28.047731,-5.7048182,-46.524128,-91.48992,2.4679832,42.18846,-8.442128,50.976627,119.77335,60.23066,0.43306231,-26.95094,-7.7814198,-3.068314,-10.486399,-2.5549788,-11.563812,-13.418265,-53.040348,28.715345,20.784075,-58.667614,78.92137,6.0481806,-31.485502,-0.13584474,-127.02047,17.710703,20.494535,-21.967585,-18.880175
24.866032,-142.35208,8.422022,-106.59463,34.270344,-20.878332,35.06378,-4.592277,197.45871,-25.336113,82.1623,-9.207939,64.844376,60.9359,13.39221,-49.347076,31.144886,25.898447,-199.37201,-155.71214,-12.969046,-102.042625,-6.808595,43.37126,66.22746,24.489805,-3.3063467,-30.133228,-40.49032,-47.767273,-22.205973,-32.158466,-20.094793,-12.497874,-65.8991,-27.672388,49.86792,-72.956635,54.453156,15.801121,-28.6591,-21.88286,-117.119514,12.985389,10.169026,-41.459175,8.278507
-82.9444,-56.344444,-17.957397,-83.67475,24.33589,-30.444242,16.410622,-15.093885,-110.59261,57.888424,-21.294264,-3.3970792,4.261784,90.586525,27.249357,-47.177135,-28.757301,29.999868,-147.857,-208.74913,10.946448,-38.48515,-6.72988,51.098972,93.5922,18.747105,-3.7049344,-26.71974,23.644434,-16.769613,3.8836253,-3.5955532,-16.948786,-4.62587,-28.29777,-3.3198373,71.109375,-102.766106,68.05156,22.563086,-28.979673,49.226223,-100.22718,18.118397,38.395237,-26.621975,-17.749994
11.207052,-22.410694,-61.055763,-80.682846,40.92093,-9.397703,5.5718365,-14.498354,318.05902,-66.90586,-45.84868,-19.773285,65.113304,67.199196,10.636677,-46.96773,-6.842244,-6.6273766,-198.70987,-157.73573,-22.707312,-60.86586,-1.2962132,45.3593,77.97568,11.350419,-8.457774,-39.354816,-13.342199,-44.846626,-12.164413,-14.914154,-21.846273,-12.903861,-73.5021,-30.085562,56.73298,-80.35839,51.524582,14.242389,-27.374022,-22.381144,-116.101295,12.630688,16.795885,-21.582518,0.8605342
-82.80542,-25.568956,-50.017902,-113.681404,1.5721507,-7.264888,116.551926,-7.218361,-153.76834,83.15369,-21.902391,-8.855675,39.69188,104.75919,30.94902,-74.33671,-25.892637,-5.556742,-113.120705,3.1524417,19.083002,52.585117,-13.0920515,41.49203,66.69399,-2.9132452,-13.135324,-26.39563,-20.044182,-10.567462,-6.628216,0.9087272,-17.004137,13.30891,-122.111984,22.734722,-21.58235,-123.75563,81.721985,7.6187024,4.2310386,21.174547,-103.895836,22.615652,14.216055,-24.330635,-108.471466
-51.006824,25.531672,1.2961137,-102.11918,4.056605,22.744701,-49.65738,-23.65867,331.56198,-62.546776,-41.794964,-13.006218,-16.830196,78.36578,12.139027,-50.347233,-17.310438,-6.1858644,-200.17238,-155.02902,-27.320389,-59.934464,-16.199575,45.833073,97.29806,19.976873,-5.632124,-32.762756,0.76084805,-42.849457,-3.1186843,-26.61751,-18.221298,-11.320692,-58.747334,10.593635,70.68191,-75.835526,40.898434,16.640324,-26.49689,-14.685935,-132.22382,13.737074,20.686352,-30.263596,2.930689
14.875743,-6.347742,21.78955,-76.87817,18.19689,-60.831547,-62.62732,22.27376,-222.154,34.5554,-26.898071,8.559145,-43.562904,64.43453,39.37509,-57.357033,-46.177944,-25.491077,7.688012,-263.27698,-44.45399,-22.80173,-3.8617015,16.822147,-160.33023,-47.045296,-24.744509,-19.76169,9.035944,-3.657513,-12.626891,-4.878619,-39.6914,-2.531597,-20.984762,3.426135,-4.571242,-94.018936,25.14565,-0.9837755,-16.39127,-1.8561153,-100.16634,20.44781,27.006563,-24.074146,-52.145477
-41.96599,-17.63289,-17.992826,-81.5458,-31.956875,-63.64665,-56.2171,8.070988,-189.58556,56.78204,-19.559105,30.59567,-27.159595,111.35128,42.02666,-39.72761,-87.25839,-18.881243,27.335981,-82.966934,-7.839117,5.1750665,-23.329277,-40.543575,-238.6539,-104.50246,-30.797329,-25.152418,13.997444,-3.9859593,-3.4728117,-11.314499,-17.312515,-11.603211,-51.97356,13.3407,-1.3166187,-116.84697,32.274,0.3027744,1.9656256,10.473678,-87.506065,17.154064,8.592089,-29.243845,-50.092197
12.041943,-6.3906937,21.743479,-75.54024,18.14047,-60.805843,-62.530254,22.327097,-222.80855,34.620525,-26.091581,8.361879,-43.05058,64.5623,39.326633,-57.53729,-46.125965,-25.620485,7.6992426,-263.1235,-43.69773,-22.986128,-3.7966964,16.821714,-159.47589,-47.749382,-24.557837,-19.621984,8.989729,-3.68197,-12.766605,-4.8767657,-39.032906,-2.7703004,-9.685961,3.4103506,-3.7393115,-93.220276,25.272217,-1.0186776,-16.312737,-2.2595046,-100.181465,20.650549,27.064604,-24.072996,-51.889988
31.984121,11.996852,61.90692,-73.764404,20.634933,-52.297012,-49.43997,21.017914,-233.38339,44.144814,-26.474966,3.3916583,-40.72331,70.19596,37.59309,-57.681767,-43.449066,-23.317827,1.0331105,-275.94797,-87.192856,-15.033094,-1.6309987,25.282183,-172.12389,-81.25716,-18.407877,-26.215376,-16.332956,-16.800611,-15.22485,-5.0050426,-40.297287,-6.7023892,-14.831563,2.3778443,17.98815,-86.064415,26.739508,-0.3695751,-17.957197,-6.3271284,-95.50744,16.556643,29.145851,-23.55342,-55.242172
15.049161,-6.281479,21.743479,-75.54117,18.14047,-60.805843,-63.19341,22.327097,-222.14868,34.620525,-26.885807,8.362382,-43.572903,64.53236,39.326633,-57.53729,-46.151672,-25.61809,7.6938887,-263.0435,-44.43049,-22.989002,-3.7966964,16.821714,-160.07504,-47.749382,-24.768465,-19.621984,8.657317,-3.7320478,-12.766605,-4.8767657,-39.633743,-2.7702866,-21.945713,3.4103506,-3.7393115,-94.151764,25.185707,-0.9996885,-16.388487,-2.2105882,-100.14036,20.5529,27.068853,-24.155996,-51.889988
45.61317,-42.20211,8.367538,-101.71531,16.721066,-59.735027,-69.18534,4.6145267,-214.49608,49.716972,-27.186543,5.560695,-20.97697,57.3977,47.521683,-42.417057,-45.493412,-20.133865,-9.955904,-203.62198,-21.795904,-43.043266,-11.3447075,-65.79352,-130.84451,-55.199493,-22.282698,-42.882618,-2.8703237,1.0212793,-16.03557,-4.7000513,-34.16247,-3.798254,-47.371433,10.387798,-3.5201526,-129.05319,13.931092,-2.3235805,-26.495586,-21.020582,-87.202484,21.96837,29.089886,-29.060188,-43.49044
