"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-25.044847,-5.225684,42.77795,79.4619,155.9955,-58.81728,-36.667564,-101.40233,71.96779,13.4779,-98.58795,-7.0796723,180.64473,444.3672,162.51125,-55.53876,13.960592,7.6832976,1.4858584,-3.0564027,-21.075645,59.81696,15.439298,35.86401,-22.49294,-8.281169,-10.067496,13.959083,9.752638,8.357952,-1.2547305,80.49503,67.28043,189.37177,252.33548,-3.2598476,-34.934525,99.78818,56.678402,41.879463,-21.556923,1.7558914,38.31754,12.191824,48.127853,-52.409718,30.766872
-27.81063,-2.0098267,10.765514,92.429535,132.99518,-39.596798,8.252492,-82.42011,137.63272,-19.439419,-81.60917,10.472169,220.45952,437.5472,165.91826,-17.088583,19.263607,28.64911,4.369294,-10.554671,35.287518,53.75995,-0.695091,65.9407,6.6406665,0.32182652,-8.440374,-0.6380888,37.668747,17.558275,-2.5812116,3.7780638,-37.712467,58.062008,287.75983,22.791206,-29.13355,84.4354,132.51283,20.110493,17.08413,-50.065742,43.801445,-1.0524559,49.836533,21.655565,37.136818
-8.571994,7.42199,35.469696,108.68457,183.8008,-64.91411,75.69582,-5.725168,56.228374,-27.92202,-108.992165,-27.019043,225.13962,499.09402,181.00519,35.571114,5.462612,7.737945,3.516022,-8.523875,-52.275593,70.79243,10.341664,14.615873,-51.80719,-19.276682,-5.9650497,6.1412954,7.793714,17.859076,-0.20023663,9.037205,73.304825,268.01675,174.81425,-0.12019793,-16.75576,108.524345,63.132065,45.35554,-14.389128,-34.59711,38.41201,0.039529976,-39.84523,-52.472572,60.50123
-17.300787,4.397815,22.598581,85.932175,132.21878,-54.19492,1.6966156,-41.836555,135.93422,-5.9677176,-90.376526,20.488155,201.63968,452.71423,166.25342,-29.045614,29.78796,19.960274,4.1717324,2.96795,-13.863234,69.76734,-0.42488945,35.378273,14.164303,4.389382,-10.4662895,39.3222,15.047903,2.6537604,4.887851,44.067554,40.68006,136.94652,50.248146,20.92041,-29.860376,144.49098,141.50787,28.470428,8.342702,-12.991446,58.13211,4.893244,5.7344084,-17.774572,26.920128
-28.093504,-4.3524265,28.520287,117.388,132.60423,-61.364403,6.757823,11.715503,121.02093,-6.0882688,-96.902435,12.68726,219.72421,484.2294,160.61183,-32.59446,6.2341094,7.2781305,2.0466347,-1.3827221,-3.0895443,74.1679,-4.4168816,35.808292,-2.2840235,1.7108128,-15.734193,9.570105,1.7621293,4.142596,3.41272,-8.834684,42.496063,162.38673,188.12181,-15.257245,-28.351364,144.4133,136.87773,31.597715,-8.74893,-39.677326,54.864986,1.44903,-2.8491325,-17.641064,28.093496
-35.83417,2.70094,53.193882,87.78811,-30.503468,-80.08726,95.09965,93.72002,-118.19981,105.691505,-123.76064,9.282663,257.48764,485.5557,145.82582,-33.35558,30.294731,10.4447975,-0.8652452,0.41441816,2.369339,-33.30998,-2.9864752,-28.141542,-1.8944643,-5.051213,-32.361855,3.4662244,6.9348965,8.74352,6.954161,-25.37781,34.0174,225.35449,206.5134,6.72049,-9.695153,149.54422,124.69382,35.928642,-13.907807,-3.4445634,48.22098,-3.8727777,10.338087,-21.001678,6.4435863
-21.437737,-3.3553772,-23.480331,40.185787,81.116554,-78.12852,-27.008951,11.865818,47.676296,33.392365,-55.531868,-7.949172,147.29195,317.36765,123.71795,-38.2673,-5.110492,3.3766792,-15.588324,-29.558554,-57.142006,73.147736,-8.498933,8.987922,-59.665886,-26.403845,-34.841698,-2.9989834,6.9313965,-6.235478,-4.699632,-11.463159,-35.214764,-50.9752,-227.10255,-77.328156,-26.7093,-80.16589,48.698616,25.023216,-4.0516243,-35.93017,-130.00014,-1.3699886,42.368885,13.710613,-5.0621524
-29.3199,12.531756,11.309788,-2.614085,80.055756,-99.62975,-51.596756,-20.423828,49.542797,20.165823,-34.072002,12.357617,125.524414,270.42282,142.64896,-33.661694,-3.4428437,-0.5463387,-19.926817,-15.452499,-99.38611,61.267082,2.754368,10.966332,-80.139275,1.8651525,-49.50505,1.747622,8.226572,-7.268458,22.08838,-57.217705,-72.540474,80.88112,-29.704578,-216.87079,-75.756134,-172.46461,49.76655,33.83188,-8.693751,-14.87498,14.709608,9.601298,19.58022,-7.771636,-5.8597207
-33.018646,-13.02984,11.237391,2.4531033,68.69221,-61.963207,-64.057785,25.173689,60.83645,-18.824951,-60.38416,20.714375,135.67973,358.20062,139.96227,-41.495777,-1.9270447,-0.29410326,-18.603395,-11.619215,-98.05566,67.21481,-12.554027,19.76993,-53.86063,-22.474325,-47.51801,4.529392,3.3737125,-11.53913,-41.929947,-66.17424,-59.749332,91.85489,-103.15022,-141.97063,-62.859894,-191.2311,65.40581,43.33584,-10.44559,-31.33338,23.792788,6.4304776,-15.15181,-31.442438,11.674309
-19.263807,-31.036438,-73.16949,-293.1332,105.38633,-72.179276,146.92897,-109.17237,-82.22695,22.978643,33.70798,3.0616906,88.88035,201.42473,127.83507,31.538532,-2.2382698,0.9254129,-1.2715589,-5.352769,-144.54852,72.16559,4.954941,8.067679,-63.829445,6.653429,-47.92388,-13.587689,-8.757605,3.604066,1.7717717,-15.332894,-54.54062,149.50719,136.10919,23.269846,-62.034943,-179.39238,32.840218,28.755672,-14.082714,-31.676327,33.30018,-3.9780748,-37.41437,-38.86788,-25.137192
