"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
3.8689897,-12.386519,-38.98561,31.561697,12.530826,-48.63613,-180.1564,245.98587,-170.83493,-3.9126863,-128.92586,219.52892,106.88296,-21.656849,38.630653,59.139187,-179.29935,10.869486,-13.346491,-23.249144,-154.96005,-55.398365,-44.286064,-80.387184,15.669955,0.16621812,-108.05011,-94.708084,-228.98643,-143.88593,0.7567361,-12.588671,-65.87209,-33.397137,32.94413,47.31328,28.418362,85.03836,15.13634,-496.79816,-27.837086,27.855211,0.44974697,-34.28464,-152.9366,3.4841766,-400.39764
30.86926,-6.700073,-9.086785,91.78769,-0.99693835,19.572811,-46.508556,334.64343,-178.91434,14.187569,-105.284096,161.38213,-29.08238,-82.755806,33.530174,45.462475,-189.01624,-55.85357,-11.156804,-21.073654,-276.38068,2.0285234,-44.35365,-35.501606,101.42181,34.615543,-81.15457,-82.337074,-245.32408,-114.82395,0.64514816,-73.918976,-142.14459,-18.94402,35.242947,-16.921457,-41.087852,73.369774,-15.069578,-436.00797,14.271688,84.8758,6.0902777,-59.200634,-173.86954,-56.89484,-417.56393
-35.957474,-12.3302555,-33.76878,4.4057965,12.162682,-135.2585,-133.2962,291.94073,-344.51294,15.754275,-107.70749,204.63815,-27.375658,-79.15474,12.545088,38.786198,-131.89355,16.654354,-21.591978,-7.8334827,-196.50069,-51.5814,-53.163895,-83.35738,91.50685,20.667902,-122.190994,-97.80909,-337.81775,-125.55652,0.7858651,-6.659658,-81.15358,-36.45992,57.409264,-0.41490299,7.6216793,112.880226,15.246578,-450.71082,-15.320331,54.16377,-20.36938,64.15248,158.46118,-21.832287,-392.1293
4.510764,-11.086286,-27.066216,50.28205,4.0225425,-102.34211,-95.60107,228.11172,-211.06294,11.228806,-95.59634,164.78094,72.24566,-65.69421,29.001072,40.706333,-175.99763,8.537859,-17.421616,-33.09353,-214.47855,-65.15111,-52.638393,-65.60443,127.137085,32.444122,-101.93706,-96.56816,-224.59332,-102.21542,2.732492,-42.10806,-83.235275,-29.582516,-31.95455,31.765383,-17.049986,107.02756,-16.665987,-434.21286,-16.47741,47.21218,-5.511542,70.42074,-146.84435,-28.30538,-405.89343
-10.916811,-2.4046931,-11.058139,29.412642,-2.576433,-100.68021,-179.8555,121.20111,-151.18068,12.431899,-103.371994,191.86337,73.87799,-69.113045,29.1417,41.521896,-150.9446,12.025298,-12.257563,-21.371115,-221.01958,-61.589855,-42.883392,-59.958603,120.51906,27.952179,-96.7329,-78.06003,-196.0591,-117.212746,1.0427364,-28.356895,-118.48922,-24.326216,9.980067,-43.99122,-17.365461,107.00292,-23.121183,-376.72595,-17.287,50.31099,-11.289802,6.1498256,-132.31041,1.2592583,-409.15314
-37.182926,-10.535594,-30.442842,-98.70421,7.3668547,-189.75272,-275.3286,-100.57582,-165.73007,-43.788773,-130.30403,218.98381,77.93792,-76.746,18.278645,41.456768,-151.39941,10.881397,-38.987183,-14.563798,-183.11612,-45.827454,-41.42929,-74.59014,112.08309,-11.4966755,-116.8869,-94.62167,-162.74272,-126.32856,2.0339892,-40.06695,-84.752235,-25.861223,24.727276,60.54957,-20.401184,94.03062,-7.6679144,-406.68234,-18.969604,11.570409,-32.871365,12.573519,-134.5779,-25.789814,-314.28912
-31.290657,-41.003883,-43.01211,-104.88415,9.917284,-250.45483,-358.07693,-259.0459,-198.6791,-11.59793,-84.04902,89.691,75.3056,-47.436146,2.6250994,26.624426,-210.1357,-3.3178596,-13.978326,-36.721718,-132.69781,-138.10223,-36.742542,-94.501114,-10.935255,38.058617,-113.70905,-118.51064,-237.77097,-139.83578,-10.752267,-48.74312,-100.57848,-50.96358,-95.31945,-92.43963,-41.484364,-125.95474,-56.003162,-473.1153,9.349094,33.745075,-30.492044,-85.92494,-153.51637,-20.50174,-357.3865
-17.907244,-39.41934,-83.20711,-202.24472,0.4010889,-205.65971,-301.21835,-286.9967,-239.33551,-26.950684,-156.6604,33.83674,83.191605,-62.78371,1.794824,36.43946,-180.31181,-2.5749018,-32.417297,-16.679344,-138.13652,-94.02381,-40.926228,-100.36533,27.344133,23.505383,-108.26054,-124.94405,-212.93431,-142.75864,-2.5624738,-56.641464,-147.42915,-31.448153,-77.57909,-131.59268,-34.392254,-61.38833,-21.112045,-491.39713,-17.289791,25.443466,0.9209933,-31.236176,-131.36772,-29.208046,-326.0953
-3.420728,-47.818005,-78.33972,-188.7909,8.919255,-223.01903,-287.15833,0.7342215,-230.29149,-2.0049593,-181.22826,50.167763,86.52601,-69.47968,4.875795,34.30707,-197.08015,-3.6493778,-30.29025,-15.69786,-82.31375,-81.67361,-58.202187,-52.48914,-17.954605,12.129454,-106.723946,-131.33705,-235.26329,-129.55391,-6.942218,-51.77235,-169.05693,-10.919211,-145.98892,-129.26546,-50.10727,-116.25533,-41.28554,-481.9628,-22.872778,18.307283,-10.317735,-74.66561,-149.90892,-47.304955,-427.8936
-6.441527,-19.259901,-32.54538,-234.80983,33.55094,-249.61694,-249.87634,-287.64297,-347.23303,-27.715748,-141.4268,46.000275,41.15349,-131.57323,-25.403337,9.299831,-270.9329,-1.8933271,12.404026,-23.82501,35.37111,-5.1367073,-103.02887,-48.41449,107.39092,-22.566315,-123.52169,-110.32778,-273.90503,-147.20363,-0.10164547,-26.21518,-101.201836,-24.770277,-47.05288,-65.81254,16.081656,-9.135244,-6.969873,-595.4028,-41.571968,-44.15462,-37.312088,-162.47997,-85.205986,-36.90465,-307.07178
