"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-1.7490302,-1.8500748,-6.0171843,-1.2943828,5.373574,0.21938099,21.111328,36.28088,3.581543,0.068923056,2.469855,5.0644865,15.18147,33.254677,3.4033275,-1.6129593,-1.3278145,-0.31812945,-1.3885877,-1.3056875,-0.86482376,2.771626,1.4183687,18.932137,-1.8246193,0.7246877,-0.64730144,-1.3937865,-1.0278692,-0.3460302,-0.15645516,4.8862853,8.1644745,12.613983,-1.1470283,3.41619,1.9186732,0.1030994,2.6285162,3.2163997,1.4322069,-0.39979059,3.300241,2.0663717,4.0391235,2.8768854,5.9477844
-1.6356231,-1.3116225,0.6033504,0.09695193,3.9723947,0.6154025,11.676221,32.468918,2.414175,-0.23556885,4.5258484,6.7069845,13.730211,33.13343,3.649331,-0.29119992,-1.539695,-0.3674289,-1.3452122,-1.6610011,0.057278838,3.022385,1.1802721,20.12513,-3.449141,1.3209699,-2.5325294,0.07985734,-0.8905599,-0.36666918,0.38319322,5.208689,8.896475,8.634479,2.8356183,0.22554359,2.9213107,0.08403746,2.5243394,4.1297092,0.4015374,-1.5822375,2.8556201,2.1816313,5.009704,-2.321597,14.892848
-1.5395675,-2.3093345,-1.9566243,-0.66172063,5.100403,7.7160506,17.148937,32.069614,4.765743,-0.70447344,4.1003375,4.6569204,13.379314,33.853313,4.2627716,-1.4290792,-0.99980074,-0.13039464,-1.0712055,0.07404131,-0.99732006,0.57255065,0.9258043,19.250086,-1.2112375,0.39088738,0.5648603,-1.86617,-1.1330693,-0.37067002,0.073904,6.298333,9.667271,15.939544,8.18968,2.05416,1.6574965,-0.23763996,1.8480506,4.6062236,0.29474863,0.27995208,2.0740712,-0.75751495,-3.676916,2.2130537,5.4814887
-1.2722948,-1.9352134,0.9228203,0.20822129,5.9720197,4.775326,3.100121,33.62786,3.64187,-0.5359255,3.20783,6.661417,13.549039,33.87093,3.700823,-0.8788109,-1.3521714,-0.09676972,-1.1732475,-1.0166194,-0.31826013,2.6301653,0.6513008,22.018019,-2.7345526,0.77186126,-1.0405641,0.8618934,-0.42627212,0.51146466,0.058937024,5.3218837,8.943726,9.999283,-1.8577433,1.6300997,2.880438,-0.018714152,2.5697389,1.4517995,0.2016201,1.1220111,0.7638534,1.9652059,3.8119986,3.3812737,10.899944
-1.5174364,-1.7456051,0.26011354,-0.47695562,5.0189633,5.6376486,15.942009,30.430761,3.3446736,-0.36365363,4.4938793,5.85512,14.008171,34.13777,3.6536434,-0.8566629,-1.6462289,-0.20207836,-0.91066915,-0.6251427,-0.5208273,2.4363306,1.6225873,20.201881,-3.3748472,0.76197237,-2.066248,0.73985726,-0.88377565,-0.1271169,0.13421924,5.4327316,8.134419,9.367554,-2.1285684,-1.3258173,2.957545,0.18855079,2.6792557,2.129051,-0.13732079,0.60992014,1.3999448,1.8630946,4.095553,1.9495924,10.4487295
-1.1768643,-1.9105523,-0.510624,0.2231152,1.4599304,6.2473974,18.32706,9.030266,2.7448087,-2.2755773,2.0687768,3.6263223,14.204672,32.022457,4.2549615,-0.67844415,-1.250219,-0.25689155,-1.5651746,-0.4371059,-1.3241053,2.1554134,3.3500652,21.796394,-3.0397956,0.7648513,-0.81565267,-0.4560018,0.1151543,0.41861823,0.26916158,1.8246295,4.9600315,13.954561,-4.050658,3.167715,3.3710325,0.3460938,2.4486454,0.98004544,0.18711303,-0.16936712,2.3466828,1.4372622,3.2293353,2.2833135,7.7394314
-0.94684863,-1.1697271,0.28846022,0.13261901,3.2419794,6.242088,15.614395,13.5668125,2.8842874,-0.11925148,5.3669543,0.92746586,16.832443,36.392223,3.9012399,-0.55156213,-1.3458807,0.08342156,2.7180612,-0.69742215,-0.9659869,-2.1031938,3.1587238,21.703222,-6.3004875,1.3153826,-1.7729511,0.5020554,-0.32270148,-0.34599078,0.43372914,4.0003414,6.2112083,3.887512,1.8470043,-3.1941686,3.5015302,-0.30302995,2.1820624,4.3620386,-0.20903145,0.35732007,3.4852297,2.6508622,4.467489,-0.4304614,20.570974
-0.6383508,3.131582,-4.6768217,-0.087337986,2.98599,4.3690133,17.700457,13.356679,0.1616238,0.10738162,0.9931697,2.6125045,13.021434,32.37403,2.8584926,0.121693574,-1.5645343,-0.026311297,0.32083568,-0.1954934,-2.1314123,2.676749,3.1128566,24.397476,-1.6853601,1.2052853,-1.5410049,-1.153915,-0.12386195,-0.084678404,-0.19556528,3.7138824,1.6663071,9.6298485,2.0766995,-2.3054829,4.7653313,-0.4474542,1.5281575,6.8022275,0.7183441,4.696483,2.2955117,2.4495676,3.7450385,2.3358622,16.985512
-1.2128675,-0.6363179,-1.5911456,0.3892983,4.772908,7.545513,16.914198,14.131318,3.4524856,-0.76573974,1.2588141,2.4531586,14.512736,32.648197,3.179039,-0.15841775,-1.6842152,-0.08387443,1.242797,-0.045759432,-1.1351053,2.9804118,0.56194276,23.239225,-2.4889076,0.993388,-1.6793325,-0.48058757,-0.5632002,0.18038215,-0.11755541,4.5796437,2.0615227,9.163273,0.49741986,-3.0623248,4.580103,-0.39223775,2.3986895,4.600668,0.99259764,0.75339335,2.7881138,2.2103312,2.278037,1.8722641,18.920996
4.9926906,6.1743655,-1.8497325,2.3931816,5.428438,1.058448,7.699664,8.478649,2.6297204,1.1323628,-2.6153946,3.8686488,11.165794,33.079044,4.761567,2.144333,1.4251571,0.1923399,-0.26047286,0.18067683,0.054218598,3.6093893,0.8314623,19.43489,-0.806071,0.9668729,-1.0014484,-0.69350934,1.1010101,0.36780345,0.84349495,6.2249737,5.473449,12.223238,-2.741996,-1.1946614,1.7190595,-0.20446047,1.9812052,7.2369585,3.1122007,6.266952,1.695378,4.4062166,2.6782155,1.6858698,4.6063614
