"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.460043,0.68081504,-4.221149,-0.3333886,-3.7662165,9.542959,-13.956368,-14.22405,-6.34322,-1.2555373,0.18683752,-20.666712,-21.907604,-21.335058,-7.14202,0.0059924014,-3.1838543,-0.54829466,-0.055538766,1.1674441,0.67946714,-2.9445846,1.2214853,-13.6927185,-2.8753846,-0.105679445,1.227771,-1.9940276,-2.789312,-0.7570802,-0.78121585,-16.513369,-17.59976,-6.0491834,-11.822825,-0.25830606,1.3041954,-3.3052478,-6.9889164,-0.09988643,-0.42957327,0.6263491,3.01344,-1.6144276,-1.9391714,0.8879679,-6.576089
-0.31218585,-0.5666588,0.4668212,-0.12691008,-6.878625,6.5165567,-9.253467,-13.097435,-4.2777796,1.5467675,-1.2602917,-24.789055,-30.610111,-26.8638,-7.752656,0.36868578,-5.356682,-4.1315575,-0.056964327,0.02597341,-2.4840767,-4.2508364,1.3752632,-13.596933,2.152879,-0.38772386,0.14114963,-1.4415675,-5.4697013,-0.4606341,-1.0573884,-11.384853,-10.109493,-6.276062,-13.346745,1.1811779,-7.9389544,0.4447337,-12.156236,-0.12203782,-2.6301677,1.5604005,-2.2342916,-1.7456793,-3.1886487,-0.83695704,-8.628262
0.7865663,-0.5627898,-0.82898444,-1.4527266,-6.310073,-15.230972,-13.771684,-10.454041,-9.969545,3.2742395,-1.3825158,-18.892326,-28.733812,-30.218267,-7.3168178,0.6801965,-0.22376715,-0.82906693,0.30346328,0.9047557,2.9229078,-6.3901386,2.50434,-7.713889,-1.4368753,0.34532693,0.8933956,-1.4182359,-3.8871179,-0.14245734,-1.1132108,-15.865133,-14.582726,-2.9873874,-8.740208,1.1496773,2.6477575,-2.7014034,-6.329078,-1.3408709,-0.50158256,2.0301483,-6.219974,-1.0474793,1.5769345,-0.15262875,-4.6855865
0.11229768,-1.1184748,0.32826886,-2.9630687,-4.150569,-15.851973,-4.03994,-13.640837,-2.878776,0.3092669,-1.5741447,-21.71496,-23.68515,-26.215513,-8.622078,0.086342305,-2.4090533,-0.6962313,-0.5220656,0.09661378,1.7530959,-5.9700446,1.6396252,-7.5305004,0.3691176,-0.3016836,1.6097083,-1.4593419,-5.0636864,-0.20450875,-0.90618044,-11.787984,-13.428997,-7.746286,-11.251111,-1.842323,-4.2640047,-2.691167,-8.057818,-2.2197847,-0.8486034,0.8698717,-7.7230463,-3.0450234,-2.2388642,0.25721887,-8.026117
0.31991795,-0.9943786,0.63415354,-1.3670702,-6.5182467,-15.601964,-13.955259,-10.510478,-4.521059,0.9975561,0.014915566,-21.61033,-26.12875,-29.986864,-7.958298,0.28640035,-1.8437121,-0.53758943,-0.42063195,-0.5226627,1.633634,-6.186162,1.5704836,-7.397232,0.8736073,-0.07333089,1.5866565,-1.1957885,-3.948095,-0.2704019,-0.9412672,-10.231743,-10.010926,-6.8261237,-10.700208,-0.35228786,-5.6228647,-2.487527,-7.8604865,-2.091931,-0.8077455,1.0988897,-7.391479,-2.5225134,-2.0229807,-0.08746468,-8.019093
-0.25850958,-0.67920786,-1.742503,-3.0268364,-3.6236644,-20.087967,-18.854643,-3.5424373,-3.9101229,-2.5774453,-0.99651366,-15.20072,-26.656557,-30.195154,-5.790753,-0.2489487,-0.9127017,-0.5416699,0.3378778,3.1598692,1.1575183,-3.6008341,0.98393697,-7.2053347,0.8590401,-0.06480522,1.237688,-1.7098593,-4.011983,0.32104355,-1.0614005,-9.456935,-15.68248,-2.8419716,-4.977761,-0.4557152,-3.9652283,-2.6540737,-7.376527,-1.9878587,-0.488092,3.092714,-7.0931144,-3.3369088,-1.0508084,0.20545888,-5.845407
-0.28343868,-0.80600685,0.72915035,0.38107508,-5.894742,-29.02363,-14.239169,1.454298,-0.13958465,-0.11236458,-0.53458667,-1.8128638,-9.638079,-13.531798,-4.461716,-2.9399474,-3.0386424,-0.43059823,-0.5768391,0.63592327,2.2493384,-17.764847,0.9750311,-3.633385,3.6569574,0.6774038,0.85310113,-2.2877076,-3.2540684,-1.7653855,-0.078809254,5.2555833,0.093678825,-2.145234,-4.0031743,-1.056156,-9.269213,3.5141046,-8.144675,0.6488637,-2.5697863,-0.62794244,-2.8013995,-2.4414642,-2.7553122,-0.7147423,-9.325695
2.024095,0.6474472,-3.1272883,1.0421858,-4.66761,-21.720333,-10.353663,2.5385616,-0.98561716,-1.9608021,0.76505184,-2.691907,-13.055968,-20.586838,-8.629303,-0.5479996,-1.186966,-0.4058597,-0.53747666,0.57066983,2.6316814,-6.9318852,1.1544762,-3.3841116,1.2665508,-0.26251853,1.1909237,-2.082443,-0.7304187,-0.9231824,-0.065890126,2.6478543,-3.52623,-2.0398083,-8.46996,-1.892087,-7.536902,5.210959,-7.217884,-0.4234045,-0.35470065,0.1163654,-9.745748,-2.5706484,-2.9604056,-0.011953682,-3.9996598
0.7151623,-1.0729005,-4.0769405,0.50527066,-6.3782735,-23.940104,-14.66904,-3.286802,-4.2193956,-0.0019127341,0.5690372,-0.52235657,-13.350313,-29.63784,-8.507607,-0.8038514,-1.7161219,-0.43133196,-0.58513165,0.6682237,1.0079856,-8.5552435,1.5544242,-3.8272426,-0.20226926,-0.25927824,-0.19958246,-2.3908224,-1.9066131,-1.800953,-0.24848236,-0.40407136,-7.8913393,-1.226045,-12.807201,-1.3236306,-9.096499,3.836321,-9.486607,-0.4367888,-0.5970108,0.46269685,-1.6029482,-3.259057,-1.3771062,-0.0924147,-5.635719
4.641744,0.34284037,-5.7674875,-4.1092587,-4.903103,-22.884638,-12.566434,10.511969,-3.9570043,-3.749005,0.36349776,-1.9155968,-11.962064,-22.505474,-8.347758,1.6880865,-0.5553196,0.21058303,0.07994192,3.0565302,-3.0016637,-1.1747719,0.35839283,-3.593169,-4.2465353,0.09860256,1.6208459,-1.671931,-0.72580165,-1.0676634,-0.77903855,-7.5293097,-9.751621,-2.814955,-0.12326052,0.3548966,-1.8452761,5.264417,-7.165894,-0.6466548,-0.5939449,-0.9198155,-6.7760754,-2.6420658,0.20280756,0.266162,-2.5539894
-0.6268701,-0.32125542,-1.0994664,-2.239331,-4.512921,9.085627,10.013939,-4.0018234,-3.4685931,-0.5796863,0.25988528,-2.22267,-10.550112,-19.992819,-5.305988,-0.09117977,-1.0488982,-0.66294503,-0.91487366,0.54982656,2.7054076,-10.0174885,0.8601725,-1.1953565,5.591813,-0.0022677726,1.1111594,-3.3404891,-7.5159807,-2.9451227,-1.1708405,-11.268634,-7.4451537,-5.546172,-10.524665,0.06881096,-11.926976,1.9042228,-7.9904847,-2.5258365,-1.4311043,-0.51570874,-9.297171,-2.9857306,-2.8241823,0.5659704,-8.334962
0.47808227,-0.5766074,0.05373554,-2.4408662,-3.5488436,12.997197,4.142021,-6.202908,-2.6446276,-0.76075387,0.1355431,1.12071,-7.7647123,-11.740882,-3.511863,0.24008797,-1.0316344,-0.15564427,-0.03903521,-0.37363872,-1.4391927,-1.9958231,2.098991,-1.8257171,-13.440738,-2.0047503,1.1115487,-0.3357774,0.17347023,-1.184903,-0.7989903,-6.0979214,-12.740647,-2.821234,-5.0731926,1.2300428,0.76820636,2.1935618,-6.8031936,-0.7161275,-1.012384,3.5966387,2.012599,-2.3599074,-4.853987,-1.0435858,-7.570231
1.1281565,-0.35292926,-3.0374784,-4.361358,-3.3599625,11.341011,-1.5047694,-4.5923104,-1.2797575,-2.0811374,-0.0054644994,1.834016,-5.829087,-11.397458,-3.3827662,0.15271842,-0.24903165,0.05822036,-0.5032659,1.0461957,-1.9099319,0.7815042,0.14703555,-0.84896237,-7.3277025,-4.4606214,-0.71116084,-0.38107246,0.3591957,-1.113735,-0.700216,-7.5328493,-13.139634,-3.5983245,-4.0927644,-0.10486016,-0.3041103,3.899969,-6.0852723,0.41773263,-0.80147505,1.8223777,1.6228303,-1.9956504,-2.8318121,-0.29271632,-6.477088
0.5148648,-0.5776467,0.11202534,-2.4384232,-3.5690267,13.055794,3.914391,-6.2065525,-2.6237535,-0.7329307,0.14205582,1.1044809,-7.094098,-11.291244,-3.5129156,0.24274582,-1.0418259,-0.17392236,-0.03816685,-0.40669072,-0.101622015,-1.9912323,2.1520267,-1.8202403,-13.478948,-2.0059335,1.104403,-0.3351695,0.1736986,-1.225342,-0.75182486,-5.9821377,-11.02672,-2.9973922,-5.434227,1.2301025,-2.0349593,1.9890376,-6.4037414,-0.6512969,-1.0114024,3.6746886,1.9026216,-2.346776,-4.8540487,-1.0643253,-7.592845
0.26322788,1.1482613,-0.27091143,-1.7856795,-3.4196744,12.816896,3.786374,-6.229208,-2.4307272,-0.41083524,0.15494858,1.7531749,-7.156315,-11.228989,-3.5470912,0.16589434,-1.0630864,-0.15961885,-0.025363231,-0.13525128,-0.0077967695,-1.9241682,2.158409,-1.2077492,-13.534304,-2.3475266,1.1419947,-0.7839446,-1.3995411,-1.2937553,-0.5672066,-6.324197,-11.863726,-3.1207883,-5.411041,1.0927277,-4.090081,1.7576722,-6.2151747,-0.5259425,-0.9500291,3.3603573,3.4411616,-2.4358768,-4.843164,-1.0261056,-7.3523846
0.5147828,-0.58252686,0.119863294,-2.4528995,-3.5582144,13.046818,4.1344657,-6.2054405,-2.6314335,-0.77486503,0.13475126,1.1019865,-7.751581,-11.946507,-3.5129156,0.24268417,-1.0414848,-0.17405558,-0.05137311,-0.3753514,-0.76364285,-1.991234,2.095652,-1.825593,-13.444103,-2.0059335,1.1044068,-0.33477992,0.17593962,-1.1388372,-0.74415594,-6.0974393,-10.804394,-2.8102157,-5.039352,1.2300066,-1.9804624,2.1947637,-6.4345264,-0.66956776,-1.0121741,3.6915808,1.9026216,-2.3475254,-4.85405,-0.9963581,-7.592845
0.39316854,-0.3141614,-1.2393907,1.7572336,-1.9308496,10.522236,9.909769,-2.2872128,-0.6558622,-1.2129153,0.09165688,1.2950234,-9.116647,-14.259709,-2.33562,0.4168213,-0.012730616,-0.21602605,-0.10623666,0.41751173,-2.4558444,-1.8079973,1.637122,-0.51204485,-14.14235,-2.8360627,1.3399247,-1.3199985,-0.019254576,-1.218135,-0.50959396,-6.9546037,-13.047001,-2.716757,-4.435247,1.9553951,1.8121977,1.099042,-7.4794636,-1.2072932,-1.1474911,3.3005078,1.7273844,-2.5501752,11.848323,-1.2460883,-8.633007
1.558045,-0.4918481,1.9346741,-2.0539627,-5.47554,12.249967,4.5014553,-7.348803,-3.2866557,2.2671819,0.27722883,-1.6415464,-8.85443,-14.5582075,-3.1881504,-0.35004985,-0.8370204,-0.61224276,0.4971967,-0.6954249,-1.5450919,-7.9604554,1.6512294,-1.4533356,-10.488271,-0.55120647,0.6327272,-1.0693314,-2.4712346,-1.0734407,-0.9717668,-15.436134,-12.074181,-4.277986,-8.959822,1.6926333,3.1261039,3.4697835,-5.0363903,0.61474407,2.3597429,2.024857,1.6421973,-1.8674184,-2.5136652,-1.3597615,-8.795328
2.5696552,-0.24100965,-1.4258593,-1.9203701,-4.2877293,11.713109,5.019553,-3.0738983,-3.1831512,1.7487026,0.91426635,-0.1523754,-8.918767,-13.161692,-5.789701,0.0054498836,-1.0463084,-0.55152714,-0.6456241,-0.2189222,-1.3543657,-2.8134692,2.0755563,-1.622519,-12.186196,-1.4853833,1.0206641,-0.9389196,-1.7512695,-0.71883464,-0.9176968,-12.694883,-14.514027,-3.6649835,-6.0940766,0.65196323,3.4606884,-1.057201,-4.996409,-0.39167503,0.8149985,1.7362715,1.7697664,-2.6169899,-1.9559423,-0.48413655,-7.8419156
2.8979325,-0.34979746,1.0191053,-1.9461262,-2.1084929,11.811354,3.134354,-3.0728526,-1.0612365,2.7810743,0.00590934,-0.18872538,-8.705246,-13.061492,-5.8589644,0.070475794,-2.1104,-0.5873131,-0.7785449,-0.7524564,-0.9182674,-3.9427016,2.0020704,-1.4258296,-12.5978,-0.18073715,0.8397877,-1.2121645,-0.8475171,-0.69886327,-0.8573557,-14.502014,-15.744712,-4.9502883,-6.753915,-0.4825007,2.95017,2.389668,-4.200501,-0.42820835,0.5210874,2.1872284,1.2248375,-2.4105296,-0.6371052,-1.1150614,-8.821491
1.3585529,0.15036236,0.8571369,-1.0266982,-3.9978898,13.63236,5.2510185,-1.7610211,-3.4774275,3.4540665,-2.6721692,-1.1953926,-8.638056,-13.262836,-3.2761672,-0.086661525,-0.60034335,-0.5800642,-0.059579782,-1.4220808,-0.7548082,-8.5850935,1.53172,-1.6711752,-10.229401,-0.3181139,0.78042024,-0.74332184,-2.6364744,-0.42045978,-0.63561386,-16.002148,-11.825952,-5.1532655,-9.582312,2.0839026,3.5191066,-1.7774359,-6.9690237,-0.6088966,0.80053484,1.2814841,0.9008848,-2.5411646,-1.4371343,-1.1794852,-8.123659
0.5595416,-0.6311895,0.26743275,-1.8503494,-1.8688009,10.689972,6.568949,-2.158098,-5.9203725,2.2519064,-0.007538208,-1.0075343,-10.63566,-15.504736,-4.214917,-0.1569911,-1.592991,-0.44428194,-0.6624118,-1.8790793,3.401115,-6.968478,1.9432648,-1.9617869,-12.327016,-0.28972414,0.81143373,-0.4395471,0.24503465,0.42886248,0.71461785,15.76943,-10.093648,-6.1719594,-6.843402,-1.0410732,3.6846154,-1.1683543,-7.7791724,-1.033271,-1.5898643,0.86316645,1.5280087,-2.1437228,-3.8336866,-1.4014311,-5.130883
-7.4666038,-0.32284364,-1.0901647,-1.0245676,-3.1966958,14.73395,-6.2507668,-3.4966695,-1.4134597,-1.3161765,-0.17650211,-1.2077354,-11.42608,-14.339373,-6.011995,1.2138753,-4.0339503,-0.43204048,0.25017473,0.015904222,-1.5346184,-3.1341658,1.1102422,-1.6401908,-5.0395374,-1.327538,0.829483,1.3981841,1.9689647,1.7216252,-1.2431118,-14.424851,-19.583801,-6.185137,-6.6977124,0.042634573,2.3056643,-1.7180799,-4.5969486,-11.282617,1.3847212,2.0190032,-0.19899622,-1.7300787,-2.625983,-1.2962407,-8.206066
3.3013756,0.22029534,-1.9009584,-0.7629962,-2.76859,11.523785,6.053464,-1.2693175,-1.979802,-0.19333683,-0.2871991,0.9230573,-8.456044,-16.960253,-6.1294556,0.7182449,9.427975,-0.30696356,0.547826,-0.8485096,-1.4896108,-4.4287524,-2.6830971,-1.9269063,-7.083591,-0.37181044,1.1795901,-0.5844734,0.77367324,0.042917997,0.22824264,-0.041405417,-13.668751,-5.4765687,-5.587573,0.35660702,2.882627,-1.2291003,-7.0922422,-3.1131709,0.4752242,1.8566864,-7.393927,-2.3596818,-3.283371,-0.41435608,-8.890729
0.58237207,-0.40819907,1.1895566,-0.6889058,-4.3276076,7.2961392,6.3455496,-5.7367826,-11.3394785,2.1168458,0.5732394,1.0297436,-5.5720468,-8.168761,-1.2383641,0.1640417,0.06085625,-0.7089825,-1.0273117,1.4845762,-5.9981184,-43.21048,0.51778674,-2.5209734,5.0753956,-0.4037775,0.65273786,-1.1218678,-1.3432657,-1.7022394,-0.075822644,17.428274,14.765564,-2.168895,-24.47231,1.0822142,-9.906957,1.6361365,-9.451707,-1.2969042,8.301303,1.0139556,-2.7313805,-2.068444,-4.3946023,-1.8476542,-10.42465
0.001731281,0.21223176,-0.7426274,-22.672907,-4.298182,-12.952258,-10.636838,2.021007,-15.0016775,1.5911915,0.33324754,-19.879095,-22.638332,-13.675969,-7.4806867,-0.72420055,-8.404516,-0.9760382,-1.0379865,2.611517,0.77351826,-31.400255,-3.073606,-2.8394568,-7.462547,-1.0064327,1.1656008,0.27189758,0.065174155,-0.86269045,-1.084799,8.943981,5.481817,-1.3822834,-7.231028,-0.5816879,-4.721116,1.8162442,-9.415916,-17.420187,-0.84197533,0.43472353,0.5444367,-3.4632516,-8.263472,-3.5159798,-10.680755
