"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.72322905,-2.049037,-7.892236,2.9180493,-1.550217,-16.18996,-21.428741,-3.8080728,-5.546098,5.713493,-56.858727,-5.234713,9.355452,20.900013,0.5980918,-2.4025483,-3.4277787,11.34838,-4.969377,4.5677233,-21.26076,0.2607009,7.2487845,-3.8060918,-2.0649252,-1.5300359,-0.42417112,-1.7702085,0.1960268,-33.732376,2.683209,-3.5786748,-0.55467993,-5.781977,10.696659,-4.0618825,-10.548013,-18.72136,-22.524805,20.686218,1.0543377,26.22198,-1.2617421,2.0841482,-2.270229,-12.850853,-1.6835109
-1.9621464,-1.6252507,-6.258861,2.3301294,-3.4425976,-23.72426,-18.432106,-2.6401927,-6.3417034,7.0164857,-59.40511,-5.5954995,8.667454,19.639502,0.26285177,-2.4802938,-3.160226,10.538811,-4.8278437,9.845241,-21.576317,0.34172258,6.8375177,-3.9570553,1.7004654,-1.5760996,-0.33848894,-2.1946278,0.61168814,-33.967846,2.3471758,-7.9727473,-1.9833208,-5.4997025,6.1775737,-6.2504053,-10.0151415,-20.29399,-19.286852,20.630663,1.5997084,38.541183,-1.5363235,2.13353,-2.608999,-14.770634,-0.7556246
-0.18515384,-1.3428166,-7.491655,3.4053297,-1.6044512,-40.10025,-18.87071,1.2817376,-4.524229,9.003253,-45.4947,-7.774091,4.5019293,19.9876,1.3956783,-4.831309,-3.7627547,11.03175,-4.627046,2.3558733,-24.231071,0.03730299,6.1477,-3.6847482,-1.7109547,-2.409771,-0.5916204,-0.305278,-1.8875568,-34.557266,2.5272534,-0.9287349,-1.1057631,-4.88309,8.595984,-5.509478,-6.8855395,-15.392611,-19.014648,21.458153,0.930226,34.13968,-1.4842249,2.0522,-3.218008,-14.858886,-1.412461
-1.3654131,-1.4646838,-7.700945,2.7025268,-1.4536422,-40.42398,-19.99293,0.26927304,-4.549757,5.895301,-59.037132,-5.4114275,4.2765994,20.350416,0.29897308,-3.6198003,-3.3336859,10.693531,-5.1241612,7.1702642,-20.42174,0.33796462,6.9853845,-3.7622159,1.7541183,-1.5273837,-0.36035633,-1.6310089,-2.4244115,-36.997654,2.5565054,-3.757583,-1.9100865,-4.741996,6.612054,-4.554042,-8.783174,-14.795275,-18.070822,21.171795,1.3090471,47.241604,-1.6346889,2.115272,-3.1180596,-14.285308,-0.8020889
-1.2394465,-1.1755917,-7.537026,2.6707094,-1.3779353,-40.919697,-20.413658,0.5307514,-4.308981,5.8433394,-59.13545,-5.6007624,4.192277,20.328423,0.27435884,-3.6342244,-3.3074338,10.302843,-5.0194445,6.580336,-20.754755,0.20804471,6.8488517,-3.810622,1.5977671,-1.425168,-0.33715016,-1.602813,-2.0991807,-36.816658,2.606829,-3.7034106,-1.850369,-5.1202507,6.7259326,-3.6800964,-7.785137,-14.870135,-17.97973,21.09988,1.4534664,46.93101,-1.6490262,2.12872,-2.993199,-14.313581,-0.8920754
1.7766261,-0.3315955,-7.484865,-0.7241175,-1.4711806,-38.684116,-20.510786,2.7154198,-4.362724,2.293241,-42.765938,-6.1926236,4.294443,18.6755,0.9318299,-3.4126267,-3.7128313,11.462267,-4.285049,1.5127403,-23.910786,0.10550078,6.7918324,-3.4623997,-0.42300558,-4.877877,-0.3911257,-0.09329598,-2.4614875,-37.980907,2.375897,-3.6096735,-1.6409072,-2.9642045,10.247585,-4.7117085,-8.269805,-13.859815,-15.481822,22.005856,1.2030495,32.87383,-1.9494312,2.006427,-3.5459268,-13.286375,-2.5566378
-3.0872052,-1.1182461,-4.8654947,2.0862648,0.2337507,-42.00074,-20.436052,1.936977,-5.711745,7.8885894,-63.765205,-1.9846444,10.578901,20.32121,0.7431746,-3.8948967,-3.4834902,9.547561,-5.160991,6.3646493,-22.767862,-0.7882777,5.948377,-3.2392223,34.56887,-1.3040912,-1.2335548,-1.6040002,2.0843961,-35.394108,4.6909547,-8.428333,0.31390664,-5.6472335,4.4543896,-4.8103223,-8.529814,-20.919722,-18.287603,18.845995,1.5919187,25.546041,-1.7201813,2.3455176,-2.5175927,-18.88393,-1.0405148
0.66650116,-0.9459585,-4.673016,-1.9010099,-1.2959762,-38.119415,-19.40114,1.887141,-4.722015,6.500392,-36.27524,-2.1098778,3.7780638,19.528748,-0.023541681,-3.5014899,-3.6606731,10.129124,-3.6576478,1.4459287,-23.38538,-0.36772662,6.2604837,-3.7171655,1.0312657,-1.454146,-0.30138195,0.3036904,4.030347,-36.42617,4.640471,-8.191823,-1.891149,-5.655803,10.305969,-4.3910823,-7.9453177,-19.970348,-17.74088,21.562403,1.4835193,22.611137,-1.423902,2.1404037,-3.4936435,-12.702509,-1.8375225
-2.4445925,-0.9821522,-5.038901,2.2440717,0.57490635,-41.217087,-19.055353,1.8894892,-4.8346467,7.9828444,-63.78784,-1.9299852,10.464774,20.15512,-0.019727334,-3.5655286,-3.4840782,9.805535,-3.3510287,1.689284,-22.793367,-0.26822662,6.4151597,-3.3594182,28.592321,-1.5149441,-0.056447707,-0.10002123,3.9668617,-35.108433,4.901352,-7.7844844,-1.9727495,-5.812566,5.072427,-4.574578,-8.824235,-19.489437,-17.955772,19.08184,1.5226804,25.69946,-1.2255707,2.1656194,-3.2198217,-19.809748,-1.3362247
0.58358413,-1.2341864,-7.1565504,-0.8874373,1.2475601,-36.33484,-18.41505,2.513364,-4.593515,8.416766,-38.698032,-2.722454,4.7912416,20.930635,1.5660192,-3.3813212,-3.2091217,6.914853,-4.0470257,-0.09278528,-26.132113,0.50493026,6.5370216,-3.8513978,0.49271408,-4.066213,-0.9007868,0.017420819,1.9140439,-37.22858,2.7074106,-2.939465,0.9453331,-3.394373,12.012999,-5.883016,-6.098677,-18.52956,-20.018246,18.905653,0.23309344,25.317238,-2.303079,2.2924693,-3.4726303,-14.28816,-1.5838608
