"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.5019153,-7.791353,11.726571,-1.3251361,0.6398567,-4.2252865,5.0540123,-33.24242,91.85815,13.14443,-2.3824067,-0.9846744,-15.290346,20.014206,24.874332,-19.586817,4.9590073,-0.41127327,1.7143607,-1.8948298,-8.1808,33.19142,14.660994,21.098238,-2.278092,-0.30089116,-3.3397298,1.5517278,11.784219,3.377118,-0.08716326,13.5284395,15.859767,27.088354,51.421326,-0.3074177,3.5302293,-4.705352,25.224928,8.405257,2.3787317,-1.2940845,7.2221937,0.8568735,5.4143224,-2.3991852,0.17922056
-12.653638,-5.4057713,6.314515,-1.9830266,5.101622,-1.633064,-14.212999,-15.649676,85.72962,7.9881153,-2.4051983,-0.8174298,-8.310363,25.99001,6.000687,-8.657833,8.4178,1.3511271,0.9986508,-1.0155908,-1.3745337,33.207035,15.199355,23.942,5.50839,-0.10618549,0.66081536,3.4612303,10.47616,0.5213662,-0.87651324,9.951502,-12.548846,12.800749,52.681305,4.7007937,5.58771,-4.7379427,36.235832,2.1901903,2.8762357,1.9274081,10.314236,-1.6981751,13.656815,6.5218687,19.31854
0.7118587,-3.6029944,6.745398,-0.41658214,-0.24653879,4.353835,0.6716596,-12.470531,87.9513,2.9982793,-1.8117763,-1.3539139,-5.0533524,20.652405,20.603909,-8.440707,2.3257866,-0.54911876,0.8955305,-3.1213017,-4.874314,36.685795,5.7929506,16.391329,-3.9183204,-1.8294536,1.6848878,1.7852129,10.275727,2.8276541,-0.3713928,13.982922,19.65815,15.19926,47.071556,1.3449869,3.1157408,-5.86462,28.578035,6.05036,3.8547103,2.0734332,21.378056,-1.3878796,-3.7776093,-1.6512381,0.63088447
0.75280935,-1.4414505,14.075944,-2.8115664,-0.10012211,4.2908173,-5.8103323,-14.858939,92.18007,9.144109,-2.2015235,-0.3836157,-15.826469,12.079569,14.0737705,-8.944428,5.338309,-0.61778045,-0.086660855,-1.437204,-4.007894,50.130608,17.071033,20.421799,-5.949742,-1.7080872,2.5554233,1.7114798,8.173035,0.71588296,-0.24060254,12.4000845,11.067602,17.771446,38.965157,-0.49150112,3.9126418,-4.8138595,29.377539,3.03638,3.9799068,2.7040055,18.673784,-3.0383687,12.188073,-1.5831766,-4.8890963
0.77919513,-3.445655,14.008727,-3.6064074,-0.40607515,3.7936795,-8.28912,-11.683303,94.104774,6.5105524,-2.1902642,-1.8663116,-12.9742985,16.88203,21.922009,-12.913671,5.318095,-0.3250457,-0.32689664,-1.2434992,-7.209088,40.498062,12.372117,18.63578,-2.7834203,-1.7760634,2.0711436,-0.30797464,9.416113,0.753797,-0.65316397,11.617765,8.217619,18.335382,49.5228,5.1072006,3.6088645,-4.8744254,32.414223,2.7395382,3.933582,2.0245743,24.59452,-3.025663,-0.37689936,-1.5366498,-1.7332408
4.0730224,-5.105782,13.915434,-1.856364,2.2693784,3.2608852,3.5151813,10.413812,78.56627,14.119522,-1.8993621,-7.300224,-10.518109,18.725666,22.421673,-14.171954,5.377955,-0.0976045,1.1592597,-2.1788738,-8.685342,38.574997,17.290575,18.502121,-6.1328297,-0.40936804,-0.38907158,1.8812741,9.029015,1.032419,-0.3694178,10.023589,12.208616,24.795181,50.034676,-0.26812083,4.6314507,-4.7833776,35.00243,6.0737953,5.2428045,0.3731735,23.046103,-3.5977452,0.721119,-2.1091008,-2.1698406
2.2990499,7.09202,28.15837,0.11215124,-0.83566713,20.224762,26.76693,13.248973,40.74141,10.075625,2.104379,0.35956764,-13.0891485,-0.31853378,23.3141,-10.707908,14.036737,1.984738,-0.53118306,-1.9066526,1.1355735,58.739174,11.562829,33.52663,10.48949,-0.76816934,2.9940689,5.025784,11.079952,7.0834937,0.20334536,-3.4943864,-9.764661,3.107975,-60.95713,4.1563067,7.699617,-1.0041195,50.501293,4.647742,9.32495,1.6370422,26.92536,-0.07954604,16.95857,5.77654,51.637703
6.694606,0.2806237,9.157332,-3.6439788,5.555868,2.6024084,-5.472796,10.148557,87.337,16.561298,2.6333745,-0.17373402,-4.312248,17.146988,24.857573,-12.784244,0.71479124,-1.4406812,-3.8383143,-1.650989,-11.368327,39.39521,19.596323,23.362753,0.44684353,-1.9698747,-1.2045307,1.6517175,6.464553,-0.2051506,-2.2420385,3.4627419,-8.059236,31.30931,52.733166,10.956684,3.7389913,-5.3533177,40.11344,7.161413,4.129541,-1.8615679,32.35074,-4.982081,12.545283,-2.0078487,10.749306
4.309609,1.2086736,16.643074,-5.4692526,-3.3006582,5.977138,-5.496256,0.21901082,58.72342,12.848603,3.3555293,1.5141581,-8.1058235,14.262536,22.967993,-12.082999,-1.4857681,-1.1294819,-2.4067266,-1.4970784,4.2301836,40.204533,-0.37428224,14.085517,3.080913,-5.699728,0.41974732,2.8711646,5.9554124,2.2997077,-1.669646,-0.45379263,-11.19361,28.264528,5.3020706,9.385524,5.121824,-7.0496416,39.270504,6.8755536,4.565437,1.9718585,21.669893,-2.1487887,-14.8281555,0.6783053,9.753419
7.627912,13.589053,12.276685,5.1341934,3.0640554,11.300045,13.83645,21.949726,52.024258,17.409456,3.6969995,1.2607768,-1.2384027,17.95243,19.839024,-9.780482,1.8027471,-0.57474726,0.8612583,-3.5944607,1.8894668,23.580267,-13.175607,22.660036,-7.8475165,0.8290712,2.2507432,3.0252538,8.28264,0.6992001,0.4226946,14.099689,14.253555,24.48524,57.267002,3.9306386,4.4730196,-4.9226522,38.90115,8.604911,2.637885,0.13079752,24.044338,3.3538425,-7.3732214,-1.4473256,-2.240959
5.7143106,-2.7343385,16.410831,-4.0930276,3.0005455,-1.5259466,-5.104887,3.4778283,96.93957,11.119994,-1.6656908,1.8747443,-5.083352,25.627672,16.373299,-10.665714,3.8269262,1.3604184,-4.08121,-2.2566235,-10.6472645,47.119907,19.24618,19.975014,1.2481735,-0.22904864,4.211229,5.832727,10.7521925,4.107262,0.06990987,3.3916974,-22.609943,5.2456174,53.249855,6.8499427,6.078311,-4.6396976,41.645905,8.71496,4.065896,1.072332,28.973122,3.2907295,15.371806,-0.92059064,11.243546
-1.0557691,-1.3607559,-10.14659,-11.349669,1.541705,-8.549155,-14.060677,-7.362867,-38.02882,8.280289,-1.2753819,-0.96697927,-14.728936,1.1743741,1.3647728,-8.885048,0.21290022,-3.465712,-0.41339532,-2.6724207,-11.1485,-17.833752,6.566241,3.4418526,-36.32085,-7.158263,-8.961888,0.65776914,1.1970769,-0.71537757,0.08855858,-13.80172,-17.22202,-6.7622275,-86.747246,1.3531456,-2.6046517,-7.1993766,-12.583548,0.6643474,5.9136834,0.25808245,-55.414337,-1.2558879,-6.0854926,2.5580266,-7.4097
2.2113385,0.7414529,2.743543,-10.259094,3.9028547,-16.180246,-33.58555,6.7001514,-51.135277,0.41673073,-1.1887531,-0.6422515,-5.11799,-10.86701,-9.11184,-10.70707,0.97466487,-1.7237606,-7.1344266,-36.530937,-38.6695,-16.462631,-4.895176,-0.5287991,-19.682346,-2.6526275,0.50888854,0.16592832,-6.1491237,-0.27650267,0.28777677,10.150614,-5.039856,7.6025043,10.345386,-1.0379795,-2.5466323,-23.672602,-19.769962,-0.5027784,2.274044,-3.3341906,-68.26364,-7.629889,-13.767438,-0.7079735,-7.4745746
-1.0448357,-1.343526,-10.130814,-11.329702,1.5431045,-8.55076,-14.110085,-7.388304,-38.014874,8.700176,-1.2663021,-0.9758723,-14.728749,1.0879816,1.366308,-8.884234,0.23603608,-3.466498,-0.4105201,-2.6836085,-11.240985,-17.8599,6.5671554,3.4292345,-36.33984,-7.159624,-8.965354,0.67516845,1.2225438,-0.62248886,0.0900803,-13.731857,-17.220362,-6.7450585,-86.98363,1.3534465,-2.9416246,-7.209479,-12.717188,0.63882357,5.90929,0.13316816,-55.130962,-1.2967627,-6.0868354,2.556197,-7.4082026
-7.2265453,-2.4327242,-9.017831,-10.47845,1.130734,-7.282312,-12.506907,-7.673245,4.667786,6.9471426,-1.4596725,-0.9036054,-13.929784,0.94435465,3.0716496,-8.600441,-0.18977748,-3.4687319,-0.49692297,-2.5488749,-11.14497,-18.06481,7.0689235,3.789561,-36.713146,-7.117403,-8.95581,0.1581263,4.8665104,-1.5950035,-0.7793425,-22.854433,-16.978855,-7.2404766,-130.08508,1.3659953,-2.7107844,-5.77606,-9.609611,1.1580379,5.1370177,1.527598,-53.5486,-1.5883886,-3.2483425,2.7662172,-6.6183586
