"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.9975125,-0.5368016,0.09961551,-0.162002,-0.068677016,0.69707924,-0.20859694,0.089057505,-0.32014856,1.3177546,0.016443375,0.34968004,-0.1262756,0.10783321,0.17570156,-0.89579713,0.06863545,-0.00929105,-0.17084609,-1.4882379,-0.55731803,1.4572608,-0.08817277,0.058255058,-0.049422964,0.001022594,-0.21371612,-0.022066703,-0.035843194,-0.04512629,0.009507328,-0.018519951,0.040017016,-0.117683284,1.0988387,0.018880501,0.0064884163,0.08227772,0.04145523,-2.1988564,-0.490637,-0.010510417,-0.025555652,-0.705781,-0.13638464,-0.6966341,0.027968619
-2.6891634,-0.5973231,-0.17312257,0.33051684,-0.022832012,1.1873274,0.15672834,0.04069979,-0.544194,3.7603972,0.09241835,0.21391816,-0.092986465,0.10427896,0.19066088,-0.9968867,0.046647508,-0.015982557,-0.41165373,-2.319874,-2.3360832,1.611935,-0.14898151,0.057088498,1.7719215,0.006561723,-0.212497,-0.052533444,-0.07643987,-0.03614032,0.006486675,0.0019811378,0.1235807,-0.046381876,1.0165014,0.04483054,0.048344444,-0.1603082,0.029348467,-2.3936057,-0.4547563,0.0042669945,-0.11173958,-0.7266597,-0.12645128,-1.0715102,0.027066244
-1.4422387,-0.5290519,-0.045777738,0.34475383,-0.019087465,0.48213145,-0.22841808,-0.48761716,-0.55665255,3.6655877,0.118549496,0.23687178,-0.0774511,0.1263629,0.2001893,-1.0296271,0.07936929,-0.015633607,-0.19114338,-1.4295309,-2.283197,1.8675377,-0.16143088,0.050755452,-0.025458707,0.008994903,-0.20266274,-0.018637223,-0.15706679,-0.031977158,0.006268184,-0.024822744,0.015533169,-0.17420231,1.0820447,0.042009503,0.007777075,-0.15973595,0.037201364,-2.12592,-0.3871055,-0.0051950626,-0.023139775,-0.7545885,0.014040162,-0.9107557,0.0598938
-2.6019003,-0.547393,-0.14793,0.057553593,-0.062203076,1.0388159,-0.017917769,-0.3105418,-0.5923935,2.7726896,0.11344521,0.24968512,-0.09422919,0.111367315,0.1810105,-1.0261904,0.06546033,-0.009701434,-0.24123813,-2.266694,-1.3510915,1.8601929,-0.1372198,0.027594747,1.4926449,0.004378978,-0.19047427,-0.0492741,-0.10603843,-0.028203717,0.0060004503,0.011466722,0.11764998,-0.11307797,1.057916,0.016156578,0.045061413,-0.15191089,0.03863456,-2.2185473,-0.40093836,-0.007341232,-0.074784234,-0.7949931,-0.10846546,-0.68178344,0.014570568
-2.6033425,-0.5767951,-0.1506296,0.051590312,-0.052765835,1.0625639,-0.02525842,-0.47861174,-0.54731274,2.776801,0.10189812,0.24564451,-0.06553972,0.12403285,0.17973727,-1.0043776,0.07553212,-0.010892902,-0.26487422,-2.2735577,-1.4017951,1.8730121,-0.09804921,0.022938468,1.4915652,0.003877302,-0.17799386,-0.05134884,-0.115593314,-0.03185497,0.004072078,0.020617625,0.11618805,-0.069736704,1.0749615,0.061708413,0.05026413,-0.15766323,0.04111524,-2.2413237,-0.404003,-0.00812565,-0.076157145,-0.77996653,-0.11050965,-0.68720704,0.019824347
-1.3206025,-0.2727239,-0.12542515,-0.08833936,0.0059007155,0.63697577,-0.21545222,-0.3158342,-0.29606643,-0.030489352,0.09893801,0.3041392,-0.092207514,0.13423812,0.18105899,-1.0376445,0.06988766,-0.013317839,-0.2241196,-0.6106039,-0.5116341,1.655747,-0.09451538,0.052899554,0.0032693478,-0.0007863746,-0.15565939,-0.0283414,-0.055757083,-0.031163158,0.004740881,-0.007897987,0.050347533,-0.13540944,1.0694696,0.023849068,-0.008544555,-0.090384476,0.034546383,-2.087964,-0.36008105,0.010750713,-0.032473538,-0.6882939,-0.11591024,-0.34265295,0.041970063
-2.3970754,-0.59822905,-0.055036508,0.10258902,-0.06764753,0.43760931,-0.1258149,-0.77729356,-0.456031,2.5199172,0.14792484,0.05564818,-0.03202862,0.12398001,0.13280357,-0.9984819,0.07672011,-0.007909064,-0.23181492,-1.8677254,-1.3801123,1.9906431,-0.06699488,0.005354988,2.0875473,0.0013052723,-0.18516947,-0.069576554,-0.10379574,-0.03475748,-0.0041287886,-0.005075686,0.11877573,0.013888822,1.0330306,0.065985754,0.04229509,-0.1911446,0.044736557,-2.3275971,-0.4820742,0.012169508,-0.083271116,-0.79224163,-0.13200286,-0.63802683,0.03659241
-2.3657734,-0.34211943,-0.07160954,-0.07213717,-0.015301557,0.5431201,-0.024116328,-0.35432422,-0.37467256,0.36276695,0.075993635,0.036466066,-0.06614697,0.11379802,0.2049909,-1.021109,0.062167082,-0.007836696,-0.26144424,-1.4401963,-0.3682149,1.9610282,-0.07142971,0.013059119,1.8485892,-0.0022376177,-0.18373479,-0.055234436,-0.033955406,-0.034620784,-0.007916479,0.0052704513,0.12186473,-0.115723625,1.0853425,0.0799772,0.038164463,-0.12710205,0.004133015,-2.2958233,-0.46829298,0.0019255291,-0.033076454,-0.7917812,-0.11443306,-0.59066683,0.07330679
-2.3868756,-0.5952552,-0.13518113,0.4541026,-0.027918989,0.5883918,-0.039608136,-0.76224965,-0.35798818,3.7902915,0.14791802,0.004627833,-0.0407311,0.16311763,0.193884,-1.0154697,0.065212615,-0.01238038,-0.27789304,-2.1517625,-2.2426784,1.9841663,-0.0703725,0.007216991,1.9917443,-0.0009856115,-0.18719932,-0.06334866,-0.08623678,-0.035158735,-0.013221601,0.005524662,0.12342058,-0.039091196,1.0813528,0.062199604,0.050628506,-0.20686506,0.039254237,-2.410463,-0.459067,-0.0008431657,-0.07881592,-0.79108274,-0.11484568,-1.1391641,0.039328165
-0.7152917,-0.44991145,0.0147653995,0.24961814,-0.049056444,0.0090727545,-0.26601282,-0.48944092,-0.23427308,0.5602745,0.15233031,0.032448713,-0.028310062,0.114483066,0.24734367,-0.99627316,0.08786635,-0.006621316,-0.34317577,-0.78853595,-0.37551248,1.319193,-0.12073642,0.019646008,-0.025475603,0.021158634,-0.17524575,-0.04065903,-0.049689088,-0.03455312,-0.011634158,-0.0076323217,0.038792364,-0.18939793,1.0053633,0.036010824,-0.0010320692,-0.21764676,0.051886298,-2.1125743,-0.45114428,-0.048236273,0.036770236,-0.3284814,0.0204365,-0.5409969,0.034984466
