"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.97576064,-0.41744107,-1.4884694,1.8107773,-1.1057534,-1.548847,-6.140866,-0.46899846,-5.103099,-3.2341344,-0.7037879,-2.7932143,-1.1309023,-2.062419,-0.45924112,0.60006994,-2.9138117,-0.2630624,-0.12217345,0.15479653,2.8497784,-4.086284,0.31614965,-0.46671754,-0.46523187,0.060218897,0.37901697,-0.36486083,-0.39277416,-0.4446147,-0.7030325,-2.5959406,-4.3538275,-0.7370984,-7.3263946,0.12954666,-2.0684562,1.390214,0.017939223,-1.4116687,-1.4953682,2.338825,-0.26225433,-2.2790601,-2.213136,-1.9437208,-12.211963
-1.7910333,-0.5151959,-2.1230233,1.8385158,-1.2146572,-1.7902664,-3.7711012,2.0356843,-3.4948044,-2.1452484,-0.42175648,-0.8068166,-3.1341066,-3.2185507,-0.753142,1.0322697,-2.9607925,-0.09855739,1.8165029,-0.49045148,3.092244,-3.5130973,0.065647915,-1.0176256,0.17338853,0.08131671,0.2668399,-0.4100675,0.038273204,-0.407616,-0.71569735,-2.0921454,-3.3474205,0.39413604,-14.756389,0.19518834,-3.4667854,1.5419956,-0.43029132,-0.72046715,-0.6248813,4.457348,-0.2995231,-2.3718843,-4.0481954,-1.3138369,-11.631996
-0.18805388,-0.24701807,-1.8721851,1.910814,-0.21049148,-2.436613,-9.39384,-0.41967764,-4.709173,-2.1430142,-0.8607333,-2.9120939,-2.0616186,-2.8986185,-0.25663897,0.4926425,-2.605876,-0.2312918,0.041961472,-0.43331054,1.1761225,-4.0257063,-0.029823795,-0.47286707,-1.5646645,0.10302038,0.17388365,-0.22152855,-0.031657826,-0.45718816,-0.9033258,-2.4054437,-5.2996516,-0.9059637,-7.1561565,-0.331857,-2.164015,0.41835135,0.023536779,-0.80952615,-2.1625934,3.6612484,0.3171657,-0.90285885,-0.7554989,-1.7973918,-10.949467
-0.39937487,-0.2693936,-2.5234728,2.1770806,-1.4734118,-2.8624394,-4.6669316,-0.5242935,-3.5704646,-2.6080773,-0.31532905,-2.168737,-0.75148505,-2.308469,-0.69358337,0.87444,-2.9921281,-0.2003096,0.42011878,0.019903226,2.518028,-3.7217777,0.13175927,-0.58597326,-0.6505037,0.16484922,0.1862064,-0.21199451,-0.01007783,-0.20890306,-0.26410225,-2.483746,-3.4082017,-0.27846164,-15.467392,0.122119024,-3.9836895,0.8187054,0.047163688,-0.9737736,-0.85989225,3.2300258,-0.485344,-2.6543896,-2.9748456,-1.5568342,-10.51882
-0.37570372,-0.25328782,-2.0744717,1.488489,-1.3784584,-3.0685294,-7.685137,0.0019917225,-3.169444,-2.4211068,-0.6266674,-1.9500908,-1.5748438,-2.5317438,-0.51949507,1.1018735,-3.2302785,-0.28156734,0.17161906,-0.09144082,2.7007072,-3.4821827,-0.061168853,-0.5735837,-1.2464441,0.14359744,0.17662773,-0.46096623,-0.16253114,-0.21886934,-0.32478103,-2.6239812,-6.1175184,-0.12288645,-7.984265,0.26414496,-3.7556646,0.78484875,-0.28162974,-0.9725573,-1.0039599,3.5103574,-0.27106592,-2.5167155,-3.0140705,-1.4729798,-11.32652
-0.22533952,-0.051413693,-1.922497,0.6164687,0.9986142,-2.2530525,-8.382982,2.0051184,-4.466393,-1.8822433,-0.61119086,-2.518591,-1.3610722,-3.1679037,-0.4176506,0.50952774,-2.1313748,0.017996233,0.09890095,-0.098460816,2.657815,-3.5147355,0.27473056,-0.5686247,-0.68418354,0.1784256,0.2962064,-0.22052692,-0.01589564,-0.19269328,-0.268988,-4.1062365,-4.8047237,-1.3695534,-6.9253592,0.099720486,-3.6730227,0.78902024,0.10775645,-1.1788551,-2.243456,3.4490724,-0.026071426,-2.3010738,-3.529278,-2.1511133,-11.080602
-0.61621654,0.0976389,-3.129905,-0.024914248,-0.2142012,-2.431312,-6.221505,1.0122705,-2.8557827,-2.972106,-0.5961301,-0.7254823,-0.5422984,-2.9725757,-0.93700266,0.9247907,-3.081817,-0.24073769,0.91957784,-0.15477513,2.685999,-4.939255,0.18918025,-1.8278772,-1.1520696,0.17427798,-0.24316262,-0.12237331,-0.25496507,-0.21514717,-0.38332862,-2.5196183,-2.1151323,0.36330083,-15.027152,-0.15528665,-3.2964797,1.1241919,-0.13048902,-0.8192159,-0.19584751,3.2792304,-1.6805872,-2.1797793,-3.6620893,-0.8370233,-10.202165
0.2298331,1.4287235,-2.4155705,0.9444847,0.73101896,-1.7309635,-6.8106985,0.9256912,-4.3505783,-2.6345356,0.941924,-0.4283146,0.21196882,-3.3296409,-1.0961586,0.73626673,-3.0172691,-0.20160227,1.1392682,-0.06757761,0.7098912,-3.8318446,-0.7160944,-1.5362369,-0.27060273,0.457476,0.39864781,0.15696684,0.0069034058,-0.40130684,-0.58121055,-1.655003,-6.4632483,-0.061079074,-14.395952,0.19231457,-4.376976,0.66300637,0.14115141,-0.665367,-1.4516296,1.7668086,-0.19419642,-1.9940797,-3.8264496,-1.3598171,-10.8513975
-0.47288704,-0.050973482,-2.603716,0.45331565,-0.24151978,-1.767043,-4.9673896,0.4874544,-3.9308867,-2.6694262,0.41195238,-0.43784922,-0.5406506,-1.7508074,-1.0239389,0.96920097,-3.4461446,-0.21619019,0.8280831,-0.09950536,-0.18620372,-3.6827028,0.0051532537,-1.3582969,-0.44530818,0.29208374,0.23659423,-0.10738676,-0.031288944,-0.39057648,-0.5949984,-2.1112697,-4.7287016,-0.0987399,-13.114692,-0.4326808,-3.6877308,0.908255,-0.032797348,-0.7458732,-0.8915817,3.0452752,-0.2687668,-2.1903424,-4.262612,-1.6110152,-10.586977
2.568411,0.3009732,-1.6662655,-1.5129023,0.4457243,-3.2356322,-8.684938,0.6740658,-7.2530804,-3.514997,-0.022993604,-0.67311436,0.004080206,-2.3051052,-0.5218906,-0.79269606,0.86574453,-0.20417814,-0.27686104,-0.2454251,0.47512007,-2.396996,-0.5580095,-0.020704506,-1.693081,0.54224265,0.67706007,-0.3707128,0.0936532,-0.35987028,-0.94859827,-1.1221563,-5.530082,-0.8540722,-5.454395,0.090148754,-3.021999,0.78737664,0.10399169,-1.0109367,-2.3686051,-0.09291326,0.8847327,-2.8041787,-2.4556842,-4.3097973,-11.137657
-0.41898817,-0.3412164,-2.586532,1.0986965,1.6157132,-1.1209136,-4.1721487,-0.07748667,-4.185478,-2.7944558,-0.560605,-0.4658817,0.34886345,-1.8795263,-0.8752281,0.6693251,-4.041852,-0.18927546,0.47554943,-0.11417615,0.6246915,-4.064477,0.12933248,-0.50204897,0.05994731,0.26593357,0.19128269,-0.27235058,-0.44107434,-0.38447398,-0.7345453,-2.5012622,-4.2520294,0.4558553,-14.141476,0.3800034,-4.1978035,0.6135422,-0.006271248,-0.8253358,-1.1255937,3.3692255,-0.06467168,-2.2737527,-4.1785526,-1.314096,-14.100929
-0.4101872,-0.6220873,-2.1582983,-0.8102709,1.1806377,-0.02739097,-1.5727811,-0.6171303,-2.1942902,-2.544026,-0.6929941,-1.0680938,-1.4384487,0.21240938,-1.201434,0.18165122,-2.0578394,-0.099448174,-0.6140001,-0.44137037,3.7925558,-3.3550844,0.0032358493,-1.8648434,-2.1910832,-0.22717007,0.23975635,-0.29327008,0.37269583,-0.3742117,-0.6918411,-2.9604182,-7.8540063,0.7235175,-17.33697,0.14720276,-0.31404495,-0.09840493,-0.078739256,-1.5125432,-0.84214795,4.4660378,-0.4904826,-3.991847,-2.182158,-1.0119792,-14.0242605
