"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.097971566,-0.07040615,0.59792984,0.1799647,0.27430305,-0.25802734,0.06514223,-0.22192787,1.1521008,0.44761392,0.037131567,-0.14155158,0.4909548,2.1765342,0.14723966,-0.09103987,-0.29388452,0.12182976,0.13674022,0.08515768,0.29529637,-0.18578857,0.34533256,0.4750827,0.41705337,-0.12708072,0.17181024,-0.18220384,-0.076233976,0.115799874,-0.025778092,-1.08874,-0.2407035,0.20008498,-0.76652265,0.12557319,0.42419973,0.26068184,0.07001043,0.30236927,0.15165274,0.024992364,-0.5171154,0.92175657,2.006163,0.26219645,2.5767972
-0.026389662,0.010837258,-0.08459163,0.121439174,0.2538908,-0.18177748,-0.10860545,-0.8275641,0.8728575,-0.7441675,0.5966783,-0.4845192,0.39849937,2.3568275,0.07272357,-0.48001,-0.09599216,0.035995092,0.18235062,0.0487068,1.078262,-0.50531316,0.16933139,0.4023605,0.046068493,-0.05124492,0.11106301,0.09998605,-0.11017368,0.076785974,-0.013467669,-0.6539381,0.20888937,0.030141199,0.32496193,0.048139334,0.8917699,0.10245594,0.10898222,0.3446475,0.07458705,0.11306274,-1.0633616,0.9297714,2.5544672,0.28043333,2.845374
-0.06697033,-0.01604351,-0.09091485,0.10889508,0.4412207,0.14210095,0.33895537,0.40040535,1.0448525,-0.6124017,0.4778614,-0.012845016,0.5626272,2.0898852,0.06385824,0.38872838,-0.23733123,-0.018435467,0.1801553,-0.013013909,0.23442751,-0.9691997,0.043688584,0.5579535,0.25912756,-0.06416927,0.214905,0.017597055,-0.050479133,0.14173573,-0.033792324,-0.3366234,-0.29286194,0.16036241,-0.5356185,0.055154234,0.4613866,0.17509776,0.08665945,0.35614204,0.18587874,0.124417916,-0.4263645,0.83976245,1.6273338,0.27933693,2.5502293
-0.046292845,-0.014956012,-0.11300562,0.19271761,0.2597119,-0.0018968858,0.024168652,-0.35652485,1.1831135,-0.34656373,0.6184614,-0.11697097,0.60383093,2.4759245,0.1082127,0.027403312,-0.22885437,-0.025852675,0.22736442,-0.059536964,0.01121479,-0.3886579,0.17377311,0.3414994,-0.003007922,-0.031153848,0.14099419,-0.010669797,0.061240174,0.055816393,-0.03727514,-0.7317337,-0.21908335,0.11595662,0.22434445,0.10614833,0.48641974,0.13168181,0.068946026,0.32905108,0.0881865,0.17607607,-1.033265,0.99654204,1.8304074,0.27299792,2.8029768
-0.09516081,-0.032224055,-0.096018076,9.4450064e-05,0.20639569,0.11442193,0.18232252,0.3204385,0.7164813,-0.21956986,0.6445964,-0.075128935,0.60167396,1.9254928,0.11099717,-0.024005303,-0.26464492,-0.03517395,0.24954356,-0.021990094,0.30429804,-0.35884598,0.13744761,0.36155686,-0.030185673,-0.05196142,0.08926599,-0.07361312,-0.14026128,0.08081479,-0.06260095,-0.47659644,-0.11136374,0.09005259,0.044362683,-0.20549612,0.6429735,0.20289251,0.04129646,0.17796865,0.08721042,0.1781071,-0.8313494,1.0386728,1.9340985,0.27152762,2.829939
-0.06439289,0.010242724,-0.16131777,-0.40910074,0.0021350854,0.11380111,0.35012084,0.05155474,0.43345442,0.41171664,0.062494654,-0.07429417,0.37541568,1.8538743,0.08508823,-0.13833605,-0.35272512,0.15369469,0.22129741,-0.17183729,0.3897575,-0.28221348,0.13672285,0.34730434,-0.20830655,-0.077163965,0.12492747,0.05008183,-0.01853276,0.10019892,-0.031515125,-0.14901425,-0.2723613,0.15887742,-0.66085017,0.0544172,0.41055188,0.18142542,0.032392133,0.17783593,0.13378926,0.11023642,-0.43764734,0.8775277,1.8572551,0.29956108,2.8378148
-0.60080516,-0.18134114,-0.22482444,-0.10259938,0.07110632,-0.23270407,-0.5297748,-0.7518797,0.710681,0.012699597,-0.11518842,0.025335373,0.4206615,1.9035937,0.09374059,-0.6383096,-0.6471789,-0.016196664,-0.89907604,-0.05432183,-0.84693295,-2.7566762,0.02880452,0.3568133,-0.44307938,-0.2347596,-0.7556739,-0.23038839,-0.08846762,0.0047116242,0.006451387,0.36554524,-0.012856417,0.015873678,0.027457697,-0.26676247,0.42609042,-0.3170632,0.03942471,0.105004616,0.08296329,-0.14712968,-0.38618407,0.46532446,2.5149689,0.23553489,1.6836432
-0.066657215,-0.03996153,-0.12653375,-0.16035806,-0.008359813,-0.25933114,-0.08261398,-0.48141614,1.0578848,0.14261457,-0.73316824,-0.0005511322,0.32782355,1.7411327,0.012401946,-0.66424584,-0.599435,-0.080278136,-0.38372827,-0.04559561,-1.3350735,-1.6100717,0.084324025,0.3815304,-0.49395198,-0.035546668,-0.36753124,-0.18503912,-0.07376713,0.100628495,-0.02109755,-1.1963775,0.0011038568,0.08876566,-0.028504536,-0.25664496,0.2742298,-0.26393077,0.07513152,0.10272686,0.07396324,-0.21791413,-1.2547487,0.66250503,2.0995252,0.23507145,1.7293023
-0.118747704,-0.08740643,-0.1210637,-0.038035695,0.1932714,0.1286031,-0.111324884,0.20352754,0.8578001,-0.4019325,-0.7866399,-0.040696535,0.2857987,1.5510069,0.050001726,-0.45518705,-0.596634,-0.08706815,-0.40661004,-0.024944061,-1.2239819,-1.3301482,0.058237813,0.42856222,-1.3620337,-0.04226259,-0.21906793,-0.20449224,-0.074119136,0.09283366,0.005565209,-1.0797949,-0.06594458,0.10439775,0.06274216,-0.37968895,0.31326583,-0.35673156,0.05023215,0.20095228,0.12464937,-0.20594595,-1.2683032,0.79182756,1.4311532,0.23318511,2.037972
-0.21170475,-0.08216665,0.48470658,-0.31698388,-0.18684801,-0.69919825,0.36003095,-0.52689964,1.1635599,0.1059576,-0.23616983,-0.04789421,0.14617117,1.6341977,-0.061237663,0.23372133,-0.20518479,-0.07097505,0.047781482,-0.05795194,-3.072984,-0.30112118,0.08347054,0.47226393,-0.3997092,-0.24806963,-0.69161147,-0.026639419,-0.186148,0.10310818,-0.045730237,-1.514767,-0.4354475,0.06467316,-0.62513703,-0.14888722,0.41218606,-0.06391224,-0.19769317,0.037988666,0.107208885,-0.08251995,-0.93236774,0.75929934,1.2326224,0.2982644,2.0494688
