"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.99931455,0.3925709,0.14605087,0.13382407,-1.7762365,-0.014885348,-0.38491604,-0.056870557,-0.4950936,-0.26817113,0.55678684,-0.30322242,-2.615506,-9.396909,-7.5242395,-0.7619695,-0.28908405,0.041724056,0.5085347,0.3524817,0.6017366,-0.19610247,-0.078393415,-2.4970403,-0.020926688,0.08750535,0.51339036,0.6247961,2.504545,-0.035516735,0.17253669,0.046114337,-0.018669851,-0.67683935,-1.434221,-0.69637424,-1.5859474,-0.09861618,-0.4403059,0.34030738,0.7387842,0.19161479,-0.4385131,-0.8056222,-0.05572139,0.20036687,-2.6862297
1.0093204,0.16371863,-0.21698488,0.21934345,-2.1660774,-0.0757655,-0.29038158,0.07872299,-0.65964574,-0.31038302,0.6005131,-0.30284628,-2.5417862,-10.131442,-8.201131,-0.69783884,-0.22117698,0.028074177,0.36859688,1.1180484,0.50997645,-0.27277964,-0.12451823,-2.891534,0.11212525,0.13943875,0.37700465,0.6087648,2.3369007,-0.03277614,0.2258671,-0.13018608,-0.02813725,-0.5506858,-2.0841186,1.5664026,-1.3245186,0.08095564,-0.5183978,0.3355147,0.8465729,0.39101484,-0.41649458,-0.7475686,-0.059705704,0.1837249,-2.7723947
1.1162775,0.23385261,0.09590361,0.3587099,-2.49401,-0.022769956,-0.6486656,-0.0047199037,-0.4101386,-0.19067174,0.6452864,-0.2756731,-2.2116363,-9.269059,-7.0907564,-0.8586682,-0.30778423,0.04701308,0.3600254,0.11036252,0.770433,-0.13826859,-0.031972546,-2.862222,-0.007961602,0.09622242,0.3647965,0.6197062,0.7992643,-0.03277527,0.10977262,0.03253017,-0.01345177,-0.64002955,-1.4454648,0.32153046,-1.2460625,-0.22056367,-0.68677986,0.38224235,0.64516336,0.37257466,0.058790818,-0.74624497,0.022117564,0.21750122,-2.451456
0.9826833,0.35298643,-0.06590506,0.20673738,-2.0954754,-0.0355703,-0.3754576,0.16610819,-0.6896671,-0.32604855,0.564628,-0.31391558,-2.3859496,-8.653995,-7.4354944,-0.8783916,-0.28952312,0.034353204,0.57583386,0.38307703,0.56041294,-0.27134356,-0.107214965,-2.594421,0.06798333,0.08608523,0.45384064,0.6352301,1.6508151,0.04169511,0.15820622,-0.17293626,-0.070674725,-0.78290266,-1.8114265,-0.2963177,-1.419437,-0.091665946,-0.44065827,0.41249174,0.81668496,0.25245824,-0.38886988,-0.7419346,-0.04911469,0.23198748,-2.3152947
0.95792747,0.23812047,-0.04428324,0.14488597,-2.0706468,-0.03616499,-0.5167476,0.04340808,-0.67946315,-0.17818135,0.67941827,-0.29576755,-2.4458516,-8.868938,-7.4770365,-0.86684877,-0.2969562,0.026500799,0.4193826,0.40045446,0.58893734,-0.25035995,-0.11489157,-2.9100997,0.12651783,0.080704875,0.4171693,0.62923867,1.8091438,0.04097024,0.2142032,-0.108764105,-0.0783316,-0.7038315,-2.0970817,1.5124913,-1.5106547,-0.21287785,-0.4545328,0.35181776,0.7025915,0.32283086,-0.38055933,-0.758777,-0.05596607,0.2118846,-3.0063548
0.97323906,0.28342044,0.07651428,0.19452411,-2.0061052,-0.03224928,-0.70138377,0.025074895,-0.36414936,-0.16415067,0.5659824,-0.3185928,-2.205462,-9.895098,-7.4462953,-0.6339883,-0.31591874,0.051577576,0.5473269,0.19949144,0.803744,-0.10038802,-0.045154434,-2.7441633,0.05461103,0.085034564,0.5027192,0.65308166,0.58310235,-0.0230191,0.25502613,0.01466418,-0.066324815,-0.65075004,-1.1855069,-0.44047695,-1.2659974,-0.10237617,-0.5034705,0.4231622,0.8160896,0.35687602,0.031861924,-0.6719625,0.024013199,0.24324486,-2.4167554
0.9210347,0.2448486,0.028882148,0.12436008,-2.3165748,-0.05331306,-0.46563405,0.010660032,-0.94979584,-0.42683467,0.5908397,-0.13879271,-2.1458545,-10.274036,-7.5701914,-0.7967857,-0.2681011,0.003953613,0.41229185,0.45002982,0.57470185,-0.26187968,-0.08751997,-2.9603617,0.25521144,0.11192885,0.44237396,0.6157215,3.1402822,-0.08233442,0.25519577,-0.2083353,0.021084122,-0.52696097,-2.218243,2.5973196,-2.2579014,0.11055374,-0.4353223,0.28391847,0.6866808,0.263032,-0.4686952,-0.78612703,-0.08110638,0.21474832,-3.1193433
0.9522651,0.25140327,0.118416905,0.025061008,-2.174672,-0.03639756,-0.46618512,0.0097838035,-0.6699659,-0.1870007,0.6071067,-0.13292633,-2.470598,-9.924947,-7.5037637,-0.7878403,-0.26849377,-0.017891316,0.445741,0.10513637,1.1337252,-0.21995497,-0.11836953,-3.0248806,0.1853732,0.10840044,0.49393234,0.6119928,2.552951,-0.07151387,0.25566787,-0.052769512,-0.020335285,-0.7272217,-2.0760503,2.7272472,-2.197288,0.13090193,-0.44633618,0.28594813,0.8461961,0.16720007,-0.409136,-0.7500228,-0.04625352,0.21881078,-2.7842813
0.98530364,0.1836082,0.12978792,0.18009332,-2.2537804,-0.05240601,-0.54588723,-0.00413861,-0.5728893,-0.5280647,0.5886649,-0.09314723,-2.4764597,-9.525561,-7.4799533,-0.83022463,-0.27346125,-0.017886883,0.40599146,0.08890928,0.6643866,-0.28762308,-0.11732424,-3.013966,0.28137404,0.111415714,0.48412144,0.6139781,2.573592,-0.08625579,0.225588,-0.06089779,-0.029509319,-0.8112084,-2.09091,1.9942774,-2.1919844,0.16834264,-0.44120386,0.28188396,0.852711,0.29160133,-0.4560828,-0.75380737,-0.025590515,0.21997674,-2.7969604
-0.13219778,0.0033168348,0.15265778,-0.061544634,-1.9264486,-0.03402206,-0.42427912,0.35217637,-0.40060437,-0.077876434,0.6176763,-0.189487,-2.1897254,-9.966894,-6.8328724,-1.1044174,-0.3057766,-0.07358695,0.3739957,0.13984695,0.81055635,-0.18482448,-0.008749259,-2.565658,0.009390313,0.051738355,0.46611556,0.62659985,2.8524206,-0.025629645,0.0330083,-0.058464486,-0.06496223,-0.84463495,-2.0147836,1.1986314,-1.9716982,0.10494812,-0.533063,0.36293438,0.1725595,0.089895904,0.041938778,-0.7478789,0.0061590127,0.17709877,-2.3986285
1.0107567,0.2677049,0.023906732,0.12496403,-2.258965,-0.029375331,-0.29018873,-0.047209516,-1.1004688,-0.608577,0.6168343,-0.13016592,-2.6257677,-9.8601265,-7.750202,-0.81045467,-0.26817828,-0.020442512,0.4199361,0.049105108,0.6612405,-0.26870456,-0.12746239,-3.6790109,0.2012824,0.110013425,0.40591693,0.6266645,4.866587,-0.08406305,0.21794204,-0.039049365,-0.0047190976,-0.60281235,-2.1687045,1.9000143,-2.1366665,0.09025987,-0.45528919,0.28332978,0.796592,0.28142625,-0.4611085,-0.78695697,-0.06182325,0.22220916,-3.0184252
0.9635471,0.24397908,-0.024216255,0.29355806,-1.958203,0.012763219,-0.1764735,0.021977682,-0.30472216,-0.054631837,0.6262309,-0.16448373,-2.3081563,-8.541478,-7.6103983,-0.7258375,-0.38972965,-0.056499913,0.3488013,0.05269491,0.6104716,-0.24661174,-0.022436975,-3.2322195,0.057966545,-0.03777347,0.3033153,-0.12365499,-0.31270814,0.0315412,0.1445898,-0.10282907,-0.0245571,-0.5915918,-1.5083369,0.64102566,-0.96283257,0.15475352,-0.44231895,0.5358063,0.79036176,0.3494347,-0.38099483,-0.606448,0.010010499,0.16773765,-2.0067122
0.67400825,0.28143463,0.13385022,-0.47656056,-1.5726401,-0.027014246,-0.34813932,0.05387731,0.015514075,-0.034510057,0.56437725,0.119806044,-2.2885425,-8.199705,-6.0054226,-0.5771306,-0.266354,-0.06521523,0.3255668,-0.04820043,0.70385224,-0.8196473,0.12536824,-2.9464543,-0.088208474,-0.023741297,0.49118116,-0.1117773,-0.63136214,0.012943055,0.26950222,-0.07048873,-0.08999771,-0.67725086,-1.2109952,-0.60150415,-1.1503361,0.24708942,-0.36953974,0.5927304,0.5909878,-0.090326615,-0.14313231,-0.67295814,0.005497106,0.2712213,-2.2462683
0.9635488,0.2542985,-0.02418473,0.2755575,-1.9681205,0.013725467,-0.066896915,0.021956215,-0.30635294,-0.05474429,0.62622684,-0.16473845,-2.308001,-8.539222,-7.606475,-0.725837,-0.3898075,-0.05653052,0.3488013,0.053059705,0.60927844,-0.24659827,-0.02243902,-3.232245,0.057225514,-0.0377412,0.30331096,-0.12365797,-0.31267413,0.031548977,0.14454669,-0.10282907,-0.024579227,-0.5915894,-1.5652807,0.64105153,-0.9622953,0.15943651,-0.4422775,0.5365058,0.79028857,0.34993762,-0.38110772,-0.60633326,0.0077780928,0.16895257,-2.0070899
0.9606029,0.2762999,-0.25180075,0.19771138,-2.0659173,-0.0027599921,-0.07982013,0.005814115,-0.50852984,-0.032261416,0.5406821,-0.10908627,-2.6514733,-9.684613,-7.241789,-0.8951981,-0.30180502,-0.054275867,0.33441553,0.11392682,0.3286359,-0.22055522,-0.10407499,-2.8120449,0.03062113,-0.023132386,0.3717441,0.6112125,2.396216,-0.06501503,0.13145144,-0.18640783,-0.027174963,-0.5697465,-2.102656,0.668669,-1.3975219,0.13390452,-0.6678129,0.36024922,0.81022,0.29829392,-0.3740277,-0.66924274,-0.012733759,0.1567212,-2.1288974
0.9635471,0.25495645,-0.02418473,0.27551576,-1.9681276,0.012763195,-0.06703327,0.021956215,-0.30635294,-0.054706037,0.62622684,-0.16447651,-2.3080812,-8.539222,-7.6104255,-0.7258359,-0.3898075,-0.056499913,0.3488013,0.05306083,0.60927844,-0.24659827,-0.02243902,-3.232245,0.057359174,-0.03777347,0.30331722,-0.12365499,-0.31267413,0.031544797,0.14454481,-0.10282907,-0.024579227,-0.5915894,-1.58718,0.64103425,-0.9623069,0.15466887,-0.4422775,0.53616273,0.79028857,0.34993762,-0.38110772,-0.606448,0.0077780928,0.16895257,-2.0070899
1.0054373,-0.0074049975,0.018755252,-0.3389805,-1.4759238,-0.024287205,-0.26677495,0.019006543,-0.31057385,-0.12006895,0.6161174,-0.034961216,-2.196351,-8.421357,-7.2775865,-0.8844783,-0.37411883,-0.06110431,0.33118376,0.082231835,0.604382,-0.27091092,-0.024045791,-3.144946,0.048101813,0.040845215,0.33388814,-0.13401721,-0.32746094,-0.013061184,0.16949807,-0.08457747,-0.070602015,-0.6696186,-1.4808456,0.46777588,-1.009351,0.1853108,-0.43916586,0.5513473,0.75711644,0.1948517,-0.38056663,-0.621362,0.03517536,0.26781687,-1.9632467
0.82869184,0.13362858,-0.24784513,0.2124564,-2.0698407,-0.00839163,-0.14716248,-0.01810556,-0.60643727,-0.2983215,0.5439755,-0.15510504,-2.6006498,-9.38779,-8.096772,-0.91561437,-0.23461846,0.029570179,0.44653276,0.88912594,0.29445997,-0.14768119,-0.043430924,-2.9570427,-0.0008108973,0.08867998,0.4081344,0.58277744,2.6138523,-0.080478854,0.116314515,0.021965653,-0.059409484,-0.7874283,-2.0479796,0.75641537,-1.4537945,0.17194486,-0.4220323,0.28047493,0.9577153,0.30328587,-0.35289338,-0.70008415,-0.05854431,0.22594061,-2.6555586
