"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-7.5112534,0.77192694,-25.869886,-8.801985,-5.6090364,19.697855,8.819086,24.67425,211.251,9.849495,5.3862576,-23.09306,-41.925213,4.6235995,36.25123,-9.827264,1.2086947,2.2347414,9.987949,12.929617,17.478565,2.0114744,-11.77667,60.379826,-5.98398,-3.5664191,-0.0798481,-0.50991803,-4.061684,0.4208381,3.4067512,-2.663378,-9.838012,10.121967,-6.3946667,6.8338084,10.266437,4.8103623,31.382357,36.630276,0.052515723,-1.5028017,-30.703379,22.095964,0.7329703,-14.340514,54.5721
-6.416261,-2.080361,-4.0536466,-7.166639,-0.27306736,16.762367,21.778624,15.528813,226.37952,-2.9965696,7.130485,-17.42935,-66.70111,1.219244,41.69921,-8.910682,22.992735,4.4032254,7.9124703,-31.62009,10.917368,4.4074025,-15.433541,64.08404,-9.835476,-0.33637023,0.45872447,-1.7483243,-7.8008523,-0.88937026,1.2397501,-10.040498,-15.287374,-11.204666,-16.44188,-1.8514999,34.102604,3.7112255,37.00603,40.043556,-1.096154,-31.615276,-26.549423,31.718939,5.1304517,-4.4884276,42.212563
-13.319153,0.27494866,-11.201395,-10.158723,-0.852824,13.280162,5.5938516,18.725311,211.36789,2.76889,10.604215,-19.056192,-44.229107,10.342562,19.43988,0.7931216,-7.804468,2.001159,11.076957,2.6031814,-0.12252272,-9.888265,-9.356535,62.141357,-6.264564,7.8446074,-5.595729,-2.7533848,-5.8065553,1.7600876,1.7107291,-1.1692721,-5.2142663,16.848808,-6.3558664,0.29097557,26.233856,7.6862226,32.95522,39.55423,0.587655,-8.153376,-31.343952,3.1707282,7.5836287,-19.713552,39.602654
-6.782022,0.47179022,-18.52673,-6.906824,-15.352517,8.88687,23.420631,23.352467,217.37808,3.3682096,8.082433,-22.379673,-35.01747,7.004426,42.529583,-3.3300173,5.2782273,3.9184942,0.15485622,1.2756824,17.670845,-5.5505185,-11.133645,56.263767,-9.127672,-3.210024,-0.37124276,0.734616,-8.017735,-1.656679,2.7330601,-2.3349395,-6.535434,-8.9695215,-26.531199,7.153039,1.2233804,7.189581,35.040173,35.296906,-1.6233919,-9.380945,-35.14238,19.644655,5.435089,-14.62624,57.57849
-6.938372,-1.2172018,-19.226635,-11.094427,0.12517117,9.78942,6.025039,26.878298,219.14484,-0.75008625,8.428483,-18.361635,-39.14064,7.285285,42.555294,-4.6360836,4.890604,4.60129,-13.613116,0.73702896,19.195272,-4.4208627,-11.011941,60.481182,-5.7897453,-2.6179154,-0.07530171,-2.2723463,-7.6981087,-1.7429425,0.8608162,-0.5725268,-12.534182,-8.791126,-26.232937,-0.6981092,2.9100046,6.6751223,33.981388,36.275673,-1.8313079,-13.003612,-37.221844,26.066093,6.26807,-15.423396,57.030685
-14.015167,4.74299,-19.528723,-17.887346,13.441106,-8.0371,-6.5764527,0.6943641,219.14133,15.921374,6.2546372,-18.382767,-42.733078,0.9372252,33.658592,-1.1668864,37.61899,3.5283265,15.378191,13.681651,27.781803,-5.4010997,-8.57531,57.97044,-14.642533,-2.0950186,-1.0950586,-1.4987713,-6.1990623,-0.78016156,0.7514201,0.38296255,-9.436032,1.4037501,-2.1545398,5.9444723,10.9808035,-5.9895897,32.77592,36.562405,-0.29125515,-1.9708484,-35.312214,5.1600137,5.08326,-9.636307,52.537247
-11.477,-5.3677635,-18.55148,-17.599524,-21.43071,-53.27261,-17.288218,-126.16717,151.29836,5.1778502,-0.4438327,-3.5092807,-46.197636,3.8431866,45.925114,-5.052431,8.559667,1.0030522,-58.359108,-34.01055,6.8270693,-31.60505,-18.762611,59.81792,-39.677834,-6.5260487,-13.884401,1.1871856,-9.477699,0.9125176,0.8987502,-33.531647,-19.947754,-13.104767,-46.435802,-72.95734,17.682556,-6.389522,31.162842,34.620754,-1.5715582,-11.236423,-52.991543,28.777433,0.92995566,-12.040749,-12.315955
-16.253233,-5.6052313,-45.46146,-9.61647,-11.770417,-12.783198,-11.330592,-93.12848,142.4595,6.2295403,-6.695753,0.35309365,-28.758348,5.4170713,23.284348,-3.8869128,-4.5628443,-11.195137,-54.636665,-52.888947,-26.90602,-22.484528,-23.99199,50.155815,-35.980347,7.028431,-23.0044,-1.3923357,-5.416769,-4.985734,5.1534867,-26.39645,-19.04591,-12.020501,-48.9723,-70.375626,-21.651138,-2.1860309,22.110432,33.80911,-1.0518289,3.7048564,-52.98512,38.214714,1.2983257,-17.707174,23.10459
-14.72302,-16.985939,-62.002758,-12.594871,-1.6299704,-8.545572,-1.2747064,9.710974,163.2044,3.4154341,-5.614884,1.1576775,-62.29889,2.3520472,22.038383,-3.9724326,-2.5641427,-32.322327,-41.764656,-73.616005,-30.173851,-18.610851,-22.603731,48.27143,-30.540962,-9.7377205,-25.900454,-0.24117337,-7.779288,-4.1733756,1.5672818,-17.168625,-17.410563,-11.401507,-63.129997,-60.20227,-20.040852,-12.443725,20.094814,30.218464,-0.7408242,-5.7098556,-48.120712,19.925056,-1.3088404,-27.08671,30.052328
-17.964794,-12.422286,-129.61972,0.84688896,-21.151728,-28.684793,-34.45413,-114.333725,115.78214,6.3026485,-13.466217,-1.3223844,-9.443708,6.01396,13.425308,-1.7723235,-11.771944,-1.9967775,10.539924,-3.9863887,-36.96787,-18.137865,-14.944229,42.773705,-46.552986,1.8600538,-5.4900393,-2.2173746,-10.093593,-5.9725213,-2.2900176,1.3772445,-13.996095,12.857412,-50.385185,-8.65342,15.389731,-2.1870587,11.860474,22.954649,-2.940572,-21.678335,-69.249916,4.3117867,-12.45349,-3.8843145,41.771484
