"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-20.580343,-62.675,-117.63811,-51.263283,-64.225685,91.44818,-142.82828,-117.38297,-3.9016528,-52.727104,-8.758384,-266.21628,-184.27374,39.062546,-97.6422,-11.428792,7.8137403,-4.4201026,16.636393,-10.556946,-55.008152,-89.19448,35.46349,-52.093544,-2.7760577,4.359643,-12.774533,-2.682756,-26.738815,3.3296397,3.1904063,-13.250625,22.722372,3.59216,-30.49322,3.8896809,15.348215,-32.210884,-11.381336,89.99628,8.029946,47.911484,-114.114716,125.307175,116.50653,30.613636,323.8733
-38.212685,-43.002827,42.648315,-27.438877,-63.604465,36.633152,-136.24182,-68.38543,-9.442618,-19.740936,-11.468072,-368.13257,-467.99625,-149.2585,-0.35272652,-0.35647067,-14.120974,-1.0693145,5.586195,-11.380657,30.202549,-124.79674,45.641216,-127.02741,-2.4244392,10.404811,0.96259636,-16.11018,-27.582336,6.2207737,3.923911,-47.714314,-37.940254,-16.17742,20.253595,-14.746524,12.63872,-34.706028,-3.3240073,93.85673,2.4563289,-9.650442,-189.74295,95.467735,94.26537,15.140531,371.67517
-14.187735,-59.13556,2.5546842,-58.200806,-40.97785,-289.9297,-110.42748,-59.76754,19.234795,0.45928946,-25.025307,-242.02063,-293.26917,-77.19878,6.629192,-20.148613,-2.691518,6.1340146,-0.21063425,6.8573723,-41.59199,-43.776512,84.01741,-1.8764858,-29.853725,-1.6042088,-10.277045,-10.043911,2.00437,4.125488,4.215968,-48.741333,10.6542,-0.21801537,11.1248255,10.847505,-0.22247045,-84.08995,-14.312881,75.032715,4.7979584,-6.94112,-236.02527,57.850628,-88.94263,-27.914522,233.70457
-29.7679,-57.45615,50.0302,-53.886917,-71.19466,-282.6402,-75.64007,-88.29275,30.351748,-16.900717,-24.123613,-248.30913,-298.82822,-140.72487,-16.991611,-6.632222,5.8906426,4.8381805,-35.07157,-7.247292,-50.35308,-49.17097,53.949104,-4.5115924,-1.9039187,3.9556687,3.0531843,-9.014941,-14.469951,3.1613748,2.6538835,-43.44587,-13.636245,0.92079216,0.66910255,-2.7899516,9.59103,-70.87273,2.4126208,93.563034,10.897051,-2.9210505,-217.24506,70.13883,57.00704,20.528439,316.18427
-30.279228,-58.344784,47.866943,-51.86065,-72.08221,-253.96442,-131.73866,-53.430706,4.829367,-17.21911,-13.691571,-253.73001,-297.09155,-151.50146,-16.713327,1.9835862,2.275879,6.24968,-26.303196,-8.332275,-49.113964,-48.346985,53.531303,-1.0570751,-3.9572527,2.8108847,-0.6887341,-10.735007,-14.007497,5.4130054,2.570267,-35.160522,-14.376346,0.07397634,-4.514168,-12.806216,8.265973,-59.929676,0.13412166,89.158905,4.224782,-3.3082895,-200.51657,77.04381,60.741867,16.924347,317.92877
-12.139837,-59.708332,35.9839,-1.5963162,64.51475,-248.03818,-126.20671,44.88975,35.295776,14.990201,-1.2694665,-309.03165,-366.17508,-138.83763,-3.9226031,-3.2837908,10.540814,5.8609395,-21.17088,10.73358,-62.8301,-46.64669,75.16346,-8.363933,-0.35990533,4.759098,4.93485,-3.946514,-4.102084,4.2920427,1.2169837,-31.632063,-11.851515,-2.4392977,-28.220621,8.742015,6.030799,-89.34973,2.9054365,100.69699,7.014231,-6.390177,-183.58965,67.36774,123.66315,29.133059,301.59256
6.705944,-4.832662,76.99146,-0.19017704,-50.00963,-211.91496,-118.215645,112.9118,54.880222,-14.500301,14.2184725,39.112053,18.728098,55.22132,-29.863195,0.622457,12.97689,6.0228195,-78.70341,-13.730457,-68.677025,-50.504745,84.40767,16.655487,11.398034,-6.2345886,-15.186458,-8.3683815,-36.538292,1.9095342,4.848156,13.382357,-0.10991316,7.49396,143.6096,-37.894424,17.48149,54.437378,31.42311,174.96928,13.30219,-5.649187,-25.626497,133.16666,192.36761,43.820473,514.4767
15.71233,15.8823805,60.08669,-3.5731132,36.579315,-235.2233,-41.584988,74.68181,92.885185,-14.92634,19.80961,34.250286,1.2927145,35.743946,-20.340277,1.4761218,-5.8630633,4.10611,-64.36497,10.714506,-42.30379,-36.03057,81.45267,25.861605,-3.8492894,13.195099,5.9205766,-12.858556,-28.970808,-2.8459828,7.748775,-0.94783825,11.521985,9.84594,60.597256,-41.944187,3.945668,22.437723,30.460104,138.34935,13.708278,1.7038152,-56.675793,122.59035,172.35376,37.713196,530.19244
-6.5705132,34.46391,51.226486,22.263103,-47.80535,-210.57596,-71.0465,102.15611,75.19127,-25.3438,25.98839,44.915276,7.5715218,-48.526928,28.12649,1.9109942,-4.6669025,10.278635,-75.43717,11.507747,-50.56261,-30.489801,86.878555,28.77274,11.333486,4.786479,14.39389,-6.278364,-23.29896,10.987827,6.848516,15.304465,8.019397,13.302869,147.5961,-34.339615,14.396163,37.964638,28.823092,166.14435,14.823104,6.371817,-104.95172,121.198685,142.40779,41.413467,483.09998
23.990753,54.6521,-112.6183,84.949524,-14.635116,-336.553,-54.089283,158.58209,92.19049,7.444431,-21.211737,28.860718,211.21973,35.54441,-2.67356,1.0721006,-8.3894615,1.2534652,-5.824749,24.571074,-71.789085,0.03931713,63.44041,49.243816,-0.31140414,11.846092,-0.7796914,-0.7940061,-34.090294,1.9610553,4.5530944,-5.5561643,-1.5231228,20.00424,286.27518,-29.479612,23.46518,7.8416014,-4.6357703,145.89485,38.331745,19.272657,-101.87572,124.8219,-63.465458,-23.803528,453.7018
