"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-43.816383,-82.04456,13.341034,-24.276812,80.02678,-50.879158,-4.729128,-46.78539,217.28064,-62.72478,-7.0486946,-165.78954,286.9326,379.23746,49.743885,49.216454,9.643652,-9.985386,10.986148,-13.04362,-16.478762,32.818256,65.46188,26.114094,34.72815,-5.6377964,-14.583951,-15.792233,-51.77408,9.811712,0.21295105,16.894615,-12.11802,75.09587,43.71461,7.053446,152.78874,-96.92553,8.179096,49.359547,83.68322,5.804382,-36.156082,24.142242,4.835059,-10.932998,-40.657555
-60.514893,-134.49689,-15.109477,-15.684443,96.23795,-65.02491,4.163982,-47.23784,225.77539,-63.80951,-14.55017,-91.407906,327.71332,310.31354,45.05799,5.9322057,6.6436863,-32.800465,3.3647306,-11.830989,-38.71836,-20.34347,64.10171,20.829103,62.142593,-5.5619903,-71.46294,-13.635331,-51.99279,3.305867,0.0505614,25.071714,-16.508463,-34.642395,-10.228877,2.0061502,212.28526,-35.014862,43.878815,8.121523,-13.438423,-1.194745,-42.55469,18.522346,-6.987071,0.57625943,74.20025
-22.411861,-119.7888,23.776758,-26.302977,72.410095,92.33465,-22.159048,-51.667503,161.8276,-60.79731,-43.66552,-209.54582,183.91273,327.97433,57.21793,-24.760057,15.128391,-0.10921052,12.731956,-3.2051773,-44.09139,84.76179,43.025978,29.352293,11.582845,-1.5837457,40.58567,-10.215451,-6.8499656,14.322516,-0.9192492,3.4345767,4.6776624,45.705463,24.31978,0.4560952,165.68143,-113.217705,6.847293,22.350712,84.17163,23.197802,-66.27238,-9.54376,-1.9062624,-18.080145,-49.4077
-57.397255,-63.901573,44.925983,1.6417843,108.22281,-10.670548,10.466838,-39.634777,182.85088,-54.68612,-15.182101,-123.10104,185.83182,255.8401,43.625988,-2.4425404,14.119643,0.041438553,-0.24814203,-18.826042,-20.727934,24.826113,90.02804,14.93026,39.215946,-0.045869432,-39.89902,-20.631989,-49.883297,-0.34517238,-4.3111157,30.32524,-7.239228,-18.287937,8.798521,-11.435715,196.34586,-48.60058,-7.6432085,-21.735077,20.018314,18.86285,-38.784145,19.06177,-9.197204,-9.706896,29.39731
-54.3477,-70.82363,27.142145,-1.087541,102.262886,3.4409053,-12.779812,-96.99338,257.3004,-73.68824,-91.97192,-183.14899,209.74255,318.05444,48.35748,-2.90621,16.530216,-8.891281,4.2274785,-28.017473,-31.810793,38.457447,71.82025,12.58064,30.510138,-7.6510744,-17.876043,-13.982935,-47.982986,2.489004,-2.6219535,26.889751,-6.867395,-20.18465,4.985879,85.603905,236.8936,-60.517124,-2.0535326,-20.777653,17.79013,4.6322093,-47.283764,23.030987,-6.155755,-13.993958,28.166204
142.26733,-85.15772,21.950851,15.588118,72.95395,50.084972,63.811333,33.848312,221.63951,35.48738,-31.398617,-217.4953,133.55266,320.1238,51.740288,-0.2859964,63.20529,7.8811126,9.622695,8.815459,-35.63779,114.06662,63.306637,33.12949,56.310776,-11.225182,-11.966506,-12.301485,-8.710557,0.6144549,0.6744817,32.31987,12.578531,65.37684,51.560658,-19.014462,191.22466,-59.918713,-12.458669,-2.1461291,93.0768,22.550037,-62.387512,16.40889,8.992248,-6.0205765,-28.898417
-40.946114,220.48944,81.18944,0.4524144,68.965324,267.81616,95.2587,289.85126,411.91943,-71.3816,-5.9334297,75.32508,528.0426,477.16736,55.894978,88.42538,138.73814,-20.357582,40.898327,-30.927391,-26.372644,231.18025,143.2357,52.84211,160.9268,-19.117317,-18.782835,-16.229324,-52.98109,37.169544,-4.57046,55.96345,5.531183,-46.24003,4.267828,308.84857,408.52377,15.454986,147.02505,102.919014,-18.884058,33.15679,-50.79738,54.84177,-2.3020964,-1.0284784,98.628365
198.38734,320.34103,83.92648,46.194168,95.30597,315.12112,172.49841,683.70325,452.80695,72.49562,22.05435,87.843185,587.4043,640.3617,94.70404,23.811392,162.41702,-13.403088,51.687603,-16.284004,3.2462707,275.09888,175.48401,117.01522,209.95142,12.671133,-4.6784105,-19.311813,-62.90535,37.094894,-20.102758,102.35962,4.965812,42.463345,13.807621,319.59326,365.52362,69.01128,367.8941,155.68723,77.98445,14.713026,71.08742,21.500544,0.6017349,-0.073092885,155.99619
-43.9773,161.35603,79.81019,69.81087,92.39499,264.6921,145.58286,-8.999942,352.22134,-56.58288,-8.844153,95.6918,441.16168,353.6331,88.217354,-4.5396943,158.59514,11.508499,27.239777,-15.233845,18.422022,135.81808,143.4389,56.5339,214.39546,-1.0637211,4.2624125,-23.75274,-69.164085,37.567852,-4.676556,67.156136,-11.67355,27.865072,-1.084329,228.55786,342.7725,77.11462,192.61917,132.80074,40.203457,20.346191,-54.608555,35.57553,-23.606901,-2.7634811,100.52915
157.29195,366.3762,59.282864,72.50258,108.628845,262.8037,159.98209,636.8298,350.25662,30.131062,73.3409,143.50421,317.9697,656.962,150.93823,2.4086218,-5.82133,13.143353,72.7999,92.974724,24.518574,236.26021,51.984093,123.180954,109.65604,7.1965,155.75764,10.491465,4.1440635,7.9060297,7.5757737,101.621445,23.755272,589.08344,68.72613,165.50279,261.0748,137.55095,62.621185,173.82933,228.73738,123.80509,6.1710258,93.40099,21.87713,18.757368,47.60317
