"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
14.235748,2.165933,-0.4856845,13.395488,-7.9838843,8.177238,-33.248497,-21.484512,-0.82957435,-2.170257,1.594531,13.076886,-19.182932,-26.8836,-22.820591,-20.889084,-1.6698719,0.17608298,-4.309932,1.199705,-2.9137228,-8.864421,11.000943,-27.316322,-2.530941,-1.7331225,11.3725195,-0.81241375,11.898633,-2.3070214,-0.42835003,-1.0589553,-13.175724,-13.310621,-17.641794,-4.4349923,-3.6971219,8.817216,-19.611475,-4.044261,0.733662,0.13853042,-14.248732,-28.566467,0.05169476,0.22003645,-35.53211
12.983241,4.5744367,-1.3604152,11.441732,-17.277082,3.6622863,-32.825363,-31.676996,-1.6362513,-6.7830477,0.11008753,-2.7327757,-13.526287,-13.386042,-20.395586,-21.358593,-1.9937594,-0.16685578,-4.034952,2.0792325,14.81434,-3.8738146,11.2410965,-25.822727,16.99559,-1.0417238,14.19195,0.73175025,16.16022,-1.9677064,-1.5038525,-5.409515,-12.864831,-4.4382224,-12.728967,3.8090944,-10.107275,1.9313669,-14.007044,-5.8426795,-0.59993327,-0.7043839,-13.414455,-26.8516,1.1547548,0.68694353,-41.608196
18.116104,1.223702,3.5917704,14.852728,-5.0428157,-20.201136,-27.28211,-21.041912,-7.8194485,-7.785137,-1.2180188,8.537956,-12.913143,-16.03247,-24.668549,10.472677,-1.8009022,-0.4470679,-5.815852,-0.065492004,5.858498,-10.909457,15.271613,-15.052651,-1.7966714,-1.0218534,-3.4211326,0.6048949,5.047521,-2.4176974,-0.93668014,-3.7657301,-19.357204,-14.190037,-14.21069,-5.212124,-1.9170158,12.351546,-13.033044,-4.3755746,0.53960156,0.86760455,-18.092869,-23.196468,7.7539277,0.36077675,-27.421864
18.656763,0.52552867,1.9556718,13.062589,-6.7197647,-16.88316,-30.050484,-12.517054,-1.9552948,-4.489693,1.1349661,3.0498128,-5.34805,-13.300458,-24.489946,-11.335696,-9.726312,-1.7525839,-4.404638,2.8494146,2.750235,-8.484304,12.263555,-12.280392,10.193965,-1.1852406,13.263156,-0.8749619,7.41469,-0.334299,-0.774065,-2.5160139,-15.221043,-6.522694,-3.826644,-5.326631,-6.588671,8.054033,-10.075197,-5.467165,-2.7806435,0.762837,-17.564734,-25.682756,4.6118345,0.5258841,-35.75329
16.950315,0.15662253,1.6289188,13.76168,-15.299644,-13.751093,-26.09723,-9.859056,-2.031677,-4.279624,-0.087259285,-4.914577,-5.4651556,-15.243069,-23.545937,-12.80169,-2.368808,-1.6380136,-4.470864,4.9281397,12.088709,-9.186361,9.644822,-11.111677,9.197881,-1.3249923,13.850066,-1.9761357,9.856291,-1.4585667,-0.7781132,-4.884444,-13.441256,-5.4349523,-14.4241,4.2583785,-6.168851,6.403158,-11.478235,-5.7778783,-4.5286603,-0.041385774,-11.717243,-26.814445,2.8789928,0.63700336,-36.593857
11.719547,1.12094,2.7628162,0.5282011,-4.9947124,-17.242748,-27.911303,15.033855,-6.8172164,1.8924663,2.4639075,-4.4271245,-13.066936,-18.968302,-26.436638,2.8666177,-7.3261995,-2.0148764,-3.025124,-0.29644582,1.8664176,-7.331133,7.524393,-15.591641,9.53579,-2.8848858,9.595255,-0.23321179,3.3497329,-0.5815925,-0.3545392,-5.1900563,-5.1875057,-15.334435,-23.459694,-7.129457,-8.569218,10.208698,-11.019292,-5.772375,-2.249329,0.45630762,-16.036804,-28.275217,4.6959314,0.6017075,-27.321217
10.587702,-1.4944568,0.23679957,-7.0424156,-13.447149,-16.74293,-46.334652,21.539867,-9.162455,-5.668301,1.9503411,-9.160809,-15.383004,-26.778591,-16.423319,-29.10934,-11.886671,-0.32949546,-15.256142,6.3117456,-5.4875684,-13.560959,7.310856,-22.14812,11.152586,-2.7393506,3.6469367,-0.8788923,10.098098,-0.51015466,-3.4727767,9.733123,-19.914427,-6.5673714,17.398203,5.289023,-11.537247,-5.7662315,-12.584849,-5.6731095,-2.3555577,3.1540344,-18.421165,-18.68519,0.52758616,1.2886415,-37.483055
-3.3989513,-2.0651593,-0.40076613,0.82911944,-13.0654,-15.149166,-28.75261,23.480724,-7.7002363,1.3676974,1.5286908,-15.083112,-18.526947,-26.408066,-20.594133,-10.470308,-14.661747,-0.45617253,-15.518695,4.4465337,-5.4993534,-9.5073395,7.7366514,-15.434395,9.485996,-2.4303422,9.485273,-0.47470364,12.704511,-0.2598355,-2.5451748,-11.115658,-13.484228,-2.492699,0.9324926,7.0412445,-12.884616,-4.7900534,-13.776152,-4.5917234,-3.2050736,-2.4326346,-15.813405,-26.51843,-0.9418143,0.37523085,-41.14799
13.298409,-1.08007,-1.7434144,-2.01379,-14.80603,-17.321527,-31.196196,4.304915,-10.800281,-7.32662,0.6137812,-9.560632,-18.090893,-15.173311,-17.569126,-9.440614,-14.498272,-0.19384582,-15.30647,4.346033,-11.67732,-9.099456,11.07727,-13.339016,13.157371,-2.4614697,11.379908,-1.419799,14.296176,-0.52806824,-3.814276,-11.945967,-14.687184,-6.735981,3.7106514,7.186478,-12.941426,-7.7968254,-12.64954,-5.6854863,-2.249849,-0.1781145,-16.188549,-29.374346,4.3227143,0.70772475,-40.875908
-9.122061,0.78502923,-4.1683946,-14.52982,-10.793611,-28.991756,-24.236288,35.931767,-12.024991,-1.445207,-1.1175761,-11.537717,-17.040504,-22.858107,-25.773134,5.982749,1.1616344,-0.64624,-5.0152574,0.18933775,-9.805239,-0.123652495,7.946657,-18.29112,-1.7191758,-1.6615824,7.7339478,0.059905846,14.279124,-1.241689,-0.4636823,-5.9223814,-19.769022,-10.02412,-26.361752,7.853826,-5.150837,-5.7130566,-10.105721,-2.7046807,3.1523318,-2.4470723,-18.862087,-25.65655,3.0862362,-0.934833,-33.841866
