"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-12.891867,8.228532,-129.26117,-29.404408,-80.830635,99.66351,-197.16054,-118.86451,-24.777964,-46.963734,91.49524,-29.351433,-330.6197,-627.8069,-415.9381,-182.56917,28.41623,12.649107,-46.614746,190.96193,-76.55274,150.72289,-10.550501,-150.67812,-104.414696,24.912329,75.89333,1.1355156,447.304,-3.279239,8.245426,104.13433,166.98991,-117.029945,-504.23666,-19.638046,-177.95163,45.46402,-38.63763,-82.19436,-101.157135,62.739548,66.86294,-487.1808,-37.105675,70.02708,-956.67725
-2.2872608,0.57570106,-137.9443,-146.71083,-46.765926,52.59098,-135.71628,-74.178246,-44.22411,196.92607,3.6981802,8.516512,-280.83914,-541.3533,-313.30878,-191.55782,100.79903,41.781235,-1.8180563,191.06601,-25.851545,43.77725,6.962277,-65.678894,-65.01214,24.054594,47.48248,10.81135,350.56076,-11.466928,9.687267,-45.780552,-85.83466,-112.30399,-494.51898,91.308235,-221.94826,2.1724503,-21.416481,-75.8607,12.256398,-113.07196,63.836075,-512.0693,-223.82368,94.561844,-1169.901
-19.02795,21.082148,-141.66667,-77.79064,-69.3089,-46.909924,-204.63971,-56.357773,-63.426544,157.56992,79.67879,-57.888706,-272.6121,-636.4095,-427.4729,-59.932255,17.412027,14.423441,8.045801,155.17249,-75.278725,196.83194,0.29962516,-168.84773,-88.26337,43.31813,80.60986,1.611318,126.7954,4.4149733,6.568945,56.744286,147.79091,-96.01853,-355.24432,-40.445766,-155.49042,34.33009,-32.84542,-72.624565,-121.32147,-54.755898,42.196007,-461.75888,-184.33977,74.84282,-1034.0848
-14.503891,4.899185,-155.76158,-31.590424,-60.40812,-0.42305818,-122.7684,-64.84693,-26.91459,123.64689,83.058044,-3.2150915,-264.07538,-609.0377,-362.32578,-159.50629,37.00079,20.046833,13.14621,163.55017,-29.842754,135.0511,-16.832945,-87.108986,-107.249176,39.943558,68.386116,9.420844,380.61438,4.4860024,2.0042753,36.738354,-47.846516,-136.83476,-606.69714,-10.926279,-194.1986,36.161312,-14.50659,-88.07383,-46.945137,-67.58962,62.660217,-440.45563,-236.75577,83.88614,-1109.1849
-18.156733,32.825817,-147.66216,-32.94341,-53.173374,-17.514236,-186.16437,-27.08466,-32.397423,93.11109,53.704926,7.068051,-290.20697,-644.1425,-338.6555,-190.30524,40.528366,19.740688,14.056257,181.36475,-42.06699,122.549194,-22.62729,-89.26152,-87.17213,35.89782,47.153908,0.46945763,383.2191,5.8518486,8.771274,39.4433,-62.979774,-98.31337,-542.98895,111.75313,-195.81343,36.629227,-8.842383,-83.36931,-49.51788,-88.07569,69.271996,-482.33188,-233.36475,80.91671,-1127.5255
-9.776929,29.849564,-183.1637,-44.14336,-70.605865,-23.008736,-118.21995,-0.21460211,-25.155838,-66.7191,88.53651,-83.95895,-307.79974,-614.7899,-371.3088,-48.150127,44.250122,16.401714,21.595274,-1.8790076,-97.595726,122.959984,-20.161446,-141.44963,-91.40488,43.063545,87.53406,2.6143146,149.79538,16.053665,1.0061663,31.463076,70.05737,-48.868145,-237.71642,-20.821653,-251.04164,38.243164,-24.093475,-68.066086,-83.25913,-64.597176,51.566544,-495.22955,-133.58144,77.35515,-1015.00586
-11.354363,20.434673,-152.9135,-19.643085,-65.80247,-105.491,-221.97498,-57.883694,-46.400528,0.5683189,116.28664,52.156666,-269.6401,-703.898,-319.9527,-230.97398,23.167511,13.193814,9.650418,196.22621,-19.36063,169.04665,0.32787693,-84.89337,159.71024,31.304123,48.965416,3.773218,462.0048,-26.283852,7.5351987,-81.24168,-173.82544,-10.004528,-747.3797,149.84036,-229.90297,-33.364944,-0.6816508,-98.63094,-14.416266,-24.591917,143.75992,-522.6694,-176.88144,133.43526,-1079.3054
-18.853447,31.570868,-149.99821,-20.223701,-61.716736,-33.28718,-147.11272,-58.369698,-38.24922,-31.394539,99.543495,-26.907084,-298.83817,-637.01715,-369.95587,-215.07939,33.496693,8.45104,15.963138,181.66037,-11.456056,151.1265,-12.491427,-61.5597,9.152712,33.536095,48.612774,-5.3640666,434.92715,-46.025093,-4.040747,-34.742924,-74.61721,-128.88821,-689.3027,115.56631,-222.69992,-23.317022,-12.929577,-97.49936,-36.325344,17.431292,160.97507,-552.8742,-149.02702,78.84877,-1061.0259
-15.620724,17.863436,-129.59773,-21.468948,-49.08232,6.3643627,-152.39365,-42.925945,-82.58591,154.95354,138.3693,-15.510799,-266.9009,-634.65424,-372.55612,-223.34595,10.110676,7.8347917,10.901891,155.50334,21.316736,170.33966,0.25479,-74.39862,84.684456,26.379059,51.730522,7.201989,433.3177,-31.23003,1.0227377,-62.219395,-87.01754,-103.443535,-700.749,95.051704,-243.76367,-21.423685,-4.5899262,-119.97977,-35.183853,-57.52824,146.78908,-591.19794,-156.40543,79.32708,-1122.4819
44.24508,61.1724,-179.96135,-46.37427,-68.71827,-181.35399,-244.09047,160.51505,-1.4561388,-35.28605,81.08456,-48.53896,-263.89737,-863.83026,-336.13483,-87.34298,6.960066,0.4788363,38.132236,-101.23044,189.26479,120.55752,10.111973,-44.498264,-69.486946,53.420498,95.509796,0.37363443,641.5944,-0.43963012,3.3331597,40.036182,105.22124,-46.72084,-448.9222,97.56277,-205.77284,0.072741255,13.615466,-46.767467,-71.25299,60.837082,48.43957,-478.934,-146.94989,38.83467,-865.6883
