"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-6.229836e-07,3.8066275e-05,4.8923852e-05,2.445503e-05,1.17325635e-05,4.37064e-06,2.3938486e-05,-2.0594532e-06,-6.3007734e-05,2.3609962e-05,2.4014587e-05,5.6364655e-08,-4.3240496e-05,-1.0155138e-05,-0.00023707771,-0.00016601787,-1.2435862e-05,-7.365302e-05,3.3389424e-05,6.0360543e-07,2.7552185e-05,-0.00021879999,-5.8313875e-05,-0.00022836447,4.914829e-05,1.4161619e-06,4.3408003e-05,-5.101083e-06,6.8649283e-06,-3.835704e-05,5.1797397e-06,-1.3606663e-05,-3.4906072e-05,-4.9104325e-05,-0.0001530545,-1.585834e-05,-2.8450067e-05,-3.5829024e-05,-0.000157009,2.009689e-06,1.998459e-05,-2.3450314e-06,1.4254685e-05,-4.548159e-05,-4.21311e-06,3.12321e-06,-8.689769e-05
-2.4591993e-06,6.8014626e-05,5.4767785e-05,2.3063609e-05,7.030263e-06,5.436626e-06,3.5195375e-05,-5.397503e-07,-5.7856552e-05,2.839417e-05,2.1285106e-05,-1.4360044e-06,-5.8772355e-05,-1.2235002e-05,-0.00035532733,-0.00017733114,1.30842855e-05,-9.8729135e-05,3.4928806e-05,8.387487e-05,2.4114328e-05,-0.00021842872,-5.5536417e-05,-0.0003144446,0.0002063379,3.0960057e-06,4.1192285e-05,-4.8774873e-06,6.4166093e-06,-7.559092e-05,2.2289885e-06,-1.41372275e-05,1.557177e-05,-4.8763395e-05,-0.00020364256,7.561623e-05,-3.4621567e-05,-1.5868356e-05,-0.00015016893,1.8545462e-06,2.4287696e-05,-1.6295237e-06,1.4042688e-05,-0.00013174077,-3.893649e-06,3.0720323e-06,-0.0001268327
1.3858712e-06,1.5263173e-05,5.3502303e-05,2.5516327e-05,1.5161933e-05,3.3046506e-06,2.6258258e-05,-2.8124045e-06,-6.0182792e-05,2.811358e-05,2.2872084e-05,-2.934993e-06,-5.3943648e-05,-1.357689e-05,-0.0002634439,-0.00018246814,-1.4395091e-05,-8.927125e-05,3.39289e-05,-3.8855076e-05,2.8165286e-05,-0.0002138731,-5.767952e-05,-0.0002243581,7.650308e-05,1.4149286e-06,4.0960484e-05,-4.8681745e-06,1.8973884e-05,-3.8314352e-05,1.2334093e-06,-1.3524666e-05,-3.532624e-05,-4.9900085e-05,-0.00013294505,2.0686228e-05,-2.8450067e-05,-1.4482248e-05,-0.00016034773,2.0091693e-06,2.0388432e-05,-2.4288072e-06,1.561154e-05,-4.429828e-05,-3.968206e-06,7.1397454e-07,-8.317831e-05
-1.5203359e-07,4.456669e-05,5.321902e-05,2.4295781e-05,1.4333833e-05,2.8046486e-06,3.9558585e-05,-1.2887724e-06,-5.6278215e-05,2.6903599e-05,2.2131611e-05,-1.5324927e-06,-5.8093552e-05,-1.3554927e-05,-0.00038662434,-0.00017653726,-1.4957626e-05,-8.857695e-05,3.3947712e-05,1.0315339e-05,2.7493254e-05,-0.00021832864,-5.5640332e-05,-0.00022794218,0.00018330272,1.4730583e-06,4.02264e-05,-4.8691104e-06,4.4599874e-06,-7.557471e-05,5.1792194e-06,-1.3877463e-05,1.4910152e-05,-5.0956103e-05,-0.00016528396,-1.0651221e-05,-3.4621567e-05,-1.4793803e-05,-0.00015127359,2.0091684e-06,2.6097663e-05,-1.6135666e-06,1.3789124e-05,-4.4260792e-05,-3.9868837e-06,3.0548956e-06,-0.000100662
2.6510878e-07,1.9218838e-05,5.2771098e-05,2.4295781e-05,1.4215693e-05,1.2275396e-07,3.300606e-05,3.1238102e-08,-6.0085615e-05,2.7983908e-05,2.2327298e-05,-1.92259e-06,-5.7465204e-05,-1.3736782e-05,-0.0003465371,-0.00018104106,-1.2874922e-05,-8.7636734e-05,3.4168137e-05,1.7520695e-05,2.5821595e-05,-0.00021661703,-5.2737334e-05,-0.00028983245,0.00014646635,3.2296107e-06,4.0267776e-05,-5.195619e-06,1.8973884e-05,-7.581739e-05,2.2339734e-06,-1.4336347e-05,1.4299125e-05,-4.4291093e-05,-0.0001487696,9.139702e-05,-3.486791e-05,-1.7926724e-05,-0.00015127359,1.7514207e-06,2.418413e-05,-1.6012589e-06,1.3774522e-05,-9.6669675e-05,-3.9868837e-06,2.864292e-06,-9.456085e-05
2.7195806e-06,1.8964487e-05,5.3220036e-05,1.564783e-07,7.164672e-06,3.3148956e-06,2.8775592e-05,-6.1818832e-06,-5.5815486e-05,1.7819082e-05,2.2571377e-05,7.838323e-07,-5.6371005e-05,-1.1212895e-05,-0.00031263547,-0.0001807398,-5.2720025e-06,-8.992688e-05,3.363894e-05,-2.9029537e-05,2.8163533e-05,-0.00021934939,-5.9675578e-05,-0.00018918961,0.00012112534,1.2212233e-06,4.0678427e-05,-6.0119346e-06,1.9278203e-05,-3.8964186e-05,2.4220708e-06,-1.5543985e-05,-2.671101e-05,-4.2882177e-05,-0.00013442835,-1.2582267e-05,-3.4721495e-05,-1.4716723e-05,-0.00013832498,2.0091693e-06,2.5366762e-05,-1.8561542e-06,1.4774892e-05,-4.4336415e-05,-4.2153406e-06,3.3041426e-06,-9.463784e-05
3.4815967e-06,1.777882e-05,5.4337073e-05,1.2418391e-05,4.6419746e-06,-1.2880605e-06,3.322961e-05,-7.2035173e-06,-6.5010994e-05,2.9850802e-05,2.2585617e-05,-2.1276433e-06,-4.9595663e-05,-1.5026578e-05,-0.00037336024,-0.00018228107,-3.629595e-05,-0.00010016523,3.5444307e-05,1.6548503e-05,3.1920357e-05,-0.0002148966,-5.65924e-05,-0.0002905521,0.00028329095,4.0155724e-06,4.0787112e-05,-5.672123e-06,2.072865e-05,-7.360883e-05,2.4157762e-06,-1.5857917e-05,5.6954872e-05,-1.9232944e-05,-0.00023325163,0.00012656904,-3.6626607e-05,-1.595682e-05,-0.00013996732,1.8545462e-06,3.1477448e-05,-2.1621215e-06,1.5217848e-05,-0.00013607588,-3.6484878e-06,4.0302907e-06,-0.000106419735
2.7121446e-06,1.6753731e-05,5.2773074e-05,3.0852711e-06,2.8162486e-07,5.6995077e-07,3.371511e-05,-6.6096363e-06,-5.803473e-05,2.1650361e-05,2.2818256e-05,-1.6182289e-06,-5.636414e-05,-1.0807891e-05,-0.0003473765,-0.00018110288,-3.9839833e-06,-9.687987e-05,3.3102868e-05,1.6403308e-05,3.076814e-05,-0.0002156791,-5.7533565e-05,-0.00029192492,0.00024391763,1.5648477e-06,3.7611266e-05,-5.4111924e-06,2.097889e-05,-7.292299e-05,2.2674296e-06,-1.6733717e-05,1.5645108e-05,-4.1046136e-05,-0.00019798602,0.00010558651,-3.4475153e-05,-1.6640242e-05,-0.000132181,1.9481085e-06,2.6290325e-05,-2.5122542e-06,1.5189627e-05,-0.00013607767,-3.940035e-06,2.97096e-06,-9.93563e-05
1.8339643e-06,1.777882e-05,5.2773074e-05,4.2101333e-06,6.9566026e-06,-6.4964695e-08,3.349235e-05,-5.232358e-06,-5.9455393e-05,3.0308707e-05,2.2816468e-05,-1.7602665e-06,-5.722298e-05,-1.3200511e-05,-0.00036406983,-0.00018104867,-5.019592e-06,-9.554043e-05,3.4054923e-05,1.5081357e-05,3.076814e-05,-0.00021552607,-5.735721e-05,-0.00029192492,0.0002787306,3.098822e-06,3.8477807e-05,-5.4111924e-06,2.097889e-05,-7.291874e-05,2.2352112e-06,-1.6532867e-05,1.5695123e-05,-4.4142675e-05,-0.00019816811,8.8882414e-05,-3.442649e-05,-1.7742641e-05,-0.00013882449,1.8545462e-06,2.4393632e-05,-2.4512744e-06,1.5189627e-05,-0.00013740825,-3.8488206e-06,2.9943465e-06,-0.00010190056
-2.1423402e-06,1.7171058e-05,4.02174e-05,-3.3062863e-06,1.0567465e-05,-1.1079411e-06,3.2058237e-05,-4.870351e-06,-5.573911e-05,1.6360344e-05,1.6924427e-05,-3.984182e-07,-5.1045772e-05,-1.0748762e-05,-0.00028244153,-0.00018141666,-7.689135e-06,-9.009214e-05,3.295038e-05,-3.9950322e-05,3.3267931e-06,-0.00021831207,-5.4239958e-05,-0.0002495013,0.00010940791,2.5675236e-06,3.8005335e-05,1.2854408e-06,1.8966994e-05,-3.898623e-05,1.6928052e-06,-1.582836e-05,-2.748877e-05,-3.4951998e-05,-0.00014029077,7.548543e-05,-2.880101e-05,-1.4406803e-05,-0.00013337143,1.3556179e-06,1.6876304e-05,3.523672e-06,2.9243834e-05,-8.690464e-05,-4.3763307e-06,-3.560212e-06,-6.387774e-05
