"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.06148901,0.013608448,-0.11665926,-0.16670069,-0.07407767,-0.15916826,-0.08228951,-0.5487558,-0.04466385,-0.09328241,0.11719987,-0.34307197,0.17980061,-0.123618096,0.018623894,-0.6739157,0.26558444,-0.051199704,-0.013853669,-0.13823572,-0.03254381,0.26937032,-0.26664737,-0.13215691,0.03196108,0.014709658,0.31447378,0.022849463,0.028287822,-0.0052836295,-0.047289114,-0.16653255,-0.24650805,-0.031484857,-0.087474845,-0.0008749303,0.040657796,-0.19079727,0.10333145,-0.06616248,0.11325672,-0.40507618,-0.13444759,-0.035452273,-0.16246955,-0.010275477,-0.36048603
0.084716566,0.016106633,0.042537592,-0.058818463,-0.033379555,-0.10235833,-0.040977426,-0.55503964,-0.079298906,0.030425247,0.14571016,-0.33008587,0.04870487,-0.20222642,0.025627442,-0.6950935,0.17060526,-0.047377404,0.012529215,-0.19447102,-0.08485353,0.27055702,-0.2580713,-0.09505239,0.24421288,0.024539744,0.01867481,0.0005479245,0.03695623,-0.0017470695,-0.029597284,-0.17632684,-0.16296738,-0.097768255,-0.17873117,0.01581035,0.09523625,-0.06486638,0.19573739,-0.03766913,-0.05162257,-0.602814,-0.22589177,-0.05295941,-0.14208476,-0.076457605,-0.14137037
0.07367814,0.02403987,-0.01186982,-0.15434593,-0.035436284,0.008225727,-0.14615166,-0.3897372,-0.13471569,0.0152324205,0.08424191,-0.38106042,-0.10165777,-0.23021355,0.046067905,-0.88848364,0.1622746,-0.116454795,-0.0043386184,-0.20068125,0.21482566,0.24355118,-0.22647704,-0.123029955,0.018182293,0.06430533,0.21512571,0.028563073,0.06100689,-0.012614885,-0.0364775,-0.13927892,-0.20703705,-0.059226137,-0.11654665,0.0036892535,0.025143245,-0.1953528,0.11041687,-0.057677682,0.01967231,-0.56413835,-0.0381192,-0.055618715,0.062384438,0.024456747,-0.21833308
0.07326917,-0.010213612,0.07387741,-0.19303042,-0.053313814,0.06713166,-0.059749518,-0.45832002,-0.06679325,-0.055307183,0.09772741,-0.32485902,0.094278246,-0.24172564,0.054776255,-0.7731461,0.2013937,-0.08629332,0.011150743,-0.19342442,0.017600205,0.23686823,-0.254162,-0.12368042,0.11824659,0.027475405,0.094035126,0.013009418,0.049438424,-0.00457352,-0.0664537,-0.103046834,-0.27071175,-0.08949804,-0.3196903,0.0090478165,0.10012879,-0.09444636,0.21663174,-0.054270357,-0.056746934,-0.5926013,-0.07322626,-0.05455848,-0.07831094,0.019880319,-0.16343139
0.0845806,-0.0033942042,0.07683756,-0.13784154,-0.0515788,0.047865976,-0.04730014,-0.42979214,-0.06242417,-0.0005105451,0.11353855,-0.35253343,0.109355874,-0.23157762,0.06262416,-0.7678932,0.16375156,-0.09294167,0.02709752,-0.18593645,-0.10106224,0.21900539,-0.24940942,-0.11869226,0.06252942,0.0390365,0.0033078548,-0.0036229203,0.04390553,-0.0039991885,-0.025134971,-0.11026159,-0.2955874,-0.12090273,-0.21409342,0.028507013,0.086994566,-0.108581126,0.2412918,-0.05380154,-0.050390013,-0.5905212,-0.07711046,-0.10717825,-0.10066458,0.019314513,-0.18410617
0.07490556,-0.024321316,0.051601052,0.16856563,-0.026679639,0.116792664,-0.12651633,-0.44391274,-0.12704737,-0.15905398,0.13823947,-0.36711258,0.13926682,-0.3201801,-0.024432443,-0.776381,0.28771603,-0.07777887,-0.008970335,-0.091187425,0.012510814,0.27662268,-0.20685259,-0.12238991,0.22861582,0.022073893,0.2770024,0.048868615,0.06221617,-0.003583197,0.0050808545,-0.09534374,-0.14118457,-0.020895975,-0.17286137,0.015216518,-0.070745155,-0.23057503,0.31674823,-0.0616309,-0.027420701,-0.29447597,-0.046645828,-0.08320581,-0.07238492,0.034046974,-0.2661044
0.041885566,0.01534031,0.07052425,-0.06897099,-0.03162539,0.08527924,-0.0011160745,-0.44265345,-0.021703769,-0.019379823,0.14266911,-0.0024477341,0.098566614,-0.13636933,-0.08428639,-0.58983576,0.26753974,-0.09691078,0.014706536,-0.20829299,0.009055206,0.23291284,-0.27238593,-0.11527536,0.274673,0.02341855,-0.17040129,-0.012437879,0.0368434,0.016250893,-0.07329853,-0.13926512,-0.16031279,-0.060138956,-0.5175164,0.03309181,0.10874597,0.033349585,0.30362025,0.05703719,-0.08803599,-0.572365,-0.10111282,-0.08423104,-0.063514724,-0.16078496,-0.20004429
0.06687953,-0.05923774,-0.05770097,-0.10748334,-0.040268824,-0.077461764,0.003536841,-0.4132718,-0.080609895,-0.21173517,0.040376216,-0.04147049,0.1288812,-0.11722112,0.046894435,-0.6425945,0.26473314,-0.12940139,0.022778394,-0.18223211,0.3259909,0.26940873,-0.18686906,-0.14747578,0.087058984,0.044351347,-0.07198064,0.013848919,0.0399587,0.0052020387,-0.0037955053,-0.067414165,-0.16579072,-0.07920335,-0.3299253,-0.010264414,0.026757156,0.036924906,0.24736907,-0.04043086,-0.07965623,-0.26578954,-0.08592239,-0.09800978,-0.09996468,-0.027565168,-0.18411852
0.05738764,0.034301706,-0.06405821,-0.13487479,-0.035603594,-0.058101967,-0.22787131,-0.38229135,-0.06255307,0.09311072,-0.036850475,-0.042297136,0.1181932,-0.17191519,0.05625516,-0.6626461,0.22009756,-0.105003335,0.02044772,-0.20731485,0.44968966,0.17674574,-0.24285759,-0.15520783,0.21980399,0.018129552,-0.051833946,-0.0040742946,0.025531666,0.004677489,-0.10578336,-0.11218193,-0.16497761,-0.1270261,-0.3785754,0.014588977,0.015451722,0.057637766,0.2894186,-0.020892087,-0.063285954,-0.43832687,0.023162266,-0.12678158,-0.08191478,0.10595153,-0.16914584
-0.27402806,-0.075126715,-0.13554934,0.48956093,-0.054352056,-0.09700922,-0.13082822,-0.2317559,-0.12685221,-0.2542556,-0.22719431,-0.059761852,0.09830112,-0.13639776,-0.048143074,-0.74869245,0.31036457,-0.046014767,0.038943835,0.15951665,0.46858945,0.2115063,-0.25612518,-0.18273206,0.008426114,-0.02493841,0.1579371,0.053955287,0.049325943,-0.031162929,-0.019827412,-0.043286588,-0.14362076,0.047728397,-0.4900081,-0.12222339,0.031247124,-0.005367681,0.27854168,-0.064059116,-0.013158661,-0.19048129,-0.065534934,-0.12850916,-0.03445169,-0.06609257,-0.30957815
