"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-5.030723,1.3943691,-39.47165,2.6295385,6.007246,47.151012,-191.98602,-4.788601,-21.33014,-0.6258209,0.8106218,-4.173253,-54.058838,-19.42118,-4.164574,0.93647146,-37.20533,-1.9382827,-3.7227535,-7.096977,-9.347379,-50.15571,5.493444,-0.938467,-11.419605,-0.459394,12.831004,-2.8904023,-37.468502,-0.104924075,-4.50487,-31.583715,-49.205772,-20.826685,-151.52127,-3.06208,-12.582647,3.8930192,-6.0244226,-4.27456,-8.029644,-0.21619676,-28.743315,5.723114,24.187025,-3.7982078,20.563519
-6.8718886,-2.2431488,22.73065,0.7820038,-6.038052,-31.00897,-105.757935,-0.00051525113,-24.039341,-0.40194875,-2.904328,-16.14333,-88.989494,-57.42312,-2.9049373,5.160648,-54.928078,1.76997,1.0762857,-9.856085,21.63713,-37.39602,2.2458208,-12.556026,-22.992437,-1.2221465,18.892763,-3.0519567,-23.728802,-0.87990886,-3.044162,-72.27211,-63.899296,-26.905294,-134.97235,-5.629317,-16.607208,7.2806215,-9.544939,-2.2286036,-0.9899281,-0.18486951,-42.13925,4.071496,26.265667,1.7124876,5.5070605
-10.793682,-4.4713492,-29.595505,-1.5810177,0.37029493,-77.426476,-108.28148,1.3961474,-18.177555,5.8760476,2.5280092,-6.5822363,-48.225582,-11.015148,-0.6613683,17.889614,-33.255623,0.5062298,-5.7332563,-0.7505338,-14.229011,-55.13661,1.0974765,-4.603908,-7.70005,1.3746688,12.308516,-2.3648708,-9.193681,-0.31429705,-3.5362816,-33.78825,-48.386795,-18.253422,-129.05965,-5.7298083,-18.718391,7.059636,-5.3651257,-11.673413,-5.036789,4.9958286,-76.68027,2.3769135,-10.640574,-2.1846128,8.93451
-10.40236,-0.6389209,-28.153368,-0.6662687,-1.2074955,-95.90825,-16.611807,-6.5724916,-33.223648,-5.778133,0.9010742,-7.2509794,-53.751617,-16.251154,2.7247562,-1.6822007,-53.926804,-2.155201,-3.6876562,-5.5706434,-2.8687894,-43.513077,3.59081,-1.2889626,-11.968578,1.3553493,17.307411,-4.2002044,-9.350848,-1.009568,-3.4725635,-41.406166,-68.34286,-37.390244,-121.866264,-5.611229,-14.788072,5.1404586,-16.058304,-7.9608655,-6.4498224,1.3573036,-72.50934,3.5792778,-9.728415,-3.9763684,22.347153
-9.766107,-3.3928974,-28.071342,1.0174539,-3.3397243,-55.240982,-109.06124,0.89351034,-19.727911,4.075595,3.066862,-3.4129782,-50.505184,-15.101664,1.6572663,2.7071006,-58.26037,-1.6108218,-2.3002448,-3.7687995,6.7515,-46.038063,3.4507663,-1.4571617,-17.989662,3.7832072,14.0982685,-4.361739,-10.455209,0.029289348,-2.8996177,-35.588924,-59.519646,-16.55007,-110.0167,-6.937548,-19.521053,8.220504,-15.549344,-11.768003,-6.061782,0.95108604,-85.50817,2.0594645,-11.924494,-2.9579766,15.112675
-7.355566,-2.3413234,-33.706913,-3.9653738,8.208534,-75.15773,-111.5232,-3.1408265,-26.672447,-7.61944,2.1338203,-4.2638426,-41.14835,-15.333387,1.2576163,2.8000138,-46.773285,-0.10113906,-2.7377632,-0.475539,-1.0015365,-34.62789,5.4509225,-0.48591024,-13.793252,2.7339907,13.863903,-1.5561367,-9.968464,1.0945138,-3.1377594,-36.58037,-60.32322,-24.59692,-135.72845,-3.5261776,-18.324196,5.3788347,-12.96116,-9.787215,-9.188171,1.8317028,-78.79544,5.022729,-12.280984,-2.9010584,25.960081
-6.387604,0.29481918,-42.077988,-5.8525114,1.2280729,-94.446144,-199.96964,0.7029848,-10.745413,0.893777,-0.29445738,0.02309849,-10.387998,-11.898871,-2.8398347,2.8858151,-53.461594,-2.2984107,0.78313977,-9.228973,-0.8044833,-103.83281,4.071718,3.4720316,-5.1651006,4.1767387,22.266764,-12.614218,-21.107561,-0.72391534,-12.982549,8.998726,-26.422709,7.924844,-87.081566,-11.061212,-22.904425,-7.7990403,-15.483998,-7.33917,-4.9870167,1.9225148,-30.662914,6.4081173,27.094574,10.391857,-47.29567
-4.359563,0.63883865,-24.344883,-4.39726,5.9110475,-77.73185,-130.3403,-3.8592489,-20.30042,-1.8061459,2.0296593,0.42983437,-5.48845,1.7318096,0.53936785,3.333096,-40.99998,-2.1446676,1.7208631,-3.0143242,-29.21005,-55.592438,4.4311123,2.632018,-16.410421,3.353703,17.81588,-4.833448,-16.316944,-0.7750655,-2.3363643,-32.15457,-62.457897,-16.730017,-112.08161,-7.128792,-27.125954,-0.14134544,-16.29381,-12.057478,-8.03674,-1.6736878,-76.412895,5.2106934,-9.631783,-2.6980672,12.281567
-6.8710074,0.2746845,-21.840824,-8.571831,-2.8973787,-71.507095,-112.03454,-3.4774103,-24.318773,4.8876886,1.9211366,3.3362617,-10.184719,-10.972001,-1.8916546,4.173014,-39.8333,-2.584851,-3.0531876,0.71005774,-27.414642,-55.25436,2.4848278,3.041924,-10.186283,0.20847376,16.36358,-3.1487074,-15.969656,-0.8974254,-4.943106,-34.57865,-60.546497,-16.929453,-78.107704,-7.436967,-26.70403,0.61118996,-16.936941,-14.297819,-5.7590666,2.9345846,-34.668518,6.140452,-6.1823688,-3.0862846,-4.3899374
5.3794975,-9.8871565,-48.98663,-16.71186,6.191301,-87.54962,-109.34345,-7.55541,-15.3126545,-4.6601377,-1.0148721,1.7566131,-0.6547062,-3.8791182,2.9668198,14.854845,14.879853,-2.7007196,-1.6597669,5.947089,-45.126427,-22.268272,4.161347,0.2240652,-9.741139,0.85286117,18.747244,-3.7230904,-22.264051,-0.042041373,-4.077039,-33.247566,-61.64169,-18.285925,-150.72557,-15.048334,-26.250135,4.325876,-11.280463,-14.666078,-8.276419,-0.9434682,-88.95075,6.3487926,-10.619164,-14.459659,20.043625
