"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-2.4287016,-1.281969,-0.07327021,-0.058118165,-2.7550876,6.535043,0.6377953,8.377895,4.6866827,-0.6790196,-3.088592,-0.46785095,-4.977138,2.214154,0.15852463,6.721698,-1.6552492,0.0035119152,-3.7732646,-0.38306963,0.50255114,-1.3621637,-0.4755205,-4.278932,-0.89324546,-0.9857689,-2.4075682,-0.26079452,-1.2146947,0.746933,0.011942158,0.06978222,1.3831289,1.2928536,-1.2314886,-1.6620144,-0.4407736,0.24734241,-0.7436816,-3.2625482,-4.6312914,0.2672971,3.818902,8.103726,13.1917305,-0.7786959,24.590893
-3.1599383,-1.5354689,-2.731749,-1.2361617,-3.8220088,0.9519493,3.4060864,6.0577564,8.213197,-3.052417,-1.7364835,0.066323124,-5.5706506,3.1356893,0.39417392,6.829549,-1.5967788,-1.3804815,-3.4954464,-1.7459728,-1.4923229,-2.2774591,-2.6714823,-8.614968,-5.119055,-1.172326,-2.1802104,-0.033693224,-1.1266894,0.103514604,-0.12591144,-0.8216738,-0.17006454,-0.0274335,-2.8091393,-1.5919374,-0.9731097,0.78538084,-0.015293944,-1.8897809,0.122543864,-2.6345081,0.46005484,7.842102,13.409259,0.057916068,33.462513
-2.1205711,-0.49514002,-2.734604,-1.4396727,-3.8521922,2.0464792,2.2657728,1.6181097,5.7841973,-5.590354,-3.602231,0.5850343,-2.9984748,5.0386558,-0.2036005,4.547716,-1.6197956,0.21307482,-1.4052739,1.4353986,0.20135598,-2.8292646,-1.6053733,-10.175117,-1.2032921,-1.5913396,-1.7894843,-0.30630544,-0.18185785,0.61262584,0.15337615,0.054059904,1.4445865,1.2247782,-1.3686818,-2.2048507,-0.56946784,0.76045316,0.4230284,-2.2516062,-2.3172424,1.1119276,3.2830753,4.4142566,11.50835,-1.1998829,25.583754
-2.022976,-0.8133104,-4.0960574,0.5270527,-3.068782,2.5472312,2.0760534,6.4777174,7.3136253,-3.8319685,-3.1786265,1.2378961,-5.5307574,2.248216,0.013746501,7.936861,-1.508323,-0.86896735,2.5918798,-0.14095503,1.4675874,-2.0934832,-1.926019,-10.458477,-3.7016072,-1.0687774,-1.8661901,0.0694352,-0.8303004,0.46512654,0.038307294,-0.15219828,0.74708945,0.59052175,-0.44285992,-1.3249439,-0.69156677,0.60430175,-0.6572648,-3.339936,-3.4253788,0.3528695,1.881705,7.5339794,11.008475,-0.8966013,26.860512
-2.1879034,-0.5898629,-4.305691,-0.7505535,-4.4522133,1.029433,1.0212276,1.5560797,6.817668,-4.3120914,-3.3149717,0.92439353,-3.7009642,5.8925962,0.26525494,7.1403284,-1.4193667,-0.8875053,0.86242175,0.06044835,0.33163252,-1.2680795,-1.1334058,-9.538654,-3.752226,-1.0027701,-1.2142637,-0.51369625,-0.97209346,0.40174615,0.056511976,0.0029585522,-0.32825562,0.0766513,-0.7417753,0.92345476,-1.3013531,0.51716185,-0.5476358,-2.661669,-5.2434006,0.010568678,2.1425974,6.4371824,10.644788,-0.52374387,28.47143
-1.40597,-1.3138851,-3.2981608,-0.83907574,2.199249,1.9397237,2.0871758,-0.66415817,2.8810673,1.7693834,-3.4763775,1.1203555,-4.70941,4.320402,-0.34795284,7.6244907,-1.9525237,-1.1031855,-3.5654464,0.20103458,-1.6094164,-1.8424431,-1.2389164,-6.7180076,-1.4138669,-1.3718582,-1.9566467,-0.10186836,-0.9225974,0.5198822,0.015522993,-0.22138663,-0.03771814,0.49387714,-1.1829866,-2.7038555,-0.9155535,0.97443575,-1.2235589,-2.7122045,-2.8882735,0.30874872,0.800684,7.865951,8.699222,-0.56056684,27.576412
0.5601888,-2.6161242,-5.815258,0.1365257,0.28481233,0.75657773,6.4928856,-4.3326993,8.030022,-0.16934203,-4.0491753,0.5439423,1.1817377,-2.244292,0.9572488,7.351216,-1.3168963,-0.4087098,13.742506,-0.53535235,0.88490796,3.2129567,-0.6468076,2.6407077,-8.518273,-3.3698614,1.711549,-0.28457,-2.3146744,0.15873888,0.44760755,0.8301659,-1.3643048,1.1951903,10.707638,0.88258004,-2.2238643,0.19519575,-0.37230685,-3.9533913,-1.721579,-0.67618346,5.5458875,6.887454,13.3723,0.6733652,42.195824
-1.7744606,-0.2510937,-1.2355534,-1.6042789,0.25439778,7.3733225,2.6839206,-2.5326352,7.760222,-0.77214825,-0.2953337,-1.3947936,-0.6529658,6.8278995,-1.2893063,7.0748215,-1.6740053,-0.6451428,2.7442513,-0.26015764,-1.9894352,-2.3886535,-2.1481242,9.621999,-6.7747173,-1.0868489,-1.1501516,-0.28666455,-1.6730622,0.64352787,-0.6351008,0.11005988,-0.2769794,0.8130871,-0.1358897,-1.0598805,0.059443917,0.66208243,-1.5284541,-4.2664285,-3.8054953,-0.08806361,3.1709456,7.917456,13.762721,0.044730265,33.921062
-1.4017919,-0.67099303,-2.0075011,-3.3184822,-3.4853685,5.450886,2.8580008,-1.1824808,8.569286,-4.024462,1.3232563,-0.2839772,0.5584601,6.3902173,-1.2347726,8.7073965,-1.696797,-0.6906942,2.6086483,-0.028094832,-0.015091664,-2.4256525,-1.978521,12.266052,-7.428293,-2.3328223,-0.8209493,-0.1754988,-1.5463511,0.70988023,0.52336967,-0.50698096,-0.01594153,0.8936961,-0.27143785,0.9135639,0.18726715,0.5926148,-1.1537374,-3.8180325,-4.6331615,0.5961232,2.7049806,8.620367,10.52843,-0.47714624,34.23679
-2.6752307,-0.015381001,-3.0482314,-1.0480853,0.31661108,11.407356,1.8955791,-1.5397195,5.9334245,-2.0932624,8.6999035,-0.5319552,0.08885891,5.6229844,-0.6790818,3.3268185,0.18898027,-0.06988483,-3.110858,-3.7370508,5.0131297,-2.001634,-1.5121746,10.673046,-0.92884266,-1.6880962,-1.0783701,-0.69540507,-1.3104327,0.4934254,-0.047772285,0.20978466,1.7130992,0.974004,1.7697592,-0.96600163,-0.3222313,-0.2343403,-3.6099727,-3.4435,-1.9294181,-3.1815581,-0.53974146,4.269034,12.047691,-2.7490206,31.972816
-1.9141381,-0.49348798,-5.593001,1.4026073,0.8692921,1.8879937,2.0387783,-0.9458329,9.265467,-4.0070624,0.34772792,-0.5178182,-0.61978763,6.667606,-0.38275546,7.2393556,-1.3032004,-0.77282274,5.3522086,-0.061050758,0.019990956,-1.7695299,-2.1947367,12.009863,-5.9229527,-0.49700376,-0.7343909,-0.2698308,-1.5789835,0.54881513,-0.09205513,0.14810042,-0.15376028,-0.36806205,-0.51665336,-1.3445017,-0.6856528,0.4585789,-0.8182654,-3.290645,-4.7272515,0.90298086,1.8772868,7.5884795,10.374232,0.13925557,34.246334
