"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
1.176364,0.72776777,0.25328377,0.4883915,0.08325138,0.7144922,-0.972255,0.07962292,-3.1593115,0.22660431,0.5338925,4.3008447,-0.32953322,-1.4175702,-1.0780784,-1.458435,1.9029343,0.032133512,-0.39199388,0.527357,0.120249964,1.1523311,0.7056368,-3.176049,-0.1030869,-0.4812036,0.2695583,0.3756446,3.1177166,-0.25612283,0.25712496,1.3373642,1.2904122,-0.1367635,0.39966303,-1.1109287,-0.48923343,0.43252692,-0.021971332,-0.21703325,0.46266288,0.47294682,1.1483562,-0.17080905,0.17174695,0.08863435,-1.5013343
1.2840796,0.7423958,0.12219153,-0.13861048,-0.21173641,0.43665445,-1.0194237,-0.05571719,-4.4949903,0.085503936,0.6257004,4.383035,0.04730991,0.38775307,-1.2775364,-0.6434595,2.1681833,-0.00041298216,-0.3702581,1.2829949,0.6591122,1.3233677,0.008656091,-3.1945221,-0.05740837,-0.23734331,0.13280138,0.40995133,3.9815552,-0.020058673,0.24588928,-0.091988415,0.07453983,0.7578142,-0.012380204,1.4507995,-0.36915913,0.4647266,-0.27953193,0.17731142,-0.2829237,-0.46903563,1.7448412,-0.35859403,0.38353974,-0.008919073,-3.6917617
1.4594635,0.9353066,0.101223685,0.8129383,-0.1592648,0.1556152,-1.1832441,-0.17512187,-3.1066303,-0.34112003,0.6331312,3.8864095,0.43525112,0.5030842,-0.79055303,0.23023736,-0.08026465,-0.2076899,-0.29890355,0.36696833,0.25699556,1.2018558,-0.1305687,-2.4709547,0.16123974,-0.60954523,-0.31096193,0.3364609,1.5671569,-0.21298839,-0.00014992655,0.7205702,0.8394026,-0.26587504,0.78966033,-0.5538079,-0.23876737,0.60417736,-0.040604252,0.04354955,0.39397636,0.016666071,1.7286214,-0.00037539724,0.6450958,-0.038838305,-1.5270736
1.0049942,0.7271662,-0.2287418,0.45004725,-0.10472813,0.13051982,-0.87689704,-0.22685637,-3.6398215,0.17369841,0.88438815,3.4490159,0.6692937,0.3915911,-1.1697172,-0.23515922,1.5527397,-0.1829615,-0.6924618,0.54674745,0.10786747,1.262986,0.0049336874,-1.9737573,-0.22298594,-0.15868531,-0.16533121,0.28635243,3.4177752,0.015583277,-0.09974202,1.0161003,0.42063886,0.051547468,0.24585919,-0.85053176,-0.524744,0.8601339,-0.042106405,0.36085272,0.26173624,-0.63268673,1.4203994,0.039941452,0.48668545,0.0030549027,-2.1632264
0.97155935,0.7144196,-0.13144317,0.3495864,-0.11989664,0.09961814,-0.979969,0.01918374,-4.0632515,0.0886602,0.43842646,3.498517,0.65596074,0.49952266,-1.1049343,-0.23563175,1.5022471,-0.1771119,-0.68457115,0.60082734,0.34535575,1.5497293,0.044512827,-2.4143615,-0.338907,-0.16363929,0.028319722,0.38052726,3.418326,-0.012523105,-0.03478077,0.88752735,0.28596076,-0.037009515,0.14091283,1.4522667,-0.0077097155,0.5448208,-0.08194337,0.17029355,0.3218614,-0.68566114,1.7703665,-0.13375065,0.47677475,-0.0113365,-3.2838197
-0.01882137,0.83132523,-0.22576383,0.3591804,-0.30929536,0.13128482,-1.4663643,0.22230116,-4.0335636,0.5834316,0.48963454,2.2308018,0.24218859,0.56992644,-0.99740934,-0.24644683,0.39062217,-0.17860796,-0.50182503,0.16512464,0.12107084,1.2277335,0.03957175,-3.3373783,-0.113397695,-0.35557503,-0.1158496,0.254975,1.5061551,0.1464081,-0.06146935,1.4965847,0.8228037,-0.23973344,0.75272393,-0.8238085,-0.40435895,0.6495538,-0.20302725,0.2867376,0.14562663,0.12660722,1.3990601,0.004011814,0.71238965,-0.1923951,-2.0771534
0.6138654,0.47685686,-0.076513,0.15774406,-0.10344794,-0.281041,-1.538827,-0.114013284,-6.9773483,0.19272634,0.4828153,-0.5798682,-1.1500635,-1.7805957,-1.4138297,-0.77617335,1.0746992,-0.17894886,-0.7206972,1.1596183,-0.14325681,1.6257578,0.12336703,-3.0588727,-0.33060375,-0.8842977,-0.0036444531,0.17915547,3.0542138,-0.1832974,-0.013785071,0.14316542,-0.18623658,-0.06833333,-0.9927287,2.009305,-0.5422192,-0.0068919566,-0.14481638,-0.5179264,-0.111898325,-0.07197072,1.2338544,-0.37405777,0.3264659,-0.020427588,-4.677606
-0.34992042,-0.16812237,-0.08087482,0.021149525,-0.16820996,-0.1458684,-1.2263743,0.16500239,-5.2614026,0.60840356,0.54989684,-0.513383,-1.2015795,-1.7635937,-1.494761,-0.3032714,0.12562424,-0.08991037,-0.77319,0.25713697,-0.51557195,1.6535387,0.0933663,-4.3517427,-0.25772792,-0.5098708,0.09551437,0.14535077,3.347036,-0.2199872,-0.09832393,0.29115623,-0.15891388,-0.4459709,-0.49354377,1.8974166,-0.3710729,-0.09540268,0.07834462,-0.2419833,0.11943716,0.65904665,0.5107767,-0.5235421,0.1326236,-0.071623445,-3.9928958
0.5983975,0.3264325,-0.15658605,0.07161951,-0.110792235,-0.061324477,-1.1340401,0.16754377,-7.2126303,-0.5027365,0.5622838,-0.4276469,-1.0648197,-0.67009676,-1.498138,-0.56427073,0.23523337,-0.06320172,-0.7885774,0.35843498,-0.38858482,1.6065319,0.18871556,-3.9397337,-0.37905324,-0.65157074,0.34433734,0.22914249,3.7093787,-0.21253051,-0.010856114,0.22651628,-0.39724603,-0.24903235,0.16390377,1.7212055,-0.4581262,-0.3420894,-0.014062395,-0.4374403,0.0038410828,0.0584344,1.5698774,-0.32705998,0.61181486,-0.06030224,-4.4941125
-1.7108797,-0.38680246,-0.2897862,-0.42193922,-0.07955355,-1.0981762,-2.1543384,0.04100651,-3.9551659,0.5806598,0.3284823,-0.4076266,-1.1651794,-1.0114502,-1.3005662,-0.5088276,-0.04292853,-0.026697144,-0.67938966,-0.38169116,-0.2922345,0.88075936,0.10510445,-2.5834084,-0.072620496,-0.52453494,-0.01653723,0.30117118,2.6375813,0.06494937,-0.05475247,0.5542133,0.8437608,-0.39871758,-0.3493783,1.5864837,-0.6268079,-0.4063085,0.014607464,0.17695442,0.024949241,0.7910426,1.0396149,-0.36966616,0.13863215,-0.0042355116,-3.9764476
