"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.29295,-0.0664752,-0.0055098613,0.11296861,0.0025895224,0.15650113,1.3948995,1.0422492,-0.18889093,-0.019959854,0.061478887,0.9371012,1.105787,0.86500233,0.013570984,0.17417078,-0.04244361,0.0561233,-0.16334815,-0.15050262,-0.037028648,0.0057579,-0.48810813,2.2599683,0.048346344,-0.048692323,-0.34003943,-0.019375758,-0.13028845,0.021502513,-0.018202443,-0.23441437,0.027482677,-0.055964943,-0.023001943,-0.19619586,0.30900824,-0.20613433,0.041762777,0.1383333,0.22807792,-0.024884462,-0.16316521,0.41682544,0.49239242,0.09925133,0.8264597
-0.20978938,-0.086009376,0.12837765,-0.061355636,0.1206036,0.1597451,0.78370845,1.2825426,-0.024098901,-0.030368935,-0.105225004,1.0496868,1.668771,1.2957358,0.029042758,0.03199209,-0.19760233,0.036738858,-0.17500049,0.07406085,-0.0385149,-0.21503326,-0.05113719,2.25343,-0.35507068,-0.041853387,-0.50864625,-0.038852505,-0.06476427,0.046582524,-0.002956494,0.02062957,0.14667447,0.005138907,0.19442372,-0.22452353,0.2839006,-0.11259768,-0.13950469,0.074868195,0.11031936,-0.025200885,-0.18920064,0.44186667,0.5924557,0.0881376,0.94942945
-0.45313418,-0.09637857,0.06495406,0.01433234,0.14059816,0.22743502,1.1133354,1.2932575,-0.1630726,-0.0013953705,-0.07723292,0.6327203,1.3840481,1.1153266,0.0411801,0.028619064,-0.010477628,0.055295084,-0.08884143,-0.11635669,-0.14075479,-0.23822425,-0.04125203,2.1053808,0.06708714,-0.020023042,0.007928389,0.010500042,-0.09328223,0.04036394,0.005121635,-0.031637304,0.11744861,-0.049243316,0.059444793,-0.19816515,0.21732312,-0.1747203,0.044946123,0.16934673,0.17229891,-0.021115446,-0.10804542,0.27119282,0.3695358,0.0918,1.2282962
-0.43496436,-0.07805066,0.08957225,-0.020985892,0.20421721,0.2776706,1.0005983,1.1987581,-0.030440245,0.030027008,-0.04818305,1.1479342,1.1815445,1.1947,0.016205214,-0.0083307605,-0.051244374,0.047403533,-0.21843857,-0.15795448,-0.04482455,-0.07967495,-0.31300098,2.082729,-0.19281057,-0.04890005,-0.2399263,-0.016627446,-0.08745447,0.060171936,0.0065552825,0.0002719456,0.10850459,-0.070741564,0.17773493,-0.17513517,0.25425345,-0.14113323,0.03081327,0.08361026,0.13993607,-0.04207113,-0.15537079,0.45916224,0.56436557,0.1331313,1.1297057
-0.3996321,-0.07785574,0.09424424,0.1625766,0.22648983,0.28868678,1.3587846,1.2401035,-0.018710993,0.05520546,-0.057951126,0.73777115,1.2471099,1.1299925,0.040594477,0.0104155755,-0.052781116,0.06403491,-0.224225,-0.12036111,-0.079368025,0.0036502418,-0.5292374,2.0267627,-0.22566973,-0.03700701,-0.4031932,-0.008438285,-0.11540766,0.055038717,0.0025357509,-0.005878137,0.05593909,0.108805016,0.13219342,-0.26329932,0.30147105,-0.15038595,0.003984177,0.08620992,0.16505174,-0.034940496,-0.14569989,0.39976934,0.60827625,0.12305799,1.1300412
0.047230527,-0.07411695,0.07517994,-0.13556287,-0.09691587,0.057834342,0.978484,-0.70020634,-0.0885523,-0.28204662,-0.0075387214,0.56601954,1.4479916,1.2355689,0.0040171244,0.007906879,-0.030662436,0.04942312,-0.2248971,-0.16841881,-0.0363557,-0.23824598,-0.14930964,1.9367727,-0.3903239,-0.0006729994,-0.17428553,0.033324562,-0.11422374,0.025036508,-0.008155684,0.04666147,0.23982842,-0.066236146,0.07997044,-0.082337916,0.19948983,-0.30083373,0.020001074,0.07197242,0.112021804,-0.051015224,-0.11820874,0.34512815,0.67740303,0.1765811,1.1585819
-0.45895818,-0.091910504,-0.0442551,-0.09736577,0.15357013,-0.06860288,0.35715094,-2.9673815,-0.1704537,-0.05414742,-0.06940152,0.3914145,-0.054909557,1.0882931,-0.04739343,0.05644765,-0.36484236,0.017443933,-0.3773611,-0.008699512,0.11776703,-0.52425045,-0.4953135,0.81763196,-0.4877339,-0.26083592,-0.72584397,-0.18854317,-0.2158941,-0.123881325,-0.0051544355,0.19354276,-0.05399354,0.010806141,-0.039481036,-0.30202574,0.5060021,0.041977324,-0.29981706,-0.01216931,0.11546761,0.008781207,0.22378056,0.28482047,0.82832485,0.07350435,1.1696962
-0.13809416,0.08713319,-0.019181693,-0.11825471,-0.11964132,0.33075944,0.38175723,-2.6865852,-0.11937058,-0.04217067,0.041137457,-0.15971391,-0.17891578,0.799011,0.00823832,0.0426317,-0.027533613,0.03070393,-0.38272783,-0.084295504,-0.2380819,-0.42513433,-0.41989985,1.1026591,-0.5072056,-0.0427754,-0.39026684,-0.04406109,-0.29550412,-0.502763,-0.0025512667,-0.07516586,0.030296281,0.10003191,-0.41684073,-0.15774119,0.4455604,0.09629797,-0.39254463,0.05982219,0.14418012,-0.019238258,-0.3112968,0.43030784,0.8237358,0.047899425,1.0820687
-0.30640903,-0.108993866,0.026223702,-0.25578353,0.12919173,0.028754052,-0.12280926,0.26446843,-0.27813265,-0.11403684,-0.12662283,-0.28438607,0.03507497,1.0313983,-0.006742374,0.017893268,-0.055705246,-0.008007346,-0.48568836,-0.07808323,-0.35139778,-0.34954077,-0.50616056,1.0724839,-0.4949931,-0.17867728,-0.70127493,-0.32311803,-0.40217325,-0.65975416,-0.0371058,-0.11724626,0.037259985,0.16299194,-0.12853402,-0.29243374,0.34003934,0.004805683,-0.28853264,0.051571112,0.1286205,0.00014421192,-0.3268239,0.37282118,0.5318471,-0.029571375,1.1210512
-0.1042064,0.01337378,0.09895397,-0.3471161,-0.34879696,0.69184345,0.42943043,-2.9428773,-0.077918105,-0.03166512,-0.08011457,-0.22908218,-0.33723515,0.63494307,-0.05557443,-0.08619918,-0.020960907,-0.11572599,-0.31748417,-0.2488105,0.31076694,-0.4889291,0.026758663,1.2743324,-0.13698658,-0.054744124,-0.4233622,-0.08418094,-0.17967318,0.09834784,-0.06482084,-0.099335626,0.046062164,-0.0846052,-0.24780117,-0.060864996,0.2212759,0.20622683,-0.12882474,-0.08257108,0.01687114,-0.2814391,-0.37170938,0.2847127,0.82497483,0.011105067,1.0532452
