"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-3.109746,2.5419767,-2.1419702,-3.1116889,-1.2843683,-8.739158,-0.58154553,10.932591,4.157954,-1.1918653,-2.7670763,10.765738,6.161618,3.5474355,-13.153091,-7.508867,4.91819,0.49527678,6.1503806,14.551366,-1.6189514,8.75604,-8.652018,-1.5347279,-1.2984692,-0.06757164,1.2954878,1.2314775,34.684086,-0.7615211,0.12469524,15.884422,17.846891,-12.873284,5.0741467,-6.9157996,-6.064469,35.294025,0.7189124,0.87249166,0.8664182,2.5807495,0.7501202,-7.7390943,-0.1455608,1.9637666,-15.494774
-3.3087833,1.9930714,-15.216067,-3.3369431,1.2626126,-10.525678,1.1730831,8.040208,7.14101,2.9918656,-3.8173234,18.165913,12.711292,2.462561,-13.869683,-4.566975,10.166293,4.062921,4.724991,27.911228,-1.1990551,5.5597405,-3.7126856,2.146678,5.8960147,-0.28230226,0.48965916,1.3729486,43.073563,0.01289606,1.3709503,8.2946825,2.7077816,-6.042342,-10.962524,18.698133,-4.1055255,20.533806,7.6958823,1.9326591,2.0895061,-14.576852,2.884015,-7.207133,0.5341998,8.688139,-31.62257
-0.88076204,-1.9495759,-1.1398984,-6.71574,-0.92728126,3.4689221,-4.700025,15.07362,-2.2405622,-3.2575283,-5.4212246,9.999923,13.407233,1.6037201,-12.730561,-1.2958431,1.2541511,0.8334174,7.6760063,12.307911,1.0388469,11.3614435,-6.868995,-3.704406,1.0809604,0.66600263,1.0716345,0.7124816,26.369808,-0.5295039,0.069737986,13.796119,10.434105,-12.424797,11.461631,-6.3205414,-2.2163484,37.400543,-1.4915497,0.3789613,-1.5158192,-1.6549431,13.522433,-4.6528788,-0.29234952,3.2117236,-12.0492735
-1.9307841,2.584514,-10.214317,-4.4794154,-0.23060216,0.45273653,-1.0188011,8.36056,2.3848503,0.088714875,-2.4852412,8.641902,9.750486,3.0345597,-11.874981,-2.5673654,5.7562013,1.5190432,7.5448217,23.90775,-1.2338989,11.82788,-7.9773602,-0.40624696,13.397226,0.29318014,0.7745715,1.8756021,34.42961,-0.04022023,0.28598624,12.686273,-3.324693,-10.435721,2.4901252,-7.702886,-3.7488678,33.55307,6.623771,1.3392477,1.1592079,-7.8698373,8.507394,-6.8258376,-1.063901,2.38207,-17.646536
-1.7525963,1.1405092,-11.046736,-6.37361,-0.3441632,5.467138,0.85006905,10.834439,1.9195483,1.6299006,-4.1272254,9.709601,11.557516,-3.4011133,-12.281231,-2.214108,5.828068,0.782491,8.268769,20.756683,-0.79999244,12.664298,-6.1479406,-0.76025075,8.039583,-0.16288398,0.15516269,0.75124717,45.81895,-0.48510215,0.55953425,17.699594,5.1651554,-5.358494,-7.801932,23.03956,-6.445242,31.469328,6.9315605,0.011876858,1.9264252,-7.5917397,5.831384,-9.927284,-0.9034283,3.664553,-26.769863
1.0151148,3.8416843,-4.7888246,-8.568699,-3.3250043,3.4380012,0.80092037,19.746191,-4.0574164,15.7334385,-7.042904,19.23612,9.962565,7.023081,-8.916884,-1.7099566,3.9951546,1.673369,5.9142003,5.144959,0.8298221,3.9705946,-8.76198,0.021607516,9.755376,0.7476264,1.726726,0.8438855,21.892092,-0.22586527,0.28895417,3.5185752,18.427082,-2.8461988,8.720416,-8.713842,-2.5179882,33.28152,6.7772574,0.61935145,1.2912147,-1.3917187,5.484419,-6.017549,-0.1181808,5.754383,-20.18416
-0.24985488,6.3485913,-1.1740102,-3.8313038,-0.14826919,15.690033,17.480825,10.959868,3.7358205,0.99597484,-2.6295242,9.481903,12.453057,-2.0520012,-14.906108,1.4465983,10.787199,3.5175865,9.218861,20.602665,4.6927257,63.711933,-0.23743972,-1.1340854,24.44458,2.4531558,0.8932751,0.81780005,53.02585,0.33598095,1.5378023,-2.303154,1.0049453,2.2425344,-59.952187,45.875267,0.21140057,-3.9235697,15.617828,1.3695389,0.58393294,-0.525828,-1.2485785,-9.416722,2.4109685,10.035093,-35.137417
-1.2387234,5.447068,5.596976,-1.1315366,0.4416803,9.885958,4.429266,15.15858,4.4398265,3.5497534,2.0528276,-0.747152,14.153801,-4.4348636,-11.470463,5.0163403,4.5528092,1.3458041,5.4585156,19.797384,5.0689464,37.16393,-4.478969,1.4695573,30.169191,0.52582085,-1.6798865,-0.21730779,50.940258,-1.9492072,1.9682117,5.5403876,9.796677,-4.702828,0.77807504,21.856625,-1.5978543,-7.7448454,4.6588087,-0.07148414,0.37647724,6.6897798,17.862207,-11.8239,0.15098421,1.6612886,-28.511156
-0.5125778,2.1531234,11.456366,0.33714315,-0.95414114,9.544199,4.947115,7.766677,6.4800863,1.6905121,3.3194354,-1.9301142,16.035788,-3.1697335,-13.507665,5.0677223,7.4900813,1.9165553,5.828393,17.185122,4.0419745,43.360775,0.71801585,0.5410939,33.098564,0.09847953,-0.045533244,0.27916366,54.932346,-1.1725568,1.6835362,6.5335574,11.268308,-3.4399018,-39.09754,21.932173,-2.5565689,-10.441871,13.357873,-0.3621777,-0.0686027,-0.37733817,19.164217,-10.985472,0.13812487,3.0640578,-31.63442
3.3638926,8.212459,12.700499,-7.259319,4.141064,16.621023,-6.0464387,9.598814,10.510902,4.586273,14.758237,-1.2650975,-0.3426419,0.81110924,-7.713862,1.9238155,3.6725209,0.21037786,8.739885,-16.1946,14.075747,7.067204,-1.6678737,2.5296383,16.055386,2.0333002,2.509707,0.25435254,44.77025,0.118054666,1.0001612,10.988568,24.460318,-0.4109982,1.2667586,18.482115,-3.8707814,-6.650033,1.9663422,2.435927,-0.95465684,19.973257,25.824814,-5.266206,-1.9891255,1.2066091,-22.338427
