"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
1.9029139,-2.177302,-7.669898,2.9315653,0.101863176,-3.1351988,-11.165371,-5.853049,-1.0152231,3.4278035,3.3625464,-0.43667898,0.3217148,-1.599638,6.036451,-7.098374,11.400285,-3.008487,1.3707078,-11.064776,0.5283569,7.8586364,-0.6341376,-11.904703,1.8456769,0.032124367,4.686191,0.16587958,0.41767704,-1.3173652,0.22280197,0.50986683,-1.9888515,-0.36439303,-18.693954,-2.314463,2.232423,-4.6630564,6.592174,-3.3324325,-19.089375,-20.067385,-6.2184415,-11.730901,-7.2468767,-3.3434386,-21.06857
2.336822,-2.4065945,-3.3144302,2.6832664,-0.10423599,-4.9208684,-10.605821,-6.035027,-1.00661,3.0390007,3.8712332,-2.0215034,-2.2255762,-2.0034134,5.4628663,-8.606819,12.917261,-2.2368908,1.36112,-11.650286,2.2763226,7.336427,-1.306174,-9.125712,3.5343513,-0.092895284,4.1991787,-0.20342919,0.33618832,-0.36765888,-0.04906907,-1.7456108,-5.8762174,-0.941645,-17.56504,1.5189912,1.2502078,-5.445792,6.411197,-2.6544995,-19.912235,-22.681274,-5.6141615,-11.611198,-9.372608,-2.8271089,-22.313833
2.0484803,-1.6716129,-4.3529034,2.6365638,0.46674654,-11.367738,-6.640839,-9.535501,-1.7189415,1.8916216,3.3092737,-1.4253875,-0.4165787,-2.7019646,7.8298454,-3.1337435,8.565146,-2.1571589,1.0848969,-10.265654,3.3488119,16.57253,-2.9177935,-8.519056,1.8222816,1.7345513,0.58693224,0.2970624,0.6928798,-0.5108036,0.2624,0.18530293,-3.763503,-2.4894283,-17.714157,-1.4961562,3.4392605,-7.389965,7.239543,-3.227149,-20.60939,-28.746086,-6.580776,-7.4556413,-7.8764257,-2.5810483,-25.203203
1.9592183,-2.2126088,-3.5776591,3.1495016,-0.09280803,-6.0855894,-12.117031,-6.050554,-0.60316926,1.8279786,3.303207,-1.4677356,-1.3389944,-2.8410645,7.579722,-7.914115,10.854023,-2.095625,-2.072647,-11.38113,1.6160797,13.099909,-1.0725781,-9.350262,1.9251659,0.09569098,4.889541,-0.051751718,0.55296195,-0.20044245,0.07232938,-0.049559735,-4.120628,-0.2098558,-16.568035,-1.5721139,1.5383735,-6.834983,7.818901,-1.3155293,-19.931288,-24.162296,-6.6840544,-11.336832,-8.430446,-2.5693932,-24.407892
2.0297673,-2.2030692,-3.547773,2.345621,-0.1266489,-4.8039207,-10.832421,-7.0283537,-1.2103232,2.8172882,4.9828014,-1.5020884,-1.7687832,-3.179512,7.492497,-7.680903,11.542255,-2.2784457,-4.0149345,-11.0056715,1.7857056,19.414764,-0.88038677,-10.181043,2.219963,0.3133879,4.500658,-0.04117499,1.1002072,-0.5140627,0.20797022,0.3587668,-2.5602531,-0.12017036,-18.154045,1.502629,1.5828816,-7.241781,7.4807897,-2.3235476,-19.400414,-27.116116,-6.7864456,-10.67419,-8.269494,-2.0830178,-27.532059
1.1305078,-1.9931501,-3.5590918,-0.7347931,1.1696361,-4.986854,-6.594569,6.4300113,-0.87610775,3.1988628,2.9572287,-1.2015308,-0.011375016,-2.556606,7.7950253,-6.1562905,11.880165,-2.1010363,-1.5369387,-9.579113,0.13708818,12.542866,-3.1369236,-9.296651,1.8619232,0.33755833,4.449623,0.4193576,0.6513534,-0.4579637,0.33496824,0.30539888,-1.9993333,-0.21036893,-23.416597,-2.0501385,2.6595273,-6.5854616,7.2288675,-2.6515675,-22.196459,-29.26618,-7.184617,-12.573962,-8.260387,-2.4232535,-25.033638
1.2066262,-0.62840027,-3.4613066,-1.0542071,0.6826051,-7.5827866,-12.751883,5.936017,-1.2993038,5.3399587,2.6856816,-1.880467,0.2743777,-2.4070945,8.039061,-6.983951,11.948711,-3.0079963,-7.608618,-10.616089,1.3190113,19.203356,-1.3432009,-10.327395,-0.70024234,1.7978895,3.1133358,-1.1870409,0.23171052,-0.78571534,-0.16133937,-2.680985,-3.0184124,-1.0632497,-17.69541,0.33929437,1.0128819,-8.134835,8.3831415,-6.7284236,-21.082602,-38.995625,-6.7092834,-13.974528,-9.3060875,-1.2339535,-29.073917
-0.32312444,-1.3702428,-6.351509,-0.03300588,-0.21252578,-9.332954,-9.8967495,6.7662377,-2.7953203,2.913182,1.1574528,1.2970448,-0.41436902,-3.5972323,7.3664913,-5.7524867,8.960943,-2.3674188,-6.1924624,-10.342681,3.5806737,19.725481,-1.843787,-8.816484,0.78835744,0.56951976,1.9035201,0.13198978,0.40303922,-0.9832965,-0.33493507,-0.77216446,-6.012931,0.20133612,-25.685751,1.0881908,1.4337178,-7.4263177,9.0713005,-4.036244,-20.393475,-38.107998,-7.8968472,-12.627765,-8.95451,-1.1244724,-25.471775
1.5866702,-0.6900781,-6.103362,-1.3041623,0.028021617,-10.011812,-10.868593,-5.8472114,-2.8242145,3.479061,1.3117932,1.0740865,0.01100767,-3.0748198,7.0211906,-7.301866,9.091546,-2.4946606,-5.2126255,-10.242016,3.1353292,15.7184515,-4.205309,-9.186793,1.8198647,1.6930908,2.6996531,0.25023496,0.3135256,-0.94231296,-0.2783918,-0.6517928,-5.871506,-1.3622187,-17.32961,1.5230948,0.24060218,-8.263918,8.68584,-4.395201,-20.510887,-25.767841,-6.378482,-10.420943,-9.703803,-2.2846966,-28.086563
-5.412237,-3.1849165,-5.9407887,-3.3631833,0.7907081,-8.160979,-6.639601,6.566868,-2.3245807,2.4110916,-2.9526217,1.6822422,-1.0358782,-1.2033093,6.9377866,-4.568426,7.922714,-1.58025,1.133392,-10.788311,4.9597645,10.298505,-4.189926,-13.765202,-1.2579279,0.3655298,4.2712746,0.3378905,-0.772302,-0.8040254,0.43295163,2.447121,-1.402259,-2.158549,-26.228819,0.35043877,5.020639,-6.219444,8.300213,-3.5625708,-25.808481,-23.808529,-8.012415,-14.257366,-8.192022,-4.998861,-23.567425
