"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
2.5725172,0.7892592,2.099995,4.359266,8.584594,0.43813,16.965332,-2.4440188,19.45058,1.6395705,1.6648096,25.319271,78.98103,0.4631417,-0.71557456,-2.118359,-0.814633,1.0269635,0.7505479,-0.19496462,1.882598,-2.7186112,1.6473294,21.79852,0.33831584,-0.39153597,3.0901546,-0.44005787,4.084604,-1.4999106,0.24712555,1.7404115,1.4670746,6.0266356,17.469728,2.8358014,0.34933364,18.988813,1.1335802,-0.052296747,0.9996546,0.8575433,5.504966,0.37068826,0.6046574,0.28914833,5.75112
4.137338,0.63942355,0.19125694,7.1562486,12.579395,1.5806686,-2.8047879,-14.243521,8.513115,-1.2888806,0.93348944,17.448431,70.75992,23.222248,-0.6664132,-0.10191656,7.0488095,0.41075012,0.9622873,-0.4431656,2.3608363,-2.114195,1.3152814,28.29927,6.4069414,-0.6866552,3.8345714,2.6432672,4.6511226,-0.99626416,-0.21162327,1.5432336,-3.160972,3.9007266,24.435707,3.5420287,1.4966472,9.169632,4.0101395,-0.9095993,0.4124574,4.535356,10.661792,0.38080812,-0.07230804,0.39953223,3.8460925
3.7659953,-1.2082255,0.9056864,1.180303,9.162947,1.3046359,19.558113,-2.5610602,25.508432,-2.1662326,0.29668832,21.97305,73.48214,15.737728,-1.1763524,4.0331635,-1.3335341,0.86542517,0.84951425,-0.010034008,1.6278583,-2.617821,-0.6264061,20.834295,0.48528445,-2.1102576,-0.6087867,0.26880568,3.1156666,-1.6713217,-0.24279189,0.935082,2.3950658,2.9413247,24.909336,2.845198,0.15053043,18.975965,-0.92907286,-0.33399934,0.9348914,4.4673066,6.1968837,-0.832372,-0.22210497,-0.055148244,5.190591
4.071984,0.4042962,1.7621547,8.5156765,14.196819,-0.7153408,-5.743775,-0.85707206,15.891653,-1.3028104,0.40685216,15.409841,75.3659,18.278856,-0.5202887,1.9056363,-1.5086515,0.9138954,0.12146802,0.66166604,1.6890187,-3.6495528,2.2709987,21.735191,2.9199688,-0.70420593,3.1615272,0.37137792,1.8857611,-1.2344017,-0.13436486,2.250413,3.8552248,4.080747,27.445717,3.0484998,0.050241783,17.488855,2.4419723,-0.6620935,-0.4696682,4.849032,10.663282,0.0016231432,-0.06802317,0.15247378,5.4822636
4.462083,0.35737902,-0.51233643,2.010604,8.854521,0.8442684,14.112171,-0.0853882,20.937872,-0.98099893,2.348582,13.457748,75.124214,18.453426,-0.69832265,0.22067548,-1.4787257,0.9374832,0.19192207,-0.072491474,2.735765,-3.1923478,0.9404665,20.767954,3.0495465,0.027287373,1.0512195,2.3955808,4.300947,-1.2877781,-0.10987176,1.6381657,4.2351227,3.952066,25.090166,-4.989632,0.33358583,15.651886,2.7886899,-0.6027264,-0.00038095575,5.8954144,6.893468,0.11366818,0.92764354,0.1011046,4.6889634
-5.0381227,0.014815857,0.46077746,-1.872929,-28.3125,0.93070745,13.4266815,-1.1261251,8.467831,-3.4088087,2.2323604,21.918858,46.509403,17.071356,-0.9173445,3.7505472,-2.4231572,2.818323,-0.47934198,0.12016919,2.2211952,-4.338242,0.8254083,12.103966,-0.15303682,-0.33438483,1.4894623,0.31017134,0.20324181,-0.9280787,-0.31967413,1.3880737,0.7444495,0.08828525,21.898449,-0.82393837,-0.22445115,11.472281,1.9801296,-0.5787021,-0.7916404,5.9951673,4.399745,-0.5374395,-0.38384673,-0.024193488,2.6601944
-1.0136834,-0.76745003,-1.3737061,-4.30858,-0.61530566,-2.6300752,2.1529098,-1.2407604,7.631873,-1.729919,0.66877156,-1.7165017,-0.7531358,0.80328476,-1.5938302,-3.679211,-3.982235,0.63112605,-1.3330061,-0.8918124,0.6322306,-7.9165483,-0.68928725,-1.5954899,1.947485,-0.25782,-4.316185,0.7997776,-5.2342076,-1.1745342,-0.34944335,0.44911048,-0.6971745,-1.9454211,-6.8238363,-0.78162146,0.59803087,-7.466764,2.4960876,-1.3896437,-1.6411293,-1.2820305,-4.3750796,0.14314736,0.8990455,0.7098274,0.037893128
0.8579887,0.7741041,-1.0862095,-4.0071316,-4.103856,-1.9346793,-0.0077231294,-2.0587738,4.040235,-3.736878,-0.90378964,-1.622016,-3.522283,-4.986292,-3.1589057,1.5890249,-3.8054163,0.32615277,0.36128107,-1.1930974,-3.5691266,-8.804334,0.46942666,-0.7957602,-3.1235304,-0.41385645,-0.9869438,0.26974693,-1.2892295,-1.014758,-0.34166613,0.31210804,-3.4247718,-0.35565686,-0.26145455,0.20317902,-0.4543607,-1.5986955,1.0100844,-1.121652,-0.20369776,0.71846396,-0.17104849,0.071478084,0.28769246,-0.5842265,-1.6807388
0.6140018,-5.1025004,-0.25873217,-10.52164,11.535819,-1.277348,-6.831183,-1.310204,6.31171,-2.8800485,-0.6278779,-1.0443876,-2.2281284,2.8079302,-3.4010954,3.3256073,-3.4091985,0.6937504,-0.3066721,-0.91408074,-3.689521,-8.16308,0.96422386,-2.520383,0.44443813,-0.5290968,-0.47175577,0.897077,0.97039324,-0.3343161,-0.3956944,-0.927104,-4.482157,-2.8064423,3.393493,0.4219955,-0.8840304,-15.061997,1.7985425,-0.9775117,-0.25224027,2.1877108,2.1630125,0.11063272,-0.5844113,-0.099058695,-1.2591364
0.7608978,-3.018217,-0.23837881,-0.6270047,-3.7832413,-7.969985,9.798274,-2.263713,-1.5061313,-2.7574892,0.8064721,-2.2034464,-0.31909442,-7.8749175,-4.7148814,2.5528667,-1.9290265,-0.96855533,0.2925057,-2.1215117,-7.2507963,-0.76850206,2.0809882,-2.9477222,-1.475291,-1.103879,-0.401072,-0.43918315,-1.2009648,-0.9566497,-0.89656407,0.029221622,-3.935089,-1.5562989,1.6515375,0.9735796,-0.21223368,3.2061327,2.074951,-1.2473617,-0.03528541,-10.6135845,-0.4035432,0.693179,-0.18810454,-0.6990117,-1.152351
0.57684016,-0.48069152,-1.0858698,-6.5085497,-3.611099,-0.36130446,-7.206645,2.2911124,11.806279,-3.1655314,0.1195537,-1.5440094,-1.264445,-3.0001853,-3.7120337,-4.3697877,-3.6446266,1.3611667,-0.31085488,-0.31651202,-5.4840198,-7.8816376,0.7439469,-2.0468695,0.89075476,-0.44620374,-0.5448787,0.3893568,-2.8289096,-1.5992428,-0.48388773,-0.4905022,-4.417725,-0.80414957,-1.9309886,-1.683817,-0.78126794,-3.6666007,1.0788035,-1.117459,-0.6219506,3.2016122,2.2511048,0.23510179,-0.2355117,-0.18028681,-2.0339382
-2.0638096,-1.2449192,-0.70664096,-2.960679,-2.1922946,-1.9411439,-11.197959,-6.5246243,-16.482342,-4.070561,-2.478284,-2.309489,-4.6978765,-0.8935929,0.13781026,1.0462644,-2.8186855,-1.1074998,-0.49848223,-0.7095992,1.1939074,-4.0976615,1.386157,-3.5307949,-7.121428,-0.6433889,-1.5214957,-0.6461037,-0.118978895,-1.2106386,-0.49725398,-2.307676,-3.9756603,-0.023696017,-12.611103,0.52695316,0.066400945,-5.5645537,-0.5233172,-2.4119434,-0.977767,6.6084867,-6.3594704,0.33504567,-0.17373051,0.10158907,-2.4383023
0.798831,0.3289,0.49010915,-4.331772,-3.232857,-2.3388822,-10.46183,0.21018615,-14.533701,-3.69473,-2.6187642,-2.2321043,-5.2869883,-1.5441452,1.1515208,3.442987,-2.4745278,-0.69179493,-2.5825336,0.19323608,-0.7144493,-4.060534,0.19068326,-3.4878514,-8.117778,-1.9445415,-0.3358652,-0.91049767,-0.7000376,-1.2238033,-0.67225426,-1.1874437,-2.8760207,-1.2537622,-6.8903623,-1.0705649,-1.8189269,-8.029195,-1.6238276,-2.1902273,0.25686464,3.4758246,-9.997945,-0.8441527,-1.7773969,-0.9271855,-2.2885113
-2.066919,-1.257779,-0.6988547,-2.9639852,-2.1979282,-1.9421694,-11.194613,-6.5127234,-16.671967,-4.0030465,-2.495746,-2.3210835,-4.693586,-0.898897,0.12391085,1.0422522,-2.8159342,-1.1087464,-0.49109066,-0.68623865,1.3183916,-4.067665,1.2585837,-3.5985544,-7.1451344,-0.6342842,-1.523277,-0.65344876,-0.16055341,-1.2084546,-0.5107807,-2.296848,-3.999216,-0.041760102,-12.362765,0.5255376,-0.0074045835,-5.4657955,-0.49970037,-2.3822167,-0.9697089,6.4088736,-6.370116,0.33193964,-0.18073091,0.09740053,-2.4971466
-4.875487,-1.3709339,-1.1751076,-2.6129827,-1.7408239,-0.6688334,-12.880161,-5.186791,-8.001894,-3.9310186,-0.6751908,-1.5520777,-4.6400275,-1.0145041,0.21272375,1.425542,-2.2369797,-1.6781859,-0.7917353,-0.8419966,1.003092,-4.4630847,1.0961785,-3.2962425,-8.135028,-0.9858192,-1.334677,-0.3682036,0.12534083,-1.2666736,-0.6606523,-2.266435,-4.3649197,-0.42447355,-13.373889,0.5868819,-0.3304284,-5.086395,-0.989996,-1.7336128,-1.0057665,5.6705885,-6.261792,0.49513787,0.027919712,0.26376152,-2.4163897
-2.0638092,-1.2578001,-0.69820064,-2.9627874,-2.1949005,-1.9400424,-11.178193,-6.5127177,-16.656544,-4.086219,-2.482073,-2.3211434,-4.6936007,-0.898918,0.13603805,1.04238,-2.8094907,-1.1074998,-0.49398535,-0.6870554,1.3451552,-4.08698,1.2650801,-3.5985632,-7.138064,-0.6342842,-1.523277,-0.6534537,-0.10826626,-1.200266,-0.5108456,-2.3083518,-3.999216,-0.02069978,-12.607265,0.5240467,-0.0074045835,-5.5070496,-0.49840134,-2.403376,-0.9767503,6.4990487,-6.365464,0.33082408,-0.17723867,0.09740053,-2.4984522
-2.4275305,-0.014256124,-0.4277975,-3.6239042,-2.7320821,-3.0707047,-8.801053,-1.5023922,-16.614506,-3.809874,-2.0072126,-2.4147532,-4.7806883,-0.6736698,0.15855949,1.0012397,-3.1718788,-0.7377368,-1.2494577,0.34479,1.3880299,-3.7486815,-0.13368629,-3.1916716,-5.597375,-1.2810454,-2.146299,-0.8114207,-0.14363736,-2.4257684,-0.49139473,-1.4575077,-3.4531548,0.40137172,-8.412564,0.3351385,-2.1749213,-8.14915,-1.3481898,-2.8347976,-0.99503356,5.316132,-8.985474,-0.28235942,-0.90413016,0.0767851,0.74585557
1.8094089,-0.41848356,-1.4287554,0.495008,6.8960032,0.6833912,-4.624299,-2.7445116,5.037832,-3.5645938,-0.58719146,-1.1113273,2.697003,1.68806,0.110327296,-3.8170354,-2.4953175,4.2604446,-0.04218062,-0.20481443,2.399194,-3.2644794,1.5859687,-1.3532015,-2.2560344,-0.094448514,0.3030147,0.08946199,-0.19035181,-0.6694404,-0.31647408,0.5323157,-0.2640793,-1.401105,7.450135,1.493723,-0.24857686,-9.105334,2.9058673,-0.52130324,-2.3708093,5.6934743,0.25655857,0.28886303,0.058503434,1.4657543,-1.3540637
3.6168914,-0.20905952,-0.23893788,-1.8818291,-0.18489717,-0.6011255,0.6869683,1.738917,7.6546645,-1.3362253,-1.0524619,-0.50357187,2.031878,0.7087824,1.457359,2.3126266,-1.6660541,2.3903942,0.47563785,0.12205975,2.21784,-4.157707,2.5534263,-2.3109152,-1.4283298,-0.6541345,-0.043281794,0.1373973,0.16113076,-0.5784582,-0.5183513,1.2665124,0.54588944,0.94508576,8.728368,-0.4137949,-0.3348608,4.3139277,3.4615252,1.0998486,-2.9154513,4.916031,3.5992367,0.02234826,0.539622,0.26273578,2.276099
