"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.05824892,-0.056009326,0.11285329,0.1450126,0.67781377,0.008935945,0.029689966,-0.055719465,0.35670617,-0.02645704,0.21594174,0.28911585,0.9277063,0.13896322,0.062452063,-0.10260107,-0.006468871,0.08367338,0.025717646,0.02059857,0.08742075,0.23804478,-0.01930902,1.069331,0.10158276,0.07152508,0.08276415,-0.027797071,-0.028180063,0.028897345,-0.01660656,0.11779434,0.118030116,0.37922665,0.92278343,0.29792297,-0.053586345,0.25897783,0.2072775,0.8265133,-0.042875804,0.022297032,0.30750948,0.31190574,0.07387532,0.013136303,0.11757937
-0.043019406,-0.05956836,0.75212723,0.17416488,0.78394836,0.021650318,0.030339064,-0.0013289477,0.13049775,0.35152414,0.24074046,0.2916302,1.0290189,0.13357319,0.050256897,-0.14693904,-0.06850177,0.19136019,0.0022110813,-0.20690024,0.092143185,0.2286084,0.034575813,1.229431,0.069804646,0.05186101,0.1186919,0.012703245,0.040731873,0.041704718,0.015585556,0.06554232,0.021373875,-0.020201476,1.0210625,-0.054558642,-0.044126023,0.2109494,0.27612954,1.1203787,0.03660525,-0.20179698,0.32420343,0.31325498,0.035802174,0.015667224,0.17934436
-0.05844389,-0.0411862,0.52963924,0.14595596,0.8323747,0.039265465,0.11865517,-0.0159177,0.24464689,0.61717683,0.15961185,0.37805045,1.2194047,0.07672458,0.039010547,-0.035236493,-0.0003550297,0.075149186,-0.0703886,-0.07528703,0.02079961,0.094999164,0.033291485,0.97666067,0.0645538,0.052790046,0.09642097,-0.009282336,-0.029391563,0.0325616,-0.008251848,0.054874465,0.11530258,0.4246068,1.1106327,0.2570523,-0.055366673,0.21799372,0.2509479,0.9291639,-0.029763434,-0.1819018,0.23989072,0.37860614,-0.035005204,0.011796479,0.078266665
-0.056362417,-0.043334495,0.6567727,0.14736103,0.8177573,0.08380527,0.016246786,0.026094617,0.19019985,0.49318537,0.10923879,0.109176986,0.9625605,0.111655734,0.07420088,-0.106499135,-0.03922617,0.019397931,0.12781748,-0.08057848,0.08984185,0.25147098,0.014419929,1.0748084,0.045721762,0.048311055,0.06752988,-0.0065253675,0.013871528,0.02702779,0.010741688,0.02450224,0.08819275,0.26515707,1.1148014,0.17136784,-0.056984395,0.17237014,0.29986483,0.8236991,-0.011838227,-0.17357033,0.22682747,0.3168277,0.03514502,0.11101194,0.2176189
-0.051929805,0.03418095,0.6571088,0.16233465,0.8398505,0.10676267,0.039500274,-0.00933585,0.20232245,0.5606578,0.13462059,0.046080384,1.0071272,0.08035015,0.068322256,-0.12848379,-0.040032372,0.061023265,0.14928544,-0.067081586,0.07385447,0.20156962,0.011539638,1.0318726,0.06643155,0.048428036,0.12049196,-0.0024438386,0.046053044,0.026077209,0.0011969028,0.053280022,0.042662498,0.25333592,1.1015766,-0.11401469,-0.054446373,0.12402775,0.3693761,0.9658594,-0.039291803,-0.15270722,0.23077974,0.38572767,0.026905507,0.020081375,0.20207882
0.15224417,-0.041601714,0.52347475,0.11206443,0.35881507,0.052118283,0.052247483,-0.00093851244,0.22936092,-0.6365467,0.13681458,0.32061842,0.89781594,0.12907855,0.04377915,-0.10076751,0.031975802,0.03243261,-0.06789309,0.046980303,0.13920163,0.2881304,0.007742456,1.0031902,-0.0095361695,0.03149471,0.045293283,-0.0068664444,0.025436766,0.010552598,0.010654017,0.04620159,0.15251537,0.43921703,0.844773,0.15092804,-0.05463717,0.27071255,0.2601017,0.87187696,-0.028957779,-0.042136334,0.19377832,0.30380625,-0.010108782,0.09835239,0.2348371
-0.0044897166,0.056718778,0.5583353,0.2626872,0.6794991,0.37543234,0.055035427,0.13543928,0.22294985,0.0011921172,0.14530472,0.090137236,1.0525491,0.162352,0.046662867,-0.09952034,0.049225394,0.1405906,0.7566294,-0.05806141,0.064404935,0.45348856,-0.033913404,0.4842781,0.036611903,0.10390003,0.25255042,0.03916291,0.012490163,0.048099626,0.033533867,0.015325169,0.032013353,0.14489186,1.0950384,-0.17093596,-0.038001593,-0.15284845,0.52115774,1.1320691,-0.0232467,-0.0834321,0.27256522,0.31994003,0.11652155,-0.0027095142,0.20704873
0.073732905,0.027284712,0.5622437,0.12906836,0.7684201,0.1777918,0.104721546,0.13206667,0.3663299,-0.19113229,0.11420445,0.07141226,0.507131,0.12119386,0.07876761,-0.10632009,0.034094904,0.021023275,0.5324682,0.044850383,0.026352417,0.29427373,-0.009537748,0.24803612,0.036704466,0.09010045,0.20471646,0.011332928,0.024698889,-0.00060352654,0.011467584,0.3468675,0.09667282,0.2255003,1.1439786,0.095644474,-0.056256615,0.16580302,0.47183794,1.2412784,0.009402608,0.07914499,0.31453484,0.28395933,0.11851091,0.13157569,0.33840144
-0.03299206,0.05455257,0.5453308,0.22362238,0.8632082,0.20182732,0.026874607,-0.03096015,0.27250892,0.6054384,0.12095464,0.012701084,0.9605705,0.08428513,0.064929694,-0.08969691,-0.019994423,0.02842481,0.5303022,0.01700492,-0.0050221323,0.4002065,-0.0032897717,0.24703501,0.017339328,0.072487734,0.1418192,0.014043827,0.029880973,0.012953213,-0.014508802,0.26190767,0.1112779,0.34467864,1.1131666,-0.043504402,-0.06737608,-0.26167712,0.47949782,1.1339172,0.016367422,0.0068158326,0.27839643,0.28585815,0.06189404,0.15192379,0.30078763
0.07547006,0.12454181,-0.35793188,-0.2064298,0.6939749,0.12492965,0.27821764,0.20530137,0.6029121,0.22971047,-0.028569933,0.17760028,0.4842604,0.19458026,0.12569056,0.07310848,0.044255044,-0.053548988,0.087033875,0.34927475,0.03969392,0.2224375,0.04764684,0.12236194,0.026704876,0.11686626,0.21245104,0.005237883,0.045058884,0.01295675,0.025361197,0.083373815,0.37434322,0.7948575,1.1672769,0.0067302003,-0.071181655,0.23957615,0.41228673,1.0129293,-0.0202436,0.17293844,0.24393013,0.4313789,0.1255734,0.09386383,0.34331518
