"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.05232834,-0.098849155,-1.287538,0.78038293,0.04176156,0.52395356,-2.4270008,-0.10165111,-0.24391705,-0.10136462,-0.01212402,-1.1197324,0.56829613,-0.9859687,-0.6098505,-0.39742354,-1.1013063,0.048438102,-0.21365398,-0.04885386,0.24116604,-2.1524398,0.21984388,-0.0011775141,-0.28220168,0.11723693,0.5671597,-0.0879075,-0.34971556,-0.7472735,-0.7245268,-1.0989485,-1.7005321,-2.2674017,0.93895364,-0.41162664,-2.292142,-0.02808124,-0.7915157,0.115091704,-0.26481956,-0.2769985,-1.1485914,-0.2829868,-0.47741684,-0.11799303,-0.04897189
-0.078308724,0.0335363,-0.052192725,0.72552454,0.04149753,0.45024714,-2.7072816,-0.24055147,-0.48941886,-0.09079189,0.10277185,-1.4143881,-0.7717167,-0.9621829,-0.4501473,-0.29576796,-1.2283107,0.04423319,-0.2613574,-0.052095752,0.3878083,-0.99887156,0.20825668,0.14034112,1.4780853,0.047647808,0.65560716,-0.1330391,-0.3277527,-0.86845833,-0.95498157,-1.0884681,-1.7751752,-1.3566576,-0.54585063,-0.634267,-2.6433315,-0.003276351,-0.9893647,0.22803615,-0.24067026,-0.05691045,-1.2912111,-0.21867625,-0.66604614,0.00834243,-0.71310675
-0.07187174,-0.01639399,-0.85771394,0.54387134,0.121514045,-0.9961432,-1.9462514,-0.17148735,-0.5236537,-0.23669522,-0.07423058,-1.0412017,0.55891055,-1.0352173,-0.7366136,0.15107463,-0.83660203,0.049937826,-0.119169354,-0.055554245,0.10694617,-1.9242747,0.22935356,0.13385463,-0.73230696,0.18402354,0.017283838,-0.056358,-0.12788811,-0.861978,-0.9595302,-1.775477,-1.6614499,-1.3535091,0.7844393,-0.46194434,-2.548878,-0.289082,-0.87783325,0.38420713,-0.2792082,-0.08680635,-0.8936942,-0.43335333,0.74768674,-0.034948036,0.020891307
-0.06363979,-0.18634476,-1.4212403,0.8743013,0.08409273,-0.92247146,-0.2986641,-0.13268286,-0.45580786,-0.08485933,0.061982755,-1.1991845,0.6633279,-0.9184177,-0.2992865,-0.120273165,-1.0801433,0.015603575,-0.21672998,0.007363545,0.17105253,-2.7927847,0.18231657,0.17636286,1.0476785,0.12109709,0.6048322,-0.054599956,-0.15194319,-0.8174871,-0.92023826,-1.5213147,-2.0503976,-1.5859038,-0.30155602,-0.4081947,-2.60477,-0.02429284,-0.98368394,0.19605722,-0.2598413,-0.13455293,-0.86408573,-0.25255996,-0.9066738,-0.046363004,-0.15347227
-0.05622408,-0.06894354,-1.4286882,0.6039662,0.11538823,-0.9014957,-2.2672763,-0.09231909,-0.47912517,-0.06897354,0.25591052,-1.1437814,0.6748608,-0.9055987,-0.29618087,-0.103796534,-1.2938608,0.052508686,-0.2313829,-0.07072046,0.21815273,-1.733947,0.21702588,0.16959986,1.1083335,0.17104687,0.67823917,-0.010950743,-0.17639127,-0.7179797,-0.81709886,-1.3293035,-1.8990244,-1.3415203,-0.78961545,-0.62814236,-2.655124,-0.010450803,-0.83129066,0.22467044,-0.26092318,-0.043275878,-0.8681856,-0.20674141,-0.63348013,-0.01618931,-0.1526218
-0.25401402,-0.0416121,-0.7501324,-0.24784611,-0.028644672,-1.2724879,-1.8253887,0.16001725,-0.25242618,-0.121435,0.061352313,-0.6360399,0.49492693,-0.94267565,-0.4665566,-0.15068713,-0.78868,0.09441765,-0.1881481,-0.012028083,0.27378225,-1.6079394,0.20071986,0.14973456,0.27967536,0.12924099,0.67206305,-0.07798416,-0.13526824,-0.7944169,-0.7264082,-1.5004073,-1.9819492,-2.0079045,0.87086403,-0.33420864,-2.689873,-0.042661585,-0.86745125,0.08964522,-0.3301042,-0.0336249,-0.88742536,-0.31583008,-0.532258,0.007342736,-0.16454667
-0.06275769,-0.17059574,-1.5464691,0.15925954,0.07976322,-1.2036572,-2.1663947,-0.06115927,-0.5845225,-0.074927524,0.007006106,-0.21861668,0.6662293,-0.898375,-0.5052507,-0.08667919,-1.3724959,0.017998418,-0.3468477,-0.25024757,0.07619015,-3.0780747,0.1669443,0.11893905,1.5832437,0.18972294,0.653943,-0.17945272,-0.37738326,-1.1160942,-0.8284182,-0.95510995,-2.0093162,-0.9062848,1.3961343,-0.6030067,-2.7462552,0.03817764,-0.9723942,0.1700045,-0.28281575,-0.05972997,-1.1217786,-0.22567664,-0.5846992,-0.023471944,-0.44031525
-0.2603491,-0.17961513,-1.8831371,-0.3041853,0.11963694,-1.0565084,-1.9527946,-0.014194617,-0.63819516,-0.28788885,0.020733006,-0.29283878,0.7700792,-0.8909824,-0.30620205,-0.063333556,-1.2788937,0.05764774,-0.25746766,-0.11908851,0.0054474166,-1.9707123,0.1682267,0.12747234,1.425274,0.17478834,0.74249053,-0.045338925,-0.2926511,-1.0753424,-0.75668555,-0.4772495,-1.349791,-1.3370734,0.015187024,-0.58966786,-2.9186075,0.092795715,-0.9433954,0.19712064,-0.29284397,-0.65298307,-0.82686734,-0.24785316,-0.6452293,-0.03239411,-0.43340218
-0.04900932,-0.19139369,-1.9282085,0.21495405,0.06829705,-1.0840598,-2.0462854,-0.024398692,-0.47570297,-0.106297955,0.029617723,-0.3901014,0.6368243,-0.92623705,-0.31057435,-0.037091874,-1.2715721,0.04209456,-0.27014107,-0.13059132,-0.028100131,-2.1376045,0.22879028,-0.0927502,1.1238778,0.19792931,0.7636259,-0.050858594,-0.2821565,-0.7813419,-0.8274117,-0.794028,-1.6703378,-1.2158237,-0.38049418,-0.60145706,-2.9064562,0.089027084,-0.8988457,0.21419694,-0.29050076,-0.013361512,-0.6831007,-0.23161474,-0.7054153,-0.034356166,-0.483874
-0.10754406,-0.3561951,-1.4498584,-1.1114466,-0.0026513746,-2.2237945,-1.8623543,0.019049408,-0.2649539,-0.34954363,0.13904858,-0.13670519,0.6754327,-1.0100746,-0.41353285,0.04487136,-0.71737856,0.06471089,-0.18480277,-0.053608693,-0.14835365,-0.7161223,0.26849332,-0.041943047,0.3358485,0.09428963,0.5872964,-0.042378955,-0.32394484,-0.78086555,-0.69646966,-0.85730666,-2.2613482,-2.2285829,0.87148416,-0.5559021,-2.4168363,0.12216594,-0.6436911,0.08837828,-0.3341972,-0.69751453,-0.52542263,-0.32865655,-0.12034602,-0.06795508,-0.020606818
