"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.043644577,-0.5761323,-0.8155093,-1.8995785,-2.9599857,-0.4428633,-1.7455996,-4.8181124,-4.4223065,-0.052373573,-3.6610305,1.0302163,-14.713568,-9.028626,0.24918059,4.1750956,-0.77516484,0.5464621,-8.038921,1.0832525,-7.52154,-1.1350349,1.5868062,-2.2984204,1.2175397,-0.566282,-3.6482732,-0.02407584,0.41500252,-0.24434331,-0.011892074,-0.5978078,-1.4307041,-2.9533637,-1.6773115,-0.22581002,-3.0322459,-0.4222622,-0.763008,-0.84216285,-2.6540775,2.007035,0.6065807,1.1606977,-0.6802516,0.7315307,-0.8118535
-0.12947862,-0.41522986,-0.9982445,-1.870071,-3.003515,-0.35436267,0.29270875,-2.944958,-2.6242113,1.3290884,-4.1107044,0.6139219,-14.532305,-9.562153,0.16277893,1.3228854,-0.7242576,-0.589807,-8.272542,1.1513463,-8.18778,-1.705997,1.3057015,-2.2122018,1.6357005,-0.52815926,-4.6987715,-0.1888973,0.49084103,-0.31275436,-0.028487552,-0.2816315,-0.52873456,-1.5054232,-2.9970295,-0.35938942,-2.355166,-1.1068288,-1.8210922,-0.91883594,-2.5962327,1.9746484,0.4031223,0.9633366,-1.6357073,1.1003398,-0.6993732
0.09512727,-0.32900068,-1.0657685,-1.7830578,-3.2310748,-0.34756798,-2.3068635,-6.526138,-2.9433799,1.650444,-3.6542342,1.1054288,-15.685481,-9.329224,0.6737164,0.4067291,-0.3944066,0.5171496,-8.036892,0.7774346,-7.4339113,-1.108338,2.040823,-2.3141677,1.9665087,-0.50679123,-3.6693165,-0.06441711,0.29159433,-0.35626546,0.0423609,-0.52294564,-1.4969773,-3.6147523,-2.0152996,-0.6315045,-2.1351144,-0.38701937,-0.6393225,-0.61225784,-2.6094904,2.2538185,0.06302932,0.960325,0.41802883,0.82136756,-0.26660603
-0.17417751,-0.25279242,-1.2886786,-1.9322399,-2.851886,-0.55144936,0.91853833,-5.1382136,-2.6810884,0.06868799,-4.0212955,1.0403742,-15.130824,-9.532932,0.4092163,1.677402,-0.5788189,0.530917,-8.360893,0.98814255,-7.465222,-1.0676564,1.5215051,-2.4637957,1.7068213,-0.58991015,-4.0513215,-0.07673913,0.5125364,-0.27369466,-0.008179902,-0.6783573,-1.109178,-2.7106886,-1.5309191,-0.3575958,-2.1333714,-0.89840037,-1.3127378,-0.6493088,-2.6535907,1.9802665,0.23454335,0.8708113,-1.3888798,0.68481535,-0.9317628
0.1004249,-0.16551723,-1.1453756,-1.815626,-3.003043,-0.5707723,-1.8600918,-7.049908,-1.5240641,0.5532942,-3.6826196,0.77925664,-14.702062,-9.581309,0.17112406,1.5072391,-0.7036213,0.4802471,-8.390276,1.1476724,-7.361593,-1.2247477,1.5423177,-2.3584857,1.8137022,-0.6192047,-3.8000574,-0.061130058,0.43858194,-0.26902148,0.0072927102,-0.6769278,-1.1007084,-2.6540616,-1.5450084,0.11070481,-2.1528704,-0.7640439,-1.4429637,-0.6503312,-2.5874126,2.2725418,0.33357212,0.944981,-1.0560272,0.9162535,-0.8469477
0.5995015,-0.28314036,-1.221703,-1.4128455,-2.4558048,-0.17525537,-1.1974694,-6.1221485,-2.269762,1.6386178,-3.709514,1.6144073,-15.671442,-9.293668,0.5644449,1.4333394,-0.934683,0.5866152,-8.616807,0.83912337,-8.190711,-1.0211076,2.0902796,-2.4035187,2.2351415,-0.91798526,-3.513775,-0.12089379,0.2260119,-0.3500823,-0.080115944,-0.7762197,-1.158085,-3.4996827,-1.842614,-0.24996139,-2.1958869,-0.75301087,-1.440026,-0.67889047,-2.9101312,1.9018612,0.42962167,0.9932471,-0.96320724,0.7502935,-0.7332338
1.0807962,-0.32340762,-1.467708,-2.112625,-2.9686131,-0.7060973,-1.5099535,-6.939187,-1.2531736,-0.15832098,-3.8606095,0.5012614,-15.454269,-9.632497,-0.028155027,1.5500927,-0.8344815,0.45548835,-8.45208,1.1203309,-11.135102,1.7696948,1.7554724,-2.5987701,2.2022107,-0.5585653,-6.479972,-0.21744056,0.62080735,-0.17651236,-0.07973803,0.7580304,3.0088837,-1.1517707,-1.126432,0.12758914,-2.633419,-0.6451924,-2.24653,-1.3541936,-2.8801425,1.7946802,0.4295437,0.7141542,-1.3157079,1.5580211,-0.6496216
0.7431845,-0.1150372,-1.32391,-1.8932502,-2.7794628,-0.5219134,-2.191907,-6.6068377,-2.0702147,-0.16538174,-3.8051274,0.4080311,-14.880581,-9.61494,0.22363259,1.0336038,-0.26717347,0.5714705,-8.627495,0.83465993,-6.177462,-1.262746,2.0770419,-2.2316782,1.8317847,-0.6425549,-4.019392,-0.036096867,0.5695324,-0.25449792,-0.110213526,-0.5596824,-0.88041365,-2.7141304,-1.3897338,0.5331385,-2.1596868,-0.581771,-1.5923071,-0.6781068,-2.7457137,1.7909371,-0.09207744,1.0129861,-1.2358907,0.9568536,-0.5900705
0.10423282,-0.24318482,-1.5647463,-1.8853163,-3.0676856,-0.61977524,-0.32147148,-7.030201,-2.4910648,1.1529773,-3.462519,0.4242843,-15.017133,-9.544303,1.9641706,1.0322372,-0.3938792,0.5983321,-8.244579,0.8394539,-6.477132,-1.0884545,2.0397477,-3.6894338,1.8316665,-0.5917141,-4.6108975,-0.11588724,0.5688206,-0.32203937,-0.012833661,-0.5650325,-0.7718845,-2.616439,-1.2817645,0.29604962,-2.2359724,-0.48825252,-1.8142239,-0.6887473,-2.5531926,2.1048572,0.066426344,0.8648399,-1.6503081,0.80970114,-0.7155873
-0.45296508,0.39260545,-1.6717243,3.132838,-2.0074496,0.6538283,-2.8708677,-9.870472,-2.2265542,0.10313556,-0.5302289,0.41584703,-15.696452,-9.054828,2.2448606,0.28727663,-0.19653009,0.41732517,-9.333782,0.46609807,-5.941114,-1.2783448,1.9646232,-3.9707282,1.6567132,-0.661468,-4.198004,-0.09483404,0.07069184,-0.7780667,-0.388469,-0.49504837,-1.1765765,-3.5945811,-1.7135708,0.6601162,-1.9769176,-0.0063184467,-1.0562812,-0.8680566,-2.8275933,0.7340793,-0.7182146,1.1814713,0.22508942,0.18135813,-0.8139808
0.35552302,-0.17660175,-1.438113,-1.9376882,-3.1308098,-0.46641377,1.8282174,-7.264551,-4.834429,1.2608645,-3.8627093,1.1386707,-14.654636,-9.683286,4.4566464,1.3896118,-0.22311127,0.4954846,-8.599734,0.79889977,-6.3162384,-0.9794958,1.3650213,-2.165236,1.9365933,-0.73440206,-4.7330937,-0.14553374,0.7046844,-0.30051434,0.07097798,-0.5385427,-0.7827416,-1.8397737,-2.659117,-0.19816588,-2.294206,-0.6813775,-1.9408013,-0.6758121,-2.6884205,2.0034947,-0.27900058,0.6402151,-3.5277517,0.5970449,-0.7831341
-0.13584673,-0.24980943,-1.2993163,-2.0071263,-2.7066932,-0.60469913,1.6064974,-6.0653014,-0.042639207,0.36681253,-3.8692517,-0.3318758,-14.7036295,-9.276714,1.5035797,0.7494079,-0.041383535,0.54171145,-8.03069,0.7780386,-8.125167,-0.40841433,2.004285,-3.769728,0.14990099,-0.39152944,-3.659655,-0.11847002,0.12515685,-0.2904908,0.044565298,-0.47189596,-0.6582541,-1.2372725,-1.1316414,-0.28189263,-1.763719,-0.55457526,-0.6949665,-0.66224796,-2.4208138,1.9541128,0.82234424,0.9016557,-1.6985856,1.2765925,-0.8576827
