"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
62.94109,19.423088,-5.8832393,56.057816,64.11512,15.316374,57.39984,22.286074,10.628534,97.169846,-8.356269,14.302536,-119.221794,0.23984493,119.42422,-96.26741,41.022896,-1.297065,-14.244013,-107.705475,-51.942165,111.20572,2.5646262,170.44092,-275.0779,-31.800526,15.534009,3.2795277,-0.8833238,9.3616085,-7.0852866,66.52741,72.371254,-2.820215,-91.4941,6.7656837,8.453701,-173.40033,31.514986,-4.168663,-67.55415,-7.9405622,-49.885357,2.3406672,50.110195,-2.852005,-49.307667
71.82597,25.458588,47.026814,59.456123,60.051014,-2.9391506,-43.447582,15.5324745,10.591335,30.113163,-21.754368,-4.2909203,-45.6188,0.51801056,121.34935,3.4028502,-8.493428,-28.097288,-20.072258,-94.599525,-42.265476,72.224335,-40.576874,155.00601,-325.45886,-28.491426,-4.3146925,21.23344,-4.4937296,-0.69551736,-5.4810724,32.825775,-7.998214,43.58162,8.057528,17.207085,11.366206,-119.55336,33.908295,13.095925,-11.942277,-41.71526,-50.738934,5.032124,50.647205,-0.61098367,48.18704
51.46036,24.872505,-28.577993,90.7628,67.700165,-55.047237,309.19617,-104.789795,-37.648376,-38.492374,-5.336717,2.9385102,-60.54878,139.12961,136.7127,50.18119,20.525093,2.7125685,-13.793306,-147.02368,-9.7621765,63.637573,3.87034,153.46107,-323.73016,-43.179295,-4.818751,12.794982,13.001018,12.578694,-6.824506,100.7449,58.329845,-0.972255,-110.62992,7.7528725,6.423514,-167.87975,35.54738,15.698743,-27.475462,-22.692507,-60.824036,-5.956839,-50.20418,3.4753346,-52.949375
79.47826,27.60399,-11.898971,34.759563,50.068615,-9.632322,-56.51388,13.631256,4.23509,28.531378,-8.522789,-1.1209688,-87.05743,11.242516,131.02571,20.021925,2.9147978,-40.38834,5.4896674,-132.9542,-29.7262,93.91835,-23.141247,161.08537,-285.99298,-41.211327,4.1981053,27.30715,5.056688,13.51887,-6.743585,80.0962,57.199078,16.691053,14.341957,18.1517,8.436162,-133.60783,26.067186,10.868947,-23.770805,-24.08955,-59.750996,2.2055569,55.07228,1.020409,-24.810133
77.97129,20.539875,-12.75007,50.735188,56.85082,-8.508843,68.98511,34.614876,-8.282346,27.737047,-21.856842,-9.300718,-136.61234,19.123474,125.78802,12.09363,20.975866,-47.46524,5.553819,-130.27788,-34.80739,93.57839,-20.299086,166.44966,-358.4469,-39.90231,46.53593,24.794867,7.7036963,10.336751,-9.748578,80.97801,58.7765,15.2804785,-5.304114,15.456582,14.036316,-153.95493,32.072704,12.30737,-38.63061,-24.921097,-61.76038,-15.931805,54.0051,1.274919,-12.387851
2.0407546,21.59211,-25.347761,15.696945,50.407207,-27.741905,300.70648,-63.515984,-88.00515,101.43796,-0.423237,0.8228951,-21.269024,145.90482,85.39766,10.951215,14.490524,-55.346367,-12.682287,-184.0253,-43.523243,67.3561,19.683235,156.2824,-264.1827,-40.28168,9.182486,15.157397,16.169119,11.752021,-7.9362674,97.0396,74.95087,-27.799086,-176.05731,-0.48203254,7.7059684,-135.20367,32.040833,6.067093,16.190685,-41.905155,-55.137978,-12.901499,20.345877,-0.2167067,-23.000149
5.6426234,-34.16282,-34.005775,28.82046,74.66149,-24.436342,15.766968,-47.601643,-86.58385,75.909515,-27.372305,-27.481567,-61.021667,151.40628,80.00548,-1.1639539,-1.2843887,0.48014608,-2.3225417,-121.124,-60.305443,62.51064,-28.758413,161.45505,-314.57037,-36.300766,7.523087,1.2713948,-9.199357,-2.996982,-18.718685,1.4599491,1.5490371,26.349283,96.158,-7.505614,-5.4938455,11.851975,25.188416,-43.389954,17.748394,-45.90196,-32.838486,-18.840263,51.533726,-19.808031,24.462904
-73.17461,-39.7825,-22.753706,22.18673,49.735657,-0.56090903,57.982227,-37.281754,-73.727425,123.21503,0.12922803,-10.679921,-49.74619,110.772995,127.36563,13.344963,13.530842,-7.5125136,-3.0692456,-163.16193,-24.750286,77.36908,-35.67835,177.40825,-345.2968,-54.26467,33.012627,-1.168256,-0.5615509,3.8766012,-13.634193,4.6603966,7.086758,7.853749,-10.967246,4.683224,10.313685,-39.50621,22.890118,-14.130704,-24.826374,-18.368937,-42.46369,-14.5807905,54.172146,14.248245,-6.3434258
31.437105,-8.091143,-36.174683,14.896531,50.497444,17.368292,21.881727,-96.79043,-50.596344,-8.200218,-48.204025,-5.7439046,-40.13666,90.975266,136.35497,11.686177,23.866047,-4.44992,15.1516485,-128.99548,-16.3876,61.80899,-74.04914,190.54097,-343.93005,-53.777805,13.665411,0.38410833,-4.650027,1.3698037,-11.628259,-9.899689,32.775833,34.121117,51.077084,4.0957537,5.5266595,9.260777,23.681393,-17.057299,-48.351837,-15.617064,-53.154694,-37.665123,35.281433,15.883513,23.774914
-199.96486,-39.263443,-23.715181,-58.397575,49.809307,-72.9539,263.7524,-66.27044,-89.4029,101.33672,-63.111614,-12.00929,-11.363085,146.15324,128.32494,15.554515,44.474987,9.080757,-36.129917,159.11388,-4.2477894,-29.796518,-1.2439201,177.87157,-271.23486,52.130314,2.5866506,-2.1424117,-9.378542,3.7099004,-9.910446,31.533289,79.485954,-50.675762,-165.21149,22.02442,12.606598,-106.08693,24.755707,7.185116,-111.26192,5.851132,-60.57183,3.569825,28.943962,2.4074662,-69.61505
