"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
163.30597,94.72257,-60.909203,108.883415,169.41362,151.37225,576.3106,-371.97308,30.477116,289.0892,-48.846107,64.624435,221.32785,247.20302,244.03659,-121.25545,107.24917,-38.3665,10.063661,-308.73813,32.244232,355.88977,-80.38256,445.69617,-128.46085,-55.58781,-73.51116,0.9749765,151.57632,2.0314906,-35.17347,59.245556,466.21268,5.260046,-122.544495,-93.45606,-10.484482,-381.87006,255.50218,-103.49217,-81.15921,-52.444492,-318.14984,-76.2635,86.21841,-36.303856,-473.1965
251.33163,31.74308,26.836859,123.00535,223.33122,-3.1674194,125.39161,-148.20932,65.92487,147.46936,-44.373135,89.787865,243.17842,386.89774,304.23352,-34.822495,177.85158,-65.62218,20.201656,-251.78741,4.376851,445.1666,-118.28421,467.93134,-172.13054,-92.76776,-62.642788,23.319464,208.63953,7.8317075,-3.157383,71.430275,449.01575,80.30629,-181.10626,129.20244,65.02568,-263.17728,220.4819,-78.879,-159.48239,-66.22402,-93.04254,-74.10897,74.47384,8.353897,-68.272964
209.93488,97.735954,88.755516,100.395676,307.96997,200.84914,1800.5027,-425.2564,-18.95243,285.16116,-64.30641,99.87481,134.78485,248.11586,256.87833,15.698785,44.878876,-18.576189,-71.14497,-372.10687,16.962502,416.38287,-147.82071,369.6697,-360.76947,-114.83344,54.23856,10.057095,55.23966,0.5357747,10.674414,100.92359,459.645,48.944122,-235.32689,41.3106,39.560066,-197.16174,260.92422,-129.54086,-24.984299,-46.94286,-231.30643,-131.21443,-144.32494,-24.75334,-527.0382
224.7356,48.441814,36.695335,67.22661,175.27014,315.06406,255.04465,-267.12833,70.42938,193.36485,-53.381466,81.60974,204.00487,292.88037,307.8365,-45.40188,79.95467,-48.376286,30.832901,-277.5713,37.149353,315.0607,-93.24915,518.12646,-176.50035,-76.54073,-67.400345,21.44802,206.30684,8.063163,-7.0924087,200.26932,460.42383,77.67951,-267.2974,3.088271,15.999766,-205.85532,237.07051,-57.558025,-130.50346,-37.281364,8.128668,-63.769993,25.414967,1.1866832,-155.70612
269.8133,127.79873,69.77005,104.5596,225.97812,189.48334,779.2575,-178.41191,59.09327,239.86125,-77.8358,38.118958,208.19547,298.32394,310.72482,-103.48991,115.844955,-38.957718,26.601347,-256.11453,13.963226,272.47647,-72.814415,487.9538,-201.22098,-82.98207,-68.79274,28.68668,185.80786,6.9808383,-12.259071,139.78406,457.10672,108.32375,-249.84366,184.35649,11.122354,-257.46057,299.31396,-54.21134,-85.4103,-48.483055,-185.95532,-65.24019,25.988836,-6.2512193,-451.44513
-81.42991,137.15314,108.072685,8.728788,179.88115,25.28855,1617.3867,-7.552638,-32.971825,412.26318,-46.036892,161.50229,28.062115,221.56572,218.32481,-365.5011,100.572716,-30.504427,-11.033545,-90.55665,14.948402,353.55624,-80.413445,284.02777,-326.9094,-110.101204,-9.417578,13.296761,73.08126,13.380727,22.536366,63.80593,424.30966,-95.7304,-194.55627,-87.37776,20.726786,-351.11572,330.251,-89.240395,-72.637085,-43.128647,-255.8352,-140.77956,-12.282534,-0.79757786,-473.78006
153.3873,79.55154,30.148176,32.674404,247.24,236.40521,908.104,-5.6824474,-19.00298,285.5943,-32.905075,47.249817,184.14902,211.69008,501.31393,-100.89964,123.83964,-21.306612,64.06595,-310.82812,-19.85658,430.2482,-101.1267,557.82965,-368.67975,-126.59509,-82.7337,12.493767,100.68871,6.3238153,-38.061234,68.33231,62.50113,34.159122,-227.42883,100.19968,27.8451,76.86455,302.76538,-170.73889,-55.737083,-23.90305,-214.20753,-37.91853,91.82447,1.9964275,-261.4609
-100.77306,-27.958054,42.826427,16.490618,224.09459,71.05049,402.77026,-7.231948,-20.976866,178.22232,-45.09189,22.377892,204.41782,303.59915,309.76346,-118.65815,80.35632,-30.064528,23.861292,-169.93082,25.62752,208.08388,-154.42596,517.55975,-243.43239,-138.76436,-67.31277,6.47277,47.982037,6.088202,-29.355352,-45.23593,126.029305,112.91485,-348.66028,39.1005,7.2031174,-20.593441,219.0601,-156.01773,-114.303215,-4.2650933,22.094872,-55.773106,76.254875,-23.16633,-212.5578
138.5436,18.56981,18.045311,12.679467,188.85107,75.882706,270.59778,-41.597576,29.692814,114.96847,-41.251827,36.62628,180.1889,266.5959,364.79144,-136.16995,115.21302,-29.297987,34.40383,-168.49902,41.93393,183.04967,-225.95573,542.2411,-256.74762,-125.97624,-61.401646,1.4976022,68.72644,-22.232368,-35.43291,-31.448217,157.94972,26.52508,-214.4267,73.322464,7.452561,-32.78777,217.86781,-143.52344,-145.13852,-48.30927,-20.61686,-98.04341,-3.0000434,-32.30326,-110.79112
-128.1156,-66.03143,142.49106,-273.469,215.1733,296.54172,1785.9542,46.13455,-299.521,649.70416,20.187178,78.90558,256.80618,311.4988,217.28253,-135.0492,79.52814,-19.124214,-12.7206135,50.944298,-58.430195,326.91183,-51.78785,426.99475,-700.55444,-148.90732,-28.754686,-18.076122,-162.90451,-19.212206,-12.183932,-26.905832,387.08856,-176.10541,-796.19763,121.93916,-2.3222756,-372.08966,300.7835,-77.5611,-93.0374,76.731575,-187.04063,-175.95728,-54.596996,-12.624403,-520.3214
