"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
40.491573,-0.7968812,-21.90875,-1.315306,5.1299357,6.4779162,11.501856,-40.111443,9.487306,23.257261,4.626541,-42.557007,-25.522734,6.785623,19.984266,-5.29933,13.574635,-15.853456,-7.5166535,-40.48564,-6.9576044,9.281916,9.933615,3.9593356,-4.0617456,-8.840813,-0.4815519,-2.9214704,11.443965,-3.543918,-4.260653,-3.8327732,0.07451202,-0.25073653,-36.512756,3.9154446,1.8049098,-20.30084,5.4687405,-8.795415,-12.103672,-8.138456,-31.078722,0.98373723,4.821916,-5.724863,-15.710045
36.89401,-0.014685708,-8.021133,3.174129,12.33427,-10.064586,-9.01371,-18.901457,6.088982,9.289898,7.9996467,-42.431244,-23.760216,19.207472,6.909585,-4.805893,15.823688,-22.758831,-4.821704,-48.470448,-8.609792,11.983314,-0.3149697,19.748995,-0.8924539,-7.5050545,3.7489388,-1.8588878,6.199376,-3.1304748,-2.745774,-13.175268,-12.3448925,2.1489995,-14.679446,5.064076,2.4926383,-14.162754,6.742117,-1.2508607,-18.239353,-18.162577,-43.981823,4.3248396,3.1417572,-2.8471231,18.872967
34.24896,4.2382503,-21.603163,4.9210186,8.003783,-1.7561703,6.1854677,-22.728512,4.439394,6.1238384,15.062182,-48.373955,-35.238495,13.33041,21.14922,3.468229,2.7486544,-8.717775,-9.522396,-45.937897,7.6975417,14.326648,2.4603286,3.2808692,-3.994148,-6.0953903,-2.2580564,-1.7451469,17.090557,-3.9078574,-1.5979344,-0.5601375,-0.15883373,4.585196,-54.187183,7.178255,3.1142008,-19.428534,6.1504965,-3.244908,-11.0726795,-13.536282,-13.827958,-7.875819,8.728939,-3.528754,-12.716134
38.09897,0.35408697,-26.61405,3.5871155,15.166251,-5.1921487,-14.887637,-19.066519,8.070628,12.038098,5.6687293,-52.101154,-27.005919,23.635384,9.664882,-4.2837124,17.294891,-20.719835,-7.4906607,-34.55996,-5.566628,14.524297,4.7711873,14.604618,-0.5208179,-8.072738,5.171009,-2.292323,11.219113,-2.2485168,-0.93374413,-8.431423,-7.8868895,-2.9256527,-7.5633683,5.092889,2.2974901,-9.829311,7.2147493,1.6185619,-17.778488,-16.122032,-42.193302,-5.999867,3.9203372,-2.3227317,-5.4531217
38.215023,2.498031,-24.827341,1.1922867,14.648962,-6.725621,10.336425,-21.45055,8.925163,11.721684,10.348791,-49.724392,-36.12971,16.359394,11.811275,-3.783021,13.0771675,-20.84084,-4.312322,-32.584843,-7.5328155,17.00646,8.236761,-1.501643,8.85347,-8.40621,8.008224,-1.3293997,10.97681,-2.3533313,-0.61936164,-3.8131075,-1.3457726,-0.10266469,-7.288083,4.5350738,1.9626514,-11.156227,8.094415,2.7708583,-17.28182,-16.166317,-40.930748,-5.8530645,4.7168794,-1.7043924,-14.652282
-20.289705,3.8755007,-24.454298,-12.004333,14.21938,-2.3611836,11.2953825,18.829824,6.178005,48.24047,7.5455136,-58.571507,-50.74869,12.8583555,15.372594,-0.054825995,11.295979,-29.204056,-9.226705,-40.10383,-6.0772305,17.509726,17.960228,9.105552,-13.076858,-8.497466,-0.33831313,-1.507369,25.372002,-1.9868865,-0.853643,-5.7775273,-3.5676515,-1.2201576,-39.16558,2.929491,1.131718,-21.358717,5.9254365,3.18405,-19.805922,-10.93861,-26.885866,-8.440804,6.530024,-1.327756,-15.8868065
23.373177,-2.0691025,-18.757875,-9.255915,12.982641,-10.698124,22.321632,9.862255,6.3015127,28.9921,3.6950336,-19.784567,-16.65369,28.865139,13.138185,-7.4670424,8.129998,-8.412,-28.477327,-29.63023,0.053284287,-27.401583,8.651461,6.02417,-2.8845181,-6.744773,-3.3631363,-9.797602,16.346012,1.7142236,-2.099359,-2.1674552,1.3311441,0.47939366,43.118717,-3.1902692,0.5321414,17.943104,6.1713114,-7.2353573,-13.750396,-9.917421,5.863553,5.5998673,5.7124615,-1.3555442,16.834738
-33.416748,-6.8078976,-33.225372,-8.153182,17.66978,-8.27007,0.17589752,1.0974588,2.1859727,30.76902,5.8690386,7.585056,-18.367844,20.709745,21.842703,-3.6891932,7.4035897,-28.992884,-3.3256357,-38.554447,1.3516841,5.0468,4.810812,3.1757436,-8.605515,-10.91194,-3.594869,-1.6102532,3.557083,-2.7503297,-1.5921075,-4.322328,-9.676403,0.40648854,2.7107654,4.7364926,-3.5250752,-3.7714505,4.226042,-3.5359669,-19.437737,12.726457,-49.912647,-13.085531,1.843367,1.6696925,3.5139136
21.641956,-1.9196426,-32.13394,-13.171405,8.229932,-2.4200187,-0.29274902,1.6765435,0.7509198,-16.211105,4.984496,4.6938024,-17.230402,21.70212,19.9777,-2.9374013,5.395133,-17.869007,-4.2056437,-40.50769,5.059401,1.7639335,-10.999111,16.400433,-4.8315854,-4.779253,2.6211224,-0.30368003,2.56328,-2.9188044,-1.5884293,-7.940103,-13.6898775,0.55936635,-2.4858217,3.7847047,-4.164291,-6.1828647,6.247738,-5.178042,-20.136229,-8.06555,-47.943832,2.548865,6.5955234,-0.80373657,1.8644502
-58.37134,-14.135883,-23.919474,-0.5925312,5.8357763,-18.090635,12.034076,5.1002254,-4.5737815,31.701162,0.30165195,-17.164032,10.767703,23.807085,18.282423,-2.3422613,24.693905,5.2108417,-12.002327,15.269281,11.663728,17.85272,-9.186441,14.102346,-21.096859,-4.684322,0.79306775,-0.5708735,7.7986383,-8.185173,-10.674679,0.8992378,-0.550333,-2.0362656,-35.218086,3.112077,2.4377697,-42.063595,0.124293275,1.8836117,-14.780649,26.978241,-39.819786,-3.6263566,-0.018089646,-17.024231,-32.620876
