"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
8.29384,0.20574653,-16.492483,26.166237,5.655728,-1.5084012,-6.853061,14.099382,-32.479588,-11.13099,0.5796557,4.6156697,15.920036,8.431447,-4.0997066,6.3034244,-6.590545,-0.685595,11.517148,3.431381,-47.95831,-2.2282038,-63.977425,0.9648553,-0.87640107,5.346302,-26.218386,-2.0966685,0.58502346,-22.691698,-3.363388,-20.485428,-7.3921847,-2.7919815,-4.409432,1.0190369,1.82733,6.743358,2.6687863,-12.878271,4.91272,-4.5789127,-5.47552,1.836479,3.0277722,-4.5454097,-12.938727
8.836542,0.8880359,0.88026893,23.15956,2.176934,3.1436584,-8.574763,18.886309,-36.761898,-12.986309,1.6201311,3.5154266,14.93151,9.62479,-4.4071136,11.296601,-5.5077,-0.21062224,10.403504,5.983362,-114.515724,-3.8502483,-65.30339,-0.09125533,13.538722,5.8536377,-24.930988,-2.2918055,-2.2493749,-20.234877,-4.0993924,-22.241924,-9.826198,-3.7015474,1.2447942,2.0808067,0.7491885,7.967807,15.177752,-15.1258955,3.553466,11.185327,-4.946936,1.5076928,2.9250526,2.9095654,-10.80885
5.280592,0.0053765406,-18.289658,27.264635,3.2280998,-4.100175,-5.9951544,10.656515,-32.89696,-19.110493,2.686774,6.1362944,19.081112,7.7929473,-4.0930753,-1.9693382,-3.1030884,0.13110417,6.12885,3.265637,-30.002321,-2.8200033,-65.86748,0.6992739,4.2842913,6.027053,-26.325747,-2.1553814,-0.035932906,-22.254116,-3.4244323,2.908572,-9.299676,-2.4391026,-5.0637217,-4.209594,3.4625182,6.5230727,2.5776415,-17.441542,5.1732173,-6.548136,-1.9402794,0.70328104,0.34477198,-6.365225,-17.148808
8.560224,-0.065163,-20.55568,28.519491,4.208916,-1.8549349,-7.215035,13.571036,-35.34518,-11.798488,1.525515,3.2937753,16.385517,8.632326,-5.389208,-0.4925108,-5.8648825,-0.6083126,15.43962,3.3394594,-43.15843,-3.2218153,-64.02319,0.46912172,10.512192,6.1506987,-26.283394,-2.1862812,-0.5263745,-20.978699,-3.2301903,-21.754444,-10.300698,-2.8503222,-5.935024,0.3530533,-0.06348365,6.66064,2.0007539,-13.542824,4.166547,-4.4482803,-5.052534,1.3613925,2.589081,1.9435102,-11.44263
8.294546,0.3079205,-20.36185,28.85382,4.1645427,-3.2155006,-9.616073,18.649837,-35.816097,-11.882495,2.0459716,3.6478066,15.31711,8.986246,-5.2216496,-0.43167457,-5.4684997,-0.8618908,14.691524,2.9394956,-67.37447,-3.819652,-58.538483,0.549931,10.973942,6.1384354,-26.971367,-1.9416513,-2.8031192,-20.653545,-3.6731422,-21.99757,-8.819811,-4.0961614,-5.820442,1.8315495,0.45794514,6.4171515,1.8520881,-12.152964,3.8372512,11.079368,-4.699828,1.5387334,2.9233096,3.5677896,-11.459749
7.1566663,-0.0103632845,-20.759811,12.268901,5.0546975,-12.723405,-4.1802087,2.9061887,-35.884327,-9.945151,0.7509649,2.623157,13.833112,8.315654,-5.1854987,2.2146804,-3.891704,-0.63214034,15.481485,1.2275492,-27.106972,-3.0743265,-63.35349,-0.513092,10.920997,5.0568867,-22.716608,-2.4115298,-1.621164,-23.132502,-3.8496418,-22.656973,-6.3632474,-0.041503295,-4.165552,-1.9626471,1.6476848,6.2582407,2.5327516,-14.840522,4.9610114,-4.7102394,-5.1234875,1.4897451,0.48176968,0.76790315,-9.337378
6.3239417,-0.41358906,-19.992159,30.0105,4.0371094,-3.9234436,-8.682317,-10.639751,-41.66869,-9.967906,1.6608607,3.665205,15.286276,9.338448,-4.5100646,0.75738066,-4.614773,-0.5548157,22.497158,3.5184891,-45.32078,-4.0045457,-56.005028,1.2326541,15.655015,6.0242143,-29.70196,-2.4886992,-2.5286872,-22.419464,-4.610737,-21.69721,-12.739482,-5.5278163,-12.186285,4.153399,2.2361915,9.636776,11.948275,-8.859781,3.465697,-3.6324399,-4.644022,1.7027761,3.01775,3.0179543,-6.568347
5.5577745,-4.0584507,-19.334272,15.511348,5.0929356,-4.370834,-6.1918674,-9.305382,-40.234653,-12.118726,0.9257382,4.195207,14.741394,9.57873,-5.1342783,1.3026651,-4.0772457,-0.53344727,21.587399,1.8066293,-31.868935,-4.4487157,-56.191013,1.3113537,15.888322,5.7117763,-25.379215,-2.5643563,-2.4514756,-23.279179,-4.9074817,-22.071507,-9.646535,-2.499675,-7.2325864,1.9278538,2.4054332,9.526376,9.846682,-13.051561,4.301555,-3.4839587,-4.605132,1.5810177,2.970325,3.6934566,-9.02441
8.485765,-0.7886139,-19.284578,31.633104,5.098358,-0.57313013,-9.002985,7.000334,-36.893463,-13.302345,0.7923891,4.2616973,15.787317,9.291825,-5.0734606,-0.33030957,-4.232266,-0.8453693,18.50575,2.4773805,-42.99616,-4.150243,-57.823,0.3526692,12.411861,6.1862426,-28.311668,-2.2852533,-2.5670397,-21.677397,-4.31583,-21.485123,-8.958801,-3.7087648,-6.076435,3.2892497,1.9831513,9.557625,1.7284914,-10.894846,3.778759,-4.663793,-5.191632,1.4846725,0.3681115,1.8266065,-12.457879
-8.34678,4.57267,1.4795651,-19.51912,6.0669575,-5.0125484,0.47595105,-15.517383,-32.590572,-14.116926,-11.302115,2.428741,9.972047,11.235979,-5.605175,-1.588645,-5.5689282,0.5664097,20.24829,-1.8984011,25.921114,-3.2313201,-42.228237,1.3743011,9.852014,7.092558,-20.292961,-4.260762,-6.262844,-29.944225,-4.0691857,-17.03625,-6.4202566,-3.0300198,-6.2530117,-6.6826863,0.8090312,10.297808,-6.1032677,-15.304622,4.4499784,-0.6381917,2.0714943,3.1195579,0.63171476,-10.051553,-8.399508
6.288889,-0.3951993,-19.24826,27.499395,4.594618,2.0107007,-9.461604,11.315782,-39.205994,-12.868457,1.5857548,3.9542837,15.054891,9.457306,-6.3371825,8.588827,-4.6699386,-1.0275527,19.25226,2.2304842,-43.524223,-3.7165935,-68.204544,1.2148455,16.579443,6.9240975,-27.503061,-2.609641,-3.0389402,-23.116806,-3.7327516,-22.397177,-9.746107,-7.3277707,-9.412154,3.2421713,-0.62162185,9.2982,2.5778344,-10.008999,3.4975932,-4.769115,-5.165232,1.4963669,2.0331333,1.2924044,-10.532944
8.131493,-0.2965983,-6.354464,35.21983,3.8524559,3.6059308,-2.0880637,14.537673,-37.67559,-11.45372,1.3141335,4.811969,7.780906,8.968213,-3.591759,-4.4133143,-4.2626653,-0.59789574,4.797263,3.537059,-48.10405,-2.0342085,-63.556988,1.318381,-1.7433103,5.784775,-26.992847,-1.9879798,-2.6780043,-21.106077,-3.276596,-19.982244,-8.561162,-7.3479695,-11.135104,-3.874176,1.9111221,9.608727,2.9288816,-8.086957,2.5963705,-4.977785,-6.274233,0.9379887,2.7893126,3.9562025,-4.47427
5.7097344,0.11613921,-13.942731,-6.38223,4.5937605,3.8251574,-1.9567119,5.140131,-31.68179,-6.9916873,2.2288027,4.907437,3.9410532,7.6070094,0.0027937242,-3.5759425,-8.531011,-0.16453847,-0.4573782,-0.17741418,-19.125145,-1.3661184,-48.048347,-4.9966493,-2.784428,3.9902384,-14.344398,-1.5464977,-3.7741618,-20.440863,-2.8828177,-20.310875,-9.661605,-2.0773728,-5.104164,-1.3174845,2.349337,9.422034,5.325052,-16.108213,4.7408147,-5.4367237,-3.3585448,1.2262917,4.780582,5.63202,-7.650912
8.134522,-0.3294736,-6.3537197,35.219772,3.8524592,3.5873628,-2.0880127,14.535191,-37.680088,-11.453733,1.3140532,4.821294,7.7751737,8.968263,-3.5917623,-4.4132423,-4.2625785,-0.5978881,4.7974195,3.5359738,-48.104046,-2.041569,-63.556934,1.318381,-1.7432998,5.784775,-26.992655,-1.9883448,-2.6780424,-21.11078,-3.2756016,-19.982399,-8.556865,-7.3476553,-11.144367,-3.8690763,1.9787585,9.608727,2.9241073,-8.086957,2.594308,-4.9775424,-6.273003,0.9381838,2.7894325,3.9564183,-4.474282
11.587928,-0.57466793,-7.765124,35.153248,4.0607414,7.1838083,-2.1275454,11.729258,-34.369114,-12.219824,1.366397,5.05903,7.7473083,8.975064,-3.6680217,-4.3808675,-4.2371607,-0.59385276,4.856194,3.350494,-50.75483,-2.0449166,-63.470158,0.48563606,-1.7203245,5.776859,-27.009027,-2.6379504,-2.7934163,-21.903389,-3.3477938,-20.377201,-8.48016,-7.3107643,-12.175275,-3.8765936,1.9661722,9.611679,3.423471,-7.4606824,2.5999312,-4.028614,-6.2504706,0.98919904,2.639266,3.8115985,-5.366244
8.134556,-0.3294736,-6.3537197,35.219772,3.8524592,3.5873916,-2.0880127,14.535191,-37.680088,-11.453733,1.3140532,4.821315,7.7751737,8.968269,-3.5917623,-4.4132423,-4.2625785,-0.5978881,4.7974195,3.5358036,-48.104046,-2.041569,-63.556934,1.318381,-1.7432998,5.784775,-26.992655,-1.9883448,-2.6780424,-21.11078,-3.2765703,-19.982384,-8.556809,-7.3476553,-11.1434965,-3.8690763,1.9787585,9.608727,2.9241073,-8.086957,2.594308,-4.9774528,-6.273003,0.93819964,2.7894325,3.9564183,-4.474282
