"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
2.6766052,0.29215306,-7.2903566,2.2851214,1.0635055,2.048499,0.055678133,-0.1407,-0.67620474,3.90643,0.6061495,-2.313848,-8.078861,2.5267465,6.693827,-5.106129,0.94631696,-1.5883808,-0.48455542,-8.912296,2.587678,3.595212,-0.24873385,1.0257685,-6.485434,-0.9121685,-0.21535577,-0.35568908,0.00012355542,-0.08346951,-0.09588815,0.43773293,0.52094966,0.14623746,-7.558248,0.32081336,-1.618275,1.6667596,0.6447544,-0.80894625,-3.346733,1.2441851,3.5071387,0.055260587,0.22303666,-0.5967111,-3.6831524
3.3054144,-0.1581129,7.150174,2.8502748,-1.4625963,1.43384,-0.3919939,3.0453665,-2.656049,5.1330104,0.43645412,-1.8293465,-12.031955,-6.2537947,6.1418643,-1.8688201,1.3898314,-3.1638415,-0.94880736,-10.13139,-5.062509,1.7873988,1.5380884,2.9374974,-8.159561,-1.4788134,0.08946898,-0.09343494,-0.19673154,-0.18047215,-0.15018772,-0.56119657,-2.0419939,0.6708547,0.5842692,0.27028352,-2.3206725,-1.2780262,2.086459,-1.2866889,-2.4359722,-3.0997586,1.3646569,0.33715656,0.09937469,-0.40953428,6.1328826
3.2516384,1.3662901,-3.1615572,2.7640848,0.558272,-2.2303078,5.8708825,1.8915542,-0.47110704,3.4226995,1.2762231,-0.87147295,-7.311484,-0.6396308,7.2283106,-2.7692955,0.82394,-1.4367207,-0.61916536,-11.475024,2.6239612,2.933386,-4.2909455,-8.098402,-7.9954877,-1.0081795,-1.558194,-0.20540424,1.2536888,-0.071838476,0.23116775,0.76467884,0.378591,-0.028633384,-1.0369697,0.66085464,-1.5986189,1.1560879,1.2097971,-1.2230558,-3.320633,-2.9518082,0.8052014,4.2996554,2.0551074,-0.7982881,-2.6539142
2.8897674,0.08727558,-1.8499725,2.3049872,0.050322503,1.248518,-1.1574167,-0.40008804,-1.1031405,3.7632644,1.195515,-1.8175696,-10.914956,-7.025647,6.2163177,-1.2726477,0.9368754,-2.9866118,0.036599524,-9.791259,2.8727837,2.1614814,-2.617172,2.0508647,-6.6731186,-1.0453558,-0.35658726,-0.38558185,1.3216398,-0.09102413,0.05597683,0.27575138,0.6313184,0.82143235,0.68901116,0.4845855,-4.14387,0.27765328,2.6864681,-0.73158354,-3.0989366,-3.885802,1.4828691,2.313223,-0.20435701,-0.17854081,3.8639953
3.8488111,0.07259743,-1.4299688,1.407663,-1.3347921,0.49912283,0.029184464,0.5547183,-1.4080001,3.9951425,0.0812162,-1.6774243,-10.68045,-7.557022,6.347981,-1.6027806,1.0173703,-3.403728,-0.058111887,-9.985071,1.2088237,2.104548,0.32084906,2.5894966,-6.6942773,-1.2481582,-0.122567624,-0.44760963,1.3718821,-0.06820853,-0.0064138533,0.39710552,0.7349759,0.9273547,0.5648708,0.33957884,-4.3225636,-0.16251127,2.5710013,-0.66019547,-2.9777756,-2.9500637,1.2900391,0.2849257,-0.36825883,0.047206,5.777274
-2.2683525,0.2606575,-4.3893027,-1.6193709,1.253005,-0.94285446,4.5239944,-2.4599292,-4.4044704,3.8388877,-1.7549758,-1.5437888,-8.385219,0.122176886,9.879704,-1.9715139,1.4067954,-1.6560378,-0.48318464,-8.572899,2.398608,2.9072175,0.13070865,-5.7798257,-13.403516,-0.7281726,1.3849927,0.061895516,-0.7744731,0.30566248,0.18758461,1.295128,0.67001474,0.38900107,-0.56225485,0.37820122,-1.7172128,0.7518558,2.4500027,-0.5831081,-3.384405,-2.5854511,1.1249521,1.456291,-0.53739136,-0.79481375,-0.41882095
2.218913,-1.2910981,-3.2008932,-1.3350068,0.45990965,-4.7240386,0.41829944,-2.3657906,-3.5190156,4.1359916,0.73901975,-2.4157286,-7.695798,-2.6679106,8.387005,-3.1299303,-0.5158862,-3.4663432,0.06954303,-11.57239,4.824131,1.6264516,3.7655401,0.9693246,-6.9675345,-1.3607947,2.495783,-0.23669331,-0.05055988,-0.16325869,-0.33342516,-1.2548631,-2.026362,0.34957358,-5.7480397,-1.509345,-3.2685354,-0.42878866,2.0582314,-1.6661884,-3.4916003,-2.893878,4.397567,0.25607228,-0.01186866,-1.109503,6.175243
-1.0798188,-1.392571,-10.019796,-2.1276112,1.2366605,-3.5965378,1.490738,-2.7754006,-3.6039681,4.8294773,1.6303871,-0.7834207,-5.895104,-0.002049516,8.372425,-2.6077793,0.074252926,-2.7122958,0.3527086,-13.498849,5.571101,1.3017412,0.044376202,3.3847437,-7.0223107,-2.2979243,4.059145,-0.3670547,-0.06463794,-0.03754529,-0.011963451,-1.1011375,-2.5265913,0.97436976,-5.702123,-1.2909709,-3.429636,-0.62144464,2.1751997,-2.1214454,-4.343123,-0.7236435,4.740169,0.22962372,-0.2781095,-0.16012561,6.0596914
1.6840926,-1.075231,-5.816918,-2.75671,-0.7264092,-4.0666776,-0.32466394,-2.7654924,-2.5003169,5.407422,1.859175,-0.76775324,-6.947252,-4.424162,7.99924,-1.6763077,0.26931557,-1.9743202,0.17510921,-11.261614,5.121418,0.630434,-6.159835,3.0984743,-7.660161,-0.84868944,4.352712,-0.18955879,0.34048507,0.030791484,-0.0054828473,-0.8868675,-2.6863737,1.1810795,0.4873578,-1.2212821,-3.0480583,-0.70581603,2.8194377,-2.2437973,-4.5566883,-1.9005345,1.5974352,0.09258712,-0.42182916,-0.5000309,5.392693
-3.1097305,-1.4054134,-8.610575,-1.3598858,-2.4036043,-2.3221564,5.5049853,-3.0861285,-7.1771965,4.2936587,-1.0718304,-0.23735213,-0.99827826,0.6959226,12.558955,-2.4769914,1.3049515,0.01813389,-1.3891039,12.683642,0.83098924,2.7999396,-5.3567863,-0.48119158,-9.256445,-0.7366626,0.37995574,-1.0532607,-0.4066673,-0.41938093,0.09345366,0.0035970837,-0.68785405,-2.0683856,-7.3928866,0.45877364,-4.819978,-2.4993277,1.7767471,-1.1188658,-4.9008265,-0.46505928,4.050664,-0.5280571,-1.1240325,-2.924091,-2.7885435
