"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
77.68124,-5.5696287,120.56416,-56.82744,-13.711783,-179.32927,269.32672,132.8667,1.1706607,3.2545602,-13.394916,307.6393,18.466612,-6.1953673,73.766716,256.85098,166.87372,5.544855,70.53685,47.914494,88.55584,293.26437,-3.132525,383.12747,0.82390743,10.448007,33.031754,56.034004,189.39143,-1.6215501,8.957602,154.17459,224.21216,41.186382,696.45514,13.909618,1.4709344,36.825245,83.57566,-20.042204,16.402246,14.52775,292.04056,43.94672,-182.20648,31.061888,75.56853
84.57357,3.5387726,226.38339,-6.2140956,54.619476,377.56122,136.97777,156.89891,30.826164,118.95139,-37.43239,424.71805,53.263054,35.172913,22.303123,87.93412,359.071,-9.943727,51.838367,57.13569,-110.56761,191.8594,1.9866915,406.83762,4.094332,13.896314,17.000637,44.106804,151.57057,7.530128,13.870111,76.764305,246.56711,-2.4744787,336.2796,86.21779,32.026047,20.035366,134.97134,-0.09076205,7.339354,-32.03297,341.54166,-93.14486,-153.66103,-33.43248,71.82509
77.79398,12.383098,62.570057,-41.051105,17.44699,356.88107,81.15796,147.41464,3.9442356,-18.179365,-34.373573,362.1132,32.515057,1.9328952,36.101173,-35.7837,39.987663,4.9950824,77.99307,-5.441557,144.14117,255.74835,-25.242376,260.13885,25.844742,15.960947,32.431618,38.986015,111.41483,-0.60622776,7.542458,149.33047,139.2767,38.65315,766.5396,30.71265,10.784927,55.93335,52.27442,-12.220184,22.019667,-11.470371,500.60422,33.38445,96.37696,29.86623,59.806164
63.46902,5.639503,42.040295,-79.52937,20.162312,383.54868,16.907358,165.02606,27.658218,31.03337,-31.156023,368.78802,29.211498,0.33926198,82.63503,-40.69211,319.19376,4.612599,-23.877876,28.770346,104.10701,305.13037,-9.639844,363.3629,45.060078,15.173635,30.789076,38.588947,102.09603,-4.485928,16.512428,181.00163,185.76329,-19.086687,481.32626,50.86395,11.66898,43.400887,113.49397,2.9647853,28.846954,-17.002851,431.04367,-18.743021,41.17335,21.713915,49.74767
60.021034,15.295906,49.957207,-50.853695,12.90176,351.59302,101.8434,135.3516,3.1976113,54.6351,-43.98347,313.84973,54.31338,23.806915,94.901726,-43.253494,347.16434,3.2594922,-30.75981,26.920645,100.76159,297.40002,-21.490452,366.7108,38.59521,12.777521,34.316174,47.45173,140.45476,1.1257695,15.927843,156.08525,219.50536,-17.998652,420.4559,81.89096,23.354227,37.457325,88.87268,2.9402428,32.093037,-33.766895,405.13876,-19.111107,37.98367,15.285492,44.38962
4.3861637,10.853796,63.37322,-70.50147,-42.270336,329.37457,128.76974,93.48414,-16.32487,-15.884667,-23.1484,360.4239,47.078968,6.227937,22.049309,-48.951317,226.78993,-9.829668,-3.302605,-41.735886,51.078297,264.09875,-31.25042,224.49083,16.102068,19.803698,43.2185,45.673653,101.22594,6.840613,2.0079017,102.02615,189.07741,45.12358,804.70013,13.423658,13.301126,20.660036,87.65675,1.8929588,27.528532,-11.675352,499.7806,5.136432,57.872353,16.13159,79.73086
21.752375,61.706245,241.42694,-26.548021,9.265736,819.7865,273.64322,-59.477108,-9.470889,19.56391,32.670883,2.5935335,28.628666,16.218817,13.969424,103.180565,279.574,0.7804498,174.34612,24.36105,226.34882,668.2714,23.98817,378.76797,84.556435,-15.052814,-17.66262,12.734889,340.22638,-1.4469342,2.606515,-150.26677,-71.704956,54.01475,-946.11597,153.05302,104.86426,-19.255877,107.32332,-2.7636583,25.319979,-7.9688306,93.85761,-92.696014,-143.66591,-31.123465,140.90988
21.346855,-3.551115,-0.53060454,-37.16943,-29.444399,274.0283,106.806496,126.82264,5.0035863,21.138668,27.115202,-17.52838,-82.2088,-5.929746,77.107475,-54.295105,317.3566,1.4181445,-32.35826,12.551303,153.70233,337.62216,-18.573044,292.2537,98.49178,10.663953,9.79471,5.944339,108.966225,10.7800255,13.522674,23.305346,120.7796,-22.352848,468.13672,199.64941,43.352097,-55.353428,141.44498,-4.943221,26.329462,32.591946,422.9496,-0.6753505,73.65753,-17.38965,99.67894
29.235289,-3.3047726,55.20258,-31.526833,32.183025,311.0799,111.493195,127.26828,14.944485,67.26764,34.825333,-25.018465,-33.087162,4.7767425,14.286427,42.03774,198.73604,0.7030036,-32.514603,2.40227,146.31683,291.02673,-27.418316,289.62418,-51.93388,6.8825493,10.13972,1.0678881,96.555695,57.99948,6.9623766,79.00249,191.2009,1.5043911,10.326136,177.3918,42.529373,-28.454544,129.92126,0.74687326,23.74399,-16.39559,398.33563,2.7779803,116.15077,-28.123154,96.57056
1.4278654,54.500156,47.402386,95.88325,-8.27852,275.93353,78.31456,1.0839174,-29.768501,6.7228227,42.07187,3.4639533,-50.029415,-31.057648,21.11547,-60.923588,204.79596,3.9903357,45.345665,-61.00353,296.22003,70.19141,-24.155045,301.83878,16.351696,7.7013793,27.567495,26.120424,97.04563,-30.585009,14.939065,174.43993,213.0873,52.369026,319.44266,102.17395,7.6609364,-7.5306883,89.78296,1.7126182,18.999086,-19.07808,636.53534,-14.277629,154.79163,41.967297,63.305256
26.424627,8.000572,73.354836,-30.092485,-29.32918,37.72903,39.248966,60.143906,45.077774,75.46975,-15.790818,-8.610498,-62.460514,-5.933106,64.40027,-1.606228,314.99374,-3.2815053,35.792145,-42.231106,151.94032,357.4472,0.6207153,237.2847,110.9347,6.9244165,17.362875,1.5889043,126.09745,-12.9823675,16.60654,97.91977,195.67033,-0.03219691,380.57193,121.75195,17.582874,-49.946518,111.71154,11.861325,36.613422,-15.865281,424.89865,-5.3028045,-26.381437,-30.469007,79.41051
