"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
13.370414,3.7070448,2.368485,5.774822,5.8429303,-9.922903,59.329224,-3.7959218,10.801494,13.204445,-4.968306,19.506378,41.186077,7.21837,23.03623,-23.230145,12.738139,-2.426694,0.696447,-3.9206185,2.2646165,18.289356,9.1227045,21.701838,5.6487446,-0.79019964,-0.47115228,0.34814525,17.92022,0.7589997,0.08468003,5.96987,29.350609,15.819639,22.684193,3.3803287,3.2320957,9.014933,25.12822,0.24981366,0.9511904,3.1179168,12.789627,-0.49038482,-4.2675433,-1.676815,5.8188252
6.3579955,2.6922798,-1.9821539,17.930723,4.6334004,-4.34465,30.484062,-4.0422378,16.863583,9.479103,-4.206095,15.587731,71.01584,66.54797,27.341837,2.2734308,30.811646,-1.1977981,0.093279265,-3.1251907,-0.83754337,14.7731695,2.654024,22.135496,0.71954876,-1.1103756,2.6976936,1.5414411,12.365761,0.8710658,0.4644604,11.006429,23.615429,19.803493,40.03893,4.5095162,17.931723,4.2844043,23.585922,-0.31564122,-1.6391674,-0.4186638,19.690123,0.1053789,-0.5592273,0.2627906,6.557153
23.63853,-0.122022025,2.7401314,17.50014,10.222978,20.647173,72.53797,-4.6880417,7.413213,3.6199505,-4.465604,26.642126,53.518402,50.09724,23.142544,5.6858406,5.587461,-2.1366923,0.90672976,-3.7440581,0.017446905,14.631238,4.9193363,23.401613,5.711169,-1.1205486,-5.039377,1.6044298,3.4147315,-0.54227114,0.17090684,10.823744,23.859081,19.17528,18.469656,0.85534567,11.664503,7.6074862,25.397936,-0.61192954,1.5588031,-0.90265864,10.961328,-1.3386928,-1.4361966,-0.75530344,4.6454206
13.0374775,5.0323973,-4.988363,13.160617,8.815889,20.33624,28.033455,-4.1669207,6.614168,9.237018,-3.9687865,21.378939,70.2861,55.147526,27.7113,4.499629,27.041246,-1.743821,-2.1240048,-2.2300584,-1.1368735,14.916229,3.6895175,24.977247,-1.4066628,-1.0319667,3.6960692,1.4010878,4.7353725,0.707136,1.2065012,17.424171,21.515507,21.326668,33.488846,2.1122208,17.051672,12.727921,25.608978,0.56204164,1.2779396,-1.2860363,10.291008,0.50871116,-4.4155197,-0.20629138,7.055475
21.373886,3.2909024,-7.194961,18.927076,8.261608,21.479029,59.948856,-3.7342913,7.610885,8.853274,-5.6088734,26.66681,62.87364,50.604153,18.779266,2.6195054,26.886684,-2.123585,-2.0736573,-4.2272453,0.7604185,18.550104,7.5322948,24.717436,-0.18835755,-0.8930223,-0.06674807,0.58221847,1.8336459,0.71591884,0.0056380555,6.783612,24.49974,17.762693,27.632185,-0.5037091,14.880445,13.577832,26.985903,0.12679134,-2.206131,-0.09529409,10.313059,0.19260782,-4.2201576,-0.99808437,8.581778
6.8926253,1.27868,1.4168488,-6.585935,5.5638156,13.77242,73.15859,-2.9952838,4.8413672,18.024038,-4.3491497,14.554148,55.354443,51.866634,21.435352,5.05108,17.91268,-3.0066411,0.14831096,-3.6363347,0.42209327,13.558891,10.155705,22.393818,3.7935307,-1.4113508,-0.7951265,2.599464,3.2630842,0.9684864,0.38159078,10.835451,24.105131,21.731907,18.910511,0.41929457,12.739938,-0.77071595,30.26082,1.2145875,-3.2648327,3.234411,9.774906,-0.82172877,0.95473343,-0.8276861,1.7628657
1.9358543,-0.3472074,-5.058821,-0.15085517,2.955289,16.558207,42.042374,1.7016289,3.2574415,7.4154778,-3.02735,-1.4565275,26.537397,14.846813,13.07615,-6.5957727,9.618466,-1.0467058,-5.255317,-3.4927619,1.2059753,28.198063,4.9222474,21.347395,-24.206,0.55803937,-1.7574558,1.0720931,13.697439,0.22898296,-0.08457832,3.412396,-11.313254,10.796356,-8.8588915,0.73894554,4.839243,-0.8567539,24.077059,0.37536496,-1.9878159,0.17380102,-5.882262,0.48953828,-0.9219927,-1.4451269,4.720884
-14.807999,-6.032492,-0.077088885,-5.6673255,3.3303108,9.405723,38.12659,0.34472075,1.9839699,15.339294,-5.3180447,-3.010335,24.768398,24.11005,19.755943,-3.5354123,7.052221,-1.0888613,-12.334606,-4.0655837,1.5229247,11.924896,8.397616,18.75552,-0.26263323,-0.79113597,-2.6791809,-0.36976632,8.776529,-1.7753037,-1.4281784,2.6201909,14.804124,10.82288,14.060031,0.13940065,8.605984,-15.537856,13.835168,0.7546938,-3.0758972,0.35113543,5.8160233,-0.7926814,-3.502117,-2.187743,-0.022111755
12.021673,-7.140043,-1.4301587,-5.995778,3.4488866,11.942729,32.458477,0.25968394,2.4960597,-4.2084103,-5.707015,-4.5421066,28.646097,33.75149,15.889909,-1.7401913,2.9742951,-1.7600839,-11.109282,-3.1726968,-8.816756,11.459225,2.0540519,20.67027,-24.517494,-1.1090001,-1.7731254,-0.25555634,7.1775837,-1.9909041,-1.5120691,5.5464373,25.81231,11.181164,11.821421,-0.68455786,16.548954,-7.9267745,18.677322,-0.6339979,-3.264295,-1.6511703,8.959082,-0.8156587,-3.548026,-1.4575157,0.6269359
-10.933415,-2.2074652,1.7414174,1.6931272,7.267727,7.085137,53.731678,1.7545767,-1.1132772,18.524511,-3.7754066,-2.3785372,20.915424,14.789626,19.924257,5.4608107,-9.1091385,-4.1013594,-5.414428,0.48453733,-3.8239555,9.828432,5.534179,20.537064,2.2082944,-1.4344345,-3.2538216,0.72286433,1.3244758,1.0393686,-0.12512715,7.4358244,15.369496,9.154214,13.323899,3.502687,4.9184895,-18.103025,22.584892,1.0351942,-4.157282,0.1853402,6.439156,-4.140708,-1.1827403,0.35720325,-2.9341085
