"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.060512125,0.026221072,0.04989787,0.25923276,0.2782669,-0.2736685,0.3136869,0.51729256,0.45224294,-0.0009392063,0.02813985,0.5539616,1.2460505,0.5760374,0.024978556,-0.131161,-0.017252872,-0.008960885,0.0062364484,-0.018204892,-0.26123217,-0.052817564,-0.008702121,0.4561504,0.16715814,-0.011864575,-0.053770375,0.005467226,0.121905476,-0.010835591,-0.0050503947,0.054692775,0.23740666,0.17506984,0.6166381,0.017331183,-0.012534841,0.8467231,0.02500625,0.045108985,0.075468846,0.009696717,-0.05089961,0.06316922,0.18671185,0.012075976,0.27969244
0.2272321,0.13596883,0.069362715,0.24944821,0.22234268,-0.06451551,0.24405304,0.5745555,0.37261677,-0.014757356,0.14610006,1.164733,1.0769619,1.3314534,0.011666776,-0.015962288,-0.0286424,-0.007143987,-0.01117351,-0.08190441,-0.04983931,-0.039557,-0.03126699,1.1396552,0.290527,-0.015774934,0.011806562,0.1373278,0.18592137,-0.001009843,-0.0028108705,-0.03978599,-0.07213714,0.11221227,0.7172115,0.04792845,0.16639973,0.41502,0.024112279,0.049045537,-0.0019911695,-0.068272285,0.3408231,0.05337738,0.03173957,-0.0017706312,0.28673434
0.10448549,0.0029024929,0.004892168,0.21167842,0.29367384,0.5060994,0.29395708,0.5846322,0.35070324,-0.1062473,0.16546014,0.9466121,1.51872,1.0732182,0.031845104,0.06336494,-0.031375926,-0.014304486,-0.01673019,-0.004955296,-0.06714669,-0.11233728,-0.063546695,1.0626417,0.2933985,-0.028073346,-0.026924303,-0.0026797818,0.115231365,-0.016813125,-0.007911861,0.107513435,0.2175103,0.17903799,0.5487096,0.03279884,0.044822104,0.7401905,0.032771472,0.0051137204,0.040035665,-0.02405419,0.2192945,0.022924408,0.013278587,0.012151475,0.24927498
0.10624213,0.061716273,-0.020113606,0.23780079,0.30123073,0.35286722,-0.07407782,0.5287659,0.40076947,-0.008886812,0.1489957,0.7842272,1.3735017,1.2397522,0.019696988,0.0065022,-0.026768506,-0.015459657,-0.019432079,-0.012359942,-0.046562396,-0.10864583,-0.028529217,1.0837375,0.41011313,-0.0068847537,-0.0055999323,0.0101215895,0.119352914,-0.0014683113,0.0033762306,0.15006885,0.20107903,0.14569624,0.59932756,0.017157774,0.14019856,0.6404455,0.021953216,0.009916191,0.03582966,-0.038467817,0.21399815,0.048142575,0.07243051,0.0033268789,0.21252178
0.14630222,-0.0050161825,0.023117494,0.31955487,0.27116692,0.30889988,0.27764586,0.53502357,0.34919778,-0.01865871,0.1273441,0.7546077,1.2943152,1.2339444,0.026488246,-0.012821995,-0.021636527,-0.013245964,-0.010582042,-0.023577329,-0.054420374,-0.08800358,-0.016184278,1.0577381,0.3809586,-0.006507154,0.006610679,0.0044737975,0.079879455,-0.01058724,0.0058787162,0.12378271,0.19036132,0.13922288,0.59275275,-0.038174093,0.10773991,0.67021364,0.01620563,0.014208628,0.039522447,-0.021033598,0.2285571,0.042335387,0.02523981,0.002379011,0.22534287
0.030234734,0.059737414,-0.009194819,-0.20852754,0.20727746,0.4841948,0.266932,0.24239434,0.28975403,0.056715157,0.22824386,0.73855156,1.3135796,1.196116,0.029763227,-0.018591069,0.009508186,-0.024404643,0.0032023077,0.011304348,-0.10434159,-0.071615726,-0.005490146,0.6582654,0.3853433,-0.006441995,0.013276098,0.00081574754,0.14368032,0.00047289443,0.0029836718,0.1518648,0.14638087,0.16050872,0.26321185,0.009449807,0.09658941,0.67077273,0.016151208,0.024470078,0.022699885,-0.020820022,0.19500282,0.06377417,0.07426533,0.010763705,0.24352917
0.07742404,-0.020451948,-3.259229e-05,0.010388392,0.1097434,0.5311431,0.1343152,0.28740886,0.1055238,0.008137594,0.18894969,0.11289042,0.19647123,0.6076464,0.011815502,-0.028899675,-0.00076327863,0.008165204,0.034112837,-0.008130969,-0.4213121,-0.12235148,0.0039278376,0.41953805,0.2552491,0.024215925,-0.088944905,-0.0008822269,0.1461837,0.0015997677,-0.008041414,-0.008249627,-0.045810755,-0.015591138,-0.010323121,0.028872104,0.12462581,-0.07995458,0.021619203,-0.040783018,-0.03052074,-0.0094611775,0.032778487,0.07532921,0.22787182,-0.005869097,0.202211
-0.09284387,-0.014901725,-0.0022709612,-0.055849195,0.16331248,0.42415524,0.15025853,0.2368322,-0.033316,0.085381225,-0.02372099,-0.06277469,0.11321693,0.53804135,0.0077253995,0.005441682,-0.04746922,-0.008233448,-0.023768814,0.0076534664,-0.07491104,-0.13952129,0.013724775,0.4276537,0.3297012,0.00031816465,-0.0168125,0.013445347,0.14552724,0.008102643,-0.003602885,0.022341538,-0.035935648,0.043285165,0.15969081,0.06277276,0.1687565,-0.04545843,0.16503759,-0.002799685,-0.0058184094,0.09609867,-0.008934887,0.08936551,0.051995955,0.004066117,0.20942074
0.058606144,-0.0068083797,0.009344231,-0.18465649,0.15877065,0.26658612,0.18774952,0.2088959,0.2274147,-0.05730628,-0.044455223,-0.09101575,0.09257,1.0286038,0.0055516823,-0.040119253,-0.054320194,-0.00418166,-0.022349942,-0.0030732546,-0.07521604,-0.115240455,-0.025600353,0.41279694,0.36215672,0.0021570052,0.05362106,0.046498653,0.10760882,-0.006737919,-0.020365832,0.0030105775,-0.10051667,0.032244366,0.15451783,0.033930756,0.1119482,-0.15574118,0.0014990559,-0.012905798,-0.0052476064,-0.023073012,0.15607186,0.07630715,0.16009986,0.00807982,0.12840173
-0.13426156,-0.004084855,-0.08360176,-0.1049038,0.17342241,0.36393633,0.026399512,0.28951442,-0.00197724,0.07257116,-0.10790879,-0.0072159646,0.0018711182,0.55905735,0.03655642,-0.0109602865,0.017257646,0.012896631,-0.05063232,0.040512193,0.6934985,0.036060087,-0.25638285,0.49576345,0.11880203,0.0015630675,-0.037581418,0.023998767,0.080126606,0.014914912,0.007598408,0.12007917,0.11727496,0.1034642,-0.01942267,0.045927774,0.1212841,-0.049239896,0.006124843,-0.13985942,0.05957567,0.14944014,0.058231067,0.10357569,-0.025151594,0.00066034397,0.12336729
