"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.69525135,1.777169,-20.975182,7.2612696,4.2672095,9.658114,0.11098345,25.531527,10.0418825,1.5856084,3.546943,10.691487,1.2073199,31.499392,6.8163457,-21.292482,-3.5069814,-0.3438318,-0.5061755,-2.840806,-6.4535036,2.3562922,-4.2810016,36.26946,-11.80203,-0.45411715,8.62049,-0.8452303,0.16027422,-1.3401716,-0.25277248,0.960527,2.3063095,3.0603836,-22.149866,5.603013,4.907787,7.471262,1.2503974,4.1507044,-2.8129358,2.8782666,9.822132,21.789518,31.266499,-7.012585,108.26322
1.8216987,1.2700094,8.744398,6.901803,3.4895973,-12.362558,9.409742,27.00312,18.659565,-1.541688,4.767922,9.9750805,2.7167451,28.678661,5.450336,-8.294943,-3.4196815,-1.7578659,-0.0037389547,-8.433933,0.9229233,1.1473452,-5.1559258,35.671825,-19.854134,0.048757732,20.605589,-0.5036064,-0.46425173,0.8919856,-0.9010122,-2.8184893,0.17603597,-1.0505811,-14.058455,-0.2434572,2.046655,4.373096,1.2305428,7.229141,-1.8836344,-6.4843345,-1.2417043,21.003061,30.75703,3.745321,103.06773
2.1345825,1.9163855,-14.707566,7.9334774,6.58873,-12.952511,10.418401,22.047003,14.573525,-1.5021539,4.7278914,18.91191,7.666782,33.451504,5.8183646,3.5285928,-2.8925545,0.41671667,0.72497195,-0.015443367,-5.1031356,-25.430595,-1.1034501,38.73777,-9.876456,-0.3825877,13.25496,-0.7135607,0.49642146,-0.48163986,0.022187535,0.39597622,4.257056,4.84006,9.621014,1.3981224,3.524164,9.425177,1.7014296,5.4935665,-4.42939,-4.6422615,-6.276369,20.10658,-11.216455,-8.082769,95.382835
1.5579327,1.7075857,1.9349934,7.371934,5.2933197,-8.987993,9.409178,25.44074,13.935694,-0.06116777,3.8262827,15.234403,0.37974775,34.031826,5.843744,3.1661038,-3.3113027,-2.0909047,1.2296281,-1.4467735,-4.7332234,-0.98075014,-3.8491437,37.869144,-19.08593,-0.39581588,14.499728,-0.025145605,-0.06643857,0.57864016,0.18870962,-1.1648878,1.9182922,3.4254408,-7.7635326,2.2370183,1.8594241,5.1944633,1.2870089,6.307438,-7.879288,-7.2751875,-24.443758,22.051332,34.702328,3.6719327,98.87884
1.4704924,1.418512,0.3812781,6.6404505,5.5078225,-9.179531,8.847373,23.929213,12.88118,0.18568428,4.436019,12.847167,1.1809767,35.10805,5.6904616,3.0439858,-3.047504,-1.255033,1.7475466,-2.4307559,-1.7047505,-1.4408189,-4.368823,38.696022,-20.760744,-0.68051636,14.692005,-0.39376304,0.124273114,0.43526772,0.012521309,0.6310177,2.1505075,2.422216,-14.400535,0.7048451,1.6052845,4.538776,1.3379035,5.8613925,-2.4239297,-6.7306557,-16.807886,22.844372,34.8639,3.3327725,97.61073
-8.069472,0.84058166,-6.3482904,-3.023303,1.7249845,-17.862806,8.697549,0.3498881,13.295765,1.0577953,6.5476413,20.266472,1.2064971,31.426384,4.4590197,3.7548852,-3.5825808,-2.1951087,0.9092267,5.6934824,-6.6827273,2.4941795,-3.692251,37.181084,-16.621569,-1.1969854,12.891321,-0.5681933,0.97408026,0.55667526,0.0659166,1.2972502,3.3589702,5.468154,-15.716706,4.320127,2.8543532,5.0108347,1.1191854,6.643024,-8.39334,-3.4429996,-9.173321,26.984835,48.75685,-11.565931,93.548096
-1.3252476,-6.0020556,-2.0083365,2.8224387,5.2402616,-44.113316,4.542499,0.1479332,11.357521,-0.08050597,3.5514379,-3.0710144,-1.6622494,29.282444,4.1773934,0.6715735,-9.235752,-0.5151602,0.458155,-2.3491523,-16.137892,-32.43945,-6.5111184,33.47099,-22.611727,-1.6349063,22.536392,-0.6267488,-0.42225313,-0.24642761,-1.2227764,-4.6652703,-3.9512787,-4.5622015,12.182134,-6.636018,1.7864109,-3.171542,0.35461575,3.2600484,-8.016796,-3.1100655,-1.6325805,25.602543,48.489925,6.597289,84.03474
-8.894164,-1.0306308,-29.047588,2.6184213,4.7770376,-20.986376,5.836792,1.0994542,13.32655,2.020641,1.1887996,-3.2742698,1.09313,26.8642,6.815074,3.0744534,-7.7466106,-0.038939893,1.859319,-1.2291592,-16.682417,-21.684195,-9.1702585,36.42872,-22.954367,-0.79138905,15.481463,-0.8692255,-0.4172,0.7596101,-0.83413696,-3.391537,-0.35185635,4.104698,-11.337558,-0.101316646,3.3594823,-2.7028682,1.4998353,3.9271576,-5.5686784,1.6832262,-11.165747,26.588215,43.269497,4.206788,80.97263
0.5978571,-3.772945,-30.412882,4.493167,4.2000375,-12.813965,11.010644,17.213434,14.81554,-1.4461713,-2.9664075,-2.080785,1.8744634,27.077066,6.742377,3.5368676,-7.7841377,-0.074549586,0.38789397,-1.2236755,-17.819489,-20.813364,-9.511436,36.96841,-18.982107,-1.6397723,15.507407,-0.61177266,-0.36749074,0.710214,-1.0402744,-3.2620885,-2.7185712,2.1579304,-8.925736,-1.6895214,1.9714965,-3.844897,-0.23685192,3.1342926,-5.0995812,-3.5939157,-20.072514,20.97766,31.79514,4.2775207,86.08126
-7.041714,-2.39105,0.6866377,-53.853477,1.0629076,-16.789501,6.200929,-12.727747,14.394841,1.0390396,-9.830813,-1.2345822,-2.6413324,32.388405,9.968048,2.2719553,1.0482074,0.39983872,0.04080018,5.733686,-7.944158,-3.524459,-3.7886114,32.85902,-14.653081,-0.16260898,5.293223,-1.045486,-0.4006173,0.40661836,0.15256906,1.3691136,2.6395335,5.261499,10.837595,-1.3190391,3.544176,-2.91253,-0.78970283,11.336377,-9.72744,3.0990715,-10.199661,23.097607,33.279232,-16.899883,83.79968
-10.09681,1.618197,-0.6256997,4.43238,2.3144019,-12.8495,0.9479562,10.954287,23.125061,-0.61260265,1.1843163,-3.2395377,-1.9944161,29.300806,4.2862563,-14.541994,-8.747794,-0.15697858,-0.19365077,0.43197227,-12.158579,-19.93124,-9.107065,33.071663,-20.951622,-1.411126,16.334135,-1.2233407,0.70544803,3.1186635,-0.61266863,-4.88762,-0.36942866,1.226039,-14.67862,-1.5101992,3.5134888,-4.8229175,2.7910738,3.688663,-10.503316,-3.7694273,-29.364098,24.022112,40.29476,2.5513923,91.21126
-3.2239254,0.6268731,4.174277,4.713332,2.3068647,-0.7211506,-2.1768932,16.427256,14.65864,0.72696793,3.6614935,0.17235236,0.75576067,31.996824,5.72491,0.87236524,2.4758997,0.7625246,-0.58107233,0.5167338,-0.9943188,8.635585,-4.8209453,33.65265,11.320278,-0.19316712,18.318731,0.70034057,0.34440944,1.0521232,-0.21614796,-0.52069247,0.74715877,-0.33238453,17.325054,0.7226004,2.3813655,0.25007486,2.818353,6.948656,-2.1035933,-4.44238,14.090792,28.738546,44.78532,13.077225,114.61466
-4.4200387,-0.995135,-21.799025,-0.6264685,6.4496365,7.44703,16.972342,9.521841,5.897278,-1.4813007,13.058853,-4.0405345,45.571854,35.901424,7.1374683,7.865827,4.6926475,-0.011799822,-4.3686976,19.20142,-0.60752857,8.967954,-18.394547,21.274284,14.655469,-0.49883756,10.541217,1.1566963,0.2713043,1.0265281,-0.2788118,0.499626,3.3069184,4.2197423,-10.040491,7.3565636,3.769653,0.72778344,5.289996,8.109004,-3.6433024,-1.310881,14.88706,27.085995,34.56344,5.698552,110.46244
