"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
7.1599803,15.939658,29.217,89.34094,29.841494,-16.758364,-6.2135396,-41.417286,-33.73628,-5.759429,-29.082567,64.661674,108.847374,44.995174,52.787983,-78.14491,17.362772,3.7428176,-1.4802322,-14.000633,-11.287181,20.457705,1.4831554,-21.57582,-35.92573,-0.648824,-29.483238,-7.719311,3.0789433,-5.2217855,-4.4985123,41.02607,49.738827,-8.12531,215.69357,-2.092339,-6.937916,79.48003,79.63137,-27.79222,-29.187107,4.4347944,-49.103672,3.4380891,-5.489073,-21.321865,-20.865673
1.6763036,6.138695,-2.9952872,153.88116,37.20552,-17.117966,-14.726544,-51.131042,-22.563374,-16.877665,-16.072592,89.26517,77.1605,68.91863,18.8968,-19.0463,20.02448,28.011404,1.5380857,0.46796623,-5.636396,5.579192,-11.585395,38.060543,98.02082,-0.9604921,-22.453257,-3.2731948,-7.465734,0.7106439,-0.9415606,-29.46635,-38.793835,-0.50635403,151.34651,16.84353,11.749918,-36.141422,85.42381,-8.437689,-2.6366165,14.616981,-47.320374,5.21584,-2.1342313,11.285926,-21.579681
6.88241,13.039147,24.86189,74.869354,1.0953244,-36.189686,-4.8359785,-72.27677,-24.118347,-8.94322,-25.215794,63.28081,125.94296,39.508198,65.76716,9.778478,12.362032,3.35822,-3.0805442,-19.44871,-25.963701,13.52543,-4.827378,-25.681402,-12.488123,1.3545612,-22.62334,-9.381007,-8.943441,-4.294643,0.9579402,70.28977,39.13223,-1.7540276,178.55331,-4.090576,-8.261132,89.86012,81.66243,-12.801737,-26.452883,4.436727,62.382027,-0.47842744,-15.396473,-26.594477,-36.368034
11.116563,19.25193,18.377573,112.65227,14.27006,-36.48704,-14.138,-55.771763,-26.51083,-10.215351,-31.74336,72.881065,118.44374,45.334866,53.689625,-15.40547,14.8897705,0.6532425,-7.0066466,-16.430626,-9.143138,5.9535484,-0.9778955,-22.695747,54.113728,-0.083457805,-23.413698,-13.724104,-6.5107045,7.268262,0.5596938,44.76818,33.18391,-18.495617,166.83217,-4.4439907,4.9542503,64.27573,89.920235,-6.512814,-8.135307,8.1566305,5.73913,0.5915413,-20.924606,-31.221094,-45.86858
11.852215,17.66286,16.64119,92.64368,25.601713,-44.115,-5.170506,-48.890717,-27.881195,-17.188742,-28.165531,77.45251,122.66603,42.32265,54.31705,-15.448935,6.376041,0.90574926,0.013838776,-17.587517,-1.9423153,0.5884465,-3.0319986,-23.986193,55.907543,-0.8347211,-20.987108,-4.7615414,-13.503555,8.271212,-1.989042,36.615826,21.008091,-17.988913,160.42706,-1.9052573,5.7741613,74.40197,94.54893,-3.9817057,-18.890078,9.113701,10.03807,2.5711913,-16.874678,-23.27617,-47.698498
-7.448198,22.751583,10.887697,3.142812,56.55167,-43.82533,15.369877,72.642204,-54.9837,19.713238,-57.849358,102.689896,148.4509,72.16428,50.712307,-10.931352,54.004917,3.5435543,-2.631382,-22.733229,-5.9576206,-4.4047065,-6.6709166,-52.484184,51.657104,0.9370314,-44.992188,-0.74252427,-25.686361,8.880665,1.4461913,64.547424,55.973335,-6.549434,237.98079,-0.4647412,-8.468147,87.88904,90.91115,-1.0204371,-12.624244,3.754931,17.980602,1.5160741,1.2345524,-26.292128,-34.231796
-0.79749614,4.4009175,-8.92204,-105.533554,-5.1636786,-90.974884,-10.0699005,-3.3029299,-15.960872,-9.326697,-60.409817,-8.396011,106.36656,46.14529,19.861671,-11.490548,-24.798588,5.3638654,-26.924795,-15.378575,-7.274145,-48.99365,-7.1257577,-25.987446,94.513794,-4.9677777,-99.12471,-14.029469,-52.78299,-20.192633,-10.732209,-48.172985,-91.3382,-1.6667079,-159.30367,-19.118002,1.7121022,-76.0165,37.732063,-67.88314,-23.473112,10.052281,-93.68838,0.2726895,-6.033715,4.060829,-32.295013
-17.58092,-22.64738,-0.15211932,-115.70677,0.4917102,-117.85006,-14.317411,-12.150039,-71.285255,-6.094105,-14.792642,-11.148051,60.404663,2.342974,21.488934,-16.610603,-6.801877,2.165232,-13.940928,-21.43295,-30.568888,-70.68703,-22.811506,-60.025665,21.60361,-6.8902173,-48.928528,-13.347758,-49.9143,-0.12777935,-8.684747,-42.29804,-72.50294,-27.398615,-161.24521,-77.18612,0.6285838,-110.88535,41.307022,-66.05649,-31.687277,6.458681,6.3668084,4.8261724,-28.07086,-37.25392,-66.29469
-3.4888756,-3.5973926,0.12610418,-124.79686,5.0446987,-93.77802,-11.642891,-53.28298,-71.63457,-19.326365,-27.245283,-15.318082,45.315994,15.284867,19.70211,-21.205145,3.7531831,2.2972255,-17.33842,-20.88258,-59.822983,-36.535183,-18.554415,-29.187494,26.84964,-17.050087,-35.129635,-18.84998,-20.335892,-12.531881,-27.9715,-47.248634,-69.43178,-52.77141,-286.277,-22.991356,-2.4628794,-98.76078,26.686543,-55.178616,-28.704512,6.914252,-1.5864863,-0.42413008,-29.063482,-32.227535,-57.16546
-3.2518678,-6.785955,1.502514,-59.308697,43.01313,7.5533566,7.7841463,-6.458206,-84.3192,-9.299876,20.728964,-7.954041,61.663315,-0.14718902,66.399284,6.1987863,28.856323,-11.094434,-16.382366,-30.453985,-39.764763,20.63629,2.1280966,-33.891815,46.692642,16.964888,-33.654846,-7.899727,-54.24958,7.703789,1.5268506,20.530325,61.503384,-7.9384284,184.16861,19.900782,-2.6182609,-97.39887,83.75959,1.7259134,-56.56354,-16.467216,59.611977,5.17731,-1.6630468,-53.153656,-88.05462
