"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-137.88214,-102.355995,-38.947887,8.510529,-41.21986,-5.8962398,10.6617155,203.8555,230.51308,-10.522321,-54.715683,-1469.7865,-28.464518,174.55959,-31.773714,30.863394,-35.297054,-18.609913,3.0497947,3.1535585,25.81833,163.36879,2.2703793,-269.88245,-45.916504,36.99323,122.68111,-36.932552,-249.41899,78.16196,-20.178736,-320.84015,-66.89492,68.985825,-111.22156,17.713703,373.1994,-229.98854,157.81651,184.26213,-39.277493,-51.759487,-172.33766,28.122446,60.435013,-24.36372,-44.445766
-139.70634,-92.37724,-76.40342,14.098927,-53.052135,-56.44961,-121.31938,62.73884,211.2299,-58.86934,66.02694,-1215.1586,-450.2607,-207.67381,-31.468111,-22.628094,35.871662,-3.5531223,23.594978,20.957127,132.90186,153.81651,-2.1671178,-555.78796,-136.34938,30.140957,43.876568,-55.930218,-91.97823,3.1280954,-31.215864,87.73507,-51.9269,-36.94925,-115.09012,5.4496455,276.06348,46.02058,171.01978,178.95563,-66.10952,-10.050055,-198.48004,53.135666,81.70386,-39.797237,26.734873
-228.85683,-116.70695,-87.83981,17.44484,-30.319778,38.91741,20.210688,277.59628,220.96536,166.72243,21.791857,-1418.3391,-498.8034,279.22925,-30.899338,-145.74306,38.1252,-21.621553,15.18963,-32.129128,12.298205,214.85771,7.038231,-160.68887,-54.448837,-130.1559,124.40893,-28.930017,-260.79642,43.920795,2.3325586,-223.9222,-56.269318,46.975563,-243.61249,7.1497297,263.06747,-44.38889,119.113686,7.050426,-34.931587,-16.773726,-155.14507,-178.37561,-60.402485,-34.533833,-101.30616
-194.94815,-133.79417,-49.405437,22.329342,-23.629372,18.677464,-132.25633,119.76344,165.00874,-99.91062,2.9344566,-1296.2765,-518.2624,-20.974466,-29.018316,-93.03605,56.000317,-13.44337,99.32994,16.569464,83.895164,185.22697,8.192467,-170.02055,-109.99934,15.487386,79.187546,-44.07185,-192.95416,27.437048,16.779028,-137.85428,-31.997374,94.01433,-63.8839,12.948068,244.18217,34.26249,86.16413,71.67772,8.422886,-29.0855,-137.78699,-125.68315,57.458614,-31.520357,-41.90822
-209.85966,-101.486565,-67.28531,21.435865,-30.967093,-2.1231341,-16.481152,265.93234,166.68256,-95.57613,67.7835,-1253.1675,-530.1285,-2.1399508,-28.617844,-80.856804,-61.628506,-6.983656,83.86651,44.68606,10.054751,212.39824,10.422723,-118.57239,-114.35598,5.9534297,95.06878,-89.19828,-168.6494,27.242754,8.994946,-196.96396,-46.28459,53.78139,-97.64693,6.699335,283.5639,-101.95673,87.246346,75.07604,-102.49889,-9.036079,-113.235596,-125.38922,100.15951,-34.954266,-18.741266
-231.70628,-94.28781,-42.757893,20.317059,-11.913859,95.32039,-16.051388,223.85965,278.71017,55.933296,-9.215169,-871.64087,-214.29704,267.42874,-69.7187,-132.29942,61.42918,-21.019684,93.399956,-9.803449,113.49753,279.10324,15.31646,-360.00546,-131.8129,44.59508,87.9054,-18.056858,-208.37425,-8.296702,20.019295,-143.10782,-105.818,40.861668,-71.160126,13.572216,329.9977,25.036545,189.93803,215.5078,49.577087,-103.06517,-114.08795,-130.50655,117.17492,-24.194714,-56.6315
-119.66883,197.0851,-106.2796,16.890995,-44.891933,-82.58016,403.0139,413.622,449.4011,45.948994,10.101345,77.3825,42.260056,306.41678,-34.63373,-29.793703,102.98265,-23.50312,33.785503,237.21617,95.20884,157.46909,17.134119,-104.18209,-185.08524,-56.264023,-60.180492,-33.911167,-158.71664,36.959515,-50.64478,182.5324,-39.662064,-59.57811,-53.330467,15.778175,670.37805,-13.669811,234.88577,342.35693,-63.273438,2.598088,-74.21005,138.4417,113.01126,-3.7480447,67.710625
98.1068,131.0459,-47.025726,-2.8699,-31.785152,-29.665434,424.53854,325.05072,330.59027,28.059404,25.941456,131.83138,70.67251,292.49362,11.769865,-68.83487,38.71016,-11.945999,73.600204,42.95808,-256.2519,370.03955,-5.420012,-62.52523,-120.895905,7.0142612,16.280779,-10.792201,-117.03706,35.630116,-88.16418,184.25696,72.50635,-52.765987,-20.314934,10.843505,603.0589,15.169472,171.50853,267.16098,55.158417,-3.1295104,-68.24243,108.63203,95.97294,1.8471149,-32.101532
-49.5273,95.517166,0.14180505,25.706482,-23.520966,64.58438,82.45495,370.13507,361.42072,85.11982,44.527195,107.46719,222.8931,373.074,19.835863,-59.748337,61.88983,-14.809175,85.31286,-7.5362296,-284.7164,435.75977,1.4275689,-3.3932786,-255.10973,-70.2295,35.789047,-10.303412,-132.65816,56.92942,-18.225718,164.44293,67.23037,-18.202854,-4.1490197,19.633776,535.9444,-13.889133,181.41177,372.36536,74.11316,-52.386784,-114.21156,75.74126,90.982376,12.191846,12.353917
252.97438,282.6708,-44.444725,-64.12396,-26.094519,-6.0075674,282.4731,306.1357,246.56056,55.537514,-11.952656,151.96468,-14.731005,310.84464,6.2403145,-66.32198,45.275097,-11.957732,14.422633,-135.85362,-63.77267,244.63417,-14.22757,-0.1425399,-35.107216,53.982723,87.92779,-25.072067,-127.97073,48.02524,-4.6969132,-126.45592,38.31054,450.4848,-25.381409,-7.519518,506.67972,54.22598,224.85376,237.32956,83.62259,-39.54318,-73.39944,71.31049,-38.6166,0.47378358,-79.63225
