"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-67.87767,-47.32379,-14.444359,-146.97044,-174.53242,128.54071,-861.29095,-22.050098,-897.0663,-202.96465,-162.01099,32.508846,-214.49692,-332.3071,-358.0673,-75.87299,-5.446795,12.146346,84.06687,379.97833,-147.40529,8.641758,79.05895,-611.2302,37.892376,-4.0141764,42.84435,70.2161,67.123215,-8.646417,43.187172,-70.30436,-106.01418,-139.3106,-230.82556,-54.713467,-9.694978,60.40797,-25.09107,30.016386,67.103645,-29.3726,-135.85704,-20.82949,-51.859108,52.233364,-0.1486042
-80.11566,-69.522804,-151.72563,-208.16066,-336.78812,-200.09026,-342.063,-95.6957,-872.09515,-118.230545,-223.5414,-11.863886,-319.7949,-453.66443,-262.3687,-54.263626,-39.35328,28.680517,82.91329,505.18924,90.65913,5.763305,126.10312,-413.66568,28.075953,0.7130091,50.164467,30.741667,60.814842,-78.13097,-12.594334,-120.51215,-6.7544327,-149.61395,-344.9208,-7.0916195,-22.98492,52.335964,-101.54714,1.5457976,51.03954,-185.875,-223.41997,-17.261406,-85.63673,41.309788,-231.96346
-1.7476922,-57.18151,-49.874336,-144.64645,-163.38083,-219.69293,-1098.956,-25.004719,-739.4975,-369.3414,-240.15495,36.304325,-230.45285,-371.29886,-399.37057,-35.307117,9.981459,-5.6150727,13.230194,174.6475,-28.195938,-23.681734,110.44358,-423.9335,15.872847,-27.195099,35.141083,49.34624,75.12651,3.7603242,-2.8574083,-62.038605,-195.1806,-106.26102,-194.09721,-57.12973,4.072869,69.6864,-31.4058,13.637767,52.868935,-84.00729,-75.02763,1.591847,-29.103125,31.755375,51.526855
-99.49511,-82.054344,-118.75482,-154.25642,-190.72974,-176.07542,-151.8193,-92.80217,-616.236,-120.278854,-136.47372,8.572208,-295.96902,-263.25906,-284.61755,-87.75793,-21.046207,2.6084437,-397.08044,353.7389,-77.68598,12.864818,112.10914,-506.25925,71.96071,-29.711864,41.075813,29.541779,77.35007,-2.2706463,-2.8837793,-158.9019,-226.04617,-66.48787,-218.03946,-89.47023,-4.6478953,1.6260037,-83.5886,41.834023,64.32073,-131.14786,-233.9803,-32.194885,-90.07035,-8.513386,-252.09492
2.0223947,-36.900738,-78.22303,-151.87524,-178.86223,-129.47665,-860.8361,-129.09067,-510.96674,-303.2498,-249.79933,20.304089,-254.55174,-278.17865,-367.8887,-63.180443,-11.178497,5.425044,-420.86057,350.21277,-77.90738,76.500114,92.476494,-413.0023,114.70745,-18.660906,30.463383,22.891298,79.52166,-3.71536,2.1021698,-105.991066,-238.60802,-71.84478,-195.4327,86.796555,-6.387201,31.61267,-1.1933489,49.5363,63.02559,-105.41802,-99.807144,-28.735245,-49.330647,2.6023219,-273.4197
21.748646,-32.537205,-95.80567,-19.482292,-114.51201,-175.5098,-680.23486,201.51917,-638.783,196.7056,-150.37463,83.63116,-179.94093,-277.59543,-344.85822,-26.370977,-16.537397,23.984549,-315.8576,240.84799,-32.812073,13.931896,87.96429,-621.83453,140.73692,-5.9408917,25.885015,26.29345,82.0845,-5.6032133,-0.45391357,-134.86829,-172.98251,-47.55735,-158.1301,-38.64114,0.3232625,39.78207,0.9477512,44.105164,31.634,-32.32018,-118.53943,-12.335065,-47.092525,47.710907,-26.920897
10.295826,-29.384897,-129.55266,-102.13699,-183.51344,-238.80235,-893.3561,149.21771,-556.29926,-282.44336,-59.48431,28.150965,-119.77206,-315.86874,-295.30457,-67.72036,-10.801737,-0.0483798,-413.29007,432.1237,-106.10797,-20.017351,105.54889,-435.52982,132.1785,-35.986862,-11.395161,30.921616,68.57382,-13.830476,-23.20127,48.795464,175.89328,-32.708977,-37.161655,135.9083,-21.963093,48.279392,6.3913856,0.4836352,46.598392,-86.04699,-79.33856,-17.32658,-35.790855,69.43283,-312.87994
10.688884,26.360435,0.09334628,-69.19719,-164.58882,-274.76495,-764.6309,200.23727,-516.41437,-217.02737,-35.542366,42.886913,-78.089195,-321.61856,-324.3265,-56.424088,-9.971178,-6.400928,-461.30478,275.41788,-135.04306,-21.130844,121.97469,-538.8766,96.36126,-30.945454,32.98465,39.007633,81.218124,-10.220615,0.13724883,-49.868214,187.82617,-134.82353,-168.30812,55.88006,31.496517,3.82776,-2.6856327,9.890243,44.08858,-56.17998,-48.304474,-30.397223,-32.321266,50.48458,-229.8413
35.846584,-3.6041236,-3.7152753,-82.5213,-204.20277,-322.8177,-571.8816,164.19421,-472.85684,-218.3604,-19.04713,11.658028,-172.53613,-282.0372,-340.29996,-56.850304,2.9341633,-7.2717013,-479.24268,272.88553,-83.68527,-51.463833,136.36917,-542.73315,194.40965,-42.92499,100.132,16.609709,74.2295,-3.01731,3.9397702,-84.21483,166.80353,-162.37834,-153.40167,61.405106,30.70592,-11.811391,-56.303898,-2.675686,35.814354,-20.751196,-24.31122,-26.753422,-42.31221,38.16793,-279.26263
33.031185,12.495621,29.186556,21.567781,-174.43384,-190.26266,-1108.7833,104.29434,-615.6379,-299.1141,170.56636,22.47612,-94.71471,-197.18825,-371.1334,14.5397005,-37.4891,13.684238,34.04958,-220.48656,-267.04288,-30.339869,118.19241,-484.66714,109.42586,24.346111,53.08792,65.96409,96.3562,-20.252224,1.9082048,-159.84178,-131.75261,4.507928,-102.561874,-6.3688083,7.180998,68.556885,-29.636824,-1.0313815,58.629,-164.97899,-56.522644,-7.047706,88.51367,50.126606,89.99437
18.812658,-58.9438,-122.98088,-118.05498,-251.32285,-119.029526,30.03764,308.40024,-498.4475,-133.40907,-56.185547,25.821314,-144.32127,-333.75226,-293.70685,-127.90019,-7.440047,6.253776,-516.2647,248.60846,-136.66089,-18.410637,93.53083,-477.01636,70.37264,-42.402523,16.599476,35.07311,45.399246,-102.47725,4.5525107,-86.09261,213.65086,-45.10862,-316.67825,109.36488,11.636777,63.563004,-79.09431,-14.855076,59.84049,-112.09787,-152.57153,-52.99354,-89.646866,6.303096,-337.57913
-3.5209942,16.80607,-199.24776,33.86921,-135.44272,183.35149,637.3467,53.12414,644.9303,60.44591,1.5511926,65.84773,-101.64551,-343.56183,-235.89626,33.249077,-21.359116,21.379293,214.48257,286.60416,148.42703,107.34109,67.02767,-171.33086,-48.97551,92.18594,78.55233,62.208115,-34.798847,-10.930327,-9.609954,7.254113,185.79686,-14.804657,19.490011,-49.305706,25.327728,18.968237,-45.306366,-43.115566,17.910278,-133.06555,187.18034,-71.293755,-53.581448,66.98352,-95.63386
-11.14598,-37.347546,-36.33977,-2.7287943,-95.23484,3.4878626,206.6147,61.560726,756.45,151.66806,-83.01654,2.920144,-233.78088,-337.81897,-236.33441,58.727203,50.82126,-0.67536664,361.6512,186.54399,-18.233976,42.417137,152.1153,-313.4426,-141.1755,58.31574,96.916306,33.147575,-9.013493,-7.677508,-21.366161,10.422619,-151.20808,-38.86874,-228.11339,-81.26281,46.339745,18.441412,21.608,-101.02218,95.6319,-52.608135,63.20339,-16.686472,-64.649475,65.003044,778.1761
-3.5230396,16.933695,-197.9114,34.333267,-135.05826,187.74919,639.10583,53.018867,647.86017,60.87052,1.5338547,65.60637,-102.44915,-343.34952,-236.94263,33.44725,-21.526875,20.24269,214.50128,281.58975,147.87111,107.347626,67.043945,-171.6788,-49.853146,91.74925,78.527084,60.099564,-34.551052,-17.868727,-9.634302,7.355311,187.12144,-14.663524,25.352577,-49.09616,18.433441,19.340525,-45.295967,-42.891586,17.754726,-131.76422,188.86446,-71.28806,-53.629086,67.021645,-97.371124
-94.460686,-26.01411,-150.32965,42.69715,-136.25188,214.2429,622.3826,58.672707,200.23717,83.05179,6.253049,84.38139,-113.65756,-334.18265,-220.8973,50.428066,-51.342804,-18.279802,183.06978,245.96565,175.57425,109.09022,59.93541,-275.57086,-27.375147,90.47889,82.22766,29.589142,76.49362,14.25344,-0.73888725,-9.30905,189.37416,-23.304949,6.31989,-53.732826,36.5396,19.371248,-16.822195,-21.394733,24.686691,-132.65271,207.21713,-44.51746,-55.42258,66.98938,-114.80561
-3.5218675,16.542934,-197.82669,34.576508,-134.97789,187.74919,639.79395,53.301773,647.52484,60.454556,1.5366508,65.602394,-102.44958,-343.34952,-236.20493,34.558403,-22.58359,16.910288,214.4874,281.38367,146.85008,107.347626,67.077324,-171.60138,-48.747738,92.22702,78.61229,60.438793,-34.771633,-17.967802,-9.602012,7.2804146,187.1443,-14.951765,34.691868,-49.136684,18.177162,19.340467,-45.295967,-43.11488,17.754726,-131.76463,188.82378,-71.28806,-53.72658,67.16516,-97.371124
