"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-3.40753,-4.8478646,-3.264949,16.358118,7.893394,9.854099,-7.9547124,26.121437,-6.7450542,2.1713874,-5.327939,-10.595918,-0.6231636,3.485723,-3.2517343,-1.6838188,-5.2118526,-0.4531716,0.9040929,7.3542128,3.0045667,-28.496098,4.446775,25.591436,-11.418952,2.0802655,8.879006,-1.8186822,-4.794211,-0.33034855,-1.7637789,-40.653503,-37.240597,-4.042141,7.0863276,-2.6316884,7.789255,2.7068467,-62.52604,-1.6103536,-3.2257438,-3.6284575,6.088557,-18.223253,-13.31323,0.09327147,-24.470337
-3.75491,-4.0663624,11.264867,19.604471,12.271747,11.342351,-8.023773,26.61008,-6.007489,0.72150975,-8.146784,-13.208035,-9.401664,5.295562,1.4273369,-1.9887124,-4.8017335,0.030077368,0.58368236,9.964307,4.120408,-30.094828,5.254594,34.13665,21.12024,1.2091055,12.848103,-2.0191507,-7.502533,-0.5295796,-0.8352054,-15.719362,-18.817556,-1.2738476,-37.399887,-6.125398,-3.7009559,3.4082644,-62.285824,-1.8096782,4.470226,-2.0335274,5.052758,-17.480759,-21.516897,-1.9004799,-87.687996
-2.84954,1.8110425,13.71094,54.367126,19.464684,-33.37363,-8.491429,44.866722,-198.43436,7.4191217,-28.55238,-10.189132,-14.1564455,-6.423635,-2.4958909,2.8918276,-4.868302,-0.9298624,0.013468858,-0.38113877,0.45572904,-32.44481,38.145905,25.623545,15.865668,1.9441371,1.1455576,-1.8727814,-0.5347578,-0.74951077,0.14373113,-65.58802,-51.350925,-4.86127,15.233807,-1.6807109,7.2932143,5.124105,-68.25722,-2.173744,-4.9271917,-2.3207822,55.06694,10.555536,91.26191,0.2205672,-52.032906
-2.444173,-3.7712529,11.135438,22.064056,9.63153,-19.39663,-6.6814957,25.69354,-7.8477216,0.46110383,-8.71924,-20.10921,-5.767227,4.1347466,-3.7816079,-0.106001556,-5.213105,-0.6274282,2.4976678,12.760931,4.1758823,-36.291985,3.8613617,33.169064,19.095215,1.3626748,11.7437105,-1.894133,-1.1007746,-0.77178824,-1.82972,-42.78383,-25.24546,-4.2487345,-46.55077,-1.0606338,3.2327735,4.239494,-65.62499,-1.5282885,1.9821742,-1.9561849,50.71038,-5.116003,-17.288961,0.07619811,-71.043655
-2.4136531,2.5944407,13.063078,23.155186,46.256172,-19.765656,-96.70543,21.01894,-5.584121,1.6643118,-8.194674,-19.767006,-6.1540866,5.5072827,-3.5651155,0.22669306,-4.9660597,-0.6470643,3.7173593,12.673167,5.06304,-29.92002,3.8705423,33.244408,32.296185,1.490472,10.860709,-2.1653116,-3.4770606,-0.8530855,-1.6901935,-40.176857,-20.94629,-3.6756172,-41.92178,-4.521707,-0.10998222,4.910485,-66.207504,-1.4351982,2.92042,-2.489375,49.48064,-5.3972154,17.429235,-0.7417219,-83.86774
-1.5951474,1.937946,35.427452,-22.671682,0.08275764,-33.604443,-10.284981,8.276913,-1.13849,-22.484362,1.2668692,-6.554262,0.9039526,3.3526921,-4.0992565,-1.5515866,-9.957186,-0.9732055,2.3051016,-3.1733997,4.553283,-33.678295,-0.54469496,26.433577,6.461986,2.381113,7.019704,-2.2616203,-1.1171578,-0.17613193,-1.0732067,-49.51874,-113.09208,-4.576894,38.50117,-2.1780286,13.222921,5.357069,-29.913555,-1.550389,0.9733461,-4.461501,41.870308,-2.768428,-0.66622937,0.2955932,-40.472076
-1.9063554,2.2490926,12.623839,4.431769,9.401122,-24.575132,-14.8367605,-4.045342,-2.8158617,1.9162054,-5.507907,-14.630308,2.6230822,4.3199005,-1.8470818,-5.616515,-3.7512708,-1.0628384,4.172166,8.027031,0.25770703,-45.552956,-0.16642143,24.574959,16.741884,-1.1017184,10.445439,-5.0258703,-6.1689544,-0.5881854,-1.7113842,-14.165842,-5.6083755,-0.29922616,-24.310589,-1.6613134,-2.9859579,2.4658275,-59.992226,-0.5627649,2.8408318,-2.9618921,8.8526,-3.612705,-11.142828,-0.09662492,-46.41929
0.4751971,3.1518912,14.8977,-11.16338,8.765009,-35.528572,-8.749429,-1.6900535,-7.726384,0.99234086,0.77252156,-3.9738903,1.9802078,5.0619297,-3.5806532,-2.5218382,-5.7843423,-0.79709345,4.074181,-0.7869378,-1.91002,-32.692326,0.4950127,25.681717,14.718701,2.2801073,9.564347,-2.2270138,-5.404685,-0.28784028,-1.0091084,-39.81023,-24.291014,-3.3927255,-27.213678,-0.9221102,-1.4904377,5.6186132,-60.158955,-0.74433535,1.3877854,-6.23946,55.245174,-4.7618637,-11.507958,0.34331807,-48.406887
-1.2780764,2.3354738,16.627151,-9.882957,41.965775,-33.77701,-95.856834,11.237009,-5.536446,2.545514,1.4556552,-4.8762035,3.0580459,5.3065114,-3.60358,-3.354712,-6.042918,-0.74101704,4.044514,-0.5236681,-4.6237106,-29.662767,1.3928301,22.23478,30.89402,1.6896175,8.129907,-2.2325625,-5.0633893,-0.54182196,-1.4575586,-41.563362,-23.986847,-4.0114036,-28.241299,0.74899614,-1.5952599,3.388239,-56.14443,-1.3492835,1.125308,-4.734672,54.687534,-6.1786127,26.84646,0.28097507,-61.482086
4.517486,0.98988956,-25.88645,-32.93106,8.983011,-25.67648,-15.228084,-23.563547,-6.9339848,3.900209,0.7489063,-2.5206513,-2.0365214,5.313893,-0.44896397,0.5345373,-1.4667511,-1.7746031,1.6344116,-6.5386925,5.82791,-19.15123,3.93829,27.63192,11.652642,3.228339,0.6388128,-2.591434,-1.3253309,-0.38206294,-1.4432315,-60.296333,-38.38304,-3.4108384,19.2413,-5.856022,8.009565,4.8500357,-72.9553,-1.5230178,-2.2274501,-4.064217,52.18795,-5.1496644,20.700382,-0.28160122,-19.417873
